START-OF-LOG: 3.0
CALLSIGN: AA3CS
CLAIMED-SCORE: 47553
CLUB:
CONTEST: CQ-WW-SSB
NAME: Charles Shefflette
SOAPBOX: K3 barefoot - 135' OCF dipole - 20/40M Inverted Vee Had
SOAPBOX: a great time!
LOCATION: MDC
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
QSO: 21206 PH 2010-10-30 1852 AA3CS         59  05     VP5T          59  08     0
QSO: 21216 PH 2010-10-30 1856 AA3CS         59  05     KP3Z          59  08     0
QSO: 21229 PH 2010-10-30 1900 AA3CS         59  05     YN2AA         59  07     0
QSO: 21240 PH 2010-10-30 1902 AA3CS         59  05     CN3A          59  33     0
QSO: 21287 PH 2010-10-30 1908 AA3CS         59  05     CN2R          59  33     0
QSO: 21338 PH 2010-10-30 1925 AA3CS         59  05     PW7T          59  11     0
QSO: 21345 PH 2010-10-30 1926 AA3CS         59  05     PT2CM         59  11     0
QSO: 21354 PH 2010-10-30 1927 AA3CS         59  05     VP5I          59  08     0
QSO: 21362 PH 2010-10-30 1928 AA3CS         59  05     WP3C          59  08     0
QSO: 21367 PH 2010-10-30 1933 AA3CS         59  05     6W1RY         59  35     0
QSO: 21373 PH 2010-10-30 1935 AA3CS         59  05     FY5KE         59  09     0
QSO: 21399 PH 2010-10-30 1938 AA3CS         59  05     YW5T          59  09     0
QSO: 21404 PH 2010-10-30 1939 AA3CS         59  05     KP2M          59  08     0
QSO: 21418 PH 2010-10-30 1940 AA3CS         59  05     CQ9T          59  33     0
QSO: 21300 PH 2010-10-30 1942 AA3CS         59  05     ZV2C          59  11     0
QSO: 21283 PH 2010-10-30 1948 AA3CS         59  05     ZX5J          59  11     0
QSO: 21236 PH 2010-10-30 2000 AA3CS         59  05     NP3O          59  08     0
QSO: 21215 PH 2010-10-30 2004 AA3CS         59  05     CX2DK         59  13     0
QSO: 21204 PH 2010-10-30 2005 AA3CS         59  05     LT1F          59  13     0
QSO: 28415 PH 2010-10-30 2012 AA3CS         59  05     V26B          59  08     0
QSO: 28479 PH 2010-10-30 2036 AA3CS         59  05     P49Y          59  08     0
QSO: 21297 PH 2010-10-30 2047 AA3CS         59  05     VE5PV         59  04     0
QSO: 14201 PH 2010-10-30 2100 AA3CS         59  05     VC3X          59  04     0
QSO: 14230 PH 2010-10-30 2107 AA3CS         59  05     VE1OP         59  05     0
QSO: 14242 PH 2010-10-30 2107 AA3CS         59  05     VE6EX         59  04     0
QSO: 21319 PH 2010-10-30 2254 AA3CS         59  05     V31BD         59  07     0
QSO: 21313 PH 2010-10-30 2255 AA3CS         59  05     NP2B          59  08     0
QSO: 14212 PH 2010-10-30 2308 AA3CS         59  05     TI0RC         59  07     0
QSO: 14313 PH 2010-10-30 2329 AA3CS         59  05     PS2T          59  11     0
QSO: 14308 PH 2010-10-30 2333 AA3CS         59  05     N4XL          59  05     0
QSO:  3746 PH 2010-10-31 0008 AA3CS         59  05     VY2LI         59  05     0
QSO:  3751 PH 2010-10-31 0009 AA3CS         59  05     W4QNW         59  05     0
QSO:  3756 PH 2010-10-31 0010 AA3CS         59  05     W0AIH         59  04     0
QSO:  3737 PH 2010-10-31 0025 AA3CS         59  05     VE3DC         59  04     0
QSO:  3724 PH 2010-10-31 0027 AA3CS         59  05     VE3BND        59  04     0
QSO:  3617 PH 2010-10-31 0030 AA3CS         59  05     VE9ZX         59  05     0
QSO:  3722 PH 2010-10-31 0038 AA3CS         59  05     VE3CX         59  04     0
QSO:  3768 PH 2010-10-31 0043 AA3CS         59  05     VE3MIS        59  04     0
QSO:  3803 PH 2010-10-31 0048 AA3CS         59  05     K3LR          59  05     0
QSO:  3806 PH 2010-10-31 0049 AA3CS         59  05     W3LPL         59  05     0
QSO:  3809 PH 2010-10-31 0054 AA3CS         59  05     K1TTT         59  05     0
QSO:  3811 PH 2010-10-31 0057 AA3CS         59  05     KB1H          59  05     0
QSO:  3797 PH 2010-10-31 0100 AA3CS         59  05     CO6YAC        59  08     0
QSO:  3747 PH 2010-10-31 0104 AA3CS         59  05     NA2U          59  05     0
QSO:  3731 PH 2010-10-31 0109 AA3CS         59  05     VO1TA         59  05     0
QSO:  3683 PH 2010-10-31 0114 AA3CS         59  05     VE2FXL        59  05     0
QSO:  3698 PH 2010-10-31 0120 AA3CS         59  05     VC3X          59  04     0
QSO:  3723 PH 2010-10-31 0142 AA3CS         59  05     VE1ZJ         59  05     0
QSO:  3745 PH 2010-10-31 0147 AA3CS         59  05     P49Y          59  09     0
QSO:  3753 PH 2010-10-31 0149 AA3CS         59  05     VE3JM         59  04     0
QSO:  3762 PH 2010-10-31 0154 AA3CS         59  05     VE2XAA        59  05     0
QSO:  3770 PH 2010-10-31 0155 AA3CS         59  05     VA2OP         59  05     0
QSO:  3783 PH 2010-10-31 0156 AA3CS         59  05     VE2IM         59  02     0
QSO:  3795 PH 2010-10-31 0159 AA3CS         59  05     VE3UTT        59  04     0
QSO:  3800 PH 2010-10-31 0201 AA3CS         59  05     CN3A          59  33     0
QSO:  3820 PH 2010-10-31 0205 AA3CS         59  05     W2RE          59  05     0
QSO:  3780 PH 2010-10-31 0211 AA3CS         59  05     VA2TG         59  05     0
QSO:  3773 PH 2010-10-31 0229 AA3CS         59  05     VE3FDT        59  04     0
QSO:  3751 PH 2010-10-31 0232 AA3CS         59  05     VE3RZ         59  04     0
QSO:  3736 PH 2010-10-31 0238 AA3CS         59  05     AA4V/VP9      59  05     0
QSO:  3661 PH 2010-10-31 0249 AA3CS         59  05     V26B          59  08     0
QSO:  3685 PH 2010-10-31 0252 AA3CS         59  05     K2Z           59  05     0
QSO:  3796 PH 2010-10-31 0309 AA3CS         59  05     SM0W          59  14     0
QSO:  3804 PH 2010-10-31 0311 AA3CS         59  05     K6ND          59  05     0
QSO:  3807 PH 2010-10-31 0312 AA3CS         59  05     K1LZ          59  05     0
QSO:  3819 PH 2010-10-31 0314 AA3CS         59  05     AA1BU         59  05     0
QSO:  3821 PH 2010-10-31 0315 AA3CS         59  05     K4ZW          59  05     0
QSO:  3832 PH 2010-10-31 0316 AA3CS         59  05     W4RM          59  05     0
QSO:  3816 PH 2010-10-31 0320 AA3CS         59  05     WX3B          59  05     0
QSO:  3792 PH 2010-10-31 0325 AA3CS         59  05     VE3YJ         59  04     0
QSO:  3782 PH 2010-10-31 0326 AA3CS         59  05     VC2Z          59  05     0
QSO:  3770 PH 2010-10-31 0335 AA3CS         59  05     VE2QAU        59  05     0
QSO:  3707 PH 2010-10-31 0343 AA3CS         59  05     EA8CMX        59  33     0
QSO:  3692 PH 2010-10-31 0344 AA3CS         59  05     VA2EW         59  05     0
QSO:  7163 PH 2010-10-31 0350 AA3CS         59  05     IR4X          59  15     0
QSO:  7157 PH 2010-10-31 0351 AA3CS         59  05     K5KG          59  05     0
QSO:  7129 PH 2010-10-31 0400 AA3CS         59  05     TM9R          59  14     0
QSO:  7129 PH 2010-10-31 0409 AA3CS         59  05     OM8A          59  15     0
QSO:  7203 PH 2010-10-31 0416 AA3CS         59  05     VE6FI         59  04     0
QSO:  7278 PH 2010-10-31 0419 AA3CS         59  05     W5WZ          59  04     0
QSO:  7193 PH 2010-10-31 0421 AA3CS         59  05     E7DX          59  15     0
QSO:  7189 PH 2010-10-31 0423 AA3CS         59  05     DR1A          59  14     0
QSO:  7186 PH 2010-10-31 0426 AA3CS         59  05     EF8R          59  23     0
QSO:  7171 PH 2010-10-31 0432 AA3CS         59  05     V31BD         59  07     0
QSO:  7160 PH 2010-10-31 0435 AA3CS         59  05     CN2R          59  33     0
QSO:  7160 PH 2010-10-31 0444 AA3CS         59  05     ED1R          59  14     0
QSO:  7152 PH 2010-10-31 0446 AA3CS         59  05     OT5A          59  14     0
QSO:  7151 PH 2010-10-31 0447 AA3CS         59  05     N5DX          59  04     0
QSO:  7131 PH 2010-10-31 0449 AA3CS         59  05     TM2Y          59  14     0
QSO:  7148 PH 2010-10-31 0450 AA3CS         59  05     HA8RM         59  15     0
QSO:  7149 PH 2010-10-31 0452 AA3CS         59  05     YT8A          59  15     0
QSO:  7199 PH 2010-10-31 0501 AA3CS         59  05     CR3A          59  23     0
QSO:  7230 PH 2010-10-31 0502 AA3CS         59  05     VP5T          59  08     0
QSO:  7203 PH 2010-10-31 0507 AA3CS         59  05     KP4FD         59  08     0
QSO:  3785 PH 2010-10-31 0516 AA3CS         59  05     N5DX          59  04     0
QSO:  3768 PH 2010-10-31 0522 AA3CS         59  05     VE3EJ         59  04     0
QSO:  3750 PH 2010-10-31 0524 AA3CS         59  05     NN3W          59  05     0
QSO:  3705 PH 2010-10-31 0528 AA3CS         59  05     TI5N          59  07     0
QSO:  3685 PH 2010-10-31 0530 AA3CS         59  05     VP9/N1SV      59  05     0
QSO:  3643 PH 2010-10-31 0533 AA3CS         59  05     N3IQ          59  05     0
QSO:  3635 PH 2010-10-31 0534 AA3CS         59  05     N1LN          59  05     0
QSO:  7152 PH 2010-10-31 1033 AA3CS         59  05     K5TR          59  04     0
QSO:  7166 PH 2010-10-31 1038 AA3CS         59  05     NK7U          59  03     0
QSO:  7175 PH 2010-10-31 1041 AA3CS         59  05     VP5DX         59  08     0
QSO:  7133 PH 2010-10-31 1046 AA3CS         59  05     K4PV          59  05     0
QSO:  7152 PH 2010-10-31 1047 AA3CS         59  05     VP9/N1SV      59  05     0
QSO:  7162 PH 2010-10-31 1048 AA3CS         59  05     VO2NS         59  02     0
QSO:  7204 PH 2010-10-31 1052 AA3CS         59  05     AA4V/VP9      59  05     0
QSO:  3732 PH 2010-10-31 1056 AA3CS         59  05     KP4KE         59  08     0
QSO:  3749 PH 2010-10-31 1058 AA3CS         59  05     VP5T          59  08     0
QSO:  3761 PH 2010-10-31 1059 AA3CS         59  05     VE7SCC        59  03     0
QSO:  3772 PH 2010-10-31 1100 AA3CS         59  05     VE4EAR        59  04     0
QSO:  3780 PH 2010-10-31 1103 AA3CS         59  05     W6YX          59  03     0
QSO:  3782 PH 2010-10-31 1104 AA3CS         59  05     KH7X          59  31     0
QSO: 14218 PH 2010-10-31 1108 AA3CS         59  05     G2F           59  14     0
QSO: 14248 PH 2010-10-31 1113 AA3CS         59  05     TM1W          59  14     0
QSO: 14260 PH 2010-10-31 1115 AA3CS         59  05     EI2CN         59  14     0
QSO: 14270 PH 2010-10-31 1117 AA3CS         59  05     OH5TS         59  15     0
QSO: 14284 PH 2010-10-31 1118 AA3CS         59  05     E7DX          59  15     0
QSO: 14307 PH 2010-10-31 1120 AA3CS         59  05     SO8A          59  15     0
QSO: 14324 PH 2010-10-31 1123 AA3CS         59  05     PA6Z          59  14     0
QSO: 14337 PH 2010-10-31 1125 AA3CS         59  05     OE3K          59  15     0
QSO: 14340 PH 2010-10-31 1126 AA3CS         59  05     S57AL         59  15     0
QSO: 14345 PH 2010-10-31 1126 AA3CS         59  05     OK1BN         59  15     0
QSO: 14329 PH 2010-10-31 1159 AA3CS         59  05     S50K          59  15     0
QSO: 14267 PH 2010-10-31 1209 AA3CS         59  05     ES5G          59  15     0
QSO: 14265 PH 2010-10-31 1210 AA3CS         59  05     DL0CS         59  14     0
QSO: 14255 PH 2010-10-31 1212 AA3CS         59  05     HG7T          59  15     0
QSO: 14248 PH 2010-10-31 1215 AA3CS         59  05     4O3A          59  15     0
QSO: 14246 PH 2010-10-31 1217 AA3CS         59  05     GM2V          59  14     0
QSO: 14241 PH 2010-10-31 1219 AA3CS         59  05     DL2ARD        59  14     0
QSO: 14239 PH 2010-10-31 1221 AA3CS         59  05     TM7F          59  14     0
QSO: 14223 PH 2010-10-31 1227 AA3CS         59  05     PA3S          59  14     0
QSO: 14184 PH 2010-10-31 1230 AA3CS         59  05     NR5M          59  04     0
QSO: 14172 PH 2010-10-31 1232 AA3CS         59  05     K4PV          59  05     0
QSO: 21230 PH 2010-10-31 1234 AA3CS         59  05     EF8R          59  33     0
QSO: 21286 PH 2010-10-31 1241 AA3CS         59  05     YU5A          59  15     0
QSO: 21292 PH 2010-10-31 1243 AA3CS         59  05     YL2SM         59  15     0
QSO: 21318 PH 2010-10-31 1247 AA3CS         59  05     YL2KO         59  15     0
QSO: 21318 PH 2010-10-31 1249 AA3CS         59  05     OM8A          59  15     0
QSO: 21345 PH 2010-10-31 1253 AA3CS         59  05     4O3A          59  15     0
QSO: 21371 PH 2010-10-31 1255 AA3CS         59  05     S53MM         59  15     0
QSO: 21388 PH 2010-10-31 1257 AA3CS         59  05     SQ9HZM        59  15     0
QSO:  7203 PH 2010-10-31 1301 AA3CS         59  05     VA3DF         59  04     0
QSO:  7171 PH 2010-10-31 1304 AA3CS         59  05     N7TT          59  03     0
QSO:  7164 PH 2010-10-31 1304 AA3CS         59  05     VE3DC         59  04     0
QSO:  7147 PH 2010-10-31 1307 AA3CS         59  05     KH6MB         59  31     0
QSO: 21426 PH 2010-10-31 1810 AA3CS         59  05     EA1FDI        59  14     0
QSO: 21372 PH 2010-10-31 1818 AA3CS         59  05     NK7U          59  03     0
QSO: 21363 PH 2010-10-31 1820 AA3CS         59  05     VE6PR         59  04     0
QSO: 21359 PH 2010-10-31 1820 AA3CS         59  05     CR3A          59  33     0
QSO: 21352 PH 2010-10-31 1821 AA3CS         59  05     EA4EER        59  14     0
QSO: 21333 PH 2010-10-31 1828 AA3CS         59  05     ST2AR         59  34     0
QSO: 21276 PH 2010-10-31 1837 AA3CS         59  05     V48M          59  08     0
QSO: 21237 PH 2010-10-31 1841 AA3CS         59  05     ZS9X          59  38     0
QSO: 21210 PH 2010-10-31 1843 AA3CS         59  05     LP1H          59  13     0
QSO: 21312 PH 2010-10-31 1845 AA3CS         59  05     CQ3L          59  33     0
QSO: 21380 PH 2010-10-31 1853 AA3CS         59  05     VE6FI         59  04     0
QSO: 21400 PH 2010-10-31 1855 AA3CS         59  05     GI5K          59  14     0
QSO: 14157 PH 2010-10-31 1906 AA3CS         59  05     CT1JLZ        59  14     0
QSO: 14225 PH 2010-10-31 1911 AA3CS         59  05     F1AKK         59  14     0
QSO: 14267 PH 2010-10-31 1915 AA3CS         59  05     CN3A          59  33     0
QSO: 14277 PH 2010-10-31 1917 AA3CS         59  05     CN2R          59  33     0
QSO: 14289 PH 2010-10-31 1918 AA3CS         59  05     VE7SV         59  03     0
QSO: 14291 PH 2010-10-31 1919 AA3CS         59  05     CR2X          59  14     0
QSO: 14294 PH 2010-10-31 1920 AA3CS         59  05     VE3CX         59  04     0
QSO: 14302 PH 2010-10-31 1921 AA3CS         59  05     VP9/N1SV      59  05     0
QSO: 14328 PH 2010-10-31 1924 AA3CS         59  05     CR3A          59  33     0
QSO: 14345 PH 2010-10-31 1925 AA3CS         59  05     K7RL          59  03     0
QSO: 14314 PH 2010-10-31 1926 AA3CS         59  05     EF8R          59  33     0
QSO: 28376 PH 2010-10-31 1959 AA3CS         59  05     VP2MDG        59  08     0
QSO: 28382 PH 2010-10-31 2000 AA3CS         59  05     ZW5B          59  11     0
QSO: 28462 PH 2010-10-31 2007 AA3CS         59  05     W3LPL         59  05     0
QSO: 28478 PH 2010-10-31 2009 AA3CS         59  05     PJ2T          59  09     0
QSO: 28489 PH 2010-10-31 2010 AA3CS         59  05     9Y4D          59  09     0
QSO: 28492 PH 2010-10-31 2011 AA3CS         59  05     P40W          59  09     0
QSO: 28533 PH 2010-10-31 2012 AA3CS         59  05     LT1F          59  13     0
QSO: 28372 PH 2010-10-31 2015 AA3CS         59  05     LR4E          59  13     0
QSO: 21354 PH 2010-10-31 2018 AA3CS         59  05     EF8A          59  23     0
QSO: 21318 PH 2010-10-31 2020 AA3CS         59  05     HC8A          59  10     0
QSO: 21230 PH 2010-10-31 2030 AA3CS         59  05     ZP5CGL        59  11     0
END-OF-LOG:
