START-OF-LOG: 2.0
CREATED-BY: Coupe du REFde F6ADE
CONTEST: REF-SSB
CALLSIGN: F8AAB
NAME: MAURIN Gérard
REF-SECTION: 43
OPERATORS: 
CATEGORY: SINGLE-OP ALL HIGH
CLAIMED-SCORE: 15128
SOAPBOX: Simple participation de temps en temps pour distribuer des points. 73 
RIG: Emetteur=FT 1000 Mark V Récepteur=FT 1000 Mark V Antenne= Filaire multi bandes Puissance=150W
OFFTIME: 2022-02-26 0907 2022-02-26 1437
OFFTIME: 2022-02-26 1700 2000-02-27 0856
OFFTIME: 2022-02-27 0958 2022-02-27 1246
QSO: 3500  PH 2022-02-26 0747 F8AAB         59  43     F5MNC         59  41     0
QSO: 3500  PH 2022-02-26 0754 F8AAB         59  43     F5NUI         59  42     0
QSO: 3500  PH 2022-02-26 0801 F8AAB         59  43     F8GGZ         59  23     0
QSO: 3500  PH 2022-02-26 0818 F8AAB         59  43     F8KOU/P       59  23     0
QSO: 3500  PH 2022-02-26 0824 F8AAB         59  43     F5SHN         59  03     0
QSO: 3500  PH 2022-02-26 0825 F8AAB         59  43     F6REF         59  00     0
QSO: 3500  PH 2022-02-26 0830 F8AAB         59  43     F2CT          59  64     0
QSO: 7000  PH 2022-02-26 0853 F8AAB         59  43     TK5EP         59  2A     0
QSO: 7000  PH 2022-02-26 0858 F8AAB         59  43     IX1HPN        59  0054   0
QSO: 7000  PH 2022-02-26 0907 F8AAB         59  43     TM6CXJ        59  47     0
QSO: 7000  PH 2022-02-26 0909 F8AAB         59  43     F5OAM         59  47     0
QSO: 7000  PH 2022-02-26 1437 F8AAB         59  43     HB9TWU        59  0251   0
QSO: 7000  PH 2022-02-26 1447 F8AAB         59  43     HB9HLM        59  0151   0
QSO: 14000 PH 2022-02-26 1504 F8AAB         59  43     LZ1ZF         59  0066   0
QSO: 14000 PH 2022-02-26 1510 F8AAB         59  43     UA6YN         59  0136   0
QSO: 21000 PH 2022-02-26 1518 F8AAB         59  43     FR4KR         59  FR     0
QSO: 14000 PH 2022-02-26 1523 F8AAB         59  43     CT7AXB        59  0393   0
QSO: 14000 PH 2022-02-26 1527 F8AAB         59  43     YR2Y          59  0084   0
QSO: 14000 PH 2022-02-26 1528 F8AAB         59  43     IT9FRX        59  0171   0
QSO: 14000 PH 2022-02-26 1530 F8AAB         59  43     YA6YN         59  0001   0
QSO: 14000 PH 2022-02-26 1630 F8AAB         59  43     YT5LD         59  0151   0
QSO: 14000 PH 2022-02-26 1636 F8AAB         59  43     EI4IT         59  0013   0
QSO: 3500  PH 2022-02-26 1647 F8AAB         59  43     ON2CQ         59  0314   0
QSO: 3500  PH 2022-02-26 1653 F8AAB         59  43     F8NJ          59  10     0
QSO: 3500  PH 2022-02-26 1700 F8AAB         59  43     F5OAM         59  47     0
QSO: 3500  PH 2022-02-27 0856 F8AAB         59  43     F5DDX         59  03     0
QSO: 3500  PH 2022-02-27 0857 F8AAB         59  43     F8DHE         59  42     0
QSO: 7000  PH 2022-02-27 0901 F8AAB         59  43     F8DFP         59  63     0
QSO: 7000  PH 2022-02-27 0906 F8AAB         59  43     F6FMX         59  07     0
QSO: 7000  PH 2022-02-27 0913 F8AAB         59  43     IW1RBI        59  0088   0
QSO: 7000  PH 2022-02-27 0920 F8AAB         59  43     F5LBL         59  30     0
QSO: 7000  PH 2022-02-27 0921 F8AAB         59  43     F4ISZ         59  08     0
QSO: 7000  PH 2022-02-27 0926 F8AAB         59  43     F5MMX         59  91     0
QSO: 7000  PH 2022-02-27 0929 F8AAB         59  43     F2CT          59  64     0
QSO: 14000 PH 2022-02-27 0936 F8AAB         59  43     HA6ZQ         59  0017   0
QSO: 14000 PH 2022-02-27 0939 F8AAB         59  43     FM4SA         59  FM     0
QSO: 14000 PH 2022-02-27 0941 F8AAB         59  43     SV3RPQ        59  0085   0
QSO: 14000 PH 2022-02-27 0945 F8AAB         59  43     SP6DVP        59  0131   0
QSO: 21000 PH 2022-02-27 0951 F8AAB         59  43     RA5AD         59  0115   0
QSO: 21000 PH 2022-02-27 0956 F8AAB         59  43     R4FCJ         59  0112   0
QSO: 21000 PH 2022-02-27 0958 F8AAB         59  43     UA6YN         59  0265   0
QSO: 21000 PH 2022-02-27 1246 F8AAB         59  43     FG4KH         59  FG     0
QSO: 28000 PH 2022-02-27 1252 F8AAB         59  43     FR4KR         59  FR     0
QSO: 14000 PH 2022-02-27 1306 F8AAB         59  43     HB9HLM        59  0837   0
QSO: 14000 PH 2022-02-27 1308 F8AAB         59  43     YT2RX         59  0213   0
QSO: 14000 PH 2022-02-27 1311 F8AAB         59  43     DL5YM         59  0351   0
QSO: 14000 PH 2022-02-27 1314 F8AAB         59  43     RA5A          59  0058   0
QSO: 14000 PH 2022-02-27 1317 F8AAB         59  43     IK7RVY        59  0142   0
QSO: 14000 PH 2022-02-27 1320 F8AAB         59  43     DL0LK         59  0206   0
QSO: 14000 PH 2022-02-27 1323 F8AAB         59  43     OZ1D          59  0075   0
QSO: 21000 PH 2022-02-27 1344 F8AAB         59  43     TR8CA         59  0114   0
QSO: 21000 PH 2022-02-27 1615 F8AAB         59  43     K3ZO          59  0297   0
QSO: 21000 PH 2022-02-27 1620 F8AAB         59  43     WA9FZQ        59  0027   0
QSO: 3500  PH 2022-02-27 1630 F8AAB         59  43     F5NIH         59  66     0
QSO: 3500  PH 2022-02-27 1635 F8AAB         59  43     HB9HLM        59  1002   0
QSO: 7000  PH 2022-02-27 1654 F8AAB         59  43     F5MNC         59  41     0
QSO: 14000 PH 2022-02-27 1706 F8AAB         59  43     VE2TFL        59  0616   0
QSO: 14000 PH 2022-02-27 1707 F8AAB         59  43     YP3A          59  0202   0
QSO: 14000 PH 2022-02-27 1713 F8AAB         59  43     CN8YM         59  0084   0
QSO: 7000  PH 2022-02-27 1725 F8AAB         59  43     S51CK         59  0579   0
QSO: 7000  PH 2022-02-27 1727 F8AAB         59  43     F6HEQ         59  28     0
QSO: 3500  PH 2022-02-27 1742 F8AAB         59  43     F5LBL         59  30     0
END-OF-LOG:
