START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.42.0-dev
CONTEST: REF-SSB
LOCATION: FY
GRID-LOCATOR: GJ35PE
CALLSIGN: FY5KE
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-STATION: FIXED
CATEGORY-OVERLAY: CLUB
CLAIMED-SCORE: 7714041
OPERATORS: F5UII F6FVY
CLUB: CDXC
NAME: Radio Amateurs Club de Kourou
CERTIFICATE: NO
SOAPBOX: 
RIG: TS590s + Dipole 80m + Monobandes du 40m au 10m
QSO:  7139 PH 2022-02-26 0602 FY5KE         59  FY     F6REF         59  00    
QSO:  7142 PH 2022-02-26 0609 FY5KE         59  FY     F4KIR         59  35    
QSO:  7137 PH 2022-02-26 0612 FY5KE         59  FY     F4IEX         59  33    
QSO:  7137 PH 2022-02-26 0614 FY5KE         59  FY     KM4IAJ        59  001   
QSO:  7137 PH 2022-02-26 0615 FY5KE         59  FY     PD7V          57  001   
QSO:  7137 PH 2022-02-26 0616 FY5KE         59  FY     F4KIY         59  57    
QSO:  7137 PH 2022-02-26 0616 FY5KE         59  FY     F4IOM         59  56    
QSO:  7137 PH 2022-02-26 0617 FY5KE         59  FY     F8CRS         59  67    
QSO:  7137 PH 2022-02-26 0617 FY5KE         59  FY     RA5AD         59  002   
QSO:  7137 PH 2022-02-26 0617 FY5KE         59  FY     F4IFF         59  37    
QSO:  7137 PH 2022-02-26 0618 FY5KE         59  FY     R3AP          59  001   
QSO:  7137 PH 2022-02-26 0618 FY5KE         59  FY     M0NVK         59  001   
QSO:  7137 PH 2022-02-26 0619 FY5KE         59  FY     KX4AA         59  001   
QSO:  7137 PH 2022-02-26 0619 FY5KE         59  FY     F1JGJ         59  50    
QSO:  7137 PH 2022-02-26 0620 FY5KE         59  FY     R2BDW         59  001   
QSO:  7137 PH 2022-02-26 0620 FY5KE         59  FY     FM4SA         59  FM    
QSO:  7137 PH 2022-02-26 0621 FY5KE         59  FY     R2BFZ         59  001   
QSO:  7137 PH 2022-02-26 0622 FY5KE         59  FY     F4CIM         59  42    
QSO:  7137 PH 2022-02-26 0623 FY5KE         59  FY     CN8YE         59  001   
QSO:  7137 PH 2022-02-26 0623 FY5KE         59  FY     KD6BQ         59  001   
QSO:  7137 PH 2022-02-26 0624 FY5KE         59  FY     F5NKX         59  50    
QSO:  7137 PH 2022-02-26 0625 FY5KE         59  FY     R0YAB/3       59  001   
QSO:  7137 PH 2022-02-26 0626 FY5KE         59  FY     F6BKD/P       59  32    
QSO:  7137 PH 2022-02-26 0626 FY5KE         59  FY     VE2HIT        59  001   
QSO:  7137 PH 2022-02-26 0627 FY5KE         59  FY     FG5GP         59  FG    
QSO:  7137 PH 2022-02-26 0630 FY5KE         59  FY     N9KJK         59  038   
QSO:  7137 PH 2022-02-26 0632 FY5KE         59  FY     VE3RVZ        59  001   
QSO:  7137 PH 2022-02-26 0633 FY5KE         59  FY     PY5AMF        59  002   
QSO:  7137 PH 2022-02-26 0640 FY5KE         59  FY     PD0CQ         59  001   
QSO:  7127 PH 2022-02-26 0641 FY5KE         59  FY     F8URA         59  77    
QSO:  7137 PH 2022-02-26 0642 FY5KE         59  FY     F6DFZ         59  07    
QSO:  7137 PH 2022-02-26 0643 FY5KE         59  FY     VE4AQU        59  001   
QSO:  7137 PH 2022-02-26 0646 FY5KE         59  FY     ON5JT         59  001   
QSO:  7137 PH 2022-02-26 0646 FY5KE         59  FY     F4EZJ         59  16    
QSO:  7137 PH 2022-02-26 0647 FY5KE         59  FY     IZ2FOS        59  002   
QSO:  7137 PH 2022-02-26 0647 FY5KE         59  FY     K8IP          59  001   
QSO:  7170 PH 2022-02-26 0658 FY5KE         59  FY     F4FJZ         59  73    
QSO:  7188 PH 2022-02-26 0658 FY5KE         59  FY     F5BZB         59  81    
QSO: 14179 PH 2022-02-26 0937 FY5KE         59  FY     F6REF         59  00    
QSO: 14172 PH 2022-02-26 0938 FY5KE         59  FY     F8DRE         59  28    
QSO: 14172 PH 2022-02-26 0938 FY5KE         59  FY     TM5TT         59  41    
QSO: 14172 PH 2022-02-26 0938 FY5KE         59  FY     F4KIY         59  57    
QSO: 14172 PH 2022-02-26 0939 FY5KE         59  FY     F5NKX         59  50    
QSO: 14172 PH 2022-02-26 0940 FY5KE         59  FY     F1GKS         59  76    
QSO: 14172 PH 2022-02-26 0940 FY5KE         59  FY     TK4RB         59  2B    
QSO: 14172 PH 2022-02-26 0941 FY5KE         59  FY     F6ARC         59  28    
QSO: 14172 PH 2022-02-26 0941 FY5KE         59  FY     F5HIJ         59  33    
QSO: 14172 PH 2022-02-26 0941 FY5KE         59  FY     F1SVM         59  83    
QSO: 14172 PH 2022-02-26 0941 FY5KE         59  FY     LX2AS         54  000   
QSO: 14172 PH 2022-02-26 0942 FY5KE         59  FY     F8URA         59  77    
QSO: 14172 PH 2022-02-26 0942 FY5KE         59  FY     F5PMW         59  79    
QSO: 14172 PH 2022-02-26 0942 FY5KE         59  FY     TM5W          59  63    
QSO: 14172 PH 2022-02-26 0943 FY5KE         59  FY     F4IFF         59  37    
QSO: 14172 PH 2022-02-26 0943 FY5KE         59  FY     F4HRM         59  79    
QSO: 14172 PH 2022-02-26 0943 FY5KE         59  FY     PG1R          59  002   
QSO: 14172 PH 2022-02-26 0943 FY5KE         59  FY     F4GET         59  44    
QSO: 14172 PH 2022-02-26 0944 FY5KE         59  FY     ON3UA         59  001   
QSO: 14172 PH 2022-02-26 0944 FY5KE         59  FY     F4EZC         59  44    
QSO: 14172 PH 2022-02-26 0945 FY5KE         59  FY     RZ9WU         59  007   
QSO: 14172 PH 2022-02-26 0945 FY5KE         59  FY     F4ENJ         59  72    
QSO: 14172 PH 2022-02-26 0945 FY5KE         59  FY     OE2KGL        59  001   
QSO: 14172 PH 2022-02-26 0946 FY5KE         59  FY     F4IDT         59  03    
QSO: 14172 PH 2022-02-26 0946 FY5KE         59  FY     F1EBN         59  77    
QSO: 14172 PH 2022-02-26 0946 FY5KE         59  FY     EA1FHQ        59  088   
QSO: 14172 PH 2022-02-26 0947 FY5KE         59  FY     F4HGV         59  57    
QSO: 14172 PH 2022-02-26 0947 FY5KE         59  FY     F4KKZ/P       59  12    
QSO: 14172 PH 2022-02-26 0947 FY5KE         59  FY     EA8TH         59  014   
QSO: 14172 PH 2022-02-26 0947 FY5KE         59  FY     F5MUX         59  29    
QSO: 14172 PH 2022-02-26 0948 FY5KE         59  FY     DL9ER         59  010   
QSO: 14172 PH 2022-02-26 0948 FY5KE         59  FY     F4GNN         59  61    
QSO: 14172 PH 2022-02-26 0948 FY5KE         59  FY     F4TNC         59  80    
QSO: 14172 PH 2022-02-26 0949 FY5KE         59  FY     2E0FVN        57  002   
QSO: 14172 PH 2022-02-26 0950 FY5KE         59  FY     CT7AXB        59  094   
QSO: 14172 PH 2022-02-26 0950 FY5KE         59  FY     EA2SN         59  037   
QSO: 14172 PH 2022-02-26 0951 FY5KE         59  FY     F6KNB         59  33    
QSO: 14172 PH 2022-02-26 0951 FY5KE         59  FY     F4IZV         59  74    
QSO: 14172 PH 2022-02-26 0952 FY5KE         59  FY     F1PNJ         59  33    
QSO: 14172 PH 2022-02-26 0952 FY5KE         59  FY     F2YQ          59  45    
QSO: 14172 PH 2022-02-26 0952 FY5KE         59  FY     F5KMB         59  60    
QSO: 14172 PH 2022-02-26 0952 FY5KE         59  FY     F4ERS/P       59  37    
QSO: 14172 PH 2022-02-26 0953 FY5KE         59  FY     VK2ZH         59  000   
QSO: 14172 PH 2022-02-26 0953 FY5KE         59  FY     DL3DRN        59  017   
QSO: 14172 PH 2022-02-26 0953 FY5KE         59  FY     F5TVG         59  77    
QSO: 14172 PH 2022-02-26 0953 FY5KE         59  FY     F1RAF         59  77    
QSO: 14172 PH 2022-02-26 0954 FY5KE         59  FY     F1EMX         59  29    
QSO: 14172 PH 2022-02-26 0954 FY5KE         59  FY     GW0TAU        59  000   
QSO: 14172 PH 2022-02-26 0954 FY5KE         59  FY     F4IZG         59  74    
QSO: 14172 PH 2022-02-26 0955 FY5KE         59  FY     HB9AFI        59  005   
QSO: 14172 PH 2022-02-26 0955 FY5KE         59  FY     F8EFU         59  57    
QSO: 14172 PH 2022-02-26 0955 FY5KE         59  FY     ON5VN         59  000   
QSO: 14172 PH 2022-02-26 0956 FY5KE         59  FY     LX1FP         59  018   
