START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: ARRL-DIGI
CALLSIGN: W1RH
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: W1RH
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for ARRL-DIGI ARRL/arrl_international_digital_contest/2023.
QSO: 14080 DG 2023-06-03 2341 W1RH          CM98 W0GJT         DM59RC
QSO: 14081 DG 2023-06-03 2344 W1RH          CM98 KW1X          FN42
QSO: 14081 DG 2023-06-03 2346 W1RH          CM98 0 KC3JNW        FN11
QSO: 14083 DG 2023-06-03 2347 W1RH          CM98 KE8M          EN81
QSO: 14081 DG 2023-06-03 2348 W1RH          CM98 1 W7BOB         DN14
QSO: 14080 DG 2023-06-03 2349 W1RH          CM98 KA2KON        FN43
QSO: 14082 DG 2023-06-03 2351 W1RH          CM98 0 N4FWD         EM73
QSO: 14081 DG 2023-06-03 2352 W1RH          CM98 WB5TUF        EL29
QSO: 14081 DG 2023-06-03 2353 W1RH          CM98 0 WT0DX         DM79
QSO: 14083 DG 2023-06-03 2355 W1RH          CM98 0 VA3WEB        FN04
QSO: 14081 DG 2023-06-03 2357 W1RH          CM98 K9PW          EN52
QSO: 14082 DG 2023-06-03 2358 W1RH          CM98 N4MCC         EM65
QSO: 14081 DG 2023-06-04 0000 W1RH          CM98 NA5M          EM12
QSO: 14080 DG 2023-06-04 0001 W1RH          CM98 VE2HEW        FN35
QSO: 14082 DG 2023-06-04 0001 W1RH          CM98 1 N7EZQ         DN14
QSO: 14081 DG 2023-06-04 0002 W1RH          CM98 N8OO          EM31
QSO: 14082 DG 2023-06-04 0003 W1RH          CM98 K7UK          DN08
