START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.10.0
CONTEST: REF-SSB
LOCATION: 84
CALLSIGN: F6FDR
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-STATION: FIXED
CLAIMED-SCORE: checklog
OFFTIME: 2014-02-22 1347 2014-02-22 1611
OFFTIME: 2014-02-22 1631 2014-02-23 0612
OFFTIME: 2014-02-23 1446 2014-02-23 1639
OPERATORS: 
NAME: patrice carette
SOAPBOX: Je demande à être placé en checklog, n'étant pas d'accord avec les
SOAPBOX: modalités actuelles de ce concours :  des membres de la commission
SOAPBOX: avantagent certains concurents avec des spots abusifs  ce  qui fausse
SOAPBOX: la compétition. C'est la même commission qui fait sa loi en
SOAPBOX: disqualifiant dans d'autres concours,  mais pour les mêmes motifs.
SOAPBOX: Sinon, je suis content d'avoir pu faire quelques QSO.  73
RIG: 100w
QSO:  3620 PH 2014-02-22 0602 F6FDR         59  84     F6KLO         59  19    
QSO:  3620 PH 2014-02-22 0605 F6FDR         59  84     F5KMB/P       59  60    
QSO:  3620 PH 2014-02-22 0618 F6FDR         59  84     F6KNB         59  33    
QSO:  7000 PH 2014-02-22 0622 F6FDR         59  84     FY5KE         59  FY    
QSO:  3620 PH 2014-02-22 0628 F6FDR         59  84     F8KIG         59  13    
QSO:  3620 PH 2014-02-22 0652 F6FDR         59  84     F6KOU         59  84    
QSO:  3620 PH 2014-02-22 0658 F6FDR         59  84     F6GPT         59  33    
QSO:  3620 PH 2014-02-22 0659 F6FDR         59  84     F6KHM         59  29    
QSO:  7000 PH 2014-02-22 0704 F6FDR         59  84     FG4KH         59  FG    
QSO: 14237 PH 2014-02-22 0823 F6FDR         59  84     FY5KE         59  FY    
QSO:  7120 PH 2014-02-22 0829 F6FDR         59  84     F6KHM         59  29    
QSO:  7094 PH 2014-02-22 0831 F6FDR         59  84     F8KIG         59  13    
QSO:  7075 PH 2014-02-22 0837 F6FDR         59  84     F6KLO         59  19    
QSO: 14133 PH 2014-02-22 0947 F6FDR         59  84     FM5BH         59  FM    
QSO:  7112 PH 2014-02-22 0953 F6FDR         59  84     F6KKA         59  30    
QSO: 14117 PH 2014-02-22 0956 F6FDR         59  84     FG4KH         59  FG    
QSO:  7175 PH 2014-02-22 1014 F6FDR         59  84     F5KDK/P       59  24    
QSO: 14292 PH 2014-02-22 1059 F6FDR         59  84     F6KOU         59  84    
QSO: 21292 PH 2014-02-22 1100 F6FDR         59  84     F6KOU         59  84    
QSO: 28474 PH 2014-02-22 1250 F6FDR         59  84     FY5KE         59  FY    
