START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.10.0
CONTEST: REF-SSB
LOCATION: 56
CALLSIGN: F4FHZ
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 75240
OFFTIME: 2014-02-22 1230 2014-02-22 1506
OFFTIME: 2014-02-22 1913 2014-02-22 2223
OFFTIME: 2014-02-22 2339 2014-02-23 0821
OPERATORS: F4FHZ
NAME: LE FLOCH Gwenael
SOAPBOX: 
RIG: K3 ~ 80/100W avec CP6 et doublet pour le 15M
QSO:  7129 PH 2014-02-22 0806 F4FHZ         59  56     F6DZU         59  40    
QSO:  7135 PH 2014-02-22 0807 F4FHZ         59  56     TM15C         59  15    
QSO:  7141 PH 2014-02-22 0810 F4FHZ         59  56     F6KJX         59  41    
QSO:  7146 PH 2014-02-22 0811 F4FHZ         59  56     F8DHB         59  60    
QSO:  7148 PH 2014-02-22 0812 F4FHZ         59  56     F6KNB         59  33    
QSO:  7150 PH 2014-02-22 0813 F4FHZ         59  56     TM6D          59  38    
QSO:  7160 PH 2014-02-22 0818 F4FHZ         59  56     F1NZC         59  63    
QSO:  7163 PH 2014-02-22 0820 F4FHZ         59  56     F8KHF         59  03    
QSO:  7166 PH 2014-02-22 0822 F4FHZ         59  56     F6CLQ         59  89    
QSO:  7175 PH 2014-02-22 0823 F4FHZ         59  56     F5KDK/P       59  24    
QSO:  7179 PH 2014-02-22 0849 F4FHZ         59  56     F5KCH         59  58    
QSO:  7184 PH 2014-02-22 0850 F4FHZ         59  56     F6KEX         59  38    
QSO:  7044 PH 2014-02-22 0852 F4FHZ         59  56     F5BBD         59  02    
QSO:  7046 PH 2014-02-22 0854 F4FHZ         59  56     F5ADE         59  36    
QSO:  7053 PH 2014-02-22 0855 F4FHZ         59  56     F1ISM         59  60    
QSO:  7061 PH 2014-02-22 0901 F4FHZ         59  56     F5CDE         59  78    
QSO:  7064 PH 2014-02-22 0904 F4FHZ         59  56     F4GVZ         59  14    
QSO:  7079 PH 2014-02-22 0910 F4FHZ         59  56     F6APE         59  49    
QSO:  7085 PH 2014-02-22 0912 F4FHZ         59  56     F5KEQ         59  44    
QSO:  7087 PH 2014-02-22 0914 F4FHZ         59  56     TM1T          59  44    
QSO:  7092 PH 2014-02-22 0915 F4FHZ         59  56     F6KHM         59  29    
QSO:  7095 PH 2014-02-22 0916 F4FHZ         59  56     F5POJ         59  02    
QSO:  7113 PH 2014-02-22 0921 F4FHZ         59  56     F4BDV         59  82    
QSO:  7128 PH 2014-02-22 0926 F4FHZ         59  56     F6EQZ         59  51    
QSO:  7167 PH 2014-02-22 0927 F4FHZ         59  56     F4FFH         59  50    
QSO:  7192 PH 2014-02-22 0929 F4FHZ         59  56     F6KRK         59  78    
QSO:  7182 PH 2014-02-22 0933 F4FHZ         59  56     F4FUB         59  80    
QSO:  7153 PH 2014-02-22 0941 F4FHZ         59  56     F6REF         59  00    
