START-OF-LOG: 2.0
ARRL-SECTION: DX
CALLSIGN: OZ7SH
CLUB: None
CONTEST: REF-SSB
CATEGORY: SINGLE-OP ALL LOW SSB
CLAIMED-SCORE: 384
OPERATORS: OZ7SH
NAME: Steen Hovaldt
SOAPBOX: Two logs have number 0003 because of my mistake, sorry.
CREATED-BY: N1MM Logger V12.3.1
QSO: 14153 PH 2014-02-22 1345 OZ7SH         59  0001   F8KIG         59  13      
QSO: 21283 PH 2014-02-22 1627 OZ7SH         59  0002   FY5KE         59  FY      
QSO: 14120 PH 2014-02-22 1650 OZ7SH         59  0003   TM1A          59  77      
QSO: 14125 PH 2014-02-22 1655 OZ7SH         59  0003   F8KGH         59  83      
QSO:  7116 PH 2014-02-22 1923 OZ7SH         59  0005   F4DSE         59  16      
QSO:  7141 PH 2014-02-22 1945 OZ7SH         59  0006   F5KOK         59  86      
QSO:  7108 PH 2014-02-22 2129 OZ7SH         59  0007   F8KHF         59  03      
QSO:  7070 PH 2014-02-22 2135 OZ7SH         59  0008   F8PMO         59  37      
QSO:  7060 PH 2014-02-22 2138 OZ7SH         59  0009   F6KUQ         59  33      
QSO:  7095 PH 2014-02-22 2141 OZ7SH         59  0010   F6KHM         59  29      
QSO:  7137 PH 2014-02-22 2151 OZ7SH         59  0011   F6GPT         59  33      
QSO:  7159 PH 2014-02-22 2155 OZ7SH         59  0012   F6KNB         59  33      
QSO:  3793 PH 2014-02-22 2209 OZ7SH         59  0013   F6HRL         59  86      
QSO: 14170 PH 2014-02-23 0913 OZ7SH         59  0014   TK5KP         59  2A      
QSO: 21249 PH 2014-02-23 1147 OZ7SH         59  0015   FG4KH         59  FG      
QSO: 21267 PH 2014-02-23 1529 OZ7SH         59  0016   FM5AN         59  FM      
QSO: 21267 PH 2014-02-23 1555 OZ7SH         59  0017   F6KUQ         59  33      
QSO: 21233 PH 2014-02-23 1600 OZ7SH         59  0018   F6DZU         59  40      
QSO: 21231 PH 2014-02-23 1603 OZ7SH         59  0019   F5KUG         59  31      
END-OF-LOG:
