START-OF-LOG: 3.0
CREATED-BY: TR4W v.4.187 [RUS]
CALLSIGN: RZ9SWA
CONTEST: REF-CW
CLAIMED-SCORE: 20706
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-OPERATOR: MULTI-ONE
CATEGORY-POWER: HIGH
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
LOCATION: DX
NAME: CLUB STATION
SOAPBOX: RIG(s): ft100mark V; ANTENNA(s): 3 el YAGI
QSO: 14014 CW 2010-01-30 0754 RZ9SWA        599 1      F6DDP         599 53           
QSO: 14018 CW 2010-01-30 0755 RZ9SWA        599 2      F9CI          599 22           
QSO: 14035 CW 2010-01-30 0759 RZ9SWA        599 3      F8AEE         599 10           
QSO: 14049 CW 2010-01-30 0819 RZ9SWA        599 4      F5UH          599 62           
QSO: 14038 CW 2010-01-30 0820 RZ9SWA        599 5      F2GL          599 89           
QSO: 14034 CW 2010-01-30 0831 RZ9SWA        599 6      F6REF         599 00           
QSO: 14011 CW 2010-01-30 0852 RZ9SWA        599 7      F5RRS         599 74           
QSO: 14021 CW 2010-01-30 0858 RZ9SWA        599 8      F2QH          599 95           
QSO: 14018 CW 2010-01-30 0915 RZ9SWA        599 9      F8KGS         599 59           
QSO: 14057 CW 2010-01-30 0928 RZ9SWA        599 10     F5UKL/QRP     599 64           
QSO: 14020 CW 2010-01-30 0931 RZ9SWA        599 11     F6HKA         599 87           
QSO: 14017 CW 2010-01-30 0934 RZ9SWA        599 12     F8BRL         599 60           
QSO: 14042 CW 2010-01-30 0935 RZ9SWA        599 13     F5RKL         599 54           
QSO: 14033 CW 2010-01-30 0939 RZ9SWA        599 14     F6EWB         599 64           
QSO: 14033 CW 2010-01-30 0945 RZ9SWA        599 15     F8KOU/P       599 23           
QSO: 14033 CW 2010-01-30 0947 RZ9SWA        599 16     F9OQ          599 13           
QSO: 14033 CW 2010-01-30 0948 RZ9SWA        599 17     F5OZF         599 33           
QSO: 14033 CW 2010-01-30 0949 RZ9SWA        599 18     F8BXS         599 01           
QSO: 14033 CW 2010-01-30 0950 RZ9SWA        599 19     F5BBD         599 02           
QSO: 14033 CW 2010-01-30 0954 RZ9SWA        599 20     F6ALQ         599 02           
