START-OF-LOG: 2.0
REF-SECTION: DX
CONTEST: REF-CW
CALLSIGN: PA5GU
CATEGORY: SINGLE-OP ALL LOW
CLAIMED-SCORE: 11524
OPERATORS: PA5GU
NAME: JAAP ZUIDWEG
SOAPBOX: HEUREUX D'AVOIR RENCONTRÉ PLUSIEURS NOUVELLES STATIONS FRANCAISES
1234567890123456789012345678901234567890123456789012345678901234567890123456789
                              ---------envoyé--------- ---------reçu-----------
QSO:  7000 CW 2010-30-01 0856 PA5GU	    599 001    F8UFT	     599 01
QSO:  7000 CW 2010-30-01 0858 PA5GU	    599 002    TM5UTF	     599 54
QSO:  7000 CW 2010-30-01 0900 PA5GU	    599 003    F5MUX	     599 29
QSO:  7000 CW 2010-30-01 0902 PA5GU	    599 004    F5OAM	     599 47
QSO:  7000 CW 2010-30-01 0903 PA5GU	    599 005    F5KEQ	     599 44
QSO:  7000 CW 2010-30-01 0905 PA5GU	    599 006    F5MXH	     599 45
QSO:  7000 CW 2010-30-01 0906 PA5GU	    599 007    F8BUO	     599 68
QSO:  7000 CW 2010-30-01 0908 PA5GU	    599 008    F5UL	     599 74
QSO:  7000 CW 2010-30-01 0910 PA5GU	    599 009    F6HKS	     599 81
QSO:  7000 CW 2010-30-01 0912 PA5GU	    599 010    TM0ANT	     599 69
QSO:  7000 CW 2010-30-01 0916 PA5GU	    599 011    F6GPT	     599 33
QSO:  7000 CW 2010-30-01 0917 PA5GU	    599 012    F6KSV	     599 29
QSO:  7000 CW 2010-30-01 0919 PA5GU	    599 013    TK5EP	     599 21
QSO:  7000 CW 2010-30-01 0920 PA5GU	    599 014    F9OE	     599 29
QSO:  7000 CW 2010-30-01 0922 PA5GU	    599 015    F5IAE	     599 18
QSO:  7000 CW 2010-30-01 0924 PA5GU	    599 016    F5SDH	     599 35
QSO:  7000 CW 2010-30-01 0926 PA5GU	    599 017    F5NKX	     599 50
QSO:  7000 CW 2010-30-01 0927 PA5GU	    599 018    F8DZY	     599 47
QSO:  7000 CW 2010-30-01 0929 PA5GU	    599 019    F6KAV	     599 33
QSO:  7000 CW 2010-30-01 0930 PA5GU	    599 020    F6DYX	     599 49
QSO:  7000 CW 2010-30-01 0933 PA5GU	    599 021    F6KEH	     599 34
QSO:  7000 CW 2010-30-01 0934 PA5GU	    599 022    F8BPN	     599 19
QSO:  7000 CW 2010-30-01 0938 PA5GU	    599 023    F5KDK	     599 13
