START-OF-LOG: 2.0
CREATED-BY: Coupe du REFde F6ADE
CONTEST: REF-CW
CALLSIGN: F6AXX
NAME: LAURENT Norbert
REF-SECTION: 83
OPERATORS: 
CATEGORY: SINGLE-OP ALL LOW
CLAIMED-SCORE: 65250
SOAPBOX: 
RIG: Emetteur=IC 706 Récepteur=IC 706 Antenne= 2 él Quad + dipôles Puissance=100W
OFFTIME: 2010-01-30 1325 2010-01-31 0612
OFFTIME: --  -- 
OFFTIME: --  -- 
QSO: 3500  CW 2010-01-30 0608 F6AXX         599 83     F8UFT         599 01     0
QSO: 3500  CW 2010-01-30 0614 F6AXX         599 83     F6KAV         599 33     0
QSO: 3500  CW 2010-01-30 0618 F6AXX         599 83     F8EEQ         599 59     0
QSO: 3500  CW 2010-01-30 0620 F6AXX         599 83     TM0ANT        599 69     0
QSO: 3500  CW 2010-01-30 0621 F6AXX         599 83     F5VHY         599 47     0
QSO: 3500  CW 2010-01-30 0622 F6AXX         599 83     7X2ARA        599 0005   0
QSO: 3500  CW 2010-01-30 0623 F6AXX         599 83     TM7C          599 59     0
QSO: 3500  CW 2010-01-30 0628 F6AXX         599 83     F5MUX         599 29     0
QSO: 14000 CW 2010-01-30 0854 F6AXX         599 83     RV9CP         599 0008   0
QSO: 14000 CW 2010-01-30 0857 F6AXX         599 83     UZ5U          599 0002   0
QSO: 14000 CW 2010-01-30 0858 F6AXX         599 83     EU1CL         599 0015   0
QSO: 14000 CW 2010-01-30 0859 F6AXX         599 83     UT5IZ         599 0008   0
QSO: 14000 CW 2010-01-30 0902 F6AXX         599 83     RA9JM         599 0009   0
QSO: 14000 CW 2010-01-30 0903 F6AXX         599 83     RU9AC         599 0022   0
QSO: 14000 CW 2010-01-30 0904 F6AXX         599 83     LZ2CE         599 0008   0
QSO: 14000 CW 2010-01-30 0906 F6AXX         599 83     RK6HG         599 0017   0
QSO: 14000 CW 2010-01-30 0906 F6AXX         599 83     UA4ALI        599 0016   0
QSO: 14000 CW 2010-01-30 0908 F6AXX         599 83     UA4CNZ        599 0009   0
QSO: 14000 CW 2010-01-30 0910 F6AXX         599 83     UA9FGJ        599 0025   0
QSO: 14000 CW 2010-01-30 0912 F6AXX         599 83     RD3WA         599 0007   0
QSO: 14000 CW 2010-01-30 0935 F6AXX         599 83     RN3QP         599 0019   0
QSO: 14000 CW 2010-01-30 0938 F6AXX         599 83     YL2TB         599 0061   0
QSO: 14000 CW 2010-01-30 0940 F6AXX         599 83     RW3XM         599 0023   0
QSO: 14000 CW 2010-01-30 1156 F6AXX         599 83     UR7GO         599 0023   0
QSO: 14000 CW 2010-01-30 1158 F6AXX         599 83     EA8AVK        599 0014   0
QSO: 14000 CW 2010-01-30 1259 F6AXX         599 83     RN2FQ         599 0016   0
QSO: 14000 CW 2010-01-30 1300 F6AXX         599 83     H2E           599 0034   0
QSO: 14000 CW 2010-01-30 1300 F6AXX         599 83     UA4QK         599 0042   0
QSO: 14000 CW 2010-01-30 1302 F6AXX         599 83     SP3SL         599 0009   0
QSO: 14000 CW 2010-01-30 1302 F6AXX         599 83     RA3MD         599 0050   0
QSO: 14000 CW 2010-01-30 1304 F6AXX         599 83     UN9GD         599 0070   0
QSO: 14000 CW 2010-01-30 1306 F6AXX         599 83     DL6KVA        599 0101   0
QSO: 14000 CW 2010-01-30 1307 F6AXX         599 83     SF5X          599 0028   0
QSO: 14000 CW 2010-01-30 1307 F6AXX         599 83     RA3BQ         599 0022   0
QSO: 14000 CW 2010-01-30 1308 F6AXX         599 83     OH9NB         599 0069   0
QSO: 14000 CW 2010-01-30 1308 F6AXX         599 83     LA2HFA        599 0044   0
QSO: 14000 CW 2010-01-30 1309 F6AXX         599 83     HA0ML         599 0016   0
QSO: 14000 CW 2010-01-30 1310 F6AXX         599 83     LA2AB         599 0103   0
QSO: 14000 CW 2010-01-30 1310 F6AXX         599 83     UR7MZ         599 0039   0
QSO: 14000 CW 2010-01-30 1311 F6AXX         599 83     OH1TS         599 0043   0
QSO: 14000 CW 2010-01-30 1311 F6AXX         599 83     SM7CIL        599 0042   0
QSO: 14000 CW 2010-01-30 1312 F6AXX         599 83     SP5SA         599 0046   0
QSO: 14000 CW 2010-01-30 1313 F6AXX         599 83     HA7PF         599 0044   0
QSO: 14000 CW 2010-01-30 1314 F6AXX         599 83     UA9BX         599 0037   0
QSO: 14000 CW 2010-01-30 1320 F6AXX         599 83     RZ9SWA        599 0102   0
QSO: 14000 CW 2010-01-30 1325 F6AXX         599 83     RU4WD         599 0069   0
QSO: 3500  CW 2010-01-31 0612 F6AXX         599 83     F5KIN         599 63     0
QSO: 3500  CW 2010-01-31 0614 F6AXX         599 83     F6FDR         599 84     0
QSO: 3500  CW 2010-01-31 0615 F6AXX         599 83     F5XX          599 81     0
QSO: 3500  CW 2010-01-31 0617 F6AXX         599 83     F6HKS         599 81     0
QSO: 3500  CW 2010-01-31 0618 F6AXX         599 83     F6DEO         599 95     0
QSO: 3500  CW 2010-01-31 0619 F6AXX         599 83     F6EBA         599 48     0
QSO: 3500  CW 2010-01-31 0621 F6AXX         599 83     F5FAB/P       599 02     0
QSO: 3500  CW 2010-01-31 0623 F6AXX         599 83     F6GPT         599 33     0
QSO: 3500  CW 2010-01-31 0624 F6AXX         599 83     F6EZF         599 71     0
QSO: 3500  CW 2010-01-31 0625 F6AXX         599 83     F5KEQ         599 44     0
QSO: 3500  CW 2010-01-31 0627 F6AXX         599 83     F6KEH         599 34     0
QSO: 3500  CW 2010-01-31 0630 F6AXX         599 83     DL5YL         599 0149   0
QSO: 3500  CW 2010-01-31 0630 F6AXX         599 83     HA5LZ         599 0243   0
QSO: 3500  CW 2010-01-31 0631 F6AXX         599 83     F6DRQ         599 49     0
QSO: 3500  CW 2010-01-31 0634 F6AXX         599 83     M/SP3CW       599 0161   0
QSO: 3500  CW 2010-01-31 0636 F6AXX         599 83     OK2KJU        599 0039   0
QSO: 3500  CW 2010-01-31 0637 F6AXX         599 83     F8DRE         599 28     0
QSO: 3500  CW 2010-01-31 0637 F6AXX         599 83     F6KNB         599 33     0
QSO: 3500  CW 2010-01-31 0638 F6AXX         599 83     F5LTH         599 13     0
QSO: 3500  CW 2010-01-31 0639 F6AXX         599 83     9A2HQ         599 0064   0
QSO: 3500  CW 2010-01-31 0641 F6AXX         599 83     DL6CD         599 0144   0
QSO: 3500  CW 2010-01-31 0642 F6AXX         599 83     F6KJX         599 41     0
QSO: 3500  CW 2010-01-31 0645 F6AXX         599 83     SM6X          599 0068   0
QSO: 3500  CW 2010-01-31 0646 F6AXX         599 83     OK2QX         599 0293   0
QSO: 3500  CW 2010-01-31 0647 F6AXX         599 83     F8KGH         599 83     0
QSO: 3500  CW 2010-01-31 0648 F6AXX         599 83     F5FDC         599 82     0
QSO: 3500  CW 2010-01-31 0649 F6AXX         599 83     YU1ED         599 0129   0
QSO: 3500  CW 2010-01-31 0650 F6AXX         599 83     TK5XN         599 2A     0
QSO: 3500  CW 2010-01-31 0652 F6AXX         599 83     TM57M         599 57     0
QSO: 3500  CW 2010-01-31 0653 F6AXX         599 83     F6REF         599 00     0
QSO: 3500  CW 2010-01-31 0654 F6AXX         599 83     F6FTB         599 21     0
QSO: 3500  CW 2010-01-31 0655 F6AXX         599 83     F5CQ          599 35     0
QSO: 3500  CW 2010-01-31 0657 F6AXX         599 83     F5KOJ         599 52     0
QSO: 3500  CW 2010-01-31 0658 F6AXX         599 83     F6KSV         599 29     0
QSO: 3500  CW 2010-01-31 0659 F6AXX         599 83     F8KKV/P       599 36     0
QSO: 3500  CW 2010-01-31 0700 F6AXX         599 83     F6EYB         599 40     0
QSO: 3500  CW 2010-01-31 0701 F6AXX         599 83     F5RRS         599 74     0
QSO: 14000 CW 2010-01-31 0901 F6AXX         599 83     F5KLP         599 49     0
QSO: 14000 CW 2010-01-31 0902 F6AXX         599 83     UA3XAG        599 0041   0
QSO: 14000 CW 2010-01-31 0902 F6AXX         599 83     UR5LJD        599 0097   0
QSO: 14000 CW 2010-01-31 0903 F6AXX         599 83     EV6Z          599 0139   0
QSO: 14000 CW 2010-01-31 0905 F6AXX         599 83     SM0Q          599 0120   0
QSO: 14000 CW 2010-01-31 0906 F6AXX         599 83     SZ6P          599 0336   0
QSO: 21000 CW 2010-01-31 1332 F6AXX         599 83     F5OWL         599 83     0
QSO: 14000 CW 2010-01-31 1337 F6AXX         599 83     UA3DAM        599 0109   0
QSO: 14000 CW 2010-01-31 1338 F6AXX         599 83     SN9K          599 0041   0
QSO: 14000 CW 2010-01-31 1339 F6AXX         599 83     SM6Z          599 0157   0
QSO: 14000 CW 2010-01-31 1340 F6AXX         599 83     YL3DX         599 0114   0
QSO: 14000 CW 2010-01-31 1343 F6AXX         599 83     UY0CA         599 0134   0
QSO: 14000 CW 2010-01-31 1344 F6AXX         599 83     OH2VZ         599 0166   0
QSO: 14000 CW 2010-01-31 1344 F6AXX         599 83     US5VX         599 0088   0
QSO: 14000 CW 2010-01-31 1345 F6AXX         599 83     US5UZ         599 0056   0
QSO: 14000 CW 2010-01-31 1346 F6AXX         599 83     OK1NR         599 0054   0
QSO: 14000 CW 2010-01-31 1347 F6AXX         599 83     W9OA          599 0120   0
QSO: 14000 CW 2010-01-31 1347 F6AXX         599 83     UX5VK         599 0097   0
QSO: 14000 CW 2010-01-31 1348 F6AXX         599 83     SM6AHU        599 0049   0
QSO: 14000 CW 2010-01-31 1349 F6AXX         599 83     RW3VA         599 0098   0
