START-OF-LOG: 3.0
CREATED-BY: TR4W v.4.187 [RUS]
CALLSIGN: RW3XM
LOCATION: DX
CATEGORY-BAND: 20M
CATEGORY-MODE: CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-POWER: HIGH
CONTEST: REF-CW
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 18387
OPERATORS: OLEG LASHCHUK
NAME: OLEG LASHCHUK
SOAPBOX: tnx for contest
SOAPBOX: RIG(s): FT890AT PA 500W; ANTENNA(s): 4 el vertical array
QSO: 14000 CW 2010-01-30 0822 RW3XM         599 1      F6FDR         599 84           
QSO: 14000 CW 2010-01-30 0824 RW3XM         599 2      F8AEE         599 10           
QSO: 14000 CW 2010-01-30 0826 RW3XM         599 3      F6REF         599 00           
QSO: 14000 CW 2010-01-30 0829 RW3XM         599 4      F2GL          599 89           
QSO: 14000 CW 2010-01-30 0832 RW3XM         599 5      F9CI          599 22           
QSO: 14000 CW 2010-01-30 0838 RW3XM         599 6      F5UH          599 62           
QSO: 14000 CW 2010-01-30 0839 RW3XM         599 7      F5UKL/QRP     599 64           
QSO: 14000 CW 2010-01-30 0845 RW3XM         599 8      F5LMG         599 27           
QSO: 14000 CW 2010-01-30 0858 RW3XM         599 9      F5RRS         599 74           
QSO: 14000 CW 2010-01-30 0900 RW3XM         599 10     F5VBU         599 66           
QSO: 14000 CW 2010-01-30 0901 RW3XM         599 11     F5OGM         599 95           
QSO: 14000 CW 2010-01-30 0905 RW3XM         599 12     F2QH          599 95           
QSO: 14000 CW 2010-01-30 0909 RW3XM         599 13     F8DRE         599 28           
QSO: 14000 CW 2010-01-30 0913 RW3XM         599 14     F5MBF/P       599 01           
QSO: 14000 CW 2010-01-30 0914 RW3XM         599 15     F6FLB         599 62           
QSO: 14000 CW 2010-01-30 0918 RW3XM         599 16     F8BXS         599 01           
QSO: 14000 CW 2010-01-30 0919 RW3XM         599 17     F9OQ          599 13           
QSO: 14000 CW 2010-01-30 0921 RW3XM         599 18     F1JRD         599 31           
QSO: 14000 CW 2010-01-30 0926 RW3XM         599 19     F6HRP         599 22           
QSO: 14000 CW 2010-01-30 0928 RW3XM         599 20     F5OZJ         599 32           
QSO: 14000 CW 2010-01-30 0933 RW3XM         599 21     F8FSK         599 50           
QSO: 14000 CW 2010-01-30 0938 RW3XM         599 22     F6EWB         599 64           
QSO: 14000 CW 2010-01-30 0940 RW3XM         599 23     F6AXX         599 83           
QSO: 14000 CW 2010-01-30 0946 RW3XM         599 24     F5MPN         599 08           
QSO: 14000 CW 2010-01-30 0948 RW3XM         599 25     F6FGH         599 49           
QSO: 14000 CW 2010-01-30 0949 RW3XM         599 26     F3CW          599 54           
QSO: 14000 CW 2010-01-30 0951 RW3XM         599 27     F8KGS         599 59           
QSO: 14000 CW 2010-01-30 0951 RW3XM         599 28     F5VHY         599 47           
QSO: 14000 CW 2010-01-30 0952 RW3XM         599 29     F5IN          599 45           
QSO: 14000 CW 2010-01-30 0954 RW3XM         599 30     F6APE         599 49           
QSO: 14000 CW 2010-01-30 0955 RW3XM         599 31     F5RKL         599 54           
