START-OF-LOG: 2.0
REF-SECTION: DX
CALLSIGN: W1END
CLUB: Yankee Clipper Contest Club
CONTEST: REF-CW
CATEGORY: SINGLE-OP ALL LOW
CLAIMED-SCORE: 11330
OPERATORS: W1END
NAME: Eldon Burkinshaw
CREATED-BY: N1MM Logger V9.11.0
SOAPBOX:  Excellent conditions.  Had a good time.  Thanks to all.  
QSO: 14000 CW 2010-01-30 1319 W1END         599 0001   F6ICX         599 77      
QSO: 14000 CW 2010-01-30 1321 W1END         599 0002   F5OAM         599 47      
QSO: 14000 CW 2010-01-30 1323 W1END         599 0003   F6HKA         599 87      
QSO: 14000 CW 2010-01-30 1324 W1END         599 0004   F6CEL         599 02      
QSO: 14000 CW 2010-01-30 1326 W1END         599 0005   FM5LD         599 FM      
QSO: 14000 CW 2010-01-30 1328 W1END         599 0006   F9CI          599 22      
QSO: 14000 CW 2010-01-30 1329 W1END         599 0007   F5RRS         599 74      
QSO: 14000 CW 2010-01-30 1330 W1END         599 0008   F6KAV         599 33      
QSO: 14000 CW 2010-01-30 1335 W1END         599 0009   F5CQ          599 35      
QSO: 14000 CW 2010-01-30 1340 W1END         599 0010   F6KRK         599 78      
QSO: 14000 CW 2010-01-30 1435 W1END         599 0011   F5MUX         599 29      
QSO: 14000 CW 2010-01-30 1437 W1END         599 0012   F6EPQ         599 70      
QSO: 14000 CW 2010-01-30 1439 W1END         599 0013   F5OCL         599 68      
QSO: 14000 CW 2010-01-30 1441 W1END         599 0014   F5OHM         599 36      
QSO: 14000 CW 2010-01-30 1448 W1END         599 0015   F5VHY         599 47      
QSO: 14000 CW 2010-01-30 1449 W1END         599 0016   TM0ANT        599 69      
QSO: 14000 CW 2010-01-30 1458 W1END         599 0017   F5KJX         599 41      
QSO: 14000 CW 2010-01-30 1500 W1END         599 0018   F5XX          599 81      
QSO: 21000 CW 2010-01-30 1505 W1END         599 0019   F5VHY         599 47      
QSO: 21000 CW 2010-01-30 1506 W1END         599 0020   F5UTN         599 27      
QSO: 21000 CW 2010-01-30 1508 W1END         599 0021   F8BPN         599 19      
QSO: 21000 CW 2010-01-30 1509 W1END         599 0022   FM5LD         599 FM      
QSO: 21000 CW 2010-01-30 1513 W1END         599 0023   F5NKX         599 50      
QSO: 21000 CW 2010-01-30 1517 W1END         599 0024   F6KLO         599 19      
QSO: 21000 CW 2010-01-30 1519 W1END         599 0025   F6KNB         599 33      
QSO: 21000 CW 2010-01-30 1520 W1END         599 0026   F5OHM         599 36      
QSO: 21000 CW 2010-01-30 1521 W1END         599 0027   F6BEE/P       599 61      
QSO: 21000 CW 2010-01-30 1545 W1END         599 0028   F2DX          599 24      
QSO: 14000 CW 2010-01-30 1550 W1END         599 0029   F2QH          599 95      
QSO: 14000 CW 2010-01-30 1552 W1END         599 0030   F5RKL         599 54      
QSO: 14000 CW 2010-01-30 1554 W1END         599 0031   F5KLP         599 49      
QSO: 14000 CW 2010-01-30 1643 W1END         599 0032   F8DRE         599 28      
QSO: 14000 CW 2010-01-30 1647 W1END         599 0033   F5KEQ         599 44      
QSO: 14000 CW 2010-01-30 1649 W1END         599 0034   F8BPN         599 19      
QSO: 14000 CW 2010-01-30 1650 W1END         599 0035   F5UTN         599 27      
QSO: 14000 CW 2010-01-30 1652 W1END         599 0036   F4FDA         599 29      
QSO: 14000 CW 2010-01-30 1656 W1END         599 0037   F2DX          599 24      
QSO: 14000 CW 2010-01-30 1702 W1END         599 0038   F8KCF         599 74      
QSO: 14000 CW 2010-01-30 1709 W1END         599 0039   F5NKX         599 50      
QSO:  7000 CW 2010-01-30 2219 W1END         599 0040   F6REF         599 00      
QSO:  7000 CW 2010-01-30 2222 W1END         599 0041   F6BNH/P       599 73      
QSO:  7000 CW 2010-01-30 2228 W1END         599 0042   F5MUX         599 29      
QSO:  7000 CW 2010-01-30 2235 W1END         599 0043   F6IGS         599 33      
QSO:  7000 CW 2010-01-31 0004 W1END         599 0044   F8DZY         599 47      
QSO:  7000 CW 2010-01-31 0006 W1END         599 0045   F6KNB         599 33      
QSO:  7000 CW 2010-01-31 0055 W1END         599 0046   F5KIN         599 63      
QSO: 14000 CW 2010-01-31 1412 W1END         599 0047   F6HKS         599 81      
QSO: 14000 CW 2010-01-31 1415 W1END         599 0048   F5POJ         599 02      
QSO: 14000 CW 2010-01-31 1418 W1END         599 0049   F6CLN         599 31      
QSO: 14000 CW 2010-01-31 1419 W1END         599 0050   F6KJX         599 41      
QSO: 14000 CW 2010-01-31 1420 W1END         599 0051   F5KIN         599 63      
QSO: 14000 CW 2010-01-31 1426 W1END         599 0052   F5UFX         599 73      
QSO: 14000 CW 2010-01-31 1432 W1END         599 0053   F6KNB         599 33      
QSO: 21000 CW 2010-01-31 1459 W1END         599 0054   F6EYB         599 40      
QSO: 21000 CW 2010-01-31 1502 W1END         599 0055   F6IPQ         599 47      
QSO: 21000 CW 2010-01-31 1504 W1END         599 0056   F8DRE         599 28      
QSO: 21000 CW 2010-01-31 1510 W1END         599 0057   F6BYJ         599 16      
QSO: 14000 CW 2010-01-31 1514 W1END         599 0058   F8EEQ         599 59      
QSO: 14000 CW 2010-01-31 1516 W1END         599 0059   F6IPA         599 47      
QSO: 14000 CW 2010-01-31 1519 W1END         599 0060   F5VIH         599 01      
QSO: 14000 CW 2010-01-31 1521 W1END         599 0061   F5KKD         599 93      
QSO: 14000 CW 2010-01-31 1521 W1END         599 0062   F8EMH         599 54      
