START-OF-LOG:  3.0
CREATED-BY:    SD by EI5DI
CLUB:          MARITIME CONTEST CLUB
CONTEST:       CQ-WW-SSB
CALLSIGN:      VE1JS
CATEGORY-OPERATOR:  SINGLE-OP
CATEGORY-ASSISTED:  ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER:  HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER:  ONE
LOCATION:      MAR
CLAIMED-SCORE: 519284
NAME:          John Scott
OPERATORS:     VE1JS
SOAPBOX:       Fantastic conditions!! It has to be good when I get
SOAPBOX:       DXCC on the week-end!!
SOAPBOX:       It is great to be using EI5DI's SD again, Helping
SOAPBOX:       to stomp out bloat ware.
SOAPBOX:       Way to go Paul!
QSO: 14146 PH 2013-10-26 0006 VE1JS         59  05     VE6JY         59  04
QSO: 14148 PH 2013-10-26 0007 VE1JS         59  05     HC1JQ         59  10
QSO: 14160 PH 2013-10-26 0016 VE1JS         59  05     HK1NA         59  09
QSO: 14166 PH 2013-10-26 0017 VE1JS         59  05     SK3W          59  14
QSO: 14172 PH 2013-10-26 0018 VE1JS         59  05     RM3F          59  16
QSO: 14174 PH 2013-10-26 0019 VE1JS         59  05     NQ4I          59  05
QSO: 14186 PH 2013-10-26 0022 VE1JS         59  05     PJ4X          59  09
QSO: 14189 PH 2013-10-26 0024 VE1JS         59  05     LU1FAM        59  13
QSO: 14197 PH 2013-10-26 0027 VE1JS         59  05     LR2M          59  13
QSO: 14227 PH 2013-10-26 0031 VE1JS         59  05     9Y4LDK        59  09
QSO: 14237 PH 2013-10-26 0032 VE1JS         59  05     N2RM          59  05
QSO: 14242 PH 2013-10-26 0033 VE1JS         59  05     V26B          59  08
QSO: 14247 PH 2013-10-26 0034 VE1JS         59  05     OH8L          59  15
QSO: 14251 PH 2013-10-26 0034 VE1JS         59  05     W9RE          59  04
QSO: 14260 PH 2013-10-26 0036 VE1JS         59  05     KP2M          59  08
QSO: 14257 PH 2013-10-26 0042 VE1JS         59  05     TI8M          59  07
QSO: 14272 PH 2013-10-26 0043 VE1JS         59  05     LU1UM         59  13
QSO: 14274 PH 2013-10-26 0044 VE1JS         59  05     T48K          59  08
QSO: 14278 PH 2013-10-26 0045 VE1JS         59  05     PR5C          59  11
QSO: 14288 PH 2013-10-26 0046 VE1JS         59  05     PQ5B          59  11
QSO: 14306 PH 2013-10-26 0048 VE1JS         59  05     8P5A          59  08
QSO: 14313 PH 2013-10-26 0049 VE1JS         59  05     PY1VOY        59  11
QSO: 14320 PH 2013-10-26 0049 VE1JS         59  05     LU2BPM        59  13
QSO: 7058  PH 2013-10-26 0051 VE1JS         59  05     9A3AG         59  15
QSO: 7060  PH 2013-10-26 0052 VE1JS         59  05     HG6N          59  15
QSO: 7068  PH 2013-10-26 0053 VE1JS         59  05     OM8A          59  15
QSO: 7076  PH 2013-10-26 0057 VE1JS         59  05     A71BX         59  21
QSO: 7083  PH 2013-10-26 0059 VE1JS         59  05     IR8C          59  15
QSO: 7096  PH 2013-10-26 0101 VE1JS         59  05     RU1A          59  16
QSO: 7098  PH 2013-10-26 0102 VE1JS         59  05     HG7T          59  15
QSO: 7105  PH 2013-10-26 0102 VE1JS         59  05     PI4COM        59  14
QSO: 7110  PH 2013-10-26 0103 VE1JS         59  05     IO1T          59  15
QSO: 7123  PH 2013-10-26 0104 VE1JS         59  05     OM7M          59  15
QSO: 7126  PH 2013-10-26 0105 VE1JS         59  05     DP6T          59  14
QSO: 7129  PH 2013-10-26 0105 VE1JS         59  05     NQ4I          59  05
QSO: 7149  PH 2013-10-26 0107 VE1JS         59  05     OK5W          59  15
QSO: 7056  PH 2013-10-26 0108 VE1JS         59  05     HA7A          59  15
QSO: 28387 PH 2013-10-26 1317 VE1JS         59  05     GI4SNA        59  14
QSO: 28391 PH 2013-10-26 1318 VE1JS         59  05     DK3T          59  14
QSO: 28394 PH 2013-10-26 1319 VE1JS         59  05     R3BA          59  16
QSO: 28400 PH 2013-10-26 1320 VE1JS         59  05     OH0X          59  15
QSO: 28406 PH 2013-10-26 1321 VE1JS         59  05     4O3A          59  15
QSO: 28414 PH 2013-10-26 1323 VE1JS         59  05     SQ2RCM        59  15
QSO: 28420 PH 2013-10-26 1327 VE1JS         59  05     7Z1SJ         59  21
QSO: 28425 PH 2013-10-26 1328 VE1JS         59  05     AA4NC         59  05
QSO: 28435 PH 2013-10-26 1328 VE1JS         59  05     LN8W          59  14
QSO: 28452 PH 2013-10-26 1332 VE1JS         59  05     DL2AA         59  14
QSO: 28455 PH 2013-10-26 1332 VE1JS         59  05     RW4W          59  16
QSO: 28463 PH 2013-10-26 1333 VE1JS         59  05     P33W          59  20
QSO: 28465 PH 2013-10-26 1333 VE1JS         59  05     SV9FBG        59  20
QSO: 28470 PH 2013-10-26 1334 VE1JS         59  05     UP2L          59  17
QSO: 28472 PH 2013-10-26 1334 VE1JS         59  05     9A8M          59  15
QSO: 28476 PH 2013-10-26 1335 VE1JS         59  05     DR5N          59  14
QSO: 28479 PH 2013-10-26 1335 VE1JS         59  05     UR6QA         59  16
QSO: 28488 PH 2013-10-26 1336 VE1JS         59  05     WB8YYY        59  05
QSO: 28488 PH 2013-10-26 1336 VE1JS         59  05     EA4AK         59  14
QSO: 28488 PH 2013-10-26 1337 VE1JS         59  05     R7MM          59  16
QSO: 28488 PH 2013-10-26 1338 VE1JS         59  05     SM6JCC        59  14
QSO: 28488 PH 2013-10-26 1338 VE1JS         59  05     UX0FF         59  16
QSO: 28488 PH 2013-10-26 1338 VE1JS         59  05     SV1PMR        59  20
QSO: 28494 PH 2013-10-26 1340 VE1JS         59  05     SJ2W          59  14
QSO: 28509 PH 2013-10-26 1344 VE1JS         59  05     A60A          59  21
QSO: 28516 PH 2013-10-26 1345 VE1JS         59  05     LZ2HM         59  20
QSO: 28521 PH 2013-10-26 1346 VE1JS         59  05     OH8L          59  15
QSO: 28529 PH 2013-10-26 1347 VE1JS         59  05     R7LV          59  16
QSO: 28536 PH 2013-10-26 1349 VE1JS         59  05     SN2B          59  15
QSO: 28539 PH 2013-10-26 1350 VE1JS         59  05     UT7U          59  16
QSO: 28545 PH 2013-10-26 1350 VE1JS         59  05     HG7T          59  15
QSO: 28546 PH 2013-10-26 1351 VE1JS         59  05     RM3Q          59  16
QSO: 28554 PH 2013-10-26 1353 VE1JS         59  05     TA1CM         59  20
QSO: 28554 PH 2013-10-26 1355 VE1JS         59  05     G4PEF         59  14
QSO: 28554 PH 2013-10-26 1356 VE1JS         59  05     SM5AQD        59  14
QSO: 28554 PH 2013-10-26 1356 VE1JS         59  05     OZ1ACB        59  14
QSO: 28554 PH 2013-10-26 1356 VE1JS         59  05     CT1FHL        59  14
QSO: 28554 PH 2013-10-26 1357 VE1JS         59  05     DK7MCX        59  14
QSO: 28565 PH 2013-10-26 1358 VE1JS         59  05     OM8A          59  15
QSO: 28568 PH 2013-10-26 1400 VE1JS         59  05     M4A           59  14
QSO: 28577 PH 2013-10-26 1401 VE1JS         59  05     S57AL         59  15
QSO: 28588 PH 2013-10-26 1402 VE1JS         59  05     IO5O          59  15
QSO: 28599 PH 2013-10-26 1403 VE1JS         59  05     F4DPW         59  14
QSO: 28604 PH 2013-10-26 1404 VE1JS         59  05     OQ4U          59  14
QSO: 28616 PH 2013-10-26 1405 VE1JS         59  05     M7X           59  14
QSO: 28623 PH 2013-10-26 1406 VE1JS         59  05     DK5QN         59  14
