START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.10.0
CONTEST: CQ-WW-SSB
LOCATION: DX
CALLSIGN: EF8O
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: CLASSIC
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 663462
OPERATORS: DJ1OJ
CLUB: Bavarian Contest Club
NAME: Heijo Schulte
SOAPBOX: with IC-756PROIII 100W GP/dipole without Cluster but XYL in same room
QSO:  7195 PH 2013-10-26 0637 EF8O          59  33     NP2P          59  08     0
QSO:  7190 PH 2013-10-26 0639 EF8O          59  33     EI7M          59  14     0
QSO:  7189 PH 2013-10-26 0640 EF8O          59  33     TM1T          59  14     0
QSO:  7185 PH 2013-10-26 0644 EF8O          59  33     W4AAA         59  05     0
QSO:  7182 PH 2013-10-26 0644 EF8O          59  33     D4C           59  35     0
QSO:  7166 PH 2013-10-26 0645 EF8O          59  33     CN2AA         59  33     0
QSO:  7152 PH 2013-10-26 0647 EF8O          59  33     K3LR          59  05     0
QSO:  7146 PH 2013-10-26 0648 EF8O          59  33     K8AZ          59  04     0
QSO:  7125 PH 2013-10-26 0649 EF8O          59  33     VE2IM         59  02     0
QSO:  7122 PH 2013-10-26 0652 EF8O          59  33     LA7H          59  14     0
QSO:  7060 PH 2013-10-26 0701 EF8O          59  33     DJ4PT         59  14     0
QSO:  7058 PH 2013-10-26 0703 EF8O          59  33     V26B          59  08     0
QSO:  7042 PH 2013-10-26 0705 EF8O          59  33     8P5A          59  08     0
QSO:  7063 PH 2013-10-26 0706 EF8O          59  33     CT1GVN        59  14     0
QSO:  7067 PH 2013-10-26 0707 EF8O          59  33     VE4VT         59  04     0
QSO:  7095 PH 2013-10-26 0712 EF8O          59  33     P49Y          59  09     0
QSO:  7111 PH 2013-10-26 0712 EF8O          59  33     VE6WZ         59  04     0
QSO:  7145 PH 2013-10-26 0716 EF8O          59  33     W1NA          59  05     0
QSO:  7148 PH 2013-10-26 0718 EF8O          59  33     ED1R          59  14     0
QSO:  7162 PH 2013-10-26 0718 EF8O          59  33     N5DX          59  04     0
QSO:  7165 PH 2013-10-26 0719 EF8O          59  33     EF5Y          59  14     0
QSO:  7172 PH 2013-10-26 0720 EF8O          59  33     K3CR          59  05     0
QSO:  7176 PH 2013-10-26 0722 EF8O          59  33     W0GJ          59  04     0
QSO:  7178 PH 2013-10-26 0722 EF8O          59  33     KC1XX         59  05     0
QSO:  7180 PH 2013-10-26 0723 EF8O          59  33     W4RM          59  05     0
QSO:  7154 PH 2013-10-26 0725 EF8O          59  33     WE3C          59  05     0
QSO:  7144 PH 2013-10-26 0726 EF8O          59  33     W5WMU         59  05     0
QSO:  7133 PH 2013-10-26 0727 EF8O          59  33     W3LPL         59  05     0
QSO:  7131 PH 2013-10-26 0728 EF8O          59  33     K1LZ          59  05     0
QSO:  7092 PH 2013-10-26 0730 EF8O          59  33     PJ6A          59  08     0
QSO:  7091 PH 2013-10-26 0730 EF8O          59  33     VE3EJ         59  04     0
QSO:  7072 PH 2013-10-26 0732 EF8O          59  33     GM7A          59  14     0
QSO:  7045 PH 2013-10-26 0733 EF8O          59  33     CJ3T          59  04     0
QSO: 21157 PH 2013-10-26 0736 EF8O          59  33     SQ7NSN        59  15     0
QSO: 21180 PH 2013-10-26 0737 EF8O          59  33     R7DX          59  16     0
QSO: 21217 PH 2013-10-26 0738 EF8O          59  33     IS0GRB        59  15     0
QSO: 21329 PH 2013-10-26 0745 EF8O          59  33     EA4KR         59  14     0
QSO: 21351 PH 2013-10-26 0745 EF8O          59  33     S50G          59  15     0
QSO: 21358 PH 2013-10-26 0746 EF8O          59  33     F4ENK         59  14     0
QSO: 21367 PH 2013-10-26 0746 EF8O          59  33     OH0V          59  15     0
QSO: 21434 PH 2013-10-26 0749 EF8O          59  33     RM4I          59  16     0
QSO: 21369 PH 2013-10-26 0750 EF8O          59  33     RM5A          59  16     0
QSO: 21356 PH 2013-10-26 0753 EF8O          59  33     OL4A          59  15     0
QSO: 21320 PH 2013-10-26 0754 EF8O          59  33     UZ2M          59  16     0
QSO: 21305 PH 2013-10-26 0757 EF8O          59  33     A71BX         59  21     0
QSO: 14115 PH 2013-10-26 0805 EF8O          59  33     UT7E          59  33     0
QSO: 14128 PH 2013-10-26 0806 EF8O          59  33     YP0C          59  20     0
QSO: 14131 PH 2013-10-26 0807 EF8O          59  33     DJ6TB         59  14     0
QSO: 14162 PH 2013-10-26 0809 EF8O          59  33     PR7AA         59  11     0
QSO: 14165 PH 2013-10-26 0809 EF8O          59  33     EA6SX         59  14     0
QSO: 14169 PH 2013-10-26 0810 EF8O          59  33     II4I          59  15     0
QSO: 14193 PH 2013-10-26 0812 EF8O          59  33     RM3F          59  16     0
QSO: 14211 PH 2013-10-26 0814 EF8O          59  33     S54ZZ         59  15     0
QSO: 14226 PH 2013-10-26 0815 EF8O          59  33     OL5W          59  15     0
QSO: 14246 PH 2013-10-26 0817 EF8O          59  33     DL0LA         59  14     0
QSO: 14252 PH 2013-10-26 0818 EF8O          59  33     OM0WR         59  15     0
QSO: 14265 PH 2013-10-26 0818 EF8O          59  33     ES9C          59  15     0
QSO: 14268 PH 2013-10-26 0819 EF8O          59  33     D4C           59  35     0
QSO: 28500 PH 2013-10-26 0821 EF8O          59  33     UA4M          59  16     0
QSO: 28502 PH 2013-10-26 0822 EF8O          59  33     RW0A          59  18     0
QSO: 28524 PH 2013-10-26 0824 EF8O          59  33     IW2HAJ        59  15     0
QSO: 28556 PH 2013-10-26 0827 EF8O          59  33     9A6TKS        59  15     0
QSO: 28664 PH 2013-10-26 0832 EF8O          59  33     IB1B          59  15     0
QSO: 28371 PH 2013-10-26 0839 EF8O          59  33     DJ5MW         59  14     0
QSO: 28350 PH 2013-10-26 0841 EF8O          59  33     GJ3YHU        59  14     0
QSO: 28350 PH 2013-10-26 0842 EF8O          59  33     UA9R          59  17     0
QSO: 28350 PH 2013-10-26 0843 EF8O          59  33     M0MYK         59  14     0
QSO: 28343 PH 2013-10-26 0847 EF8O          59  33     RN6MA         59  16     0
QSO: 28316 PH 2013-10-26 0851 EF8O          59  33     4O7CC         59  15     0
QSO: 28316 PH 2013-10-26 0853 EF8O          59  33     G3YNN         59  14     0
QSO: 28317 PH 2013-10-26 0854 EF8O          59  33     RV3RM         59  16     0
QSO: 28334 PH 2013-10-26 0855 EF8O          59  33     RC6U          59  16     0
QSO: 28339 PH 2013-10-26 0856 EF8O          59  33     SJ2W          59  14     0
QSO: 28384 PH 2013-10-26 0858 EF8O          59  33     HB9FR         59  14     0
