START-OF-LOG: 3.0
CREATED-BY: TR4W v.4.248
CALLSIGN: WN4AFP
CONTEST: CQ-WW-SSB
CLAIMED-SCORE: 6842
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-POWER: LOW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: CLASSIC
CLUB: South East Contest Club
LOCATION: SC
NAME: Dave Edmonds
SOAPBOX: Worked a few new DXCC countries. My first CQWW SSB!
QSO: 21000 PH 2013-10-26 1311 WN4AFP        59  5      NP2P          59  8
QSO: 21000 PH 2013-10-26 1946 WN4AFP        59  5      VA2WA         59  5
QSO: 21000 PH 2013-10-26 1947 WN4AFP        59  5      CN3A          59  33
QSO: 21000 PH 2013-10-26 1949 WN4AFP        59  5      T46A          59  8
QSO: 21000 PH 2013-10-26 1953 WN4AFP        59  5      GM0UDL        59  19
QSO: 21000 PH 2013-10-26 1954 WN4AFP        59  5      VE6WQ         59  4
QSO: 21000 PH 2013-10-26 1955 WN4AFP        59  5      ED5T          59  14
QSO: 21000 PH 2013-10-26 2006 WN4AFP        59  5      TM6M          59  14
QSO: 21000 PH 2013-10-26 2007 WN4AFP        59  5      VP9I          59  5
QSO: 21000 PH 2013-10-26 2008 WN4AFP        59  5      PT7KJ         59  11
QSO: 21000 PH 2013-10-26 2012 WN4AFP        59  5      EA4KR         59  14
QSO: 21000 PH 2013-10-26 2015 WN4AFP        59  5      PJ2T          59  9
QSO: 21000 PH 2013-10-26 2024 WN4AFP        59  5      TI5W          59  7
QSO: 21000 PH 2013-10-26 2045 WN4AFP        59  5      HI3K          59  8
QSO: 21000 PH 2013-10-26 2047 WN4AFP        59  5      PX2C          59  11
QSO: 21000 PH 2013-10-26 2049 WN4AFP        59  5      TF3CW         59  40
QSO: 21000 PH 2013-10-26 2052 WN4AFP        59  5      ZD8O          59  36
QSO: 21000 PH 2013-10-26 2057 WN4AFP        59  5      VP5T          59  8
QSO: 21000 PH 2013-10-26 2102 WN4AFP        59  5      FY5KE         59  9
QSO: 21000 PH 2013-10-26 2103 WN4AFP        59  5      VE3AAQ        59  5
QSO: 21000 PH 2013-10-26 2104 WN4AFP        59  5      D4C           59  35
QSO: 21000 PH 2013-10-26 2108 WN4AFP        59  5      CJ7RR         59  3
QSO: 21000 PH 2013-10-26 2111 WN4AFP        59  5      AL9A          59  1
QSO: 21000 PH 2013-10-26 2115 WN4AFP        59  5      CN2AA         59  33
QSO: 21000 PH 2013-10-26 2120 WN4AFP        59  5      VP5DX         59  8
QSO: 21000 PH 2013-10-26 2123 WN4AFP        59  5      WP2XX         59  8
QSO: 21000 PH 2013-10-26 2149 WN4AFP        59  5      VE9HF         59  5
QSO: 21000 PH 2013-10-26 2152 WN4AFP        59  5      8P6NW         59  8
QSO: 21000 PH 2013-10-26 2348 WN4AFP        59  5      8P5A          59  8
QSO: 21000 PH 2013-10-26 2351 WN4AFP        59  5      P40P          59  9
QSO: 21000 PH 2013-10-26 2357 WN4AFP        59  5      P49Y          59  5
QSO: 21000 PH 2013-10-27 0007 WN4AFP        59  5      VE7SO         59  3
QSO: 21000 PH 2013-10-27 0011 WN4AFP        59  5      NW2K          59  5
QSO: 14000 PH 2013-10-27 0127 WN4AFP        59  5      EI7M          59  14
QSO:  7000 PH 2013-10-27 0150 WN4AFP        59  5      PJ2T          59  9
QSO:  7000 PH 2013-10-27 0151 WN4AFP        59  5      HK1NA         59  9
QSO:  7000 PH 2013-10-27 0330 WN4AFP        59  5      IR4M          59  15
QSO:  7000 PH 2013-10-27 0335 WN4AFP        59  5      PJ2T          59  9
QSO:  7000 PH 2013-10-27 0342 WN4AFP        59  5      NQ4I          59  5
QSO: 21000 PH 2013-10-27 1549 WN4AFP        59  5      OH0V          59  15
QSO: 21000 PH 2013-10-27 1553 WN4AFP        59  5      CR2X          59  14
QSO: 21000 PH 2013-10-27 1606 WN4AFP        59  5      SJ2W          59  14
QSO: 21000 PH 2013-10-27 1607 WN4AFP        59  5      P43A          59  9
QSO: 21000 PH 2013-10-27 1613 WN4AFP        59  5      ES9C          59  15
QSO: 21000 PH 2013-10-27 2254 WN4AFP        59  5      6Y1X          59  8
QSO: 21000 PH 2013-10-27 2259 WN4AFP        59  5      WP4SK         59  8
QSO: 21000 PH 2013-10-27 2300 WN4AFP        59  5      HK1NA         59  9
QSO: 21000 PH 2013-10-27 2303 WN4AFP        59  5      VP5DX         59  8
QSO: 21000 PH 2013-10-27 2330 WN4AFP        59  5      LP1H          59  13
QSO: 21000 PH 2013-10-27 2336 WN4AFP        59  5      PT2CM         59  11
QSO: 21000 PH 2013-10-27 2346 WN4AFP        59  5      PJ4X          59  9
END-OF-LOG:
