START-OF-LOG: 3.0
CREATED-BY: N3FJP's CQ WW DX Contest Log 4.2
CONTEST: CQ-WW-SSB
CALLSIGN: W6KA
LOCATION: CA
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CATEGORY-POWER: HIGH
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: SSB
CLUB: Pasadena Radio Club
CLAIMED-SCORE: 17172
OPERATORS: AC6VV NU3D K6BNT WA0POD KF6RRR W6ELI W6CKG KA7FIU N1BN
OPERATORS: KJ5MSY N6LEW AF6QR N6LL W6TAG NS3C W0RJA K6HTN N6NCE KK6BDE
NAME: Paul Gordon
QSO: 21000 PH 2013-10-26 0004 W6KA          59  03     KH7Y          59  31
QSO: 21000 PH 2013-10-26 0011 W6KA          59  03     HK1NA         59  09
QSO: 21000 PH 2013-10-26 0016 W6KA          59  03     FY5KE         59  09
QSO: 21000 PH 2013-10-26 0035 W6KA          59  03     PT2CM         59  11
QSO: 21000 PH 2013-10-26 0041 W6KA          59  03     VA2YP         59  04
QSO: 21000 PH 2013-10-26 0047 W6KA          59  03     ZM4T          59  32
QSO: 21000 PH 2013-10-26 0053 W6KA          59  03     LO7H          59  13
QSO: 21000 PH 2013-10-26 0054 W6KA          59  03     LR3M          59  13
QSO: 21000 PH 2013-10-26 0056 W6KA          59  03     KH66MB        59  31
QSO: 21000 PH 2013-10-26 0059 W6KA          59  03     CV4C          59  13
QSO: 21000 PH 2013-10-26 0103 W6KA          59  03     JH1MDJ        59  25
QSO: 21000 PH 2013-10-26 0105 W6KA          59  03     NH7A          59  31
QSO: 21000 PH 2013-10-26 0110 W6KA          59  03     JE1YEM        59  25
QSO: 21000 PH 2013-10-26 0120 W6KA          59  03     BY4AA         59  24
QSO: 21000 PH 2013-10-26 0121 W6KA          59  03     KL7RA         59  01
QSO: 14000 PH 2013-10-26 0131 W6KA          59  03     JA1YPA        59  25
QSO: 14000 PH 2013-10-26 0137 W6KA          59  03     ED5T          59  14
QSO: 14000 PH 2013-10-26 0142 W6KA          59  03     PJ4X          59  09
QSO: 14000 PH 2013-10-26 0145 W6KA          59  03     PY2EX         59  11
QSO: 14000 PH 2013-10-26 0148 W6KA          59  03     LR3M          59  13
QSO: 14000 PH 2013-10-26 0153 W6KA          59  03     VE2IM         59  02
QSO: 28000 PH 2013-10-26 0209 W6KA          59  03     JK1OLT        59  25
QSO: 28000 PH 2013-10-26 0211 W6KA          59  03     JA2BNN        59  25
QSO: 28000 PH 2013-10-26 0213 W6KA          59  03     JA2PAC        59  25
QSO: 28000 PH 2013-10-26 0216 W6KA          59  03     JF1SQC        59  25
QSO: 28000 PH 2013-10-26 0219 W6KA          59  03     ZM4M          59  32
QSO: 28000 PH 2013-10-26 0222 W6KA          59  03     JA1DCK        59  25
QSO: 28000 PH 2013-10-26 0224 W6KA          59  03     JA7QVI        59  25
QSO: 28000 PH 2013-10-26 0225 W6KA          59  03     ZM4T          59  32
QSO: 28000 PH 2013-10-26 0228 W6KA          59  03     XE2CQ         59  06
QSO: 28000 PH 2013-10-26 0230 W6KA          59  03     W6YI          59  03
QSO: 28000 PH 2013-10-26 0232 W6KA          59  03     VK4UC         59  30
QSO: 28000 PH 2013-10-26 0233 W6KA          59  03     VK1CC         59  30
QSO: 28000 PH 2013-10-26 0240 W6KA          59  03     VE7JH         59  03
QSO:  7000 PH 2013-10-26 0251 W6KA          59  03     TM9R          59  14
QSO: 14000 PH 2013-10-26 0324 W6KA          59  03     NH7A          59  31
QSO: 14000 PH 2013-10-26 0326 W6KA          59  03     K6LL          59  03
QSO: 14000 PH 2013-10-26 0329 W6KA          59  03     CE3CT         59  12
QSO: 14000 PH 2013-10-26 0333 W6KA          59  03     LU1YY         59  13
QSO: 14000 PH 2013-10-26 0407 W6KA          59  03     KL7RA         59  01
QSO: 14000 PH 2013-10-26 0417 W6KA          59  03     JA3YBK        59  25
QSO: 14000 PH 2013-10-26 0419 W6KA          59  03     XR6T          59  12
QSO: 14000 PH 2013-10-26 0426 W6KA          59  03     E51CG         59  32
QSO: 14000 PH 2013-10-26 0435 W6KA          59  03     3G3I          59  12
QSO:  7000 PH 2013-10-26 0507 W6KA          59  03     KH7XX         59  31
QSO:  7000 PH 2013-10-26 0511 W6KA          59  03     EC2DX         59  14
QSO:  7000 PH 2013-10-26 0516 W6KA          59  03     TM1T          59  14
QSO:  7000 PH 2013-10-26 0518 W6KA          59  03     EI7M          59  14
QSO:  7000 PH 2013-10-26 0522 W6KA          59  03     LZ9W          59  20
QSO:  7000 PH 2013-10-26 0527 W6KA          59  03     VE3CX         59  04
QSO:  7000 PH 2013-10-26 0532 W6KA          59  03     VA7ST         59  03
QSO:  7000 PH 2013-10-26 0536 W6KA          59  03     PV8DX         59  11
QSO:  7000 PH 2013-10-26 0540 W6KA          59  03     W1XX          59  05
QSO:  7000 PH 2013-10-26 0549 W6KA          59  03     VE2IM         59  02
QSO:  7000 PH 2013-10-26 0601 W6KA          59  03     CJ3T          59  04
QSO:  7000 PH 2013-10-26 0608 W6KA          59  03     K5GDX         59  04
QSO:  7000 PH 2013-10-26 0613 W6KA          59  03     W1NA          59  05
QSO:  7000 PH 2013-10-26 0616 W6KA          59  03     TI8M          59  07
QSO:  7000 PH 2013-10-26 0618 W6KA          59  03     KP2M          59  08
QSO:  7000 PH 2013-10-26 0625 W6KA          59  03     WA3C          59  04
QSO:  7000 PH 2013-10-26 0631 W6KA          59  03     W4AAA         59  05
QSO:  7000 PH 2013-10-26 0644 W6KA          59  03     N4IJ          59  04
QSO:  7000 PH 2013-10-26 0701 W6KA          59  03     WE3C          59  05
QSO:  7000 PH 2013-10-26 0705 W6KA          59  03     KH7CW         59  31
QSO:  7000 PH 2013-10-26 0706 W6KA          59  03     VK4KW         59  30
QSO:  7000 PH 2013-10-26 0709 W6KA          59  03     VP5DX         59  08
QSO:  7000 PH 2013-10-26 0716 W6KA          59  03     PJ4X          59  09
QSO:  7000 PH 2013-10-26 0729 W6KA          59  03     EF5Y          59  14
QSO:  7000 PH 2013-10-26 0732 W6KA          59  03     D4C           59  35
QSO:  7000 PH 2013-10-26 0739 W6KA          59  03     KL5A          59  01
QSO:  7000 PH 2013-10-26 0741 W6KA          59  03     TO5A          59  08
QSO:  7000 PH 2013-10-26 0744 W6KA          59  03     N5DX          59  04
QSO:  7000 PH 2013-10-26 0744 W6KA          59  03     CR2X          59  14
QSO:  7000 PH 2013-10-26 0750 W6KA          59  03     PJ2T          59  09
QSO:  7000 PH 2013-10-26 0801 W6KA          59  03     KH7HI         59  31
QSO: 14000 PH 2013-10-26 0807 W6KA          59  03     KC1XX         59  05
QSO:  3500 PH 2013-10-26 0822 W6KA          59  03     VE7G          59  03
QSO:  7000 PH 2013-10-26 0833 W6KA          59  03     VE7BFC        59  03
QSO:  7000 PH 2013-10-26 0835 W6KA          59  03     KC1XX         59  05
QSO:  7000 PH 2013-10-26 0836 W6KA          59  03     W9RE          59  04
QSO:  7000 PH 2013-10-26 0844 W6KA          59  03     T46A          59  08
QSO:  7000 PH 2013-10-26 0846 W6KA          59  03     K9CT          59  04
QSO:  7000 PH 2013-10-26 0847 W6KA          59  03     N2IC          59  05
QSO:  7000 PH 2013-10-26 0848 W6KA          59  03     N7AT          59  03
QSO:  7000 PH 2013-10-26 0850 W6KA          59  03     NH7A          59  31
QSO:  7000 PH 2013-10-26 0857 W6KA          59  03     K4LCP         59  05
QSO:  7000 PH 2013-10-26 0859 W6KA          59  03     KD0WBL        59  09
QSO:  7000 PH 2013-10-26 0901 W6KA          59  03     K0BIU         59  04
QSO:  7000 PH 2013-10-26 0902 W6KA          59  03     N4FNB         59  05
QSO:  7000 PH 2013-10-26 0902 W6KA          59  03     N2KOJ         59  05
QSO:  7000 PH 2013-10-26 0907 W6KA          59  03     KK2DOG        59  05
QSO: 14000 PH 2013-10-26 0911 W6KA          59  03     W3LPL         59  05
QSO: 14000 PH 2013-10-26 0912 W6KA          59  03     K4XS          59  05
QSO: 14000 PH 2013-10-26 0914 W6KA          59  03     NN3W          59  05
QSO: 14000 PH 2013-10-26 0919 W6KA          59  03     RI1ANU        59  13
QSO: 14000 PH 2013-10-26 1505 W6KA          59  03     K3LR          59  05
QSO: 14000 PH 2013-10-26 1519 W6KA          59  03     OT5A          59  14
QSO: 14000 PH 2013-10-26 1547 W6KA          59  03     XE1B          59  06
QSO: 14000 PH 2013-10-26 1552 W6KA          59  03     RM4I          59  16
QSO: 14000 PH 2013-10-26 1558 W6KA          59  03     SO4M          59  15
QSO: 14000 PH 2013-10-26 1600 W6KA          59  03     RT4F          59  16
QSO: 14000 PH 2013-10-26 1603 W6KA          59  03     DR1A          59  14
QSO: 14000 PH 2013-10-26 1607 W6KA          59  03     UP2L          59  17
QSO: 14000 PH 2013-10-26 1611 W6KA          59  03     DP6T          59  14
QSO: 14000 PH 2013-10-26 1618 W6KA          59  03     RM3F          59  16
QSO: 14000 PH 2013-10-26 1621 W6KA          59  03     PI4COM        59  14
QSO: 14000 PH 2013-10-26 1629 W6KA          59  03     WE3C          59  05
QSO: 14000 PH 2013-10-26 1632 W6KA          59  03     VE6JY         59  04
QSO: 14000 PH 2013-10-26 1656 W6KA          59  03     KH6MB         59  31
QSO: 14000 PH 2013-10-26 1657 W6KA          59  03     KH7CW         59  31
QSO: 14000 PH 2013-10-26 1709 W6KA          59  03     9A5Y          59  15
QSO: 14000 PH 2013-10-26 1718 W6KA          59  03     VE5PV         59  04
QSO: 14000 PH 2013-10-26 1724 W6KA          59  03     UA5B          59  16
QSO: 14000 PH 2013-10-26 1729 W6KA          59  03     YU0T          59  15
QSO: 14000 PH 2013-10-26 1735 W6KA          59  03     S04M          59  33
QSO: 14000 PH 2013-10-26 1807 W6KA          59  03     9A6A          59  15
QSO: 14000 PH 2013-10-26 1813 W6KA          59  03     OE2M          59  15
QSO: 14000 PH 2013-10-26 1816 W6KA          59  03     HF9Q          59  15
QSO: 14000 PH 2013-10-26 1822 W6KA          59  03     YT3M          59  15
QSO: 14000 PH 2013-10-26 1829 W6KA          59  03     RU1A          59  16
QSO: 21000 PH 2013-10-26 1852 W6KA          59  03     YY2CAR        59  09
QSO: 21000 PH 2013-10-26 1901 W6KA          59  03     IO5O          59  15
QSO: 21000 PH 2013-10-26 1905 W6KA          59  03     9A9A          59  15
QSO: 21000 PH 2013-10-26 1907 W6KA          59  03     DK7AH         59  14
QSO: 21000 PH 2013-10-26 1909 W6KA          59  03     S5KR          59  15
QSO: 21000 PH 2013-10-26 1911 W6KA          59  03     ED1R          59  14
QSO: 21000 PH 2013-10-26 1912 W6KA          59  03     DR1A          59  14
QSO: 21000 PH 2013-10-26 1914 W6KA          59  03     G6PZ          59  14
QSO: 21000 PH 2013-10-26 1917 W6KA          59  03     D4C           59  35
QSO: 21000 PH 2013-10-26 1920 W6KA          59  03     CN3A          59  33
QSO: 21000 PH 2013-10-26 1923 W6KA          59  03     IR4M          59  15
QSO: 21000 PH 2013-10-26 1924 W6KA          59  03     OE2S          59  15
QSO: 21000 PH 2013-10-26 1931 W6KA          59  03     EA4KR         59  14
QSO: 21000 PH 2013-10-26 1934 W6KA          59  03     GM0UDL        59  14
QSO: 21000 PH 2013-10-26 1937 W6KA          59  03     DQ8N          59  14
QSO: 21000 PH 2013-10-26 1944 W6KA          59  03     CQ3L          59  33
QSO: 21000 PH 2013-10-26 1947 W6KA          59  03     T46A          59  08
QSO: 21000 PH 2013-10-26 1959 W6KA          59  03     VE3MGY        59  04
QSO: 21000 PH 2013-10-26 2000 W6KA          59  03     TI5W          59  07
QSO: 21000 PH 2013-10-26 2002 W6KA          59  03     C6ARW         59  08
QSO: 28000 PH 2013-10-26 2006 W6KA          59  03     WP4SK         59  08
QSO: 28000 PH 2013-10-26 2008 W6KA          59  03     ZZ2T          59  11
QSO: 28000 PH 2013-10-26 2011 W6KA          59  03     8P6NW         59  08
QSO: 28000 PH 2013-10-26 2015 W6KA          59  03     PY1MX         59  11
QSO: 28000 PH 2013-10-26 2017 W6KA          59  03     HK1NA         59  09
QSO: 28000 PH 2013-10-26 2020 W6KA          59  03     PX2B          59  11
QSO: 28000 PH 2013-10-26 2022 W6KA          59  03     VE6BMX        59  04
QSO: 28000 PH 2013-10-26 2023 W6KA          59  03     PY1NX         59  11
QSO: 28000 PH 2013-10-26 2025 W6KA          59  03     NP2N          59  08
QSO: 28000 PH 2013-10-26 2026 W6KA          59  03     VE4VT         59  04
QSO: 28000 PH 2013-10-26 2030 W6KA          59  03     KP2M          59  08
QSO: 28000 PH 2013-10-26 2034 W6KA          59  03     LT2H          59  13
QSO: 28000 PH 2013-10-26 2051 W6KA          59  03     ZM1G          59  32
QSO: 28000 PH 2013-10-26 2056 W6KA          59  03     FK8HA         59  32
QSO: 28000 PH 2013-10-26 2058 W6KA          59  03     PJ2T          59  09
QSO: 28000 PH 2013-10-26 2132 W6KA          59  03     PP5JAK        59  11
QSO: 28000 PH 2013-10-26 2133 W6KA          59  03     XE2B          59  06
QSO: 28000 PH 2013-10-26 2137 W6KA          59  03     PX5E          59  11
QSO: 28000 PH 2013-10-26 2145 W6KA          59  03     8R1AK         59  09
QSO: 28000 PH 2013-10-26 2152 W6KA          59  03     XE1BY         59  06
