START-OF-LOG: 3.0
LOCATION: MDC
CALLSIGN: N3IQ
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 2008473
CLUB: Potomac Valley Radio Club
CONTEST: CQ-WW-SSB
CREATED-BY: WriteLog V11.07D
NAME: Brian Skutt
OPERATORS: N3IQ
SOAPBOX: Had fun in part time effort.   Conditions awesome overall.
QSO:  3704 PH 2013-10-26 0001 N3IQ           59      5 KK4NNY         59      5
QSO:  3704 PH 2013-10-26 0003 N3IQ           59      5 N4QWF          59      5
QSO:  3704 PH 2013-10-26 0004 N3IQ           59      5 K2SD           59      5
QSO:  3704 PH 2013-10-26 0009 N3IQ           59      5 KF8MZ          59      4
QSO:  3704 PH 2013-10-26 0013 N3IQ           59      5 VA3XH          59      4
QSO:  3704 PH 2013-10-26 0013 N3IQ           59      5 VE3ZF          59      4
QSO:  3704 PH 2013-10-26 0014 N3IQ           59      5 KB1NHV         59      5
QSO:  3704 PH 2013-10-26 0015 N3IQ           59      5 VE3BW          59      4
QSO:  3704 PH 2013-10-26 0018 N3IQ           59      5 K4EAG          59      5
QSO:  3704 PH 2013-10-26 0021 N3IQ           59      5 K1PGS          59      5
QSO:  3704 PH 2013-10-26 0022 N3IQ           59      5 AC2IK          59      5
QSO:  3704 PH 2013-10-26 0022 N3IQ           59      5 W3UTD          59      5
QSO:  3723 PH 2013-10-26 0031 N3IQ           59      5 VE1ALQ         59      5
QSO:  3792 PH 2013-10-26 0034 N3IQ           59      5 VP2MXA         59      8
QSO: 14172 PH 2013-10-26 0041 N3IQ           59      5 RM3F           59     16
QSO: 14177 PH 2013-10-26 0041 N3IQ           59      5 HK3C           59      9
QSO: 14179 PH 2013-10-26 0043 N3IQ           59      5 PJ6A           59      8
QSO: 14186 PH 2013-10-26 0044 N3IQ           59      5 PJ4X           59      9
QSO: 14189 PH 2013-10-26 0045 N3IQ           59      5 PY2EX          59     11
QSO: 14201 PH 2013-10-26 0045 N3IQ           59      5 CQ3L           59     33
QSO: 14204 PH 2013-10-26 0048 N3IQ           59      5 CN3A           59     33
QSO: 14205 PH 2013-10-26 0048 N3IQ           59      5 ED5T           59     14
QSO: 14215 PH 2013-10-26 0049 N3IQ           59      5 CR3A           59     33
QSO: 14218 PH 2013-10-26 0049 N3IQ           59      5 EA7LL          59     14
QSO: 14224 PH 2013-10-26 0051 N3IQ           59      5 FM5FJ          59      8
QSO: 14244 PH 2013-10-26 0052 N3IQ           59      5 VP9I           59      5
QSO: 14247 PH 2013-10-26 0052 N3IQ           59      5 PJ2T           59      9
QSO: 14266 PH 2013-10-26 0052 N3IQ           59      5 P49Y           59      9
QSO: 14275 PH 2013-10-26 0053 N3IQ           59      5 T48K           59      8
QSO: 14277 PH 2013-10-26 0053 N3IQ           59      5 D4C            59     35
QSO: 14286 PH 2013-10-26 0053 N3IQ           59      5 NP4G           59      8
QSO: 14293 PH 2013-10-26 0054 N3IQ           59      5 CR2X           59     14
QSO: 14290 PH 2013-10-26 0054 N3IQ           59      5 OH0X           59     15
QSO: 14285 PH 2013-10-26 0056 N3IQ           59      5 7Z1CQ          59     21
QSO: 14299 PH 2013-10-26 0056 N3IQ           59      5 ZD8O           59     36
QSO: 14304 PH 2013-10-26 0056 N3IQ           59      5 NP2P           59      8
QSO: 14306 PH 2013-10-26 0057 N3IQ           59      5 8P5A           59      8
QSO: 14347 PH 2013-10-26 0058 N3IQ           59      5 V31RL          59      7
QSO: 14344 PH 2013-10-26 0058 N3IQ           59      5 FY5FY          59      9
QSO: 14338 PH 2013-10-26 0100 N3IQ           59      5 JW7QIA         59     40
QSO: 14348 PH 2013-10-26 0214 N3IQ           59      5 HC1JQ          59     10
QSO: 14342 PH 2013-10-26 0215 N3IQ           59      5 KP4EU          59      8
QSO: 14340 PH 2013-10-26 0215 N3IQ           59      5 ED8W           59     33
QSO: 14336 PH 2013-10-26 0216 N3IQ           59      5 RX1CQ          59     16
QSO: 14329 PH 2013-10-26 0217 N3IQ           59      5 CX2DK          59     13
QSO: 14343 PH 2013-10-26 0218 N3IQ           59      5 XE3/K5ENS      59      6
QSO: 14337 PH 2013-10-26 0220 N3IQ           59      5 YT1A           59     15
QSO: 14326 PH 2013-10-26 0220 N3IQ           59      5 SJ2W           59     14
QSO: 14324 PH 2013-10-26 0220 N3IQ           59      5 E73M           59     15
QSO: 14321 PH 2013-10-26 0221 N3IQ           59      5 EF8U           59     33
QSO: 14314 PH 2013-10-26 0222 N3IQ           59      5 PY1VOY         59     11
QSO: 14311 PH 2013-10-26 0222 N3IQ           59      5 RU1A           59     16
QSO: 14311 PH 2013-10-26 0223 N3IQ           59      5 BY0AA          59     23
QSO: 14309 PH 2013-10-26 0223 N3IQ           59      5 ED1R           59     14
QSO: 14306 PH 2013-10-26 0223 N3IQ           59      5 IR8C           59     15
QSO: 14304 PH 2013-10-26 0224 N3IQ           59      5 OH5Z           59     15
QSO: 14304 PH 2013-10-26 0225 N3IQ           59      5 9A6A           59     15
QSO: 14301 PH 2013-10-26 0226 N3IQ           59      5 OH8X           59     15
QSO: 14301 PH 2013-10-26 0227 N3IQ           59      5 HA30S          59     15
QSO: 14297 PH 2013-10-26 0228 N3IQ           59      5 OG2A           59     15
QSO: 14295 PH 2013-10-26 0229 N3IQ           59      5 6Y1X           59      8
QSO: 14289 PH 2013-10-26 0230 N3IQ           59      5 4O3A           59     15
QSO: 14287 PH 2013-10-26 0231 N3IQ           59      5 A73A           59     21
QSO: 14281 PH 2013-10-26 0231 N3IQ           59      5 OZ7X           59     14
QSO: 14280 PH 2013-10-26 0232 N3IQ           59      5 IB9T           59     15
QSO: 14278 PH 2013-10-26 0233 N3IQ           59      5 D4C            59     35
QSO: 14273 PH 2013-10-26 0234 N3IQ           59      5 RW0A           59     18
QSO: 14272 PH 2013-10-26 0234 N3IQ           59      5 KH7CW          59     31
QSO: 14268 PH 2013-10-26 0236 N3IQ           59      5 VE7WO          59      3
QSO: 14265 PH 2013-10-26 0237 N3IQ           59      5 VE6AO          59      4
QSO: 14262 PH 2013-10-26 0238 N3IQ           59      5 RV9UP          59     18
QSO: 14261 PH 2013-10-26 0238 N3IQ           59      5 LY7A           59     15
QSO: 14259 PH 2013-10-26 0239 N3IQ           59      5 OH8L           59     15
QSO: 14255 PH 2013-10-26 0240 N3IQ           59      5 IO1T           59     15
QSO: 14249 PH 2013-10-26 0240 N3IQ           59      5 II9P           59     15
QSO: 14247 PH 2013-10-26 0241 N3IQ           59      5 CN2R           59     33
QSO: 14245 PH 2013-10-26 0241 N3IQ           59      5 UA5B           59     16
QSO: 14242 PH 2013-10-26 0241 N3IQ           59      5 EU1A           59     16
QSO: 14239 PH 2013-10-26 0242 N3IQ           59      5 HI3TEJ         59      8
QSO: 14234 PH 2013-10-26 0245 N3IQ           59      5 R9XT           59     17
QSO: 14232 PH 2013-10-26 0246 N3IQ           59      5 OH5BM          59     15
QSO: 14228 PH 2013-10-26 0246 N3IQ           59      5 K3MEC          59      5
QSO: 14223 PH 2013-10-26 0247 N3IQ           59      5 LZ9W           59     20
QSO: 14216 PH 2013-10-26 0248 N3IQ           59      5 E77A           59     15
QSO: 14212 PH 2013-10-26 0249 N3IQ           59      5 NH7A           59     31
QSO: 14204 PH 2013-10-26 0251 N3IQ           59      5 HD2A           59     10
QSO: 14210 PH 2013-10-26 0259 N3IQ           59      5 LA3T           59     14
QSO: 14196 PH 2013-10-26 0259 N3IQ           59      5 YT8A           59     15
QSO: 14193 PH 2013-10-26 0301 N3IQ           59      5 EC2DX          59     14
QSO: 14188 PH 2013-10-26 0302 N3IQ           59      5 IG9Y           59     33
QSO: 14183 PH 2013-10-26 0302 N3IQ           59      5 TM1A           59     14
QSO: 14182 PH 2013-10-26 0303 N3IQ           59      5 K1JB/VE9       59      5
QSO: 14181 PH 2013-10-26 0304 N3IQ           59      5 JA1YPA         59     25
QSO: 14178 PH 2013-10-26 0305 N3IQ           59      5 LU1FAM         59     13
QSO: 14171 PH 2013-10-26 0306 N3IQ           59      5 II4I           59     15
QSO: 14167 PH 2013-10-26 0306 N3IQ           59      5 SK3W           59     14
QSO: 14161 PH 2013-10-26 0308 N3IQ           59      5 HK1NA          59      9
QSO: 14155 PH 2013-10-26 0309 N3IQ           59      5 CE3CT          59     12
QSO: 14328 PH 2013-10-26 0311 N3IQ           59      5 ZP9MCE         59     11
QSO: 14320 PH 2013-10-26 0311 N3IQ           59      5 C4A            59     20
QSO: 14308 PH 2013-10-26 0312 N3IQ           59      5 S53EA          59     15
QSO: 14302 PH 2013-10-26 0313 N3IQ           59      5 P33W           59     20
QSO: 14286 PH 2013-10-26 0314 N3IQ           59      5 P3N            59     20
QSO: 14264 PH 2013-10-26 0314 N3IQ           59      5 ES9C           59     15
QSO: 14260 PH 2013-10-26 0315 N3IQ           59      5 JA7YRR         59     25
QSO: 14253 PH 2013-10-26 0316 N3IQ           59      5 RK9QWM         59     17
QSO: 14252 PH 2013-10-26 0318 N3IQ           59      5 RZ1ZZ          59     16
QSO: 14250 PH 2013-10-26 0319 N3IQ           59      5 UP2L           59     17
QSO: 14237 PH 2013-10-26 0320 N3IQ           59      5 KH6MB          59     31
QSO: 14235 PH 2013-10-26 0322 N3IQ           59      5 A71BX          59     21
QSO: 14215 PH 2013-10-26 0323 N3IQ           59      5 B9/BY9GA       59     23
QSO: 14195 PH 2013-10-26 0324 N3IQ           59      5 KL7RA          59      1
QSO: 14261 PH 2013-10-26 0328 N3IQ           59      5 YN2AA          59      7
QSO: 14224 PH 2013-10-26 0331 N3IQ           59      5 YV4MP          59      9
QSO: 14222 PH 2013-10-26 0331 N3IQ           59      5 XR6T           59     12
QSO: 14221 PH 2013-10-26 0332 N3IQ           59      5 9Y4D           59      9
QSO: 14219 PH 2013-10-26 0332 N3IQ           59      5 3V7A           59     33
QSO:  7196 PH 2013-10-26 0339 N3IQ           59      5 UA5B           59     16
QSO:  7194 PH 2013-10-26 0339 N3IQ           59      5 RT6A           59     16
QSO:  7193 PH 2013-10-26 0339 N3IQ           59      5 IR4M           59     15
QSO:  7191 PH 2013-10-26 0339 N3IQ           59      5 EI7M           59     14
QSO:  7188 PH 2013-10-26 0341 N3IQ           59      5 LZ9W           59     20
QSO:  7244 PH 2013-10-26 0342 N3IQ           59      5 DR1A           59     14
QSO:  7182 PH 2013-10-26 0345 N3IQ           59      5 D4C            59     35
QSO:  7173 PH 2013-10-26 0345 N3IQ           59      5 9A1P           59     15
QSO:  7167 PH 2013-10-26 0346 N3IQ           59      5 SN2B           59     15
QSO:  7166 PH 2013-10-26 0347 N3IQ           59      5 OM0M           59     15
QSO:  7154 PH 2013-10-26 0349 N3IQ           59      5 HG7T           59     15
QSO:  7258 PH 2013-10-26 0351 N3IQ           59      5 YL3FT          59     15
QSO:  7222 PH 2013-10-26 0352 N3IQ           59      5 GW4BLE         59     14
QSO:  7237 PH 2013-10-26 0353 N3IQ           59      5 EF7X           59     14
QSO:  7219 PH 2013-10-26 0353 N3IQ           59      5 UW3L           59     16
QSO:  7267 PH 2013-10-26 0355 N3IQ           59      5 S52X           59     15
QSO:  7236 PH 2013-10-26 0355 N3IQ           59      5 OK1KUW         59     15
QSO:  7257 PH 2013-10-26 0355 N3IQ           59      5 CR6P           59     14
QSO:  7271 PH 2013-10-26 0356 N3IQ           59      5 EU1A           59     16
QSO:  7210 PH 2013-10-26 0357 N3IQ           59      5 WP3DX          59      8
QSO:  7219 PH 2013-10-26 0357 N3IQ           59      5 SK3W           59     14
QSO:  7265 PH 2013-10-26 0358 N3IQ           59      5 YP0C           59     20
QSO:  7239 PH 2013-10-26 0359 N3IQ           59      5 M4A            59     14
QSO:  7137 PH 2013-10-26 0359 N3IQ           59      5 CN3A           59     33
QSO:  3775 PH 2013-10-26 0401 N3IQ           59      5 DR1A           59     14
QSO:  3794 PH 2013-10-26 0402 N3IQ           59      5 VE2IM          59      2
QSO:  3759 PH 2013-10-26 0403 N3IQ           59      5 TM6M           59     14
QSO:  3752 PH 2013-10-26 0403 N3IQ           59      5 RU1A           59     16
QSO:  3735 PH 2013-10-26 0404 N3IQ           59      5 OK5D           59     15
QSO:  3723 PH 2013-10-26 0410 N3IQ           59      5 OT5A           59     14
QSO:  3732 PH 2013-10-26 0411 N3IQ           59      5 PI4CG          59     14
QSO:  3738 PH 2013-10-26 0412 N3IQ           59      5 C6ARW          59      8
QSO:  3717 PH 2013-10-26 0412 N3IQ           59      5 KP4KE          59      8
QSO:  3769 PH 2013-10-26 0415 N3IQ           59      5 G3TBK          59     14
QSO:  3777 PH 2013-10-26 0415 N3IQ           59      5 EA3GHZ         59     14
QSO:  3791 PH 2013-10-26 0418 N3IQ           59      5 ES9C           59     15
QSO:  3796 PH 2013-10-26 0500 N3IQ           59      5 SN2B           59     15
QSO:  3786 PH 2013-10-26 0501 N3IQ           59      5 D4C            59     35
QSO:  3782 PH 2013-10-26 0502 N3IQ           59      5 VP5T           59      8
QSO:  3770 PH 2013-10-26 0504 N3IQ           59      5 VA2EN          59      5
QSO:  3764 PH 2013-10-26 0505 N3IQ           59      5 KP3Z           59      8
QSO:  3752 PH 2013-10-26 0506 N3IQ           59      5 G5W            59     14
QSO:  3817 PH 2013-10-26 0508 N3IQ           59      5 ON4UN          59     14
QSO:  3723 PH 2013-10-26 0508 N3IQ           59      5 TO5A           59      8
