START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: SP8MRD
CATEGORY-TRANSMITTER: ONE
CATEGORY-POWER: HIGH
CATEGORY-BAND: ALL
CATEGORY-MODE: SSB
CATEGORY-ASSISTED: ASSISTED
LOCATION: DX
CLUB: SP DX Club
CLAIMED-SCORE:
OPERATORS: SP8MRD
NAME: Piotr O¿arski
CREATED-BY: DQR_Log v. 3.2.5 - (c) SP7DQR
SOAPBOX: IC 775 DX II 200W Yagi GB37 made in SP3GEM
CATEGORY-OPERATOR: SINGLE-OP
QSO:  7000 PH 2013-10-26 0708 SP8MRD        59           15 KC1XX           59           05
QSO:  7000 PH 2013-10-26 0713 SP8MRD        59           15 K4XS            59           05
QSO:  7000 PH 2013-10-26 0717 SP8MRD        59           15 HA30S           59           15
QSO:  7000 PH 2013-10-26 0718 SP8MRD        59           15 EW8DD           59           16
QSO:  7000 PH 2013-10-26 0718 SP8MRD        59           15 LZ9W            59           20
QSO:  7000 PH 2013-10-26 0719 SP8MRD        59           15 OM0M            59           15
QSO:  7000 PH 2013-10-26 0725 SP8MRD        59           15 DL3EA           59           14
QSO:  7000 PH 2013-10-26 0726 SP8MRD        59           15 RW3DU           59           16
QSO:  7000 PH 2013-10-26 0728 SP8MRD        59           15 GM0B            59           14
QSO:  7000 PH 2013-10-26 0731 SP8MRD        59           15 YT7A            59           15
QSO:  7000 PH 2013-10-26 0733 SP8MRD        59           15 SP3S            59           15
QSO:  7000 PH 2013-10-26 0736 SP8MRD        59           15 GW9X            59           14
QSO:  7000 PH 2013-10-26 0737 SP8MRD        59           15 LA9TJA          59           14
QSO:  7000 PH 2013-10-26 0739 SP8MRD        59           15 IV3GFL          59           15
QSO:  7000 PH 2013-10-26 0740 SP8MRD        59           15 S57O            59           15
QSO: 28000 PH 2013-10-26 0742 SP8MRD        59           15 UP0L            59           17
QSO: 28000 PH 2013-10-26 0743 SP8MRD        59           15 EA9KB           59           33
QSO: 28000 PH 2013-10-26 0839 SP8MRD        59           15 RW4NY           59           16
QSO: 28000 PH 2013-10-26 0842 SP8MRD        59           15 E20YLM          59           26
QSO: 28000 PH 2013-10-26 0844 SP8MRD        59           15 4Z5FI           59           20
QSO: 28000 PH 2013-10-26 0848 SP8MRD        59           15 VK3TDX          59           30
QSO: 28000 PH 2013-10-26 1018 SP8MRD        59           15 A71BX           59           21
QSO: 28000 PH 2013-10-26 1019 SP8MRD        59           15 OL4A            59           15
QSO: 28000 PH 2013-10-26 1020 SP8MRD        59           15 VR2XMT          59           24
QSO: 28000 PH 2013-10-26 1023 SP8MRD        59           15 RA9FEL          59           17
QSO: 28000 PH 2013-10-26 1025 SP8MRD        59           15 HS0ZIA          59           26
QSO: 28000 PH 2013-10-26 1026 SP8MRD        59           15 UA0BA           59           18
QSO: 28000 PH 2013-10-26 1027 SP8MRD        59           15 EA7KB           59           14
QSO: 28000 PH 2013-10-26 1030 SP8MRD        59           15 BH7PFH          59           24
QSO: 28000 PH 2013-10-26 1032 SP8MRD        59           15 S50K            59           15
QSO: 28000 PH 2013-10-26 1033 SP8MRD        59           15 UN6P            59           17
QSO: 28000 PH 2013-10-26 1036 SP8MRD        59           15 RZ8U            59           18
QSO: 28000 PH 2013-10-26 1036 SP8MRD        59           15 UI8U            59           18
QSO: 28000 PH 2013-10-26 1038 SP8MRD        59           15 VO1MP           59           05
QSO: 28000 PH 2013-10-26 1040 SP8MRD        59           15 R4RT            59           16
QSO: 28000 PH 2013-10-26 1042 SP8MRD        59           15 UA9CTT          59           17
QSO: 28000 PH 2013-10-26 1048 SP8MRD        59           15 7O2A            59           37
QSO: 28000 PH 2013-10-26 1215 SP8MRD        59           15 CN2R            59           33
QSO: 28000 PH 2013-10-26 1232 SP8MRD        59           15 W1WMU           59           05
QSO: 28000 PH 2013-10-26 1233 SP8MRD        59           15 9A7A            59           15
QSO: 28000 PH 2013-10-26 1237 SP8MRD        59           15 W4RM            59           05
QSO: 28000 PH 2013-10-26 1238 SP8MRD        59           15 KB1H            59           05
QSO: 28000 PH 2013-10-26 1239 SP8MRD        59           15 K3WW            59           05
QSO: 28000 PH 2013-10-26 1247 SP8MRD        59           15 TO1A            59           09
QSO: 28000 PH 2013-10-26 1248 SP8MRD        59           15 KC1XX           59           05
QSO: 28000 PH 2013-10-26 1248 SP8MRD        59           15 RW4W            59           16
QSO: 21000 PH 2013-10-26 1901 SP8MRD        59           15 KQ2M            59           05
QSO: 21000 PH 2013-10-26 1904 SP8MRD        59           15 K4XS            59           05
QSO: 21000 PH 2013-10-26 1906 SP8MRD        59           15 KM1W            59           05
QSO: 21000 PH 2013-10-26 1908 SP8MRD        59           15 K1ZR            59           05
QSO: 14000 PH 2013-10-26 1920 SP8MRD        59           15 EA1DZ           59           15
QSO: 14000 PH 2013-10-26 1929 SP8MRD        59           15 EA5DFV          59           14
QSO: 14000 PH 2013-10-26 1931 SP8MRD        59           15 K3WW            59           05
QSO: 14000 PH 2013-10-26 1932 SP8MRD        59           15 KC1XX           59           05
QSO: 14000 PH 2013-10-26 1937 SP8MRD        59           15 EE5T            59           14
QSO: 14000 PH 2013-10-26 1950 SP8MRD        59           15 K1ZR            59           05
QSO: 14000 PH 2013-10-26 1956 SP8MRD        59           15 CR6P            59           14
QSO: 14000 PH 2013-10-26 1957 SP8MRD        59           15 CS2P            59           14
QSO: 14000 PH 2013-10-26 2000 SP8MRD        59           15 CR5T            59           14
QSO: 14000 PH 2013-10-26 2012 SP8MRD        59           15 EF7X            59           14
QSO:  7000 PH 2013-10-26 2021 SP8MRD        59           15 RM4F            59           16
QSO:  7000 PH 2013-10-26 2021 SP8MRD        59           15 HB30OK          59           14
QSO:  7000 PH 2013-10-26 2028 SP8MRD        59           15 RL3A            59           16
QSO:  7000 PH 2013-10-26 2030 SP8MRD        59           15 P33W            59           20
QSO:  7000 PH 2013-10-26 2031 SP8MRD        59           15 RM4I            59           16
QSO:  7000 PH 2013-10-26 2032 SP8MRD        59           15 IK0GDG          59           15
QSO:  7000 PH 2013-10-26 2034 SP8MRD        59           15 IG9Y            59           33
QSO:  7000 PH 2013-10-26 2035 SP8MRD        59           15 RW4W            59           16
QSO:  7000 PH 2013-10-26 2037 SP8MRD        59           15 TM1O            59           14
QSO: 28000 PH 2013-10-27 0800 SP8MRD        59           15 RN4SN           59           16
QSO: 28000 PH 2013-10-27 0801 SP8MRD        59           15 JH4UYB          59           25
QSO: 28000 PH 2013-10-27 0802 SP8MRD        59           15 SP8R            59           15
QSO: 28000 PH 2013-10-27 0808 SP8MRD        59           15 BA7JA           59           24
QSO: 28000 PH 2013-10-27 0811 SP8MRD        59           15 JA8WKE          59           25
QSO: 28000 PH 2013-10-27 0811 SP8MRD        59           15 EE9K            59           33
QSO: 28000 PH 2013-10-27 0818 SP8MRD        59           15 RK9CYA          59           17
QSO: 28000 PH 2013-10-27 0820 SP8MRD        59           15 B3C             59           24
QSO: 28000 PH 2013-10-27 0821 SP8MRD        59           15 JA2FJP          59           25
QSO: 28000 PH 2013-10-27 0822 SP8MRD        59           15 RK9AX           59           17
QSO: 28000 PH 2013-10-27 0823 SP8MRD        59           15 7Z1CQ           59           21
QSO: 28000 PH 2013-10-27 0824 SP8MRD        59           15 JH4MGU          59           25
QSO: 28000 PH 2013-10-27 0826 SP8MRD        59           15 BY0AA           59           23
QSO: 28000 PH 2013-10-27 0827 SP8MRD        59           15 RA0AY           59           18
QSO: 28000 PH 2013-10-27 0829 SP8MRD        59           15 OL3R            59           15
QSO: 28000 PH 2013-10-27 0830 SP8MRD        59           15 RM4HZ           59           16
QSO: 28000 PH 2013-10-27 0830 SP8MRD        59           15 RZ0SR           59           18
QSO: 28000 PH 2013-10-27 0836 SP8MRD        59           15 JA5FDJ          59           25
QSO: 28000 PH 2013-10-27 0837 SP8MRD        59           15 SO6X            59           15
QSO: 28000 PH 2013-10-27 0841 SP8MRD        59           15 D4C             59           34
QSO: 28000 PH 2013-10-27 0842 SP8MRD        59           15 UP9L            59           17
QSO: 28000 PH 2013-10-27 0843 SP8MRD        59           15 RA8T            59           16
QSO: 28000 PH 2013-10-27 0844 SP8MRD        59           15 JA1ZGP          59           25
QSO: 28000 PH 2013-10-27 0849 SP8MRD        59           15 B9/BY9GA       59           24
QSO: 28000 PH 2013-10-27 0851 SP8MRD        59           15 YB1KI           59           28
QSO: 28000 PH 2013-10-27 0852 SP8MRD        59           15 OK7K            59           15
QSO: 28000 PH 2013-10-27 0854 SP8MRD        59           15 SN2M            59           15
QSO: 28000 PH 2013-10-27 0927 SP8MRD        59           15 RW0A            59           18
QSO: 28000 PH 2013-10-27 0933 SP8MRD        59           15 RU9CC           59           17
QSO: 28000 PH 2013-10-27 0937 SP8MRD        59           15 JA3YBK          59           25
QSO: 28000 PH 2013-10-27 0939 SP8MRD        59           15 UP2L            59           17
QSO: 28000 PH 2013-10-27 0942 SP8MRD        59           15 UA1OMS          59           16
QSO: 28000 PH 2013-10-27 0945 SP8MRD        59           15 EA8EW           59           33
QSO: 28000 PH 2013-10-27 0946 SP8MRD        59           15 RZ9OF           59           18
QSO: 28000 PH 2013-10-27 0947 SP8MRD        59           15 RZ9UI           59           18
QSO: 28000 PH 2013-10-27 0948 SP8MRD        59           15 SN5T            59           15
QSO: 28000 PH 2013-10-27 0951 SP8MRD        59           15 CN3A            59           33
QSO: 28000 PH 2013-10-27 0952 SP8MRD        59           15 RT4W            59           16
QSO: 28000 PH 2013-10-27 0954 SP8MRD        59           15 RZ4W            59           16
QSO: 28000 PH 2013-10-27 0957 SP8MRD        59           15 SQ9MUO          59           15
QSO: 28000 PH 2013-10-27 0958 SP8MRD        59           15 R4WDX           59           16
QSO: 28000 PH 2013-10-27 1003 SP8MRD        59           15 SP4Z            59           15
QSO: 28000 PH 2013-10-27 1004 SP8MRD        59           15 DH8BQA          59           14
QSO: 28000 PH 2013-10-27 1005 SP8MRD        59           15 RT9S            59           16
QSO: 28000 PH 2013-10-27 1005 SP8MRD        59           15 UC0A            59           18
QSO: 28000 PH 2013-10-27 1009 SP8MRD        59           15 R9UAG           59           18
QSO: 28000 PH 2013-10-27 1010 SP8MRD        59           15 UA9TF           59           16
QSO: 28000 PH 2013-10-27 1011 SP8MRD        59           15 CT1AOZ          59           14
QSO: 28000 PH 2013-10-27 1012 SP8MRD        59           15 DL5L            59           14
