START-OF-LOG: 3.0
LOCATION: DX
CALLSIGN: G3WRR
CLUB: None
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: SSB
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 54656
OPERATORS: G3WRR
NAME: Quin Collier
CREATED-BY: N1MM Logger V13.8.0
SOAPBOX: Not a serious entry but enjoyable! 10m conditions excellent.
QSO: 28268 PH 2013-10-26 1610 G3WRR         59  14     VE3MMQ        59  04
QSO: 28304 PH 2013-10-26 1611 G3WRR         59  14     K4XS          59  05
QSO: 28302 PH 2013-10-26 1612 G3WRR         59  14     PS2T          59  11
QSO: 28288 PH 2013-10-26 1613 G3WRR         59  14     VE3BW         59  04
QSO: 28294 PH 2013-10-26 1616 G3WRR         59  14     VE3RZ         59  04
QSO: 28252 PH 2013-10-26 1618 G3WRR         59  14     8P2K          59  08
QSO: 28281 PH 2013-10-26 1619 G3WRR         59  14     VE3JM         59  04
QSO: 28290 PH 2013-10-26 1619 G3WRR         59  14     VE3MIS        59  04
QSO: 28346 PH 2013-10-26 1621 G3WRR         59  14     NA2U          59  05
QSO: 28275 PH 2013-10-26 1632 G3WRR         59  14     VE6FI         59  04
QSO: 21186 PH 2013-10-26 1635 G3WRR         59  14     RC5Z          59  16
QSO: 28419 PH 2013-10-26 1754 G3WRR         59  14     K5KG          59  05
QSO: 28427 PH 2013-10-26 1754 G3WRR         59  14     KB1H          59  05
QSO: 28371 PH 2013-10-26 1756 G3WRR         59  14     K1RM          59  05
QSO: 28311 PH 2013-10-26 1759 G3WRR         59  14     K7CF          59  03
QSO: 28300 PH 2013-10-26 1759 G3WRR         59  14     PY1NX         59  11
QSO: 28400 PH 2013-10-26 1802 G3WRR         59  14     W3EP          59  05
QSO: 21157 PH 2013-10-26 1806 G3WRR         59  14     VE2IM         59  02
QSO: 21201 PH 2013-10-26 1807 G3WRR         59  14     KC1XX         59  05
QSO: 21210 PH 2013-10-26 1807 G3WRR         59  14     KV0Q          59  04
QSO: 21214 PH 2013-10-26 1815 G3WRR         59  14     WE3C          59  05
QSO: 21355 PH 2013-10-26 1819 G3WRR         59  14     KD2RD         59  05
QSO: 21337 PH 2013-10-26 1820 G3WRR         59  14     KB1H          59  05
QSO: 21274 PH 2013-10-26 1821 G3WRR         59  14     PS2T          59  11
QSO: 21245 PH 2013-10-26 1822 G3WRR         59  14     N2IC          59  04
QSO: 14297 PH 2013-10-26 1824 G3WRR         59  14     YU0T          59  15
QSO: 21217 PH 2013-10-26 2023 G3WRR         59  14     K1RX          59  05
QSO: 21415 PH 2013-10-26 2025 G3WRR         59  14     N0NI          59  04
QSO: 21253 PH 2013-10-26 2028 G3WRR         59  14     N5DX          59  04
QSO: 21239 PH 2013-10-26 2029 G3WRR         59  14     K9CT          59  04
QSO: 21210 PH 2013-10-26 2030 G3WRR         59  14     N4PN          59  05
QSO: 14335 PH 2013-10-26 2035 G3WRR         59  14     AA1K          59  05
QSO:  7175 PH 2013-10-26 2041 G3WRR         59  14     OL4A          59  15
QSO:  3788 PH 2013-10-26 2041 G3WRR         59  14     DF0HQ         59  14
QSO:  1850 PH 2013-10-26 2042 G3WRR         59  14     DF0HQ         59  14
QSO:  3772 PH 2013-10-26 2044 G3WRR         59  14     OT5A          59  14
QSO:  3775 PH 2013-10-26 2045 G3WRR         59  14     DR1A          59  14
QSO:  3705 PH 2013-10-26 2047 G3WRR         59  14     OK5D          59  15
QSO:  7158 PH 2013-10-26 2048 G3WRR         59  14     UP0L          59  17
QSO:  7177 PH 2013-10-26 2049 G3WRR         59  14     HF9Q          59  15
QSO:  1859 PH 2013-10-26 2050 G3WRR         59  14     DR1A          59  14
QSO: 28325 PH 2013-10-27 0853 G3WRR         59  14     UX4U          59  16
QSO: 28293 PH 2013-10-27 0856 G3WRR         59  14     UW7LL         59  16
QSO: 28311 PH 2013-10-27 0857 G3WRR         59  14     RL6M          59  16
QSO: 28297 PH 2013-10-27 0858 G3WRR         59  14     UA3DUJ        59  16
QSO: 28413 PH 2013-10-27 0900 G3WRR         59  14     P33W          59  20
QSO: 28312 PH 2013-10-27 0901 G3WRR         59  14     UA1ANA        59  16
QSO: 28319 PH 2013-10-27 0902 G3WRR         59  14     RK9CYA        59  17
QSO: 28354 PH 2013-10-27 0907 G3WRR         59  14     RM5A          59  16
QSO: 28365 PH 2013-10-27 0908 G3WRR         59  14     RT4D          59  16
QSO: 28400 PH 2013-10-27 1121 G3WRR         59  14     R2MA          59  16
QSO: 28354 PH 2013-10-27 1123 G3WRR         59  14     VE9AA         59  05
QSO: 28336 PH 2013-10-27 1124 G3WRR         59  14     UA5B          59  16
QSO: 28290 PH 2013-10-27 1127 G3WRR         59  14     EU6AF         59  16
QSO: 28260 PH 2013-10-27 1127 G3WRR         59  14     Z39A          59  15
QSO: 28283 PH 2013-10-27 1128 G3WRR         59  14     UA3QNS        59  16
QSO: 28345 PH 2013-10-27 1130 G3WRR         59  14     CR3A          59  33
QSO: 28350 PH 2013-10-27 1131 G3WRR         59  14     9K2HN         59  21
QSO: 28368 PH 2013-10-27 1132 G3WRR         59  14     UR3HC         59  16
QSO: 28370 PH 2013-10-27 1133 G3WRR         59  14     CR2T          59  14
QSO: 28422 PH 2013-10-27 1134 G3WRR         59  14     UW5ZM         59  16
QSO: 28429 PH 2013-10-27 1135 G3WRR         59  14     IG9Y          59  33
QSO: 28468 PH 2013-10-27 1136 G3WRR         59  14     RX6AM         59  16
QSO: 28524 PH 2013-10-27 1139 G3WRR         59  14     CN3A          59  33
QSO: 28470 PH 2013-10-27 1140 G3WRR         59  14     UY7MM         59  16
QSO: 28442 PH 2013-10-27 1141 G3WRR         59  14     LZ5R          59  20
QSO: 28398 PH 2013-10-27 1142 G3WRR         59  14     R7AW          59  16
QSO: 28387 PH 2013-10-27 1142 G3WRR         59  14     EA8CNR        59  33
QSO: 28362 PH 2013-10-27 1146 G3WRR         59  14     VA2WA         59  05
QSO: 28389 PH 2013-10-27 1147 G3WRR         59  14     UI5R          59  16
QSO: 28447 PH 2013-10-27 1150 G3WRR         59  14     KC1XX         59  05
QSO: 28496 PH 2013-10-27 1152 G3WRR         59  14     R3KM          59  16
QSO: 28517 PH 2013-10-27 1152 G3WRR         59  14     SV2HTI        59  20
QSO: 28532 PH 2013-10-27 1154 G3WRR         59  14     K1ZR          59  05
QSO: 28534 PH 2013-10-27 1154 G3WRR         59  14     W3LPL         59  05
QSO: 28570 PH 2013-10-27 1155 G3WRR         59  14     YM3KM         59  20
QSO: 28548 PH 2013-10-27 1156 G3WRR         59  14     W1WMU         59  05
QSO: 14127 PH 2013-10-27 1207 G3WRR         59  14     E77A          59  15
QSO: 14131 PH 2013-10-27 1208 G3WRR         59  14     ED1R          59  14
QSO: 14151 PH 2013-10-27 1209 G3WRR         59  14     K3LR          59  05
QSO: 14201 PH 2013-10-27 1211 G3WRR         59  14     S53I          59  15
QSO: 14204 PH 2013-10-27 1211 G3WRR         59  14     IZ3SQW        59  15
QSO: 14272 PH 2013-10-27 1213 G3WRR         59  14     OK1WCF        59  15
QSO: 14278 PH 2013-10-27 1214 G3WRR         59  14     DJ2QV         59  14
QSO: 14293 PH 2013-10-27 1215 G3WRR         59  14     HG6N          59  15
QSO: 14308 PH 2013-10-27 1216 G3WRR         59  14     IR4M          59  15
QSO: 14311 PH 2013-10-27 1216 G3WRR         59  14     LA5UF         59  14
QSO: 14330 PH 2013-10-27 1217 G3WRR         59  14     EA2LMI        59  14
QSO: 14199 PH 2013-10-27 1220 G3WRR         59  14     CR5CW         59  14
