START-OF-LOG: 3.0
CREATED-BY: QARTest 3.10.1
CONTEST: CQ-WW-SSB
CALLSIGN: IQ2DP
LOCATION: DX
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: ASSISTED
CATEGORY-MODE: SSB
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CLAIMED-SCORE: 241262
NAME: ARI Sezione San Donato Milanese
OPERATORS: IK2HTY, IK2REA, IZ2EWT, IZ2LSP
SOAPBOX: Contest run by ARI Section of San Donato Milanese, MI, Italy. Site,
SOAPBOX: Equipments and official Callsign (IQ2DP) of the ARI Section were used.
QSO:  7000 PH 2013-10-26 0712 IQ2DP         59  15     EF5Y          59  14     0
QSO:  7000 PH 2013-10-26 0713 IQ2DP         59  15     N2RJ          59  05     0
QSO:  7000 PH 2013-10-26 0717 IQ2DP         59  15     EF1W          59  14     0
QSO:  7000 PH 2013-10-26 0719 IQ2DP         59  15     OT5A          59  14     0
QSO:  7000 PH 2013-10-26 0721 IQ2DP         59  15     IZ3SQW        59  15     0
QSO:  7000 PH 2013-10-26 0723 IQ2DP         59  15     IG9R          59  33     0
QSO:  7000 PH 2013-10-26 0725 IQ2DP         59  15     TM9R          59  14     0
QSO:  7000 PH 2013-10-26 0726 IQ2DP         59  15     ED1R          59  14     0
QSO:  7000 PH 2013-10-26 0729 IQ2DP         59  15     DF0HQ         59  14     0
QSO:  7000 PH 2013-10-26 0730 IQ2DP         59  15     DL3EA         59  14     0
QSO:  7000 PH 2013-10-26 0730 IQ2DP         59  15     YT3A          59  15     0
QSO: 14000 PH 2013-10-26 0735 IQ2DP         59  15     PI4M          59  14     0
QSO: 14000 PH 2013-10-26 0742 IQ2DP         59  15     HA3DX         59  15     0
QSO: 14000 PH 2013-10-26 0744 IQ2DP         59  15     ES9C          59  15     0
QSO: 14000 PH 2013-10-26 0746 IQ2DP         59  15     D4C           59  35     0
QSO: 14000 PH 2013-10-26 0747 IQ2DP         59  15     SQ6PLH        59  15     0
QSO: 14000 PH 2013-10-26 0748 IQ2DP         59  15     CQ7A          59  14     0
QSO: 14000 PH 2013-10-26 0749 IQ2DP         59  15     YT3M          59  15     0
QSO: 14000 PH 2013-10-26 0751 IQ2DP         59  15     OT5A          59  14     0
QSO: 14000 PH 2013-10-26 0752 IQ2DP         59  15     EA2DNR        59  14     0
QSO: 14000 PH 2013-10-26 0752 IQ2DP         59  15     TM1T          59  14     0
QSO: 14000 PH 2013-10-26 0754 IQ2DP         59  15     F4EQH         59  14     0
QSO: 14000 PH 2013-10-26 0756 IQ2DP         59  15     YT7B          59  15     0
QSO: 14000 PH 2013-10-26 0756 IQ2DP         59  15     RM3F          59  16     0
QSO: 14000 PH 2013-10-26 0759 IQ2DP         59  15     ED2W          59  14     0
QSO: 21000 PH 2013-10-26 0805 IQ2DP         59  15     SI9AM         59  14     0
QSO: 21000 PH 2013-10-26 0811 IQ2DP         59  15     RM4F          59  16     0
QSO: 21000 PH 2013-10-26 0813 IQ2DP         59  15     ES9C          59  15     0
QSO: 21000 PH 2013-10-26 0815 IQ2DP         59  15     YE2R          59  28     0
QSO: 21000 PH 2013-10-26 0818 IQ2DP         59  15     SX5P          59  20     0
QSO: 21000 PH 2013-10-26 0820 IQ2DP         59  15     RT6A          59  16     0
QSO: 21000 PH 2013-10-26 0822 IQ2DP         59  15     9K2HN         59  21     0
QSO: 21000 PH 2013-10-26 0827 IQ2DP         59  15     CN3A          59  33     0
QSO: 21000 PH 2013-10-26 0829 IQ2DP         59  15     UT0AZA        59  16     0
QSO: 21000 PH 2013-10-26 0831 IQ2DP         59  15     JA8WKE        59  25     0
QSO: 21000 PH 2013-10-26 0833 IQ2DP         59  15     4L8A          59  21     0
QSO: 21000 PH 2013-10-26 0840 IQ2DP         59  15     BY0AA         59  23     0
QSO: 21000 PH 2013-10-26 0846 IQ2DP         59  15     SD2G          59  14     0
QSO: 21000 PH 2013-10-26 0851 IQ2DP         59  15     CN2AA         59  33     0
QSO: 21000 PH 2013-10-26 0852 IQ2DP         59  15     EA9CD         59  33     0
QSO: 21000 PH 2013-10-26 0852 IQ2DP         59  15     EA7KB         59  14     0
QSO: 21000 PH 2013-10-26 0855 IQ2DP         59  15     UZ2M          59  16     0
QSO: 21000 PH 2013-10-26 0856 IQ2DP         59  15     EE7Y          59  14     0
QSO: 28000 PH 2013-10-26 0900 IQ2DP         59  15     RZ9UO         59  18     0
QSO: 28000 PH 2013-10-26 0902 IQ2DP         59  15     RA1ABR        59  16     0
QSO: 28000 PH 2013-10-26 0905 IQ2DP         59  15     RN3F          59  16     0
QSO: 28000 PH 2013-10-26 0907 IQ2DP         59  15     UT7IG         59  16     0
QSO: 21000 PH 2013-10-26 0917 IQ2DP         59  15     LN8W          59  14     0
QSO: 21000 PH 2013-10-26 0923 IQ2DP         59  15     RA9Y          59  18     0
QSO: 21000 PH 2013-10-26 0933 IQ2DP         59  15     UA6AA         59  16     0
QSO: 21000 PH 2013-10-26 0934 IQ2DP         59  15     RA9AAA        59  17     0
QSO: 21000 PH 2013-10-26 0936 IQ2DP         59  15     CR5T          59  14     0
QSO: 21000 PH 2013-10-26 0938 IQ2DP         59  15     UW7LL         59  16     0
QSO: 21000 PH 2013-10-26 0939 IQ2DP         59  15     EI5JQ         59  14     0
