START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.10.0
CONTEST: CQ-WW-SSB
LOCATION: DX
CALLSIGN: DP6T
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-TRANSMITTER: UNLIMITED
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 10682140
OPERATORS: DL3FCG, DK6ITM, DK3CW, DG3FK, DL1FAA, DL1KHD, DB6MC, DL8ZAJ, DL6FCB,
OPERATORS: DK5FJ, DL2MRK, DL2FDL, 4J9M, HS1IWX
CLUB: Rhein Ruhr DX Association
NAME: Michael Moog c/o Contest Group Wittgenborn
SOAPBOX: We had a hard time during the last weeks. Our founder of the contest
SOAPBOX: group and team captain Uli DK9UMA passed away just a few weeks before
SOAPBOX: the contest. However, everybody was highly motivated to achieve a good
SOAPBOX: score, even in such tough times.  We decieded to run only with a
SOAPBOX: reduced antenna setup with no stacks, but with a new 4Square for 80m,
SOAPBOX: a 5ele for 15m, an Optibeam for 20m (which had only 2 elements for
SOAPBOX: 14MHz ...) and a 6ele for 10m on a 100 ft high ladder of a fire engine
SOAPBOX: and our "Big Berta" the 130ft mobile tower with a 40m/2ele and a 80m
SOAPBOX: rotary Dipole.. It was a great weekend, with good runs on 10m. With a
SOAPBOX: number of guest operators and with an overall good result. Uli would
SOAPBOX: have been proud of the team. R.I.P.
QSO:  3723 PH 2013-10-26 0028 DP6T          59  14     OT5A          59  14     0
QSO: 14309 PH 2013-10-26 0030 DP6T          59  14     ED1R          59  14     0
QSO:  7102 PH 2013-10-26 0031 DP6T          59  14     7Z1SJ         59  21     0
QSO:  7094 PH 2013-10-26 0032 DP6T          59  14     9K2HN         59  21     0
QSO:  3679 PH 2013-10-26 0032 DP6T          59  14     SP6KCN        59  15     0
QSO:  7090 PH 2013-10-26 0032 DP6T          59  14     EW8DD         59  16     0
QSO:  7087 PH 2013-10-26 0032 DP6T          59  14     UN7TO         59  17     0
QSO:  3717 PH 2013-10-26 0032 DP6T          59  14     OZ5E          59  14     0
QSO:  1869 PH 2013-10-26 0032 DP6T          59  14     E73M          59  15     0
QSO:  7086 PH 2013-10-26 0032 DP6T          59  14     SX2I          59  20     0
QSO:  7082 PH 2013-10-26 0033 DP6T          59  14     A65BP         59  21     0
QSO:  7071 PH 2013-10-26 0033 DP6T          59  14     SV9FBG        59  20     0
QSO:  7068 PH 2013-10-26 0033 DP6T          59  14     Z35T          59  15     0
QSO:  3712 PH 2013-10-26 0034 DP6T          59  14     EU1WW         59  16     0
QSO:  1884 PH 2013-10-26 0034 DP6T          59  14     LA7H          59  14     0
QSO:  1837 PH 2013-10-26 0037 DP6T          59  14     9A5W          59  15     0
QSO:  7085 PH 2013-10-26 0037 DP6T          59  14     IR5A          59  15     0
QSO: 14265 PH 2013-10-26 0038 DP6T          59  14     P49Y          59  09     0
QSO:  7133 PH 2013-10-26 0038 DP6T          59  14     ED3X          59  14     0
QSO:  7134 PH 2013-10-26 0039 DP6T          59  14     K3LR          59  05     0
QSO:  1840 PH 2013-10-26 0039 DP6T          59  14     IO4C          59  15     0
