START-OF-LOG: 3.0
CALLSIGN: SB0A
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-STATION: PORTABLE
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 358463
CLUB: None
LOCATION: DX
CREATED-BY: N1MM Logger V13.3.2
NAME: Mikael Karlsson
OPERATORS: SM0LPO
SOAPBOX: My radio was my ICOM IC-7000 mounted in my car
SOAPBOX: with the carbattery as my only powersorce. My antenna
SOAPBOX: was a multiband dipole DX-CC (3.5-28 MHz) up about 10 meter
SOAPBOX: between two threes in the middle of the forrest.
SOAPBOX: Power output various between 50-100 watts depending on the status of
SOAPBOX: the car battery. The weather was real cold, rainy and windy ....
SOAPBOX: But still a very fun contest to run and I also got a lot of fresh air
SOAPBOX: and a lot of nice QSO's in old and new countries and prefixes :)
SOAPBOX: See you all in the CW-contest and I will run that contest
SOAPBOX: from my homeqth - in a warm apartment.
SOAPBOX: Best 73's and good DX from Mikael (SB0A/SM0LPO www.sm0lpo.se)
QSO: 14000 PH 2013-10-26 0245 SB0A          59  14     CR3A          59  33
QSO: 14000 PH 2013-10-26 0250 SB0A          59  14     N5DX          59  04
QSO: 14000 PH 2013-10-26 0256 SB0A          59  14     K7RL          59  03
QSO:  3500 PH 2013-10-26 0303 SB0A          59  14     EU6AF         59  16
QSO:  3500 PH 2013-10-26 0304 SB0A          59  14     OL9A          59  15
QSO:  3500 PH 2013-10-26 0305 SB0A          59  14     IW2HAJ        59  15
QSO:  3500 PH 2013-10-26 0305 SB0A          59  14     RA3Y          59  16
QSO:  3500 PH 2013-10-26 0307 SB0A          59  14     EW8DX         59  16
QSO:  3500 PH 2013-10-26 0308 SB0A          59  14     DP6T          59  14
QSO:  3500 PH 2013-10-26 0308 SB0A          59  14     UU7J          59  16
QSO:  3500 PH 2013-10-26 0311 SB0A          59  14     SQ9ORQ        59  15
QSO:  3500 PH 2013-10-26 0312 SB0A          59  14     M4A           59  14
QSO:  3500 PH 2013-10-26 0313 SB0A          59  14     UA1ANA        59  16
QSO:  3500 PH 2013-10-26 0319 SB0A          59  14     9A3B          59  15
QSO:  3500 PH 2013-10-26 0320 SB0A          59  14     PI4CG         59  04
QSO:  3500 PH 2013-10-26 0321 SB0A          59  14     OK5D          59  15
QSO:  3500 PH 2013-10-26 0321 SB0A          59  14     IH9B          59  33
QSO:  3500 PH 2013-10-26 0323 SB0A          59  14     DL0CS         59  14
QSO:  3500 PH 2013-10-26 0323 SB0A          59  14     RU1A          59  16
QSO:  3500 PH 2013-10-26 0324 SB0A          59  14     HG6N          59  15
QSO:  3500 PH 2013-10-26 0325 SB0A          59  14     DF0HQ         59  14
QSO:  3500 PH 2013-10-26 0326 SB0A          59  14     DJ4PT         59  14
QSO:  3500 PH 2013-10-26 0326 SB0A          59  14     SP8K          59  15
QSO:  3500 PH 2013-10-26 0327 SB0A          59  14     SP3GEM        59  15
QSO:  3500 PH 2013-10-26 0328 SB0A          59  14     ES9C          59  15
QSO:  3500 PH 2013-10-26 0332 SB0A          59  14     PA1NHZ        59  14
QSO:  3500 PH 2013-10-26 0334 SB0A          59  14     G3TXF         59  14
QSO:  3500 PH 2013-10-26 0335 SB0A          59  14     IG9Y          59  33
QSO:  3500 PH 2013-10-26 0336 SB0A          59  14     LA5UF         59  14
QSO:  3500 PH 2013-10-26 0339 SB0A          59  14     DQ4W          59  14
QSO:  3500 PH 2013-10-26 0340 SB0A          59  14     IQ3UD         59  15
QSO:  3500 PH 2013-10-26 0341 SB0A          59  14     SP6ZDA        59  15
QSO:  3500 PH 2013-10-26 0342 SB0A          59  14     IK3UNA/1      59  15
QSO:  3500 PH 2013-10-26 0343 SB0A          59  14     ES1O          59  15
QSO:  3500 PH 2013-10-26 0343 SB0A          59  14     SO5MAX        59  15
QSO:  7000 PH 2013-10-26 0349 SB0A          59  14     9A3A          59  15
QSO:  7000 PH 2013-10-26 0350 SB0A          59  14     S52X          59  15
QSO:  7000 PH 2013-10-26 0352 SB0A          59  14     YP9W          59  20
QSO:  7000 PH 2013-10-26 0401 SB0A          59  14     HA1TNX        59  15
QSO:  7000 PH 2013-10-26 0401 SB0A          59  14     DG1IU         59  14
QSO:  7000 PH 2013-10-26 0409 SB0A          59  14     E73M          59  15
QSO:  7000 PH 2013-10-26 0409 SB0A          59  14     HG6N          59  15
QSO:  7000 PH 2013-10-26 0411 SB0A          59  14     HA8RM         59  15
QSO:  7000 PH 2013-10-26 0412 SB0A          59  14     DJ5MW         59  14
QSO:  7000 PH 2013-10-26 0413 SB0A          59  14     S57AL         59  15
QSO:  7000 PH 2013-10-26 0415 SB0A          59  14     IB3A          59  15
QSO:  7000 PH 2013-10-26 0418 SB0A          59  14     G5W           59  14
QSO:  7000 PH 2013-10-26 0423 SB0A          59  14     OO7W          59  14
QSO:  7000 PH 2013-10-26 0425 SB0A          59  14     YT3E          59  15
QSO:  7000 PH 2013-10-26 0428 SB0A          59  14     HB9EE         59  14
QSO:  7000 PH 2013-10-26 0432 SB0A          59  14     OK1KUW        59  15
