START-OF-LOG: 3.0
CREATED-BY: TR4W v.4.248
CALLSIGN: UA6HFI
CONTEST: CQ-WW-SSB
CLAIMED-SCORE: 14784
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
OPERATORS: UA6HFI
CLUB: RUSSIAN CW CLUB
LOCATION: 16
NAME: Nicolay Smetanin
SOAPBOX: RIG: FT920  100W  ANTENNAS: DIPOL-160, 80; GP- 40; RQ32- 20,15,10
QSO:  7047 PH 2013-10-27 0443 UA6HFI        59  16     UU6J          59  16
QSO:  7058 PH 2013-10-27 0444 UA6HFI        59  16     EU1A          59  16
QSO:  7062 PH 2013-10-27 0447 UA6HFI        59  16     DJ5MW         59  15
QSO:  7147 PH 2013-10-27 0451 UA6HFI        59  16     UT7E          59  16
QSO:  7179 PH 2013-10-27 0455 UA6HFI        59  16     DF0HQ         59  14
QSO: 14190 PH 2013-10-27 0509 UA6HFI        59  16     RF9C          59  17
QSO: 14197 PH 2013-10-27 0511 UA6HFI        59  16     RA8T          59  16
QSO: 14227 PH 2013-10-27 0512 UA6HFI        59  16     UA9AU         59  17
QSO: 14264 PH 2013-10-27 0513 UA6HFI        59  16     RT4F          59  16
QSO: 14123 PH 2013-10-27 0634 UA6HFI        59  16     R9KD          59  17
QSO: 14175 PH 2013-10-27 0637 UA6HFI        59  16     RK9QWM        59  17
QSO: 14181 PH 2013-10-27 0638 UA6HFI        59  16     RW9UP         59  18
QSO: 14188 PH 2013-10-27 0641 UA6HFI        59  16     UP9L          59  17
QSO: 28375 PH 2013-10-27 0643 UA6HFI        59  16     UN1F          59  17
QSO: 28527 PH 2013-10-27 0647 UA6HFI        59  16     JJ0KRD        59  25
QSO: 28539 PH 2013-10-27 0650 UA6HFI        59  16     ZW5B          59  11
QSO: 28551 PH 2013-10-27 0651 UA6HFI        59  16     RL9I          59  18
QSO: 28556 PH 2013-10-27 0653 UA6HFI        59  16     JR3HZW        59  25
QSO: 21150 PH 2013-10-27 0655 UA6HFI        59  16     UK9AA         59  17
QSO: 21159 PH 2013-10-27 0655 UA6HFI        59  16     RK9CYA        59  17
QSO: 21180 PH 2013-10-27 1059 UA6HFI        59  16     UP9L          59  17
QSO: 21228 PH 2013-10-27 1102 UA6HFI        59  16     RA8T          59  16
QSO: 21229 PH 2013-10-27 1103 UA6HFI        59  16     UA9CTT        59  17
QSO: 21236 PH 2013-10-27 1104 UA6HFI        59  16     A73A          59  21
QSO: 21258 PH 2013-10-27 1106 UA6HFI        59  16     RN9O          59  18
QSO: 21279 PH 2013-10-27 1108 UA6HFI        59  16     OL7T          59  15
QSO: 21130 PH 2013-10-27 1109 UA6HFI        59  16     SN7O          59  15
QSO: 21153 PH 2013-10-27 1111 UA6HFI        59  16     YL9T          59  15
QSO: 21195 PH 2013-10-27 1114 UA6HFI        59  16     SP9KR         59  15
QSO: 28405 PH 2013-10-27 1118 UA6HFI        59  16     II9P          59  15
QSO: 28454 PH 2013-10-27 1120 UA6HFI        59  16     HB9EE         59  14
QSO: 28457 PH 2013-10-27 1121 UA6HFI        59  16     IB9T          59  15
QSO: 28459 PH 2013-10-27 1123 UA6HFI        59  16     3V7A          59  33
QSO: 28475 PH 2013-10-27 1123 UA6HFI        59  16     TM1A          59  14
QSO: 28491 PH 2013-10-27 1125 UA6HFI        59  16     IO5O          59  15
QSO: 28500 PH 2013-10-27 1126 UA6HFI        59  16     TM0R          59  14
QSO: 28505 PH 2013-10-27 1126 UA6HFI        59  16     HB9O          59  14
QSO: 28548 PH 2013-10-27 1127 UA6HFI        59  16     DK5QN         59  14
