START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: DL7VRG
CLAIMED-SCORE: 29648
OPERATORS: DL7VRG
CLUB: RHEIN RUHR DX ASSOCIATION
NAME: MATTHIAS ZIEGLER
SOAPBOX: Nice contest, see you all next year, 73 Matt !
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
QSO: 07000 PH 2013-10-26 0632 DL7VRG  59 14 EW8DD      59 16
QSO: 07000 PH 2013-10-26 0636 DL7VRG  59 14 HA30S      59 15
QSO: 14000 PH 2013-10-26 0637 DL7VRG  59 14 UA9AU      59 17
QSO: 14000 PH 2013-10-26 0640 DL7VRG  59 14 CN3A       59 33
QSO: 21000 PH 2013-10-26 0831 DL7VRG  59 14 II9K       59 15
QSO: 28000 PH 2013-10-26 0832 DL7VRG  59 14 CR6K       59 14
QSO: 28000 PH 2013-10-26 0838 DL7VRG  59 14 UA4M       59 16
QSO: 28000 PH 2013-10-26 0841 DL7VRG  59 14 RY6Y       59 16
QSO: 28000 PH 2013-10-26 0841 DL7VRG  59 14 P3J        59 20
QSO: 28000 PH 2013-10-26 0846 DL7VRG  59 14 P33W       59 20
QSO: 21000 PH 2013-10-26 0849 DL7VRG  59 14 ED5N       59 14
QSO: 14000 PH 2013-10-26 0851 DL7VRG  59 14 F4FLQ      59 14
QSO: 14000 PH 2013-10-26 0852 DL7VRG  59 14 EA2DNR     59 14
QSO: 14000 PH 2013-10-26 0853 DL7VRG  59 14 HB30OK     59 14
QSO: 14000 PH 2013-10-26 0854 DL7VRG  59 14 UW5ZM      59 16
QSO: 14000 PH 2013-10-26 0855 DL7VRG  59 14 LZ9W       59 20
QSO: 14000 PH 2013-10-26 0856 DL7VRG  59 14 LY7A       59 15
QSO: 14000 PH 2013-10-26 0857 DL7VRG  59 14 ES9C       59 15
QSO: 28000 PH 2013-10-26 0859 DL7VRG  59 14 EA9KB      59 33
QSO: 28000 PH 2013-10-26 0900 DL7VRG  59 14 P3N        59 20
QSO: 28000 PH 2013-10-26 0901 DL7VRG  59 14 A60A       59 21
QSO: 28000 PH 2013-10-26 0902 DL7VRG  59 14 RA4W       59 16
QSO: 28000 PH 2013-10-26 0904 DL7VRG  59 14 RW0A       59 18
QSO: 07000 PH 2013-10-26 0907 DL7VRG  59 14 LY7A       59 15
QSO: 07000 PH 2013-10-26 0908 DL7VRG  59 14 OL5T       59 15
QSO: 07000 PH 2013-10-26 0909 DL7VRG  59 14 TM7GY      59 14
QSO: 07000 PH 2013-10-26 0910 DL7VRG  59 14 GM6NX      59 14
QSO: 21000 PH 2013-10-26 1451 DL7VRG  59 14 K2LE       59 5
QSO: 21000 PH 2013-10-26 1457 DL7VRG  59 14 W3UA       59 5
QSO: 21000 PH 2013-10-26 1544 DL7VRG  59 14 RT7T       59 16
QSO: 21000 PH 2013-10-26 1545 DL7VRG  59 14 KB1H       59 5
QSO: 21000 PH 2013-10-26 1547 DL7VRG  59 14 3V7A       59 33
QSO: 21000 PH 2013-10-26 1554 DL7VRG  59 14 KV0Q       59 04
QSO: 21000 PH 2013-10-26 1554 DL7VRG  59 14 RF9C       59 17
QSO: 14000 PH 2013-10-26 1557 DL7VRG  59 14 II9P       59 15
QSO: 14000 PH 2013-10-26 1559 DL7VRG  59 14 EE5T       59 14
QSO: 14000 PH 2013-10-26 1600 DL7VRG  59 14 RM2U       59 16
QSO: 14000 PH 2013-10-26 1600 DL7VRG  59 14 RM2U       59 16
QSO: 21000 PH 2013-10-26 1604 DL7VRG  59 14 II9P       59 15
QSO: 21000 PH 2013-10-26 1611 DL7VRG  59 14 SV9FBG     59 20
QSO: 14000 PH 2013-10-26 1614 DL7VRG  59 14 EA6SX      59 14
QSO: 14000 PH 2013-10-26 1616 DL7VRG  59 14 UY7MM      59 16
QSO: 14000 PH 2013-10-26 1616 DL7VRG  59 14 F5OHM      59 14
QSO: 14000 PH 2013-10-26 1619 DL7VRG  59 14 SV1PMR     59 20
QSO: 28000 PH 2013-10-26 1734 DL7VRG  59 14 K5KG       59 5
QSO:  7000 PH 2013-10-26 1741 DL7VRG  59 14 MW0EDX     59 14
QSO:  7000 PH 2013-10-26 1743 DL7VRG  59 14 UT0AZA     59 16
QSO:  7000 PH 2013-10-26 1743 DL7VRG  59 14 PA5CA      59 14
QSO:  7000 PH 2013-10-26 1744 DL7VRG  59 14 LY4T       59 15
QSO:  7000 PH 2013-10-26 1746 DL7VRG  59 14 ES1O       59 15
QSO:  7000 PH 2013-10-26 1747 DL7VRG  59 14 DM5TI      59 14
