START-OF-LOG: 3.0
CALLSIGN: JN3DMJ
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: QRP
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 3432
CREATED-BY: Homebrew System
LOCATION: DX
NAME: Koichi Matsumoto
OPERATORS: JN3DMJ
SOAPBOX: The actual maximum power output used is 5 watts.
QSO: 21219 PH 2013-10-26 0043 JN3DMJ        59  25     N9RV          59  04
QSO: 28428 PH 2013-10-26 0057 JN3DMJ        59  25     AH2R          59  27
QSO: 28453 PH 2013-10-26 0101 JN3DMJ        59  25     K7RL          59  03
QSO: 21273 PH 2013-10-26 0852 JN3DMJ        59  25     T88AZ         59  27
QSO: 14170 PH 2013-10-26 0938 JN3DMJ        59  25     T8TT          59  27
QSO: 21256 PH 2013-10-26 0952 JN3DMJ        59  25     NH2DX         59  27
QSO: 21277 PH 2013-10-26 1003 JN3DMJ        59  25     VK4KW         59  30
QSO: 28532 PH 2013-10-26 1009 JN3DMJ        59  25     9M4SG         59  28
QSO:  7107 PH 2013-10-26 1316 JN3DMJ        59  25     RT0F          59  19
QSO:  7140 PH 2013-10-26 1525 JN3DMJ        59  25     BY4SHX        59  24
QSO: 28505 PH 2013-10-27 0114 JN3DMJ        59  25     DX1M          59  27
QSO: 21180 PH 2013-10-27 0120 JN3DMJ        59  25     BH7PFH        59  24
QSO: 21193 PH 2013-10-27 0123 JN3DMJ        59  25     B3C           59  24
QSO: 21217 PH 2013-10-27 0127 JN3DMJ        59  25     RA/KE5JA      59  19
QSO: 21235 PH 2013-10-27 0150 JN3DMJ        59  25     YB0DJ         59  28
QSO: 21281 PH 2013-10-27 0209 JN3DMJ        59  25     BY4BMH        59  24
QSO: 21304 PH 2013-10-27 0212 JN3DMJ        59  25     DU1AV         59  27
QSO: 21337 PH 2013-10-27 0217 JN3DMJ        59  25     T8TT          59  27
QSO: 21384 PH 2013-10-27 0220 JN3DMJ        59  25     BD2FW         59  24
QSO: 21249 PH 2013-10-27 0304 JN3DMJ        59  25     N7DD          59  03
QSO: 21270 PH 2013-10-27 0310 JN3DMJ        59  25     BA7JA         59  24
QSO: 21276 PH 2013-10-27 0313 JN3DMJ        59  25     BV55D         59  24
QSO: 21270 PH 2013-10-27 0332 JN3DMJ        59  25     NH2T          59  27
QSO: 21320 PH 2013-10-27 0338 JN3DMJ        59  25     BY5HB         59  24
QSO: 21372 PH 2013-10-27 0417 JN3DMJ        59  25     KH7CW         59  31
QSO: 28455 PH 2013-10-27 0422 JN3DMJ        59  25     LP1H          59  13
QSO: 28468 PH 2013-10-27 0425 JN3DMJ        59  25     LU3HS         59  13
QSO: 28507 PH 2013-10-27 0429 JN3DMJ        59  25     AY5F          59  13
QSO: 28542 PH 2013-10-27 0441 JN3DMJ        59  25     RW0BG         59  18
QSO: 21234 PH 2013-10-27 0448 JN3DMJ        59  25     B4S           59  24
QSO: 21247 PH 2013-10-27 0455 JN3DMJ        59  25     YB9Y          59  28
QSO: 21273 PH 2013-10-27 0517 JN3DMJ        59  25     DU1HR         59  27
QSO: 21276 PH 2013-10-27 0525 JN3DMJ        59  25     YE2R          59  28
QSO: 21242 PH 2013-10-27 0536 JN3DMJ        59  25     9M6XRO        59  28
QSO: 28485 PH 2013-10-27 0551 JN3DMJ        59  25     DU1AV         59  27
QSO: 28483 PH 2013-10-27 0556 JN3DMJ        59  25     BU2AU         59  24
QSO: 21269 PH 2013-10-27 0624 JN3DMJ        59  25     AH0BT         59  27
QSO: 28444 PH 2013-10-27 0734 JN3DMJ        59  25     RM0A          59  18
QSO: 21163 PH 2013-10-27 0743 JN3DMJ        59  25     RT0F          59  19
QSO: 21213 PH 2013-10-27 0746 JN3DMJ        59  25     DU1/JA3FJE    59  27
END-OF-LOG:
