START-OF-LOG: 3.0
LOCATION: DX
CALLSIGN: PJ2T
CLUB: CARIBBEAN CONTESTING CONSORTIUM
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: SSB
CATEGORY-POWER: HIGH
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: UNLIMITED
CLAIMED-SCORE: 40174169
OPERATORS: G3NKC, G4XUM, K8LEE, N0KE, N0VD, N4RV, PA1CC, PE2MC, W0RIC, YV1DIG
NAME: Kelly Jones
CREATED-BY: N1MM Logger V13.10.1
QSO: 14206 PH 2013-10-26 0000 PJ2T          59  9      N4DL          59  05
QSO: 21307 PH 2013-10-26 0000 PJ2T          59  9      VK3AKK        59  30
QSO:  3796 PH 2013-10-26 0000 PJ2T          59  9      CE3EEA        59  12
QSO: 21307 PH 2013-10-26 0000 PJ2T          59  9      CE3CT         59  12
QSO:  3796 PH 2013-10-26 0000 PJ2T          59  9      YV2IF         59  09
QSO: 14206 PH 2013-10-26 0000 PJ2T          59  9      N2LBR         59  05
QSO: 28430 PH 2013-10-26 0000 PJ2T          59  9      LW6DG         59  13
QSO:  3796 PH 2013-10-26 0000 PJ2T          59  9      LP1H          59  13
QSO: 21307 PH 2013-10-26 0000 PJ2T          59  9      K5HTE         59  04
QSO: 14206 PH 2013-10-26 0000 PJ2T          59  9      NA4CW         59  05
QSO:  3796 PH 2013-10-26 0000 PJ2T          59  9      K4LY          59  05
QSO: 14206 PH 2013-10-26 0000 PJ2T          59  9      WA6MHZ        59  03
QSO: 21307 PH 2013-10-26 0001 PJ2T          59  9      K5LAD         59  04
QSO:  3796 PH 2013-10-26 0001 PJ2T          59  9      NP4A          59  08
QSO: 21307 PH 2013-10-26 0001 PJ2T          59  9      N7XR          59  03
QSO:  3796 PH 2013-10-26 0001 PJ2T          59  9      W4QNW         59  05
QSO:  7046 PH 2013-10-26 0001 PJ2T          59  9      EA1MW         59  14
QSO: 14206 PH 2013-10-26 0001 PJ2T          59  9      NC6U          59  03
QSO:  3796 PH 2013-10-26 0001 PJ2T          59  9      K0BS          59  04
QSO: 21307 PH 2013-10-26 0001 PJ2T          59  9      K9IMM         59  04
QSO:  3796 PH 2013-10-26 0001 PJ2T          59  9      WA2WVL        59  05
QSO: 21307 PH 2013-10-26 0001 PJ2T          59  9      K3EST         59  03
QSO: 14206 PH 2013-10-26 0001 PJ2T          59  9      N4CGC         59  05
QSO:  3796 PH 2013-10-26 0001 PJ2T          59  9      N3RJ          59  05
QSO:  7046 PH 2013-10-26 0001 PJ2T          59  9      IZ3NYG        59  15
QSO: 14206 PH 2013-10-26 0001 PJ2T          59  9      3G3W          59  12
QSO: 28455 PH 2013-10-26 0001 PJ2T          59  9      PS2R          59  11
QSO:  3796 PH 2013-10-26 0001 PJ2T          59  9      KK4OK         59  05
QSO: 14206 PH 2013-10-26 0001 PJ2T          59  9      NN3W          59  05
QSO: 14206 PH 2013-10-26 0002 PJ2T          59  9      N4EK          59  05
QSO:  7046 PH 2013-10-26 0002 PJ2T          59  9      IZ6CFG        59  15
QSO: 21307 PH 2013-10-26 0002 PJ2T          59  9      K7XE          59  03
QSO: 14206 PH 2013-10-26 0002 PJ2T          59  9      KU8K          59  04
QSO: 21307 PH 2013-10-26 0002 PJ2T          59  9      PJ4X          59  09
QSO: 14206 PH 2013-10-26 0002 PJ2T          59  9      K6CGE         59  03
QSO:  3796 PH 2013-10-26 0002 PJ2T          59  9      LP1H          59  13
QSO: 14206 PH 2013-10-26 0003 PJ2T          59  9      VA3UG         59  04
QSO:  7046 PH 2013-10-26 0003 PJ2T          59  9      R4RB          59  16
QSO: 21307 PH 2013-10-26 0003 PJ2T          59  9      W5GWH         59  04
QSO: 14206 PH 2013-10-26 0003 PJ2T          59  9      VE3TW         59  04
QSO:  7046 PH 2013-10-26 0003 PJ2T          59  9      OM3IAG        59  15
QSO: 14206 PH 2013-10-26 0003 PJ2T          59  9      WW2NC         59  05
QSO: 14206 PH 2013-10-26 0003 PJ2T          59  9      VA3DDX        59  04
QSO: 21307 PH 2013-10-26 0003 PJ2T          59  9      XE2MX         59  06
QSO:  7046 PH 2013-10-26 0003 PJ2T          59  9      R7NP          59  16
QSO: 21307 PH 2013-10-26 0003 PJ2T          59  9      XE2TZP        59  06
QSO: 14206 PH 2013-10-26 0003 PJ2T          59  9      KI6KVW        59  03
QSO:  1836 PH 2013-10-26 0003 PJ2T          59  9      N8RR          59  05
QSO:  7046 PH 2013-10-26 0003 PJ2T          59  9      S54ZZ         59  15
QSO: 14206 PH 2013-10-26 0003 PJ2T          59  9      LU1FM         59  13
QSO: 14206 PH 2013-10-26 0003 PJ2T          59  9      N7BK          59  03
QSO: 21307 PH 2013-10-26 0004 PJ2T          59  9      EA8TC         59  33
QSO: 14206 PH 2013-10-26 0004 PJ2T          59  9      VE2PLX        59  05
QSO: 28455 PH 2013-10-26 0004 PJ2T          59  9      PU5BOY        59  11
QSO: 28455 PH 2013-10-26 0004 PJ2T          59  9      LT2H          59  13
QSO:  3796 PH 2013-10-26 0004 PJ2T          59  9      K2DM          59  05
QSO: 21307 PH 2013-10-26 0004 PJ2T          59  9      CV4C          59  13
QSO:  7045 PH 2013-10-26 0004 PJ2T          59  9      S51I          59  15
QSO: 28455 PH 2013-10-26 0004 PJ2T          59  9      PU1TYZ        59  11
QSO: 14206 PH 2013-10-26 0005 PJ2T          59  9      K8JRK         59  03
QSO:  7046 PH 2013-10-26 0005 PJ2T          59  9      SP6T          59  15
QSO: 28455 PH 2013-10-26 0005 PJ2T          59  9      PY2ZW         59  11
QSO: 21307 PH 2013-10-26 0005 PJ2T          59  9      LU2BPM        59  13
QSO: 14206 PH 2013-10-26 0005 PJ2T          59  9      KF7PBM        59  03
QSO:  7046 PH 2013-10-26 0005 PJ2T          59  9      YT3E          59  15
QSO:  1836 PH 2013-10-26 0005 PJ2T          59  9      K4TR          59  05
QSO: 21307 PH 2013-10-26 0005 PJ2T          59  9      K5DC          59  04
QSO: 14206 PH 2013-10-26 0005 PJ2T          59  9      VE9PLS        59  05
QSO:  3796 PH 2013-10-26 0005 PJ2T          59  9      KD4EXY        59  05
QSO:  7046 PH 2013-10-26 0005 PJ2T          59  9      YO2LEA        59  20
QSO: 14206 PH 2013-10-26 0005 PJ2T          59  9      NS0I          59  05
QSO: 21307 PH 2013-10-26 0005 PJ2T          59  9      NT6X          59  03
QSO:  7046 PH 2013-10-26 0006 PJ2T          59  9      SP2BUC        59  15
QSO: 28455 PH 2013-10-26 0006 PJ2T          59  9      LU8YE         59  13
QSO: 14206 PH 2013-10-26 0006 PJ2T          59  9      KM5WX         59  04
QSO:  7046 PH 2013-10-26 0006 PJ2T          59  9      CT1GVN        59  14
QSO:  7046 PH 2013-10-26 0006 PJ2T          59  9      DK5QN         59  14
QSO: 28455 PH 2013-10-26 0006 PJ2T          59  9      LW5ER         59  13
QSO: 21307 PH 2013-10-26 0006 PJ2T          59  9      AG4C          59  05
QSO: 14206 PH 2013-10-26 0006 PJ2T          59  9      NC8N          59  05
QSO:  7046 PH 2013-10-26 0006 PJ2T          59  9      SP9AQF        59  15
QSO: 28455 PH 2013-10-26 0006 PJ2T          59  9      PY2NY         59  11
QSO:  1836 PH 2013-10-26 0006 PJ2T          59  9      CN2AA         59  33
QSO:  7046 PH 2013-10-26 0006 PJ2T          59  9      IO1T          59  15
QSO: 28455 PH 2013-10-26 0007 PJ2T          59  9      CW7T          59  13
QSO: 21307 PH 2013-10-26 0007 PJ2T          59  9      PX2W          59  11
QSO: 28455 PH 2013-10-26 0007 PJ2T          59  9      CX7ACH        59  13
QSO:  7046 PH 2013-10-26 0007 PJ2T          59  9      DR1A          59  14
QSO: 14206 PH 2013-10-26 0007 PJ2T          59  9      VE7APF        59  03
QSO: 14206 PH 2013-10-26 0007 PJ2T          59  9      KK7AC         59  03
QSO:  1836 PH 2013-10-26 0007 PJ2T          59  9      J69MV         59  08
QSO: 14206 PH 2013-10-26 0007 PJ2T          59  9      WB2OQQ        59  05
QSO:  7046 PH 2013-10-26 0007 PJ2T          59  9      IK0GHB        59  15
QSO: 14206 PH 2013-10-26 0007 PJ2T          59  9      KK6WG         59  03
QSO: 14206 PH 2013-10-26 0007 PJ2T          59  9      K3QF          59  05
