START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: DK0LK
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-STATION: FIXED
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
LOCATION: DX
CLAIMED-SCORE: 15030
CREATED-BY: UcxLog 7.32
OPERATORS: DO2MWE
NAME: Manuel Werner
CLUB: DARC
SOAPBOX: TS850, 500W, Ant. 40m Dipol, 10m agnd, 40m asl, 31600Uchte, Lohhof5A
OFFTIME: 2013-10-26 0602 2013-10-26 1344
OFFTIME: 2013-10-26 1921 2013-10-27 1430
OFFTIME: 2013-10-27 1846 2013-10-27 2359
QSO:  7000 PH 2013-10-26 0116 DK0LK         59  14     UA5B          59  16     0
QSO:  3500 PH 2013-10-26 0133 DK0LK         59  14     S54ZZ         59  15     0
QSO:  3500 PH 2013-10-26 0136 DK0LK         59  14     OK1DOY        59  15     0
QSO:  3500 PH 2013-10-26 0140 DK0LK         59  14     SP6KCN        59  15     0
QSO:  7000 PH 2013-10-26 0152 DK0LK         59  14     OM8A          59  15     0
QSO:  7000 PH 2013-10-26 0536 DK0LK         59  14     II9K          59  15     0
QSO:  7000 PH 2013-10-26 0540 DK0LK         59  14     US0HZ         59  16     0
QSO:  7000 PH 2013-10-26 0545 DK0LK         59  14     ED2W          59  14     0
QSO: 14000 PH 2013-10-26 0553 DK0LK         59  14     YT3M          59  15     0
QSO: 14000 PH 2013-10-26 0556 DK0LK         59  14     UZ0U          59  16     0
QSO: 14000 PH 2013-10-26 0601 DK0LK         59  14     IF9A          59  15     0
QSO: 14000 PH 2013-10-26 1345 DK0LK         59  14     S51CK         59  15     0
QSO: 14000 PH 2013-10-26 1348 DK0LK         59  14     N0NI          59  04     0
QSO: 14000 PH 2013-10-26 1350 DK0LK         59  14     OM4C          59  15     0
QSO: 14000 PH 2013-10-26 1352 DK0LK         59  14     HG3M          59  15     0
QSO: 14000 PH 2013-10-26 1354 DK0LK         59  14     IK3UNA/P1     59  15     0
QSO: 14000 PH 2013-10-26 1357 DK0LK         59  14     ES9C          59  15     0
QSO: 14000 PH 2013-10-26 1359 DK0LK         59  14     EE5T          59  14     0
QSO: 14000 PH 2013-10-26 1401 DK0LK         59  14     IT9BDM        59  15     0
QSO: 14000 PH 2013-10-26 1402 DK0LK         59  14     II9P          59  15     0
QSO: 14000 PH 2013-10-26 1406 DK0LK         59  14     IZ1ANK        59  15     0
QSO: 14000 PH 2013-10-26 1407 DK0LK         59  14     YT1A          59  15     0
QSO: 14000 PH 2013-10-26 1408 DK0LK         59  14     IW5CRG        59  15     0
QSO: 21000 PH 2013-10-26 1414 DK0LK         59  14     A65BP         59  21     0
QSO: 21000 PH 2013-10-26 1416 DK0LK         59  14     UY1IP         59  16     0
QSO: 21000 PH 2013-10-26 1417 DK0LK         59  14     UK9AA         59  17     0
QSO: 21000 PH 2013-10-26 1418 DK0LK         59  14     UX4E          59  16     0
QSO: 21000 PH 2013-10-26 1419 DK0LK         59  14     EE5T          59  14     0
QSO: 21000 PH 2013-10-26 1436 DK0LK         59  14     TC0BOZ        59  20     0
QSO: 21000 PH 2013-10-26 1448 DK0LK         59  14     IG9Y          59  33     0
QSO: 14000 PH 2013-10-26 1458 DK0LK         59  14     ED1R          59  14     0
QSO: 14000 PH 2013-10-26 1459 DK0LK         59  14     EA7LL         59  14     0
QSO: 14000 PH 2013-10-26 1500 DK0LK         59  14     OL9Z          59  15     0
QSO: 14000 PH 2013-10-26 1502 DK0LK         59  14     HA30S         59  15     0
QSO: 14000 PH 2013-10-26 1503 DK0LK         59  14     9A6A          59  15     0
QSO: 14000 PH 2013-10-26 1600 DK0LK         59  14     RM2U          59  16     0
QSO: 14000 PH 2013-10-26 1603 DK0LK         59  14     US1I          59  16     0
QSO: 14000 PH 2013-10-26 1607 DK0LK         59  14     A71BX         59  21     0
QSO:  7000 PH 2013-10-26 1623 DK0LK         59  14     TM1A          59  14     0
QSO:  7000 PH 2013-10-26 1626 DK0LK         59  14     UP2L          59  17     0
QSO:  7000 PH 2013-10-26 1629 DK0LK         59  14     DD1MAT        59  14     0
QSO:  7000 PH 2013-10-26 1630 DK0LK         59  14     HB30OK        59  14     0
QSO:  7000 PH 2013-10-26 1632 DK0LK         59  14     PI4M          59  14     0
QSO:  7000 PH 2013-10-26 1635 DK0LK         59  14     IV3GFL        59  15     0
QSO:  7000 PH 2013-10-26 1638 DK0LK         59  14     SP6QKS        59  15     0
QSO:  7000 PH 2013-10-26 1641 DK0LK         59  14     DF0HQ         59  14     0
QSO:  7000 PH 2013-10-26 1646 DK0LK         59  14     SP9KAO        59  15     0
QSO:  3500 PH 2013-10-26 1648 DK0LK         59  14     OK5D          59  15     0
QSO:  3500 PH 2013-10-26 1649 DK0LK         59  14     OK5D          58  15     0
QSO:  3500 PH 2013-10-26 1650 DK0LK         59  14     S5DX          59  15     0
QSO:  3500 PH 2013-10-26 1651 DK0LK         59  14     OT5A          59  14     0
QSO:  3500 PH 2013-10-26 1652 DK0LK         59  14     DP6T          59  14     0
QSO: 21000 PH 2013-10-26 1722 DK0LK         59  14     VE6SV         59  04     0
QSO: 21000 PH 2013-10-26 1723 DK0LK         59  14     CN3A          59  33     0
QSO: 21000 PH 2013-10-26 1724 DK0LK         59  14     VE3JM         59  04     0
QSO: 21000 PH 2013-10-26 1726 DK0LK         59  14     CJ3T          59  04     0
QSO: 21000 PH 2013-10-26 1729 DK0LK         59  14     VE3EJ         59  04     0
QSO: 21000 PH 2013-10-26 1731 DK0LK         59  14     VE2IM         59  02     0
QSO: 28000 PH 2013-10-26 1805 DK0LK         59  14     DL8QE         59  14     0
QSO: 14000 PH 2013-10-26 1813 DK0LK         59  14     EA6XQ         59  14     0
QSO:  7000 PH 2013-10-26 1831 DK0LK         59  14     TM9R          59  14     0
QSO:  7000 PH 2013-10-26 1838 DK0LK         59  14     OT5A          59  14     0
QSO:  3500 PH 2013-10-26 1841 DK0LK         59  14     DM5TI         59  14     0
QSO: 14000 PH 2013-10-26 1849 DK0LK         59  14     EA6PS53R      59  14     0
QSO: 14000 PH 2013-10-26 1851 DK0LK         59  14     K3LR          59  05     0
QSO: 14000 PH 2013-10-26 1852 DK0LK         59  14     IG9Y          59  33     0
QSO: 14000 PH 2013-10-26 1902 DK0LK         59  14     3V7A          59  33     0
QSO: 14000 PH 2013-10-26 1908 DK0LK         59  14     P3N           59  20     0
QSO:  7000 PH 2013-10-26 1916 DK0LK         59  14     ED1R          59  14     0
QSO:  7000 PH 2013-10-26 1918 DK0LK         59  14     UP0L          59  17     0
QSO:  7000 PH 2013-10-26 1920 DK0LK         59  14     RT6A          59  16     0
QSO: 14000 PH 2013-10-27 1430 DK0LK         59  14     RX4W          59  16     0
QSO: 14000 PH 2013-10-27 1431 DK0LK         59  14     F5PAL         59  14     0
QSO: 14000 PH 2013-10-27 1432 DK0LK         59  14     E77A          59  15     0
QSO: 14000 PH 2013-10-27 1433 DK0LK         59  14     LY7Z          59  15     0
QSO: 14000 PH 2013-10-27 1438 DK0LK         59  14     MM0LBX        59  14     0
QSO: 14000 PH 2013-10-27 1439 DK0LK         59  14     IT9BYL        59  15     0
QSO: 14000 PH 2013-10-27 1440 DK0LK         59  14     OM3ID         59  15     0
QSO: 14000 PH 2013-10-27 1442 DK0LK         59  14     S53EO         59  15     0
QSO: 14000 PH 2013-10-27 1445 DK0LK         59  14     YT7B          59  15     0
QSO: 14000 PH 2013-10-27 1447 DK0LK         59  14     LZ9W          59  20     0
QSO: 14000 PH 2013-10-27 1450 DK0LK         59  14     RC6U          59  16     0
QSO: 14000 PH 2013-10-27 1456 DK0LK         59  14     EU2MM         59  16     0
QSO: 14000 PH 2013-10-27 1458 DK0LK         59  14     RC9O          59  18     0
QSO: 14000 PH 2013-10-27 1500 DK0LK         59  14     SV5DKL        59  20     0
QSO: 14000 PH 2013-10-27 1502 DK0LK         59  14     S57Z          59  15     0
QSO: 14000 PH 2013-10-27 1504 DK0LK         59  14     YT2ISM        59  15     0
QSO: 14000 PH 2013-10-27 1505 DK0LK         59  14     9A5Y          59  15     0
QSO: 14000 PH 2013-10-27 1514 DK0LK         59  14     YT8A          59  15     0
QSO: 14000 PH 2013-10-27 1516 DK0LK         59  14     RU1A          59  16     0
QSO: 14000 PH 2013-10-27 1521 DK0LK         59  14     F1NZC         59  14     0
QSO: 14000 PH 2013-10-27 1527 DK0LK         59  14     W0AIH         59  04     0
QSO: 14000 PH 2013-10-27 1528 DK0LK         59  14     RA7A          59  16     0
QSO: 14000 PH 2013-10-27 1530 DK0LK         59  14     EA5DFV        59  14     0
QSO: 14000 PH 2013-10-27 1531 DK0LK         59  14     IR2P          59  15     0
QSO: 14000 PH 2013-10-27 1533 DK0LK         59  14     F4FLQ         59  14     0
QSO: 14000 PH 2013-10-27 1534 DK0LK         59  14     TM4L          59  14     0
QSO: 14000 PH 2013-10-27 1535 DK0LK         59  14     IZ1TUF        59  15     0
QSO: 14000 PH 2013-10-27 1536 DK0LK         59  14     IW1FGY        59  15     0
QSO: 21000 PH 2013-10-27 1545 DK0LK         59  14     RT6A          59  16     0
QSO: 21000 PH 2013-10-27 1550 DK0LK         59  14     ED1R          59  14     0
QSO: 21000 PH 2013-10-27 1551 DK0LK         59  14     WE3C          59  05     0
QSO: 21000 PH 2013-10-27 1553 DK0LK         59  14     SX5P          59  20     0
QSO: 21000 PH 2013-10-27 1556 DK0LK         59  14     P43A          59  09     0
QSO: 21000 PH 2013-10-27 1557 DK0LK         59  14     EA7ATX        59  14     0
