START-OF-LOG: 3.0
CALLSIGN: K9QJS
LOCATION: WWA
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: FIXED
CATEGORY-OVERLAY: ROOKIE
CLAIMED-SCORE: 25844
CREATED-BY: RUMped Ver. 3.2.7  by Tom, DL2RUM
NAME: James K. "Hoop" Hooper
SOAPBOX: Licensed in 2011 I'm definitely a rookie when it comes to
SOAPBOX: submitting Cabrillo logs and I hope I am doing it correctly!
QSO: 14260 PH 2013-10-26 0124 K9QJS         59      03 OH8L          59      15 0
QSO: 14260 PH 2013-10-26 0126 K9QJS         59      03 OZ7X          59      14 0
QSO: 14264 PH 2013-10-26 0255 K9QJS         59      03 ES9C          59      15 0
QSO: 14240 PH 2013-10-26 0519 K9QJS         59      03 K6HNZ         59      03 0
QSO:  3678 PH 2013-10-26 0553 K9QJS         59      03 KL7RA         59      01 0
QSO:  3694 PH 2013-10-26 0555 K9QJS         59      03 VC3R          59      04 0
QSO: 14290 PH 2013-10-26 1553 K9QJS         59      03 UP2L          59      17 0
QSO: 14266 PH 2013-10-26 1711 K9QJS         59      03 KH6MB         59      31 0
QSO: 14281 PH 2013-10-26 2049 K9QJS         59      03 II9P          59      15 0
QSO: 14279 PH 2013-10-26 2052 K9QJS         59      03 TM4L          59      14 0
QSO: 14261 PH 2013-10-26 2115 K9QJS         59      03 VE6AO         59      04 0
QSO: 14239 PH 2013-10-26 2118 K9QJS         59      03 TM6M          59      14 0
QSO: 14229 PH 2013-10-26 2122 K9QJS         59      03 CS2P          59      14 0
QSO: 14218 PH 2013-10-26 2123 K9QJS         59      03 OT5A          59      14 0
QSO: 14221 PH 2013-10-26 2124 K9QJS         59      03 IB9T          59      15 0
QSO: 14225 PH 2013-10-26 2126 K9QJS         59      03 ED2W          59      14 0
QSO: 14204 PH 2013-10-26 2131 K9QJS         59      03 ED1R          59      14 0
QSO: 14174 PH 2013-10-26 2141 K9QJS         59      03 W3UA          59      05 0
QSO: 14182 PH 2013-10-26 2143 K9QJS         59      03 WE3C          59      05 0
QSO: 21337 PH 2013-10-26 2147 K9QJS         59      03 WH2DX         59      27 0
QSO: 28391 PH 2013-10-26 2152 K9QJS         59      03 CW5W          59      13 0
QSO: 28441 PH 2013-10-26 2206 K9QJS         59      03 N5DX          59      04 0
QSO: 28466 PH 2013-10-26 2238 K9QJS         59      03 LU3HS         59      13 0
QSO: 28470 PH 2013-10-26 2258 K9QJS         59      03 TG9NX         59      07 0
QSO: 28553 PH 2013-10-26 2303 K9QJS         59      03 TI5W          59      07 0
QSO: 28559 PH 2013-10-26 2304 K9QJS         59      03 W0GJ          59      04 0
QSO: 28574 PH 2013-10-26 2305 K9QJS         59      03 CE3CT         59      12 0
QSO: 28578 PH 2013-10-26 2307 K9QJS         59      03 NX0X          59      04 0
QSO: 28610 PH 2013-10-26 2309 K9QJS         59      03 AY5F          59      13 0
QSO: 28658 PH 2013-10-26 2311 K9QJS         59      03 LW0F          59      13 0
QSO: 28662 PH 2013-10-26 2312 K9QJS         59      03 JA0FVU        59      25 0
QSO: 28704 PH 2013-10-26 2314 K9QJS         59      03 JF2QNM        59      25 0
QSO: 28727 PH 2013-10-26 2317 K9QJS         59      03 JF2MBF        59      25 0
QSO: 28763 PH 2013-10-26 2346 K9QJS         59      03 XE2ST         59      06 0
QSO: 28771 PH 2013-10-26 2347 K9QJS         59      03 XE2S          59      06 0
QSO: 28795 PH 2013-10-26 2349 K9QJS         59      03 JH9KVF        59      25 0
QSO: 28808 PH 2013-10-27 0028 K9QJS         59      03 JQ1VDJ        59      25 0
QSO: 28788 PH 2013-10-27 0029 K9QJS         59      03 JH9URT        59      25 0
QSO: 28750 PH 2013-10-27 0033 K9QJS         59      03 HL2WP         59      25 0
QSO: 28732 PH 2013-10-27 0034 K9QJS         59      03 JA3JOT        59      25 0
QSO: 28725 PH 2013-10-27 0035 K9QJS         59      03 JF1RWZ        59      25 0
QSO: 28720 PH 2013-10-27 0035 K9QJS         59      03 JA1BPA        59      25 0
QSO: 28715 PH 2013-10-27 0036 K9QJS         59      03 JE1ZWT        59      25 0
QSO: 28695 PH 2013-10-27 0038 K9QJS         59      03 JG2SON        59      25 0
QSO: 28678 PH 2013-10-27 0038 K9QJS         59      03 JH1OCC        59      25 0
QSO: 28633 PH 2013-10-27 0040 K9QJS         59      03 JA1DCK        59      25 0
QSO: 28617 PH 2013-10-27 0042 K9QJS         59      03 JH1AGU        59      25 0
QSO: 28607 PH 2013-10-27 0043 K9QJS         59      03 JQ1BVI        59      25 0
QSO: 28572 PH 2013-10-27 0044 K9QJS         59      03 JI2ZJS        59      25 0
QSO: 28548 PH 2013-10-27 0045 K9QJS         59      03 ZM1G          59      32 0
QSO: 28536 PH 2013-10-27 0046 K9QJS         59      03 CE5CN         59      12 0
QSO: 28527 PH 2013-10-27 0048 K9QJS         59      03 VK4QH         59      30 0
QSO: 28525 PH 2013-10-27 0057 K9QJS         59      03 FO4BM         59      32 0
QSO: 28503 PH 2013-10-27 0058 K9QJS         59      03 HD2A          59      10 0
QSO: 28484 PH 2013-10-27 0101 K9QJS         59      03 JA4FHE        59      25 0
QSO: 28455 PH 2013-10-27 0102 K9QJS         59      03 LP1H          59      13 0
QSO: 28425 PH 2013-10-27 0104 K9QJS         59      03 ZL2WL         59      32 0
QSO: 28413 PH 2013-10-27 0104 K9QJS         59      03 ZM4T          59      32 0
QSO: 28313 PH 2013-10-27 0112 K9QJS         59      03 JA7QVI        59      25 0
QSO: 21342 PH 2013-10-27 0249 K9QJS         59      03 JS3CTQ        59      25 0
QSO: 21347 PH 2013-10-27 0250 K9QJS         59      03 JR3RIY        59      25 0
QSO: 21357 PH 2013-10-27 0251 K9QJS         59      03 AH2R          59      27 0
QSO: 21364 PH 2013-10-27 0252 K9QJS         59      03 JA3BOA        59      25 0
QSO: 21368 PH 2013-10-27 0254 K9QJS         59      03 ZW5B          59      11 0
