START-OF-LOG: 3.0
CREATED-BY: LM Version 4.5 (c) 1992, 2011 by DL8WAA
LOCATION: DX
CONTEST: CQ-WW-SSB
CALLSIGN: DD5MA
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
CATEGORY-BAND: ALL
CATEGORY-MODE: SSB
CLAIMED-SCORE: 9810
OPERATORS: DD5MA
CLUB: Rhein Ruhr DX Association
NAME: Frank Marmor
SOAPBOX: good dx with my vertikal 1,2m on my car roof
QSO: 28000 PH 2013-10-26 1529 DD5MA         59  14     AI2C          59  05     0
QSO: 28000 PH 2013-10-26 1529 DD5MA         59  14     H2T           59  20     0
QSO: 28000 PH 2013-10-26 1531 DD5MA         59  14     K1BX          59  05     0
QSO: 28000 PH 2013-10-26 1532 DD5MA         59  14     N1YX          59  05     0
QSO: 28000 PH 2013-10-26 1533 DD5MA         59  14     W9NY          59  04     0
QSO: 28000 PH 2013-10-26 1536 DD5MA         59  14     K3PP          59  05     0
QSO: 28000 PH 2013-10-26 1537 DD5MA         59  14     N1WRK         59  05     0
QSO: 28000 PH 2013-10-26 1538 DD5MA         59  14     PX2B          59  11     0
QSO: 28000 PH 2013-10-26 1538 DD5MA         59  14     N4OX          59  05     0
QSO: 28000 PH 2013-10-26 1540 DD5MA         59  14     K0KX          59  04     0
QSO: 28000 PH 2013-10-26 1541 DD5MA         59  14     CT9/R9DX      59  33     0
QSO: 28000 PH 2013-10-26 1544 DD5MA         59  14     W0AIH         59  04     0
QSO: 28000 PH 2013-10-26 1547 DD5MA         59  14     KG5VK         59  04     0
QSO: 28000 PH 2013-10-26 1548 DD5MA         59  14     NX2X          59  05     0
QSO: 28000 PH 2013-10-26 1552 DD5MA         59  14     W8MJ          59  04     0
QSO: 28000 PH 2013-10-26 1555 DD5MA         59  14     K9DU          59  04     0
QSO: 28000 PH 2013-10-26 1556 DD5MA         59  14     AA9A          59  04     0
QSO: 28000 PH 2013-10-26 1558 DD5MA         59  14     W1CSM         59  05     0
QSO: 28000 PH 2013-10-26 1558 DD5MA         59  14     N1UR          59  05     0
QSO: 28000 PH 2013-10-26 1600 DD5MA         59  14     K5GDX         59  04     0
QSO: 28000 PH 2013-10-26 1601 DD5MA         59  14     PQ5B          59  11     0
QSO: 28000 PH 2013-10-26 1602 DD5MA         59  14     VE9AA         59  05     0
QSO: 28000 PH 2013-10-26 1603 DD5MA         59  14     N5DX          59  04     0
QSO: 28000 PH 2013-10-26 1626 DD5MA         59  14     W5PR          59  04     0
QSO: 28000 PH 2013-10-26 1626 DD5MA         59  14     K9CT          59  04     0
QSO: 28000 PH 2013-10-26 1628 DD5MA         59  14     N4WW          59  05     0
QSO: 28000 PH 2013-10-26 1634 DD5MA         59  14     OA6Q          59  10     0
QSO: 28000 PH 2013-10-26 1637 DD5MA         59  14     AK5DX         59  04     0
QSO: 28000 PH 2013-10-26 1638 DD5MA         59  14     K3LR          59  05     0
QSO: 28000 PH 2013-10-26 1645 DD5MA         59  14     VA7FC         59  03     0
QSO: 28000 PH 2013-10-26 1647 DD5MA         59  14     W7YED         59  03     0
QSO: 28000 PH 2013-10-26 1651 DD5MA         59  14     WA7ST         59  03     0
QSO: 28000 PH 2013-10-26 1656 DD5MA         59  14     P49Y          59  09     0
QSO: 28000 PH 2013-10-26 1703 DD5MA         59  14     V26B          59  08     0
QSO: 28000 PH 2013-10-26 1706 DD5MA         59  14     KC1XX         59  05     0
QSO: 28000 PH 2013-10-26 1708 DD5MA         59  14     K1KP          59  05     0
QSO: 28000 PH 2013-10-26 1709 DD5MA         59  14     W6YI          59  03     0
QSO: 28000 PH 2013-10-26 1716 DD5MA         59  14     LP1H          59  13     0
QSO: 28000 PH 2013-10-26 1718 DD5MA         59  14     PS2R          59  11     0
