START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.10.0
CONTEST: CQ-WW-SSB
LOCATION: DX
CALLSIGN: GM0B
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-TRANSMITTER: UNLIMITED
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 18622656
OPERATORS: MM0GPZ, GM0OQV, MM0BHX, GM0LIR, MM0FCM, GM0EGI, M0BUL, GM0KMJ,
OPERATORS: GW4BVE, G4DPF, G8XYJ, GM0BKC
NAME: Gordon Paterson
SOAPBOX: The last CQWW we did M/M was in 2010 we had about 130 QSO's on 10m.
SOAPBOX: This year on 10m we worked 130 DXC and nearly 2200 QSO's. As normal,
SOAPBOX: the inquest starts straight after the contest finishes and we are
SOAPBOX: discussing what we did wrong and what we can do to make it better next
SOAPBOX: year. What kit, antenna, gadget can we get to make it easier!!! Can't
SOAPBOX: wait for next year already but CQWW CW first. 73 and thanks for a
SOAPBOX: great contest. Gordon MM0GPZ
QSO:  7136 PH 2013-10-26 0001 GM0B          59  14     SP4JTJ        59  15     0
QSO:  3723 PH 2013-10-26 0003 GM0B          59  14     OT5A          59  14     0
QSO:  7136 PH 2013-10-26 0004 GM0B          59  14     LY2PAD        59  15     0
QSO:  7136 PH 2013-10-26 0004 GM0B          59  14     US5D          59  16     0
QSO:  7136 PH 2013-10-26 0004 GM0B          59  14     LY6A          59  15     0
QSO:  7139 PH 2013-10-26 0007 GM0B          59  14     K1LZ          59  05     0
QSO:  7104 PH 2013-10-26 0007 GM0B          59  14     LY7A          59  15     0
QSO:  7104 PH 2013-10-26 0007 GM0B          59  14     VA3EC         59  04     0
QSO:  7104 PH 2013-10-26 0008 GM0B          59  14     VE3NE         59  04     0
QSO:  7104 PH 2013-10-26 0009 GM0B          59  14     9A7A          59  15     0
QSO:  3750 PH 2013-10-26 0009 GM0B          59  14     YT0W          59  15     0
QSO:  7104 PH 2013-10-26 0010 GM0B          59  14     S56X          59  15     0
QSO:  3731 PH 2013-10-26 0010 GM0B          59  14     RF9C          59  17     0
QSO:  3705 PH 2013-10-26 0010 GM0B          59  14     DJ5MW         59  14     0
QSO:  3711 PH 2013-10-26 0011 GM0B          59  14     IO1T          59  15     0
QSO:  3717 PH 2013-10-26 0014 GM0B          59  14     OZ5E          59  14     0
QSO:  3720 PH 2013-10-26 0015 GM0B          59  14     9A8M          59  15     0
QSO:  3740 PH 2013-10-26 0017 GM0B          59  14     PI4COM        59  14     0
QSO: 14150 PH 2013-10-26 0017 GM0B          59  14     K3LR          59  05     0
QSO:  3741 PH 2013-10-26 0017 GM0B          59  14     TM7F          59  14     0
QSO: 14154 PH 2013-10-26 0017 GM0B          59  14     W3LPL         59  05     0
QSO:  7089 PH 2013-10-26 0018 GM0B          59  14     HA5MY         59  15     0
QSO:  3747 PH 2013-10-26 0019 GM0B          59  14     OM5M          59  15     0
QSO:  3752 PH 2013-10-26 0019 GM0B          59  14     UX4E          59  16     0
QSO: 14160 PH 2013-10-26 0019 GM0B          59  14     HK1NA         59  09     0
QSO:  3760 PH 2013-10-26 0020 GM0B          59  14     UA5B          59  16     0
QSO:  7045 PH 2013-10-26 0020 GM0B          59  14     PJ2T          59  09     0
QSO: 14168 PH 2013-10-26 0020 GM0B          59  14     HK3C          59  09     0
QSO:  7052 PH 2013-10-26 0020 GM0B          59  14     PR0F          59  11     0
QSO:  3777 PH 2013-10-26 0021 GM0B          59  14     IG9Y          59  33     0
QSO: 14179 PH 2013-10-26 0021 GM0B          59  14     PJ6A          59  08     0
QSO:  3779 PH 2013-10-26 0021 GM0B          59  14     SP8K          59  15     0
QSO: 21259 PH 2013-10-26 0023 GM0B          59  14     OH1F          59  15     0
QSO:  3797 PH 2013-10-26 0023 GM0B          59  14     E73DX         59  15     0
QSO: 14221 PH 2013-10-26 0023 GM0B          59  14     9Y4D          59  09     0
QSO:  3799 PH 2013-10-26 0023 GM0B          59  14     D4C           59  35     0
QSO:  7064 PH 2013-10-26 0024 GM0B          59  14     VE3JM         59  04     0
QSO:  7073 PH 2013-10-26 0025 GM0B          59  14     RT5Z          59  16     0
QSO: 14227 PH 2013-10-26 0026 GM0B          59  14     9Y4LDK        59  09     0
QSO: 14242 PH 2013-10-26 0028 GM0B          59  14     V26B          59  08     0
QSO:  3692 PH 2013-10-26 0029 GM0B          59  14     SP6ZDA        59  15     0
QSO:  7111 PH 2013-10-26 0030 GM0B          59  14     VP5T          59  08     0
QSO:  3696 PH 2013-10-26 0031 GM0B          59  14     OL9A          59  15     0
QSO:  3698 PH 2013-10-26 0031 GM0B          59  14     S51DX         59  15     0
QSO:  3726 PH 2013-10-26 0032 GM0B          59  14     UP2L          59  17     0
QSO:  3727 PH 2013-10-26 0033 GM0B          59  14     OM4C          59  15     0
