START-OF-LOG: 3.0
LOCATION: DX
CALLSIGN: ON6AT
CLUB: UBA ZLZ
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: SSB
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
CATEGORY-TIME: 12-HOURS
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 75924
OPERATORS: ON6AT
SOAPBOX: TX: FT-950 100w
SOAPBOX: ANt: Cushcraft R8 Vert (40-6m) + Diamond W8010 (just 80-40m)
NAME: Patrick Elyn
CREATED-BY: N1MM Logger V13.10.2
QSO: 21122 PH 2013-10-26 1850 ON6AT         59  14     VE6SV         59  04
QSO: 21128 PH 2013-10-26 1851 ON6AT         59  14     VY2TT         59  05
QSO: 21133 PH 2013-10-26 1852 ON6AT         59  14     VE3RA         59  04
QSO: 21135 PH 2013-10-26 1853 ON6AT         59  14     PT7KJ         59  11
QSO: 21146 PH 2013-10-26 1856 ON6AT         59  14     CJ3T          59  04
QSO: 21148 PH 2013-10-26 1856 ON6AT         59  14     VC3R          59  04
QSO: 21153 PH 2013-10-26 1903 ON6AT         59  14     PY8WW         59  11
QSO: 21157 PH 2013-10-26 1903 ON6AT         59  14     VE3EJ         59  04
QSO: 21162 PH 2013-10-26 1904 ON6AT         59  14     VE4VT         59  04
QSO: 21163 PH 2013-10-26 1906 ON6AT         59  14     LP1H          59  13
QSO: 21168 PH 2013-10-26 1907 ON6AT         59  14     VE3MIS        59  04
QSO: 21172 PH 2013-10-26 1908 ON6AT         59  14     K1NYK         59  05
QSO: 21181 PH 2013-10-26 1911 ON6AT         59  14     LU8YE         59  13
QSO: 21189 PH 2013-10-26 1913 ON6AT         59  14     VE7SSO        59  03
QSO: 21193 PH 2013-10-26 1915 ON6AT         59  14     YN2AA         59  07
QSO: 21199 PH 2013-10-26 1916 ON6AT         59  14     P43A          59  09
QSO: 21201 PH 2013-10-26 1917 ON6AT         59  14     KC1XX         59  05
QSO: 21210 PH 2013-10-26 1923 ON6AT         59  14     K7CF          59  03
QSO: 21213 PH 2013-10-26 1923 ON6AT         59  14     PT2CM         59  11
QSO: 21214 PH 2013-10-26 1925 ON6AT         59  14     WE3C          59  05
QSO: 21215 PH 2013-10-26 1926 ON6AT         59  14     W6AAN         59  05
QSO: 21223 PH 2013-10-26 1929 ON6AT         59  14     W4RM          59  05
QSO: 21228 PH 2013-10-26 1935 ON6AT         59  14     NQ4I          59  05
QSO: 21242 PH 2013-10-26 1945 ON6AT         59  14     OT5A          59  14
QSO: 21248 PH 2013-10-26 1949 ON6AT         59  14     NX2X          59  05
QSO: 21253 PH 2013-10-26 1951 ON6AT         59  14     N5DX          59  04
QSO: 21262 PH 2013-10-26 2001 ON6AT         59  14     PP5JAK        59  11
QSO: 21268 PH 2013-10-26 2002 ON6AT         59  14     K3LR          59  05
QSO: 21277 PH 2013-10-26 2005 ON6AT         59  14     AA9A          59  04
QSO: 21278 PH 2013-10-26 2009 ON6AT         59  14     FY5KE         59  09
QSO: 14341 PH 2013-10-26 2034 ON6AT         59  14     K8AZ          59  04
QSO: 14339 PH 2013-10-26 2035 ON6AT         59  14     NA8V          59  04
QSO: 14335 PH 2013-10-26 2039 ON6AT         59  14     AA1K          59  05
QSO: 14330 PH 2013-10-26 2040 ON6AT         59  14     D4C           59  35
QSO: 14322 PH 2013-10-26 2042 ON6AT         59  14     KB1H          59  05
QSO: 14250 PH 2013-10-26 2044 ON6AT         59  14     K3WW          59  05
QSO: 14248 PH 2013-10-26 2045 ON6AT         59  14     KQ2M          59  05
QSO: 14244 PH 2013-10-26 2048 ON6AT         59  14     WK1Q          59  05
QSO:  7194 PH 2013-10-26 2110 ON6AT         59  14     ES9C          59  15
QSO:  7189 PH 2013-10-26 2119 ON6AT         59  14     D4C           59  35
QSO:  7185 PH 2013-10-26 2120 ON6AT         59  14     RW4W          59  16
QSO:  7145 PH 2013-10-26 2143 ON6AT         59  14     ED5O          59  14
QSO:  7134 PH 2013-10-26 2150 ON6AT         59  14     SX2I          59  20
QSO:  7125 PH 2013-10-26 2151 ON6AT         59  14     IR8C          59  15
QSO:  7116 PH 2013-10-26 2153 ON6AT         59  14     LY7A          59  15
QSO:  7113 PH 2013-10-26 2155 ON6AT         59  14     UT7E          59  16
QSO:  7111 PH 2013-10-26 2156 ON6AT         59  14     P3N           59  20
QSO:  7108 PH 2013-10-26 2157 ON6AT         59  14     EE2K          59  14
QSO:  3615 PH 2013-10-27 0522 ON6AT         59  14     DL5ZBA        59  14
QSO:  3622 PH 2013-10-27 0524 ON6AT         59  14     YL2KO         59  15
QSO:  3625 PH 2013-10-27 0525 ON6AT         59  14     F5VMN         59  14
QSO:  3633 PH 2013-10-27 0527 ON6AT         59  14     F8AKS         59  14
QSO:  3640 PH 2013-10-27 0527 ON6AT         59  14     DJ5AN         59  14
QSO:  3643 PH 2013-10-27 0528 ON6AT         59  14     OK5D          59  15
QSO:  3651 PH 2013-10-27 0620 ON6AT         59  14     EA1AZ         59  14
QSO:  3657 PH 2013-10-27 0621 ON6AT         59  14     GW9X          59  14
QSO:  3687 PH 2013-10-27 0623 ON6AT         59  14     PA5KT         59  14
QSO:  3689 PH 2013-10-27 0624 ON6AT         59  14     EA1SA         59  14
QSO:  3703 PH 2013-10-27 0625 ON6AT         59  14     EF1W          59  14
QSO:  3706 PH 2013-10-27 0627 ON6AT         59  14     EA7EU         59  14
QSO:  3708 PH 2013-10-27 0628 ON6AT         59  14     DJ8UV         59  14
QSO:  3710 PH 2013-10-27 0629 ON6AT         59  14     OZ4NA         59  14
QSO:  3722 PH 2013-10-27 0632 ON6AT         59  14     PA8F          59  14
QSO:  3725 PH 2013-10-27 0632 ON6AT         59  14     PI4M          59  14
QSO:  3730 PH 2013-10-27 0633 ON6AT         59  14     OT5A          59  14
QSO:  3736 PH 2013-10-27 0633 ON6AT         59  14     PG2AA         59  14
QSO:  3743 PH 2013-10-27 0636 ON6AT         59  14     GM0B          59  14
QSO:  3749 PH 2013-10-27 0637 ON6AT         59  14     TM7F          59  14
QSO:  3756 PH 2013-10-27 0638 ON6AT         59  14     ED1R          59  14
QSO:  3762 PH 2013-10-27 0642 ON6AT         59  14     5Q1A          59  14
QSO:  3765 PH 2013-10-27 0642 ON6AT         59  14     GM6NX         59  14
QSO:  3775 PH 2013-10-27 0648 ON6AT         59  14     DR1A          59  14
QSO:  3777 PH 2013-10-27 0648 ON6AT         59  14     EI7M          59  14
QSO:  3782 PH 2013-10-27 0649 ON6AT         59  14     EI5JQ         59  14
QSO:  3785 PH 2013-10-27 0650 ON6AT         59  14     TM6M          59  14
QSO:  3789 PH 2013-10-27 0658 ON6AT         59  14     GZ5Y          59  14
QSO:  7038 PH 2013-10-27 0711 ON6AT         59  14     V26B          59  08
QSO:  7040 PH 2013-10-27 0713 ON6AT         59  14     F4GBW         59  14
QSO:  7046 PH 2013-10-27 0714 ON6AT         59  14     OR1Z          59  14
QSO:  7051 PH 2013-10-27 0714 ON6AT         59  14     G4IIY         59  14
QSO:  7054 PH 2013-10-27 0715 ON6AT         59  14     S52X          59  15
QSO:  7063 PH 2013-10-27 0716 ON6AT         59  14     DJ5MW         59  14
QSO:  7064 PH 2013-10-27 0717 ON6AT         59  14     TM1K          59  14
QSO:  7074 PH 2013-10-27 0721 ON6AT         59  14     HK1NA         59  09
QSO:  7085 PH 2013-10-27 0724 ON6AT         59  14     E73ESP        59  15
QSO:  7087 PH 2013-10-27 0726 ON6AT         59  14     CQ7A          59  14
QSO:  7093 PH 2013-10-27 0728 ON6AT         59  14     SQ6POM        59  15
QSO:  7099 PH 2013-10-27 0729 ON6AT         59  14     F4DSK         59  14
QSO:  7102 PH 2013-10-27 0730 ON6AT         59  14     DF1IAQ        59  14
QSO:  7105 PH 2013-10-27 0731 ON6AT         59  14     IK2CIO        59  15
QSO:  7114 PH 2013-10-27 0732 ON6AT         59  14     OM0M          59  15
QSO:  7117 PH 2013-10-27 0733 ON6AT         59  14     DL5GAC        59  14
QSO:  7119 PH 2013-10-27 0734 ON6AT         59  14     HB30OK        59  14
QSO:  7123 PH 2013-10-27 0738 ON6AT         59  14     IZ1GQI        59  15
QSO:  7125 PH 2013-10-27 0739 ON6AT         59  14     F4EQH         59  14
QSO:  7127 PH 2013-10-27 0740 ON6AT         59  14     GZ5Y          59  14
QSO:  7129 PH 2013-10-27 0741 ON6AT         59  14     W4AAA         59  05
QSO:  7131 PH 2013-10-27 0741 ON6AT         59  14     K3LR          59  05
QSO:  7132 PH 2013-10-27 0744 ON6AT         59  14     TI5W          59  07
QSO:  7134 PH 2013-10-27 0747 ON6AT         59  14     DL0LK         59  14
QSO:  7136 PH 2013-10-27 0749 ON6AT         59  14     NQ4I          59  05
QSO:  7137 PH 2013-10-27 0759 ON6AT         59  14     SK7K          59  14
QSO:  7141 PH 2013-10-27 0800 ON6AT         59  14     N5DX          59  04
QSO:  7142 PH 2013-10-27 0801 ON6AT         59  14     K1LZ          59  05
QSO:  7147 PH 2013-10-27 0805 ON6AT         59  14     SP2KPD        59  15
QSO:  7149 PH 2013-10-27 0806 ON6AT         59  14     W3LPL         59  05
QSO:  7151 PH 2013-10-27 0806 ON6AT         59  14     TM1T          59  14
QSO:  7154 PH 2013-10-27 0808 ON6AT         59  14     ED1R          59  14
QSO:  7157 PH 2013-10-27 0809 ON6AT         59  14     M0MCV         59  14
QSO:  7158 PH 2013-10-27 0810 ON6AT         59  14     LZ9W          59  20
QSO:  7161 PH 2013-10-27 0811 ON6AT         59  14     DP6T          59  14
QSO:  7165 PH 2013-10-27 0812 ON6AT         59  14     EW8DD         59  16
QSO:  7167 PH 2013-10-27 0813 ON6AT         59  14     EA1DR         59  14
QSO:  7170 PH 2013-10-27 0814 ON6AT         59  14     PI4M          59  14
QSO:  7173 PH 2013-10-27 0815 ON6AT         59  14     IK3SCB        59  15
QSO:  7175 PH 2013-10-27 0818 ON6AT         59  14     DL5YL         59  14
QSO:  7179 PH 2013-10-27 0820 ON6AT         59  14     HA30S         59  15
QSO:  7180 PH 2013-10-27 0821 ON6AT         59  14     OT5A          59  14
QSO:  7184 PH 2013-10-27 0824 ON6AT         59  14     W4RM          59  05
QSO:  7186 PH 2013-10-27 0824 ON6AT         59  14     WE3C          59  05
QSO:  7187 PH 2013-10-27 0825 ON6AT         59  14     DR1A          59  14
QSO:  7199 PH 2013-10-27 0828 ON6AT         59  14     IK3UNA/1      59  15
QSO:  7194 PH 2013-10-27 0831 ON6AT         59  14     TM1O          59  14
QSO:  7191 PH 2013-10-27 0832 ON6AT         59  14     DF0HQ         59  14
QSO:  7164 PH 2013-10-27 0834 ON6AT         59  14     F1NZC         59  14
QSO:  7160 PH 2013-10-27 0835 ON6AT         59  14     S51A          59  15
QSO:  7144 PH 2013-10-27 0837 ON6AT         59  14     SP6QKS        59  15
QSO:  7140 PH 2013-10-27 0840 ON6AT         59  14     WK1Q          59  05
QSO:  7138 PH 2013-10-27 0843 ON6AT         59  14     KC1XX         59  05
QSO:  7134 PH 2013-10-27 0845 ON6AT         59  14     SP3S          59  15
QSO: 28250 PH 2013-10-27 0846 ON6AT         59  14     A61DJ         59  21
QSO: 28253 PH 2013-10-27 0847 ON6AT         59  14     RN4SN         59  16
QSO: 28272 PH 2013-10-27 0852 ON6AT         59  14     JH4UYB        59  25
QSO: 28278 PH 2013-10-27 0853 ON6AT         59  14     UN6P          59  17
QSO: 28280 PH 2013-10-27 0854 ON6AT         59  14     A61ZX         59  21
