START-OF-LOG:  3.0
CREATED-BY:    SD by EI5DI
CONTEST:       CQ-WW-SSB
CALLSIGN:      G0WWD
CATEGORY-OPERATOR:  SINGLE-OP
CATEGORY-ASSISTED:  NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER:  LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER:  ONE
CATEGORY-OVERLAY:  CLASSIC
CLAIMED-SCORE: 13984
LOCATION:      DX
CLAIMED-SCORE: 13984
NAME:          David Weston
OPERATORS:     G0WWD
SOAPBOX:       A really good contest and the bands were wide open.
QSO: 28000 PH 2013-10-26 0954 G0WWD         59  14     OH6K          59  15
QSO: 28000 PH 2013-10-26 1001 G0WWD         59  14     CR3A          59  33
QSO: 28000 PH 2013-10-26 1007 G0WWD         59  14     ES4RD         59  15
QSO: 28000 PH 2013-10-26 1018 G0WWD         59  14     EU6ML         59  16
QSO: 28000 PH 2013-10-26 1025 G0WWD         59  14     LZ2HM         59  20
QSO: 28000 PH 2013-10-26 1030 G0WWD         59  14     CR2ZT         59  14
QSO: 28000 PH 2013-10-26 1038 G0WWD         59  14     R4AW          59  16
QSO: 28000 PH 2013-10-26 1039 G0WWD         59  14     LY1CX         59  15
QSO: 28000 PH 2013-10-26 1043 G0WWD         59  14     LY3X          59  15
QSO: 28000 PH 2013-10-26 1044 G0WWD         59  14     RC9O          59  18
QSO: 28000 PH 2013-10-26 1101 G0WWD         59  14     EA8BTQ        59  33
QSO: 28000 PH 2013-10-26 1103 G0WWD         59  14     R3KM          59  16
QSO: 28000 PH 2013-10-26 1121 G0WWD         59  14     CU3AC         59  14
QSO: 28000 PH 2013-10-26 1122 G0WWD         59  14     UA5B          59  16
QSO: 28000 PH 2013-10-26 1124 G0WWD         59  14     K1RM          59  05
QSO: 28000 PH 2013-10-26 1127 G0WWD         59  14     LZ1NG         59  20
QSO: 28000 PH 2013-10-26 1129 G0WWD         59  14     UR3HC         59  16
QSO: 28000 PH 2013-10-26 1133 G0WWD         59  14     UV5U          59  16
QSO: 28000 PH 2013-10-26 1252 G0WWD         59  14     9K2HN         59  21
QSO: 28000 PH 2013-10-26 1253 G0WWD         59  14     K3CR          59  05
QSO: 28000 PH 2013-10-26 1302 G0WWD         59  14     UT7U          59  16
QSO: 28000 PH 2013-10-26 1315 G0WWD         59  14     RV1CC         59  16
QSO: 28000 PH 2013-10-26 1317 G0WWD         59  14     K1ZR          59  05
QSO: 28000 PH 2013-10-26 1804 G0WWD         59  14     W6AEA         59  03
QSO: 28000 PH 2013-10-26 1805 G0WWD         59  14     PX2W          59  11
QSO: 28000 PH 2013-10-26 1818 G0WWD         59  14     WE3C          59  05
QSO: 28000 PH 2013-10-26 1821 G0WWD         59  14     LU1VM         59  13
QSO: 14000 PH 2013-10-26 1848 G0WWD         59  14     9A3W          59  15
QSO: 14000 PH 2013-10-26 1850 G0WWD         59  14     LY7A          59  15
QSO: 14000 PH 2013-10-26 1852 G0WWD         59  14     YO8TNB        59  20
QSO: 14000 PH 2013-10-26 1856 G0WWD         59  14     LZ9W          59  20
QSO: 14000 PH 2013-10-26 1859 G0WWD         59  14     RC5Z          59  16
QSO: 14000 PH 2013-10-26 1901 G0WWD         59  14     YU5R          59  15
QSO: 14000 PH 2013-10-26 1902 G0WWD         59  14     YR8D          59  20
QSO: 14000 PH 2013-10-26 1905 G0WWD         59  14     VE3CX         59  04
QSO: 14000 PH 2013-10-26 1918 G0WWD         59  14     VE2IM         59  02
QSO: 14000 PH 2013-10-26 1926 G0WWD         59  14     YO3APJ        59  20
QSO: 7000  PH 2013-10-26 1948 G0WWD         59  14     HB30OK        59  14
QSO: 7000  PH 2013-10-27 0803 G0WWD         59  14     K2LE          59  05
QSO: 7000  PH 2013-10-27 0804 G0WWD         59  14     DF0HQ         59  14
QSO: 7000  PH 2013-10-27 0806 G0WWD         59  14     DR1A          59  14
QSO: 7000  PH 2013-10-27 0807 G0WWD         59  14     PA0AGA        59  14
QSO: 7000  PH 2013-10-27 0809 G0WWD         59  14     PI4M          59  14
QSO: 7000  PH 2013-10-27 0810 G0WWD         59  14     ED1R          59  14
QSO: 7000  PH 2013-10-27 0810 G0WWD         59  14     TM1T          59  14
QSO: 7000  PH 2013-10-27 0812 G0WWD         59  14     KC1XX         59  05
QSO: 7000  PH 2013-10-27 0813 G0WWD         59  14     K3LR          59  05
QSO: 7000  PH 2013-10-27 0816 G0WWD         59  14     IV3GFL        59  15
QSO: 7000  PH 2013-10-27 0816 G0WWD         59  14     G5W           59  14
QSO: 7000  PH 2013-10-27 0817 G0WWD         59  14     DF0AT         59  14
QSO: 21000 PH 2013-10-27 0828 G0WWD         59  14     ES9C          59  15
QSO: 14000 PH 2013-10-27 0832 G0WWD         59  14     ED5O          59  14
QSO: 14000 PH 2013-10-27 0834 G0WWD         59  14     UT7MM         59  16
QSO: 14000 PH 2013-10-27 0836 G0WWD         59  14     RU5A          59  16
QSO: 14000 PH 2013-10-27 0838 G0WWD         59  14     CN3A          59  33
QSO: 14000 PH 2013-10-27 0840 G0WWD         59  14     OM8A          59  15
QSO: 14000 PH 2013-10-27 0843 G0WWD         59  14     II4I          59  15
QSO: 14000 PH 2013-10-27 0846 G0WWD         59  14     UZ0U          59  16
QSO: 14000 PH 2013-10-27 0848 G0WWD         59  14     SQ7A          59  15
QSO: 14000 PH 2013-10-27 0851 G0WWD         59  14     S57AL         59  15
QSO: 7000  PH 2013-10-27 0854 G0WWD         59  14     TM1A          59  14
QSO: 7000  PH 2013-10-27 0856 G0WWD         59  14     M4D           59  14
QSO: 7000  PH 2013-10-27 0858 G0WWD         59  14     SP3S          59  15
QSO: 7000  PH 2013-10-27 0900 G0WWD         59  14     WK1Q          59  05
QSO: 7000  PH 2013-10-27 0902 G0WWD         59  14     IV3FGL        59  15
QSO: 28000 PH 2013-10-27 1045 G0WWD         59  14     II9P          59  15
QSO: 21000 PH 2013-10-27 1050 G0WWD         59  14     YU5A          59  15
QSO: 21000 PH 2013-10-27 1053 G0WWD         59  14     S50R          59  15
QSO: 21000 PH 2013-10-27 1056 G0WWD         59  14     IK4TVP        59  15
QSO: 21000 PH 2013-10-27 1057 G0WWD         59  14     9A9A          59  15
QSO: 21000 PH 2013-10-27 1059 G0WWD         59  14     CN2AA         59  33
QSO: 21000 PH 2013-10-27 1104 G0WWD         59  14     CR3A          59  33
QSO: 21000 PH 2013-10-27 1115 G0WWD         59  14     SV1JGX        59  20
QSO: 21000 PH 2013-10-27 1116 G0WWD         59  14     PF9Q          59  15
QSO: 21000 PH 2013-10-27 1119 G0WWD         59  14     ZV2K          59  11
QSO: 21000 PH 2013-10-27 1124 G0WWD         59  14     AA3B          59  05
QSO: 21000 PH 2013-10-27 1127 G0WWD         59  14     EF7X          59  14
QSO: 21000 PH 2013-10-27 1134 G0WWD         59  14     CT1EE         59  14
QSO: 21000 PH 2013-10-27 1137 G0WWD         59  14     K4XS          59  05
QSO: 21000 PH 2013-10-27 1146 G0WWD         59  14     LZ9W          59  20
QSO: 21000 PH 2013-10-27 1149 G0WWD         59  14     S53EO         59  15
QSO: 21000 PH 2013-10-27 1207 G0WWD         59  14     IO4W          59  15
QSO: 21000 PH 2013-10-27 1209 G0WWD         59  14     OM1DK         59  15
QSO: 21000 PH 2013-10-27 1233 G0WWD         59  14     CR5T          59  14
QSO: 21000 PH 2013-10-27 1238 G0WWD         59  14     PJ2T          59  09
QSO: 21000 PH 2013-10-27 1407 G0WWD         59  14     IR9Z          59  15
QSO: 21000 PH 2013-10-27 1409 G0WWD         59  14     IS0GRB        59  15
QSO: 21000 PH 2013-10-27 1412 G0WWD         59  14     I7CSB         59  15
QSO: 21000 PH 2013-10-27 1413 G0WWD         59  14     P43A          59  09
QSO: 21000 PH 2013-10-27 1418 G0WWD         59  14     CN3A          59  33
QSO: 21000 PH 2013-10-27 1424 G0WWD         59  14     HA30U         59  15
QSO: 21000 PH 2013-10-27 1428 G0WWD         59  14     YU1UN         59  15
QSO: 21000 PH 2013-10-27 1435 G0WWD         59  14     FY5KE         59  09
QSO: 21000 PH 2013-10-27 1438 G0WWD         59  14     YT7AW         59  15
QSO: 21000 PH 2013-10-27 1439 G0WWD         59  14     HG7T          59  15
QSO: 21000 PH 2013-10-27 1441 G0WWD         59  14     YL2SM         59  15
QSO: 21000 PH 2013-10-27 1448 G0WWD         59  14     OM5M          59  15
QSO: 28000 PH 2013-10-27 1451 G0WWD         59  14     EA6XQ         59  14
QSO: 7000  PH 2013-10-27 1508 G0WWD         59  14     TM9R          59  14
QSO: 14000 PH 2013-10-27 1510 G0WWD         59  14     TM2T          59  14
END-OF-LOG:
