START-OF-LOG: 3.0
CREATED-BY: TR4W v.4.248
CALLSIGN: F4FBP
CONTEST: CQ-WW-SSB
CLAIMED-SCORE: 21294
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
OPERATORS: F4FBP
LOCATION: DX
NAME: Denis GUENEAU
SOAPBOX: This is my 3rd CQ-WW-DX-SSB contest
SOAPBOX: with FT897+ATAS120+ECO80m on balcony at 8th floor indoor Paris
QSO:  7158 PH 2013-10-26 1640 F4FBP         59  14     DR1A          59  14
QSO:  7163 PH 2013-10-26 1655 F4FBP         59  14     ED1R          59  14
QSO:  7132 PH 2013-10-26 1701 F4FBP         59  14     TM9R          59  14
QSO:  7000 PH 2013-10-26 1712 F4FBP         59  14     PA5CA         59  14
QSO:  7000 PH 2013-10-26 1713 F4FBP         59  14     M4D           59  14
QSO:  7000 PH 2013-10-26 1714 F4FBP         59  14     MW0EDX        59  14
QSO:  7159 PH 2013-10-26 1719 F4FBP         59  14     EE3C          59  14
QSO:  7000 PH 2013-10-26 1723 F4FBP         59  14     GM0B          59  14
QSO:  7193 PH 2013-10-26 1728 F4FBP         59  14     ES9C          59  15
QSO:  7000 PH 2013-10-26 1737 F4FBP         59  14     SI9AM         59  14
QSO:  7169 PH 2013-10-26 1740 F4FBP         59  14     DF0HQ         59  14
QSO:  7155 PH 2013-10-26 1742 F4FBP         59  14     OT5A          59  14
QSO: 14117 PH 2013-10-26 1805 F4FBP         59  14     ES1TU         59  15
QSO: 14126 PH 2013-10-26 1808 F4FBP         59  14     LY3Z          59  15
QSO: 14149 PH 2013-10-26 1826 F4FBP         59  14     EA7KB         59  14
QSO: 14153 PH 2013-10-26 1837 F4FBP         59  14     IG9Y          59  33
QSO: 14133 PH 2013-10-26 1939 F4FBP         59  14     ED8W          59  33
QSO: 14190 PH 2013-10-26 2001 F4FBP         59  14     CN3A          59  33
QSO: 14130 PH 2013-10-26 2035 F4FBP         59  14     VE7WO         59  3
QSO: 14153 PH 2013-10-26 2049 F4FBP         59  14     W3LPL         59  5
QSO:  7095 PH 2013-10-26 2148 F4FBP         59  14     LY5R          59  15
QSO:  7093 PH 2013-10-26 2154 F4FBP         59  14     CR6K          59  14
QSO:  7098 PH 2013-10-26 2219 F4FBP         59  14     3V7A          59  33
QSO:  7157 PH 2013-10-26 2235 F4FBP         59  14     LY7A          59  15
QSO:  7178 PH 2013-10-26 2258 F4FBP         59  14     YT7A          59  15
QSO:  7074 PH 2013-10-26 2328 F4FBP         59  14     HG7T          59  15
QSO: 14198 PH 2013-10-27 0857 F4FBP         59  14     US5D          59  16
QSO: 14205 PH 2013-10-27 0905 F4FBP         59  14     ED1R          59  14
QSO: 14213 PH 2013-10-27 0909 F4FBP         59  14     OK1CRM        59  15
QSO: 14220 PH 2013-10-27 0911 F4FBP         59  14     YT8A          59  15
QSO: 14214 PH 2013-10-27 1034 F4FBP         59  14     SB6A          59  14
QSO: 14208 PH 2013-10-27 1041 F4FBP         59  14     C37NL         59  14
QSO: 14193 PH 2013-10-27 1044 F4FBP         59  14     DL0CS         59  14
QSO: 14188 PH 2013-10-27 1047 F4FBP         59  14     EE5T          59  14
QSO: 14182 PH 2013-10-27 1051 F4FBP         59  14     DM5T          59  14
QSO: 14172 PH 2013-10-27 1057 F4FBP         59  14     WE3C          59  5
QSO: 14169 PH 2013-10-27 1100 F4FBP         59  14     OL9Z          59  15
QSO: 14166 PH 2013-10-27 1103 F4FBP         59  14     LZ9W          59  20
QSO: 14152 PH 2013-10-27 1108 F4FBP         59  14     DF9GR         59  14
QSO: 14150 PH 2013-10-27 1110 F4FBP         59  14     K3LR          59  5
QSO: 14155 PH 2013-10-27 1328 F4FBP         59  14     S53EO         59  15
QSO: 14174 PH 2013-10-27 1336 F4FBP         59  14     RW0A          59  18
QSO: 14186 PH 2013-10-27 1339 F4FBP         59  14     S53DOS        59  15
QSO: 14198 PH 2013-10-27 1342 F4FBP         59  14     RN3F          59  16
QSO: 14200 PH 2013-10-27 1344 F4FBP         59  14     SK3W          59  14
QSO: 14241 PH 2013-10-27 1420 F4FBP         59  14     LZ1BJ         59  20
QSO: 14255 PH 2013-10-27 1425 F4FBP         59  14     TM2T          59  14
QSO: 14266 PH 2013-10-27 1433 F4FBP         59  14     HA30S         59  15
QSO: 14253 PH 2013-10-27 1435 F4FBP         59  14     SO4R          59  15
QSO: 14244 PH 2013-10-27 1437 F4FBP         59  14     SP9AQF        59  15
QSO: 14172 PH 2013-10-27 1447 F4FBP         59  14     YT3M          59  15
QSO: 14144 PH 2013-10-27 1453 F4FBP         59  14     EU6AF         59  16
QSO: 14202 PH 2013-10-27 1459 F4FBP         59  14     RC9O          59  18
QSO: 14221 PH 2013-10-27 1502 F4FBP         59  14     YT1A          59  15
QSO: 14224 PH 2013-10-27 1503 F4FBP         59  14     W7WA          59  3
QSO: 21299 PH 2013-10-27 1516 F4FBP         59  14     LZ9W          59  20
QSO: 21311 PH 2013-10-27 1518 F4FBP         59  14     ED9Z          59  33
QSO: 21315 PH 2013-10-27 1520 F4FBP         59  14     EA1KY         59  14
QSO: 21341 PH 2013-10-27 1523 F4FBP         59  14     LZ5R          59  20
QSO: 21359 PH 2013-10-27 1527 F4FBP         59  14     CR2X          59  14
QSO: 21373 PH 2013-10-27 1538 F4FBP         59  14     ES9C          59  15
QSO: 21381 PH 2013-10-27 1539 F4FBP         59  14     YL2SM         59  15
QSO: 21400 PH 2013-10-27 1544 F4FBP         59  14     UA3QNS        59  16
QSO: 21411 PH 2013-10-27 1545 F4FBP         59  14     IR9Z          59  15
QSO: 21413 PH 2013-10-27 1546 F4FBP         59  14     YP0C          59  20
QSO: 21421 PH 2013-10-27 1551 F4FBP         59  14     EE7Y          59  14
QSO: 21433 PH 2013-10-27 1556 F4FBP         59  14     OH8X          59  15
QSO: 21445 PH 2013-10-27 1608 F4FBP         59  14     N2MM          59  5
QSO: 21437 PH 2013-10-27 1609 F4FBP         59  14     RU1A          59  16
QSO: 21424 PH 2013-10-27 1612 F4FBP         59  14     UZ2M          59  16
QSO: 21415 PH 2013-10-27 1614 F4FBP         59  14     P33W          59  20
QSO: 21397 PH 2013-10-27 1616 F4FBP         59  14     OH5Z          59  15
QSO: 21382 PH 2013-10-27 1617 F4FBP         59  14     EF7X          59  14
QSO: 21364 PH 2013-10-27 1618 F4FBP         59  14     OH8L          59  15
QSO: 21348 PH 2013-10-27 1621 F4FBP         59  14     N9RV          59  4
QSO: 21308 PH 2013-10-27 1629 F4FBP         59  14     UA6AA         59  16
QSO: 21279 PH 2013-10-27 1632 F4FBP         59  14     YP3N          59  20
QSO: 21248 PH 2013-10-27 1633 F4FBP         59  14     CN3A          59  33
QSO: 21242 PH 2013-10-27 1634 F4FBP         59  14     KV0Q          59  4
QSO: 21235 PH 2013-10-27 1635 F4FBP         59  14     IG9Y          59  33
QSO: 21227 PH 2013-10-27 1639 F4FBP         59  14     N7DD          59  3
QSO: 21195 PH 2013-10-27 1647 F4FBP         59  14     VA6UK         59  4
QSO: 21148 PH 2013-10-27 1650 F4FBP         59  14     VE6SV         59  4
QSO: 21116 PH 2013-10-27 1652 F4FBP         59  14     VE3AAQ        59  4
QSO: 21120 PH 2013-10-27 1653 F4FBP         59  14     PT7KJ         59  11
QSO: 21126 PH 2013-10-27 1655 F4FBP         59  14     VE3OI         59  4
QSO: 21133 PH 2013-10-27 1656 F4FBP         59  14     VE3JM         59  4
QSO: 21140 PH 2013-10-27 1657 F4FBP         59  14     VC3R          59  4
QSO: 21152 PH 2013-10-27 1700 F4FBP         59  14     CJ3T          59  4
QSO: 21172 PH 2013-10-27 1702 F4FBP         59  14     VO1MX         59  5
QSO: 21183 PH 2013-10-27 1703 F4FBP         59  14     PT2CM         59  11
QSO: 21203 PH 2013-10-27 1711 F4FBP         59  14     KC1XX         59  5
QSO: 21208 PH 2013-10-27 1712 F4FBP         59  14     K3LR          59  5
QSO: 21213 PH 2013-10-27 1715 F4FBP         59  14     WE3C          59  5
QSO: 21228 PH 2013-10-27 1721 F4FBP         59  14     K3EST         59  3
QSO: 21230 PH 2013-10-27 1725 F4FBP         59  14     W3LPL         59  5
QSO: 21302 PH 2013-10-27 1732 F4FBP         59  14     K4XS          59  5
QSO: 28383 PH 2013-10-27 1739 F4FBP         59  14     KQ2M          59  5
QSO: 28341 PH 2013-10-27 1743 F4FBP         59  14     N9NC          59  5
QSO: 28319 PH 2013-10-27 1744 F4FBP         59  14     K1LZ          59  5
QSO: 28400 PH 2013-10-27 1754 F4FBP         59  14     N1MM          59  5
QSO: 28685 PH 2013-10-27 1757 F4FBP         59  14     WK1Q          59  5
QSO: 28702 PH 2013-10-27 1758 F4FBP         59  14     N2RJ          59  5
QSO: 28576 PH 2013-10-27 1802 F4FBP         59  14     W3EP          59  5
QSO: 21280 PH 2013-10-27 1824 F4FBP         59  14     VE6GCE        59  4
QSO: 21405 PH 2013-10-27 1831 F4FBP         59  14     N0IJ          59  4
QSO: 14204 PH 2013-10-27 1837 F4FBP         59  14     P33W          59  20
QSO: 14285 PH 2013-10-27 1859 F4FBP         59  14     KL7RA         59  1
QSO: 14114 PH 2013-10-27 1924 F4FBP         59  14     VE3EJ         59  4
QSO: 14105 PH 2013-10-27 1929 F4FBP         59  14     CJ3T          59  4
QSO: 14177 PH 2013-10-27 1947 F4FBP         59  14     W0AIH         59  4
QSO: 14120 PH 2013-10-27 2032 F4FBP         59  14     VA2WA         59  5
QSO: 14142 PH 2013-10-27 2041 F4FBP         59  14     VA6UK         59  4
QSO: 14152 PH 2013-10-27 2055 F4FBP         59  14     K3CR          59  5
QSO: 14106 PH 2013-10-27 2130 F4FBP         59  14     VE3CX         59  4
QSO:  7116 PH 2013-10-27 2155 F4FBP         59  14     RU1A          59  16
QSO:  7183 PH 2013-10-27 2205 F4FBP         59  14     UA4M          59  16
QSO:  3660 PH 2013-10-27 2214 F4FBP         59  14     PA3AAV        59  14
QSO:  3655 PH 2013-10-27 2216 F4FBP         59  14     IK3UNA/P1     59  15
QSO:  3650 PH 2013-10-27 2217 F4FBP         59  14     F6KFV         59  14
QSO:  3703 PH 2013-10-27 2233 F4FBP         59  14     OK5D          59  15
QSO:  3748 PH 2013-10-27 2243 F4FBP         59  14     DR1A          59  14
QSO:  3750 PH 2013-10-27 2245 F4FBP         59  14     ED1R          59  14
QSO:  3782 PH 2013-10-27 2256 F4FBP         59  14     IW1FGY        59  15
QSO:  3796 PH 2013-10-27 2306 F4FBP         59  14     DF0HQ         59  14
QSO:  3737 PH 2013-10-27 2336 F4FBP         59  14     TM6M          59  14
QSO:  3732 PH 2013-10-27 2337 F4FBP         59  14     OT5A          59  14
QSO:  3683 PH 2013-10-27 2344 F4FBP         59  14     IR2L          59  15
QSO:  3668 PH 2013-10-27 2352 F4FBP         59  14     OK5W          59  15
QSO:  3665 PH 2013-10-27 2354 F4FBP         59  14     EA1AZ         59  14
END-OF-LOG:
