START-OF-LOG: 3.0
CREATED-BY: ua9qcq-yuri-gagarin-dx-ubn-downloader
CONTEST: YURI-GAGARIN-DX
CALLSIGN: R0AK
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-ASSISTED: 
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: 
CATEGORY-POWER: 
OPERATORS: Федор Брязгин, Алексей Клундук, Виктория Сюськина, Денис Сюськин, Надежда Новикова
QSO:  7012 CW 2023-04-09 0109 R0AK          599 32     RA9MA         599 30    
QSO:  7017 CW 2023-04-09 0109 R0AK          599 32     RC9J          599 21    
QSO:  7021 CW 2023-04-09 0110 R0AK          599 32     UC0A          599 32    
QSO:  7030 CW 2023-04-09 0111 R0AK          599 32     RW0A          599 SA    
QSO:  7036 CW 2023-04-09 0113 R0AK          599 32     RA9Y          599 31    
QSO:  7020 CW 2023-04-09 0114 R0AK          599 32     RA5G          599 29    
QSO:  7015 CW 2023-04-09 0115 R0AK          599 32     RG61PP        599 29    
QSO:  7022 CW 2023-04-09 0119 R0AK          599 32     LZ8R          599 28    
QSO: 14017 CW 2023-04-09 0237 R0AK          599 32     UA4WW         599 30    
QSO: 14012 CW 2023-04-09 0241 R0AK          599 32     UP4L          599 30    
QSO: 14015 CW 2023-04-09 0242 R0AK          599 32     UW1M          599 29    
QSO: 14015 CW 2023-04-09 0242 R0AK          599 32     R7KX          599 29    
QSO: 14015 CW 2023-04-09 0242 R0AK          599 32     RA3AN         599 29    
QSO: 14015 CW 2023-04-09 0243 R0AK          599 32     RC9T          599 30    
QSO: 14015 CW 2023-04-09 0243 R0AK          599 32     RK3DK         599 29    
QSO: 14015 CW 2023-04-09 0243 R0AK          599 32     UA4Z          599 29    
QSO: 14015 CW 2023-04-09 0244 R0AK          599 32     RD4W          599 30    
QSO: 14015 CW 2023-04-09 0245 R0AK          599 32     UD0O          599 32    
QSO: 14021 CW 2023-04-09 0247 R0AK          599 32     RA9MX         599 30    
QSO: 14021 CW 2023-04-09 0247 R0AK          599 32     UA9CU         599 30    
QSO: 14021 CW 2023-04-09 0248 R0AK          599 32     UN7CAW        599 30    
QSO: 14021 CW 2023-04-09 0248 R0AK          599 32     RV9CVA        599 30    
QSO: 14021 CW 2023-04-09 0249 R0AK          599 32     RT4W          599 30    
QSO: 14021 CW 2023-04-09 0249 R0AK          599 32     UB8A          599 30    
QSO: 14021 CW 2023-04-09 0250 R0AK          599 32     RW3VM         599 29    
QSO: 14021 CW 2023-04-09 0250 R0AK          599 32     R9MA          599 31    
QSO: 14021 CW 2023-04-09 0251 R0AK          599 32     RD3FT         599 29    
QSO: 14021 CW 2023-04-09 0251 R0AK          599 32     RG5A/6        599 29    
QSO: 14021 CW 2023-04-09 0252 R0AK          599 32     RW9MZ         599 30    
QSO: 14021 CW 2023-04-09 0253 R0AK          599 32     UR7MZ         599 29    
QSO: 14021 CW 2023-04-09 0253 R0AK          599 32     UA9CES        599 30    
QSO: 14021 CW 2023-04-09 0254 R0AK          599 32     UA6LCJ        599 29    
QSO: 14021 CW 2023-04-09 0255 R0AK          599 32     UI0B          599 32    
QSO: 14021 CW 2023-04-09 0255 R0AK          599 32     UA0D          599 33    
QSO: 14021 CW 2023-04-09 0256 R0AK          599 32     UA0OK         599 32    
QSO: 14021 CW 2023-04-09 0256 R0AK          599 32     RT5Q          599 29    
QSO: 14021 CW 2023-04-09 0256 R0AK          599 32     RO9L          599 30    
QSO: 14021 CW 2023-04-09 0257 R0AK          599 32     OK1VK         599 28    
QSO: 14021 CW 2023-04-09 0257 R0AK          599 32     RA9AP         599 30    
QSO: 14021 CW 2023-04-09 0258 R0AK          599 32     RN9U          599 31    
QSO: 14021 CW 2023-04-09 0258 R0AK          599 32     RW4HFH        599 30    
QSO: 14021 CW 2023-04-09 0300 R0AK          599 32     R8CT          599 30    
QSO: 14021 CW 2023-04-09 0300 R0AK          599 32     HG6O          599 28    
QSO: 14021 CW 2023-04-09 0301 R0AK          599 32     UA3SDN        599 29    
QSO: 14021 CW 2023-04-09 0301 R0AK          599 32     RT4D          599 MP    
QSO: 14021 CW 2023-04-09 0302 R0AK          599 32     RX6FJ         599 29    
QSO: 14021 CW 2023-04-09 0303 R0AK          599 32     RA9DZ         599 30    
QSO: 14021 CW 2023-04-09 0303 R0AK          599 32     UA4S          599 29    
QSO: 14021 CW 2023-04-09 0304 R0AK          599 32     UA4HEZ        599 30    
QSO: 14021 CW 2023-04-09 0305 R0AK          599 32     UN2E          599 30    
QSO: 14021 CW 2023-04-09 0305 R0AK          599 32     RA0AY         599 32    
QSO: 14021 CW 2023-04-09 0307 R0AK          599 32     UN7LV         599 30    
QSO: 14021 CW 2023-04-09 0307 R0AK          599 32     YO3JW         599 28    
QSO: 14021 CW 2023-04-09 0307 R0AK          599 32     RA4CL         599 29    
QSO: 14021 CW 2023-04-09 0308 R0AK          599 32     EW8DX         599 29    
QSO: 14021 CW 2023-04-09 0309 R0AK          599 32     R7MM          599 29    
QSO: 14021 CW 2023-04-09 0310 R0AK          599 32     UA4LCC        599 29    
QSO: 14021 CW 2023-04-09 0310 R0AK          599 32     RA9CHZ        599 30    
