START-OF-LOG: 3.0
CREATED-BY: ua9qcq-yuri-gagarin-dx-ubn-downloader
CONTEST: YURI-GAGARIN-DX
CALLSIGN: RG2Y
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-ASSISTED: 
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: 
CATEGORY-POWER: HIGH
OPERATORS: RG2Y
QSO:  3535 CW 2023-04-08 2238 RG2Y          599 29     D1CW          599 29    
QSO:  3537 CW 2023-04-08 2239 RG2Y          599 29     R5WW          599 29    
QSO:  3535 CW 2023-04-08 2239 RG2Y          599 29     EW1I          599 29    
QSO:  3533 CW 2023-04-08 2240 RG2Y          599 29     RK3DK         599 29    
QSO:  3529 CW 2023-04-08 2240 RG2Y          599 29     UC1A          599 29    
QSO:  3529 CW 2023-04-08 2241 RG2Y          599 29     UN4L          599 30    
QSO:  3529 CW 2023-04-08 2242 RG2Y          599 29     YT1WA         599 28    
QSO:  3530 CW 2023-04-08 2242 RG2Y          599 29     UA3QAM        599 29    
QSO:  3532 CW 2023-04-08 2244 RG2Y          599 29     RM2U          599 29    
QSO:  3536 CW 2023-04-08 2245 RG2Y          599 29     YT4T          599 28    
QSO:  3538 CW 2023-04-08 2245 RG2Y          599 29     RO5X          599 29    
QSO:  3538 CW 2023-04-08 2246 RG2Y          599 29     RA3AN         599 29    
QSO:  3539 CW 2023-04-08 2246 RG2Y          599 29     R4II          599 29    
QSO:  3543 CW 2023-04-08 2247 RG2Y          599 29     R2VA          599 PC    
QSO:  3541 CW 2023-04-08 2247 RG2Y          599 29     UB7K          599 29    
QSO:  3544 CW 2023-04-08 2248 RG2Y          599 29     UW1M          599 29    
QSO:  3544 CW 2023-04-08 2248 RG2Y          599 29     RM5F          599 29    
QSO:  3544 CW 2023-04-08 2248 RG2Y          599 29     R4RN          599 30    
QSO:  3544 CW 2023-04-08 2249 RG2Y          599 29     RU4AA         599 29    
QSO:  3544 CW 2023-04-08 2249 RG2Y          599 29     EU6RO         599 29    
QSO:  3544 CW 2023-04-08 2250 RG2Y          599 29     RW0A          599 SA    
QSO:  3544 CW 2023-04-08 2250 RG2Y          599 29     RA6WF         599 29    
QSO:  3544 CW 2023-04-08 2250 RG2Y          599 29     RN3AM         599 29    
QSO:  3544 CW 2023-04-08 2251 RG2Y          599 29     RA5AD         599 29    
QSO:  3544 CW 2023-04-08 2251 RG2Y          599 29     UP4L          599 30    
QSO:  3544 CW 2023-04-08 2251 RG2Y          599 29     RK4NB         599 29    
QSO:  3544 CW 2023-04-08 2252 RG2Y          599 29     R8CT          599 30    
QSO:  3544 CW 2023-04-08 2252 RG2Y          599 29     UA4HAZ        599 29    
QSO:  3544 CW 2023-04-08 2252 RG2Y          599 29     RT2X          599 29    
QSO:  3544 CW 2023-04-08 2252 RG2Y          599 29     OL8R          599 28    
QSO:  3544 CW 2023-04-08 2252 RG2Y          599 29     RT5P          599 29    
QSO:  3544 CW 2023-04-08 2253 RG2Y          599 29     UA6YH         599 29    
QSO:  3545 CW 2023-04-08 2254 RG2Y          599 29     RA9Y          599 31    
QSO:  3543 CW 2023-04-08 2255 RG2Y          599 29     R2PU          599 29    
QSO:  3543 CW 2023-04-08 2255 RG2Y          599 29     E77EA         599 28    
QSO:  3543 CW 2023-04-08 2256 RG2Y          599 29     RV3A          599 29    
QSO:  3543 CW 2023-04-08 2256 RG2Y          599 29     R7RF          599 29    
QSO:  3543 CW 2023-04-08 2257 RG2Y          599 29     R9MA          599 31    
QSO:  3543 CW 2023-04-08 2257 RG2Y          599 29     UA6CC         599 29    
QSO:  3543 CW 2023-04-08 2257 RG2Y          599 29     RN3S          599 29    
QSO:  3544 CW 2023-04-08 2259 RG2Y          599 29     RA4HBS        599 30    
