START-OF-LOG: 3.0
CREATED-BY: ua9qcq-yuri-gagarin-dx-ubn-downloader
CONTEST: YURI-GAGARIN-DX
CALLSIGN: UA6HFI
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-ASSISTED: 
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: 
CATEGORY-POWER: LOW
OPERATORS: UA6HFI
QSO:  7017 CW 2023-04-09 0537 UA6HFI        599 29     RW3RN         599 29    
QSO: 14008 CW 2023-04-09 0656 UA6HFI        599 29     UP0L          599 30    
QSO: 14010 CW 2023-04-09 0657 UA6HFI        599 29     PA3AAV        599 27    
QSO: 14014 CW 2023-04-09 0700 UA6HFI        599 29     RK3ER         599 29    
QSO: 14020 CW 2023-04-09 0701 UA6HFI        599 29     RN3BL         599 29    
QSO: 14022 CW 2023-04-09 0703 UA6HFI        599 29     UG8F          599 30    
QSO: 14023 CW 2023-04-09 0704 UA6HFI        599 29     UP5B          599 30    
QSO: 14028 CW 2023-04-09 0706 UA6HFI        599 29     UN4L          599 30    
QSO: 14030 CW 2023-04-09 0707 UA6HFI        599 29     RT4D          599 MP    
QSO: 14033 CW 2023-04-09 0709 UA6HFI        599 29     UA1CUR        599 29    
QSO: 14033 CW 2023-04-09 0710 UA6HFI        599 29     YO2DFA        599 28    
QSO: 14034 CW 2023-04-09 0710 UA6HFI        599 29     YT1T          599 28    
QSO: 14037 CW 2023-04-09 0711 UA6HFI        599 29     YU3M          599 28    
QSO: 14040 CW 2023-04-09 0711 UA6HFI        599 29     RA3AN         599 29    
QSO: 14042 CW 2023-04-09 0712 UA6HFI        599 29     EW4A          599 29    
QSO: 14037 CW 2023-04-09 0715 UA6HFI        599 29     LZ3QE         599 28    
QSO: 14041 CW 2023-04-09 0718 UA6HFI        599 29     EW1OW         599 29    
QSO: 14045 CW 2023-04-09 0719 UA6HFI        599 29     UA3VRV        599 29    
QSO: 14024 CW 2023-04-09 0724 UA6HFI        599 29     R6HV          599 29    
