START-OF-LOG: 3.0
CREATED-BY: ua9qcq-yuri-gagarin-dx-ubn-downloader
CONTEST: YURI-GAGARIN-DX
CALLSIGN: RG61PP
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-ASSISTED: 
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: 
CATEGORY-POWER: 
OPERATORS: R2BW, R3DCB, RA1ZZ, RA3ATX, RX3APM, RT5C, RN2FA, RN5M, RK6MC
QSO:  7011 CW 2023-04-08 2100 RG61PP        599 YG     RA9AP         599 30    
QSO:  7011 CW 2023-04-08 2100 RG61PP        599 YG     R6CW          599 29    
QSO:  7011 CW 2023-04-08 2100 RG61PP        599 YG     RD8D          599 30    
QSO:  7011 CW 2023-04-08 2101 RG61PP        599 YG     UR7MZ         599 29    
QSO: 21305 PH 2023-04-08 2101 RG61PP        59  YG     W4WCD         59  08    
QSO:  7011 CW 2023-04-08 2102 RG61PP        599 YG     R0RG          599 32    
QSO: 21305 PH 2023-04-08 2102 RG61PP        59  YG     KD9VGL        59  08    
QSO: 21305 PH 2023-04-08 2102 RG61PP        59  YG     WA2JOE        59  08    
QSO: 21305 PH 2023-04-08 2103 RG61PP        59  YG     N8LF          59  08    
QSO: 21305 PH 2023-04-08 2104 RG61PP        59  YG     KC0INP        59  08    
QSO: 21305 PH 2023-04-08 2104 RG61PP        59  YG     W0YY          59  07    
QSO:  7011 CW 2023-04-08 2104 RG61PP        599 YG     UA0D          599 33    
QSO: 21305 PH 2023-04-08 2105 RG61PP        59  YG     WA8LRU        59  08    
QSO:  7011 CW 2023-04-08 2105 RG61PP        599 YG     R7AT          599 29    
QSO:  7011 CW 2023-04-08 2105 RG61PP        599 YG     UC7A          599 29    
QSO: 21305 PH 2023-04-08 2105 RG61PP        59  YG     K3FZD         59  08    
QSO: 21305 PH 2023-04-08 2106 RG61PP        59  YG     KC3JEH        59  08    
QSO: 21305 PH 2023-04-08 2107 RG61PP        59  YG     W8BXG         59  08    
QSO:  7011 CW 2023-04-08 2108 RG61PP        599 YG     JA6R          599 30    
QSO:  3519 CW 2023-04-08 2108 RG61PP        599 YG     RK4CYW        599 29    
QSO:  3519 CW 2023-04-08 2108 RG61PP        599 YG     UA4Q          599 30    
QSO:  3519 CW 2023-04-08 2108 RG61PP        599 YG     R7MM          599 29    
QSO:  7011 CW 2023-04-08 2109 RG61PP        599 YG     JA5RSR        599 45    
QSO:  3519 CW 2023-04-08 2109 RG61PP        599 YG     RV3A          599 29    
QSO:  3519 CW 2023-04-08 2109 RG61PP        599 YG     OG7F          599 18    
QSO:  3519 CW 2023-04-08 2109 RG61PP        599 YG     RG9A          599 30    
QSO:  3519 CW 2023-04-08 2110 RG61PP        599 YG     UA4FDL        599 29    
QSO:  7011 CW 2023-04-08 2110 RG61PP        599 YG     UA6AA         599 29    
QSO:  3519 CW 2023-04-08 2110 RG61PP        599 YG     RD8D          599 30    
QSO:  3519 CW 2023-04-08 2110 RG61PP        599 YG     UA3QAM        599 29    
QSO: 21305 PH 2023-04-08 2110 RG61PP        59  YG     W5KBW         59  08    
QSO:  7011 CW 2023-04-08 2111 RG61PP        599 YG     RG5A/6        599 29    
QSO:  3519 CW 2023-04-08 2111 RG61PP        599 YG     SC3A          599 18    
QSO:  7011 CW 2023-04-08 2111 RG61PP        599 YG     OK4RQ         599 28    
QSO:  3519 CW 2023-04-08 2111 RG61PP        599 YG     D1AZ          599 29    
