START-OF-LOG: 3.0
CREATED-BY: ua9qcq-yuri-gagarin-dx-ubn-downloader
CONTEST: YURI-GAGARIN-DX
CALLSIGN: RW0J
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-ASSISTED: 
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: 
CATEGORY-POWER: 
OPERATORS: RN0JT, R0JD, RA0JDI, R0JAC, UA0JF, UA0JGT, UB0J, UB0JAI, UB0JBU
QSO: 14020 CW 2023-04-08 2114 RW0J          599 KV     YT1TE         599 28    
QSO:  7095 PH 2023-04-08 2117 RW0J          59  KV     UA0D          59  33    
QSO: 14016 CW 2023-04-08 2128 RW0J          599 KV     YT4W          599 28    
QSO: 14016 CW 2023-04-08 2134 RW0J          599 KV     UA0QNV        599 23    
QSO: 14016 CW 2023-04-08 2135 RW0J          599 KV     5G4I          599 58    
QSO: 14016 CW 2023-04-08 2140 RW0J          599 KV     JR1AIA        599 45    
QSO: 14021 CW 2023-04-08 2145 RW0J          599 KV     JA1IRH        599 10    
QSO: 14021 CW 2023-04-08 2147 RW0J          599 KV     JA3NUT        599 25    
QSO: 14021 CW 2023-04-08 2148 RW0J          599 KV     JA3VQW        599 25    
QSO: 14021 CW 2023-04-08 2152 RW0J          599 KV     RW0LCN        599 34    
QSO: 14021 CW 2023-04-08 2154 RW0J          599 KV     JJ1VFE        599 10    
QSO: 14021 CW 2023-04-08 2159 RW0J          599 KV     OK4RQ         599 28    
QSO: 14021 CW 2023-04-08 2202 RW0J          599 KV     BH1APZ        599 44    
QSO: 14021 CW 2023-04-08 2205 RW0J          599 KV     JG8NKJ        599 01    
QSO: 14021 CW 2023-04-08 2207 RW0J          599 KV     PY4XX         599 15    
QSO: 14021 CW 2023-04-08 2210 RW0J          599 KV     JF2FIU        599 45    
QSO: 14021 CW 2023-04-08 2211 RW0J          599 KV     OR5T          599 27    
QSO: 14021 CW 2023-04-08 2218 RW0J          599 KV     RW0A          599 SA    
QSO: 14021 CW 2023-04-08 2219 RW0J          599 KV     UA0OK         599 32    
QSO: 14021 CW 2023-04-08 2221 RW0J          599 KV     JL3ZHU        599 25    
QSO: 14021 CW 2023-04-08 2229 RW0J          599 KV     JQ1QGM        599 45    
QSO: 14021 CW 2023-04-08 2233 RW0J          599 KV     R0RG          599 32    
QSO: 14021 CW 2023-04-08 2237 RW0J          599 KV     BH1APZ        599 44    
QSO: 14021 CW 2023-04-08 2244 RW0J          599 KV     UA0QN         599 23    
QSO: 14021 CW 2023-04-08 2258 RW0J          599 KV     BI8CZM        599 43    
QSO:  7016 CW 2023-04-08 2258 RW0J          599 KV     UA0OK         599 32    
QSO: 21010 CW 2023-04-08 2306 RW0J          599 KV     UA0QNV        599 23    
QSO: 21013 CW 2023-04-08 2310 RW0J          599 KV     JE6WOQ        599 02    
QSO:  7016 CW 2023-04-08 2315 RW0J          599 KV     R0CBW         599 34    
QSO: 21012 CW 2023-04-08 2328 RW0J          599 KV     JJ2YDV        599 20    
QSO: 21012 CW 2023-04-08 2329 RW0J          599 KV     BH1JPU        599 43    
QSO: 21012 CW 2023-04-08 2330 RW0J          599 KV     BH1APZ        599 44    
QSO:  7018 CW 2023-04-08 2335 RW0J          599 KV     RT0O          599 32    
QSO: 14018 CW 2023-04-08 2340 RW0J          599 KV     R0CBW         599 34    
QSO: 21012 CW 2023-04-08 2343 RW0J          599 KV     JP7LIZ        599 08    
QSO: 14188 PH 2023-04-09 0003 RW0J          59  KV     RA9V          59  31    
QSO: 21012 CW 2023-04-09 0004 RW0J          599 KV     JG1UQD        599 12    
QSO: 14016 CW 2023-04-09 0020 RW0J          599 KV     RT0O          599 32    
QSO: 21012 CW 2023-04-09 0021 RW0J          599 KV     JF2FIU        599 45    
QSO: 21012 CW 2023-04-09 0022 RW0J          599 KV     R0RG          599 32    
QSO: 14014 CW 2023-04-09 0026 RW0J          599 KV     UA0LNA        599 34    
QSO: 14014 CW 2023-04-09 0029 RW0J          599 KV     RA0AP         599 32    
QSO: 21012 CW 2023-04-09 0030 RW0J          599 KV     JG1STB        599 15    
QSO: 14015 CW 2023-04-09 0031 RW0J          599 KV     UA0UV         599 33    
QSO: 21012 CW 2023-04-09 0043 RW0J          599 KV     JM4AHN        599 31    
QSO: 21012 CW 2023-04-09 0048 RW0J          599 KV     JJ1AEB        599 14    
QSO: 21012 CW 2023-04-09 0054 RW0J          599 KV     JK4KSD        599 31    
QSO: 21012 CW 2023-04-09 0056 RW0J          599 KV     JM1SZY        599 10    
QSO: 21012 CW 2023-04-09 0058 RW0J          599 KV     BG5MWN        599 44    
QSO: 14011 CW 2023-04-09 0100 RW0J          599 KV     UP4L          599 30    
QSO: 14012 CW 2023-04-09 0102 RW0J          599 KV     R9LY          599 30    
QSO: 14014 CW 2023-04-09 0103 RW0J          599 KV     R0CAF         599 34    
QSO: 14015 CW 2023-04-09 0106 RW0J          599 KV     RA9MX         599 30    
QSO: 14019 CW 2023-04-09 0111 RW0J          599 KV     R0CBW         599 34    
QSO: 14022 CW 2023-04-09 0112 RW0J          599 KV     BH1APZ        599 44    
QSO: 14028 CW 2023-04-09 0113 RW0J          599 KV     RW0A          599 SA    
QSO: 14018 CW 2023-04-09 0116 RW0J          599 KV     RW0AJ         599 32    
QSO: 14015 CW 2023-04-09 0119 RW0J          599 KV     UA0UV         599 33    
QSO: 14024 CW 2023-04-09 0123 RW0J          599 KV     RD0A          599 32    
QSO: 21009 CW 2023-04-09 0129 RW0J          599 KV     RW0A          599 SA    
QSO: 14014 CW 2023-04-09 0130 RW0J          599 KV     RT0O          599 32    
QSO: 14016 CW 2023-04-09 0131 RW0J          599 KV     RA9MA         599 30    
QSO: 14018 CW 2023-04-09 0135 RW0J          599 KV     RC9J          599 21    
QSO: 28020 CW 2023-04-09 0136 RW0J          599 KV     UA9LAO        599 30    
QSO: 14016 CW 2023-04-09 0140 RW0J          599 KV     RK9CYA        599 30    
QSO: 14024 CW 2023-04-09 0142 RW0J          599 KV     RG2X          599 RK    
QSO: 28022 CW 2023-04-09 0142 RW0J          599 KV     RO8U          599 31    
QSO: 14032 CW 2023-04-09 0144 RW0J          599 KV     R8CT          599 30    
QSO: 14163 PH 2023-04-09 0145 RW0J          59  KV     UA9R          59  30    
QSO: 14026 CW 2023-04-09 0148 RW0J          599 KV     UA0KBG        599 26    
QSO: 28022 CW 2023-04-09 0148 RW0J          599 KV     RA9AP         599 30    
QSO: 28022 CW 2023-04-09 0149 RW0J          599 KV     RW0A          599 SA    
QSO: 14026 CW 2023-04-09 0150 RW0J          599 KV     R9MA          599 31    
QSO: 28022 CW 2023-04-09 0150 RW0J          599 KV     R9OK          599 31    
QSO: 14026 CW 2023-04-09 0151 RW0J          599 KV     UA4Z          599 29    
