START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.5.1
CONTEST: CQ-WW-CW
LOCATION: DX
CALLSIGN: EA2EA
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-TRANSMITTER: UNLIMITED
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 20646732
OPERATORS: EA1XT, EA1WX, EB1RL, EA2DK, EA2EA, EA2ET, EA3ALZ, EA3AVV, EA4KR,
OPERATORS: EA4TX, EC4CBZ, EA7RM, EA7TL, EA7TN, SUPPORT: EC1KV, EA2GL, EA2NN,
OPERATORS: EB2BXL, EC2DM
XCLUB: EE2W Ondarroa Contest Group
NAME: Jose Ig. Callejo
SOAPBOX: It was done Field Day-style contest operation.  On monday we started
SOAPBOX: to mount towers/antennas and we just finished on friday afternoon. Few
SOAPBOX: hours after the contest is over everything went down again and we come
SOAPBOX: back home.   First target it was to beat the old EA MM record, EA4ML
SOAPBOX: 12,785,300  points dated year 2000. We broke it at 06:17, a magic
SOAPBOX: moment coinciding with our sunrise. The european record OH2U
SOAPBOX: 22,244,067  from 1999 was in our minds but we lacked a little faith.
SOAPBOX: Maybe next year.  In the last minute we decided to use EA2EA callsign
SOAPBOX: instead of our beloved EE2W due to practical reasons.  Thanks to
SOAPBOX: everyone who called.   73 from EE2W, Ondarroa Contest group.
QSO:  3500 CW 2010-11-27 0000 EA2EA         599 14     W1EQ          599 05     0
QSO:  7058 CW 2010-11-27 0000 EA2EA         599 14     W1FQ          599 05     0
QSO:  3544 CW 2010-11-27 0001 EA2EA         599 14     ZF1A          599 08     0
QSO:  7058 CW 2010-11-27 0001 EA2EA         599 14     W2XL          599 05     0
QSO:  7058 CW 2010-11-27 0001 EA2EA         599 14     K4LQ          599 05     0
QSO:  7058 CW 2010-11-27 0001 EA2EA         599 14     N8BJQ         599 04     0
QSO:  3544 CW 2010-11-27 0001 EA2EA         599 14     W0AIH         599 04     0
QSO:  7058 CW 2010-11-27 0001 EA2EA         599 14     SP3FHV        599 15     0
QSO: 14015 CW 2010-11-27 0001 EA2EA         599 14     9L5VT         599 35     0
QSO:  7058 CW 2010-11-27 0002 EA2EA         599 14     K1DG          599 05     0
QSO: 14009 CW 2010-11-27 0002 EA2EA         599 14     E71A          599 15     0
QSO:  7058 CW 2010-11-27 0003 EA2EA         599 14     RW4PL         599 16     0
QSO: 14009 CW 2010-11-27 0003 EA2EA         599 14     S57DX         599 15     0
QSO:  7058 CW 2010-11-27 0003 EA2EA         599 14     DL4MCF        599 14     0
QSO: 14009 CW 2010-11-27 0004 EA2EA         599 14     DL9ZP         599 14     0
QSO:  7058 CW 2010-11-27 0004 EA2EA         599 14     VO1TA         599 05     0
QSO: 14009 CW 2010-11-27 0004 EA2EA         599 14     DL9ZP         599 14     0
QSO:  7058 CW 2010-11-27 0004 EA2EA         599 14     K4MF          599 05     0
QSO:  3544 CW 2010-11-27 0005 EA2EA         599 14     K5ZK          599 04     0
QSO:  7058 CW 2010-11-27 0005 EA2EA         599 14     K8CN          599 05     0
QSO: 14009 CW 2010-11-27 0005 EA2EA         599 14     HG1X          599 15     0
QSO:  7058 CW 2010-11-27 0005 EA2EA         599 14     YU1AAV        599 15     0
QSO:  1831 CW 2010-11-27 0005 EA2EA         599 14     YO3APJ        599 20     0
QSO:  7058 CW 2010-11-27 0005 EA2EA         599 14     K1BX          599 05     0
QSO: 14009 CW 2010-11-27 0005 EA2EA         599 14     DL1LOD        599 14     0
QSO:  7058 CW 2010-11-27 0006 EA2EA         599 14     K4LTA         599 04     0
QSO:  1831 CW 2010-11-27 0006 EA2EA         599 14     EA5CW         599 14     0
QSO:  7058 CW 2010-11-27 0006 EA2EA         599 14     WA1FCN        599 04     0
QSO:  7058 CW 2010-11-27 0006 EA2EA         599 14     KU2M          599 05     0
QSO:  1831 CW 2010-11-27 0006 EA2EA         599 14     G3IAF         599 14     0
QSO:  3544 CW 2010-11-27 0006 EA2EA         599 14     W2CLS         599 05     0
QSO:  7058 CW 2010-11-27 0006 EA2EA         599 14     K0ZR          599 05     0
QSO:  7058 CW 2010-11-27 0006 EA2EA         599 14     K3ZM          599 05     0
QSO: 14009 CW 2010-11-27 0006 EA2EA         599 14     SP1PWP        599 15     0
QSO:  3544 CW 2010-11-27 0007 EA2EA         599 14     VE6WQ         599 04     0
QSO: 14009 CW 2010-11-27 0007 EA2EA         599 14     YT2W          599 15     0
QSO:  7058 CW 2010-11-27 0007 EA2EA         599 14     K9DU          599 04     0
QSO:  7058 CW 2010-11-27 0007 EA2EA         599 14     W1CSM         599 05     0
QSO:  7058 CW 2010-11-27 0007 EA2EA         599 14     UT7NW         599 16     0
QSO: 14009 CW 2010-11-27 0007 EA2EA         599 14     LY7A          599 15     0
QSO:  3544 CW 2010-11-27 0008 EA2EA         599 14     NR5M          599 04     0
QSO:  1831 CW 2010-11-27 0007 EA2EA         599 14     RU1A          599 16     0
QSO:  7058 CW 2010-11-27 0008 EA2EA         599 14     OV3X          599 14     0
QSO:  3544 CW 2010-11-27 0008 EA2EA         599 14     KR5V          599 04     0
QSO: 14009 CW 2010-11-27 0008 EA2EA         599 14     SP9KRT        599 15     0
