START-OF-LOG: 3.0
CREATED-BY:    SD by EI5DI
CONTEST:       CQ-WW-CW
CALLSIGN:      OZ8A
CLAIMED-SCORE: 48750
NAME:          Allan Glasdam
OPERATORS:     OZ8A
SOAPBOX:       Good cndx. Little pistol needs big ears. I got them
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: QRP
CATEGORY-STATION: FIXED
QSO: 21000 CW 2010-11-27 0724 OZ8A          599 14     RY9C          599 17
QSO: 21000 CW 2010-11-27 0725 OZ8A          599 14     RT9A          599 17
QSO: 21000 CW 2010-11-27 0739 OZ8A          599 14     RX4W          599 16
QSO: 21000 CW 2010-11-27 0742 OZ8A          599 14     C4W           599 20
QSO: 21000 CW 2010-11-27 0743 OZ8A          599 14     TC7M          599 20
QSO: 21000 CW 2010-11-27 0745 OZ8A          599 14     RK3ZZ         599 16
QSO: 21000 CW 2010-11-27 0748 OZ8A          599 14     UN9GD         599 17
QSO: 21000 CW 2010-11-27 0749 OZ8A          599 14     RW4W          599 16
QSO: 21000 CW 2010-11-27 0750 OZ8A          599 14     RG6G          599 16
QSO: 21000 CW 2010-11-27 0834 OZ8A          599 14     RY6Y          599 16
QSO: 14000 CW 2010-11-27 0840 OZ8A          599 14     IS0/K7QB      599 15
QSO: 14000 CW 2010-11-27 0841 OZ8A          599 14     LZ5XQ         599 20
QSO: 14000 CW 2010-11-27 0842 OZ8A          599 14     RA1OGP        599 16
QSO: 14000 CW 2010-11-27 0845 OZ8A          599 14     9A3B          599 15
QSO: 14000 CW 2010-11-27 0851 OZ8A          599 14     CR6T          599 14
QSO: 14000 CW 2010-11-27 0852 OZ8A          599 14     9A1P          599 15
QSO: 14000 CW 2010-11-27 0857 OZ8A          599 14     IK0YUT        599 15
QSO: 14000 CW 2010-11-27 0858 OZ8A          599 14     OE4A          599 15
QSO: 14000 CW 2010-11-27 0859 OZ8A          599 14     UA1ZZ         599 16
QSO: 14000 CW 2010-11-27 0859 OZ8A          599 14     SN8R          599 15
QSO: 14000 CW 2010-11-27 0900 OZ8A          599 14     TM0R          599 14
QSO: 14000 CW 2010-11-27 0951 OZ8A          599 14     YT5A          599 15
QSO: 14000 CW 2010-11-27 0955 OZ8A          599 14     RM5A          599 16
QSO: 14000 CW 2010-11-27 0957 OZ8A          599 14     E71A          599 15
QSO: 14000 CW 2010-11-27 0958 OZ8A          599 14     OH8L          599 15
QSO: 21000 CW 2010-11-27 1011 OZ8A          599 14     EA5EA         599 14
QSO: 21000 CW 2010-11-27 1012 OZ8A          599 14     IR9Y          599 15
QSO: 21000 CW 2010-11-27 1017 OZ8A          599 14     LZ1BJ         599 20
QSO: 21000 CW 2010-11-27 1023 OZ8A          599 14     AN5A          599 14
QSO: 28000 CW 2010-11-27 1026 OZ8A          599 14     9A1P          599 15
QSO: 21000 CW 2010-11-27 1033 OZ8A          599 14     AM5M          599 14
QSO: 21000 CW 2010-11-27 1036 OZ8A          599 14     RF9C          599 17
QSO: 21000 CW 2010-11-27 1038 OZ8A          599 14     9H3TX         599 15
QSO: 21000 CW 2010-11-27 1041 OZ8A          599 14     R4RT          599 16
