START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.6.0
CONTEST: CQ-WW-CW
LOCATION: NH
CALLSIGN: KC1XX
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-TRANSMITTER: UNLIMITED
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 29169772
OPERATORS: KC1XX,K1FWE,K1TR,N1KWF,W1FV,WA1Z,W2RQ,KM3T,N9NC
CLUB: Yankee Clipper Contest Club, K1FWE, K1TR, N1KWF, W1FV, WA1Z, KM3T, N9NC
CLUB: FRC,  W2RQ
NAME: Matt Strelow
QSO:  3502 CW 2010-11-27 0000 KC1XX         599 5      AC8AP         599 04     0
QSO: 14037 CW 2010-11-27 0000 KC1XX         599 5      PW2D          599 11     0
QSO:  3502 CW 2010-11-27 0000 KC1XX         599 5      G3JDT         599 14     0
QSO:  7019 CW 2010-11-27 0000 KC1XX         599 5      EA1CF         599 14     0
QSO:  3502 CW 2010-11-27 0001 KC1XX         599 5      TM2Y          599 14     0
QSO:  3502 CW 2010-11-27 0001 KC1XX         599 5      YL0Y          599 15     0
QSO:  1845 CW 2010-11-27 0001 KC1XX         599 5      C5A           599 35     0
QSO:  3502 CW 2010-11-27 0001 KC1XX         599 5      SJ2W          599 14     0
QSO:  3502 CW 2010-11-27 0002 KC1XX         599 5      OK5W          599 15     0
QSO:  7019 CW 2010-11-27 0002 KC1XX         599 5      I3VJW         599 15     0
QSO:  3502 CW 2010-11-27 0002 KC1XX         599 5      LY1G          599 15     0
QSO:  3502 CW 2010-11-27 0002 KC1XX         599 5      ER0FEO        599 16     0
QSO: 14001 CW 2010-11-27 0002 KC1XX         599 5      LU1DZ         599 13     0
QSO:  3502 CW 2010-11-27 0002 KC1XX         599 5      UR8LV         599 16     0
QSO:  3502 CW 2010-11-27 0003 KC1XX         599 5      US2WU         599 16     0
QSO:  7019 CW 2010-11-27 0003 KC1XX         599 5      RX3APM        599 16     0
QSO:  3502 CW 2010-11-27 0003 KC1XX         599 5      EA7GYS        599 14     0
QSO: 14057 CW 2010-11-27 0003 KC1XX         599 5      CX7CO         599 13     0
QSO:  3501 CW 2010-11-27 0003 KC1XX         599 5      R4II          599 16     0
QSO:  7019 CW 2010-11-27 0003 KC1XX         599 5      9A6AR         599 15     0
QSO:  3501 CW 2010-11-27 0004 KC1XX         599 5      AN2A          599 14     0
QSO:  3502 CW 2010-11-27 0004 KC1XX         599 5      RA3XM         599 16     0
QSO: 14032 CW 2010-11-27 0005 KC1XX         599 5      PZ5T          599 09     0
QSO:  7019 CW 2010-11-27 0005 KC1XX         599 5      OK1NR         599 15     0
QSO:  1844 CW 2010-11-27 0005 KC1XX         599 5      WB2MIC        599 05     0
QSO: 14030 CW 2010-11-27 0005 KC1XX         599 5      LP1H          599 13     0
QSO:  3502 CW 2010-11-27 0006 KC1XX         599 5      DJ5AZ         599 14     0
QSO:  3502 CW 2010-11-27 0006 KC1XX         599 5      UW5U          599 16     0
QSO:  7019 CW 2010-11-27 0006 KC1XX         599 5      DK2CX         599 14     0
QSO:  3501 CW 2010-11-27 0006 KC1XX         599 5      OZ7RQ         599 14     0
QSO: 14016 CW 2010-11-27 0006 KC1XX         599 5      PY2NY         599 11     0
QSO:  3502 CW 2010-11-27 0006 KC1XX         599 5      LY2TS         599 15     0
QSO:  7019 CW 2010-11-27 0007 KC1XX         599 5      HG3DX         599 15     0
QSO:  3501 CW 2010-11-27 0007 KC1XX         599 5      RK4WWQ        599 16     0
QSO: 14015 CW 2010-11-27 0007 KC1XX         599 5      9L5VT         599 35     0
QSO: 14012 CW 2010-11-27 0008 KC1XX         599 5      PY3DX         599 11     0
QSO:  3501 CW 2010-11-27 0008 KC1XX         599 5      EW1IP         599 16     0
QSO:  1844 CW 2010-11-27 0008 KC1XX         599 5      VE3OSZ        599 04     0
QSO: 21007 CW 2010-11-27 0008 KC1XX         599 5      NQ4I          599 05     0
QSO:  3502 CW 2010-11-27 0008 KC1XX         599 5      RW4W          599 16     0
QSO: 14020 CW 2010-11-27 0009 KC1XX         599 5      LU5FF         599 13     0
QSO:  3502 CW 2010-11-27 0009 KC1XX         599 5      RX3AGD        599 16     0
QSO:  3502 CW 2010-11-27 0009 KC1XX         599 5      RG6G          599 16     0
QSO:  7019 CW 2010-11-27 0009 KC1XX         599 5      DL8DYL        599 14     0
QSO:  3502 CW 2010-11-27 0009 KC1XX         599 5      4Z5TK         599 20     0
QSO:  7019 CW 2010-11-27 0010 KC1XX         599 5      G4CWH         599 14     0
QSO:  3502 CW 2010-11-27 0010 KC1XX         599 5      UA9AGX        599 17     0
QSO:  1829 CW 2010-11-27 0010 KC1XX         599 5      KV4FZ         599 08     0
QSO:  3502 CW 2010-11-27 0010 KC1XX         599 5      UT7I          599 16     0
QSO:  7051 CW 2010-11-27 0011 KC1XX         599 5      TC4X          599 20     0
QSO:  7019 CW 2010-11-27 0011 KC1XX         599 5      DR5L          599 14     0
QSO:  3502 CW 2010-11-27 0011 KC1XX         599 5      OM7RU         599 15     0
QSO:  7050 CW 2010-11-27 0011 KC1XX         599 5      KP3Z          599 08     0
QSO:  3502 CW 2010-11-27 0011 KC1XX         599 5      AN5A          599 14     0
QSO:  3501 CW 2010-11-27 0012 KC1XX         599 5      DL6MRS        599 14     0
QSO: 14013 CW 2010-11-27 0012 KC1XX         599 5      K1TTT         599 05     0
QSO:  7019 CW 2010-11-27 0012 KC1XX         599 5      DL7RV         599 14     0
QSO:  3502 CW 2010-11-27 0012 KC1XX         599 5      UR5AO         599 16     0
QSO:  3501 CW 2010-11-27 0013 KC1XX         599 5      RQ3A          599 16     0
QSO:  7019 CW 2010-11-27 0013 KC1XX         599 5      OK6Y          599 15     0
QSO: 14005 CW 2010-11-27 0013 KC1XX         599 5      AY5F          599 13     0
QSO:  3501 CW 2010-11-27 0013 KC1XX         599 5      OK1AHV        599 15     0
QSO:  7019 CW 2010-11-27 0013 KC1XX         599 5      W6IYS         599 03     0
QSO: 14007 CW 2010-11-27 0013 KC1XX         599 5      HK1X          599 09     0
QSO:  3502 CW 2010-11-27 0013 KC1XX         599 5      W3LJ          599 05     0
QSO:  7019 CW 2010-11-27 0014 KC1XX         599 5      G1N           599 14     0
QSO:  1832 CW 2010-11-27 0014 KC1XX         599 5      F2DX          599 14     0
QSO:  3502 CW 2010-11-27 0014 KC1XX         599 5      9A6M          599 15     0
QSO:  7000 CW 2010-11-27 0015 KC1XX         599 5      PP1CZ         599 11     0
QSO:  3502 CW 2010-11-27 0015 KC1XX         599 5      DF5AN         599 14     0
QSO:  3502 CW 2010-11-27 0015 KC1XX         599 5      SP4JCQ        599 15     0
QSO:  7019 CW 2010-11-27 0016 KC1XX         599 5      DM1TT         599 14     0
QSO:  7019 CW 2010-11-27 0016 KC1XX         599 5      UX5D          599 16     0
QSO:  3502 CW 2010-11-27 0016 KC1XX         599 5      OH2XX         599 15     0
QSO:  3502 CW 2010-11-27 0016 KC1XX         599 5      SP7HOA        599 15     0
QSO:  7019 CW 2010-11-27 0016 KC1XX         599 5      UZ2M          599 16     0
QSO:  3502 CW 2010-11-27 0017 KC1XX         599 5      RN3A          599 16     0
QSO:  1831 CW 2010-11-27 0017 KC1XX         599 5      PJ2T          599 09     0
QSO:  7019 CW 2010-11-27 0017 KC1XX         599 5      RK4YJ         599 16     0
QSO:  7067 CW 2010-11-27 0017 KC1XX         599 5      9J3A          599 36     0
QSO:  3502 CW 2010-11-27 0017 KC1XX         599 5      RK3ZZ         599 16     0
QSO:  3559 CW 2010-11-27 0017 KC1XX         599 5      EU1MM         599 16     0
QSO:  1831 CW 2010-11-27 0017 KC1XX         599 5      RU3DX         599 16     0
QSO:  3502 CW 2010-11-27 0018 KC1XX         599 5      OK2MJF        599 15     0
