START-OF-LOG: 3.0
CONTEST: CQ-WW-CW
CREATED-BY: AATest v.1.84
CALLSIGN: UA9MA
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: 80M
CATEGORY-MODE: CW
CATEGORY-POWER: HIGH
CATEGORY-OVERLAY:
CATEGORY-ASSISTED: ASSISTED
CATEGORY-TRANSMITTER: ONE
LOCATION: DX
CLAIMED-SCORE: 270392
OPERATORS: UA9MA
CLUB: Russian Contest Club
NAME: Gennady Kolmakov
SOAPBOX: Many old friends in my log ! Great fun !
QSO: 21000 CW 2010-11-27 0611 UA9MA         599 17     RA7A          599 16
QSO: 21000 CW 2010-11-27 0646 UA9MA         599 17     UR5MBA        599 16
QSO: 21000 CW 2010-11-27 0646 UA9MA         599 17     SP5WA         599 15
QSO: 21000 CW 2010-11-27 0647 UA9MA         599 17     JA6DIJ        599 25
QSO: 14000 CW 2010-11-27 0653 UA9MA         599 17     R3CM          599 16
QSO: 14000 CW 2010-11-27 0654 UA9MA         599 17     R3CW          599 16
QSO: 14000 CW 2010-11-27 0654 UA9MA         599 17     OL6P          599 15
QSO: 14000 CW 2010-11-27 0656 UA9MA         599 17     OK1KJA        599 15
QSO: 14000 CW 2010-11-27 0656 UA9MA         599 17     JL1LNC        599 25
QSO: 14000 CW 2010-11-27 0656 UA9MA         599 17     S57DX         599 15
QSO: 14000 CW 2010-11-27 0657 UA9MA         599 17     JP1QDH        599 25
QSO: 14000 CW 2010-11-27 0659 UA9MA         599 17     G4C           599 14
QSO: 14000 CW 2010-11-27 0659 UA9MA         599 17     EW1IP         599 16
QSO: 14000 CW 2010-11-27 0700 UA9MA         599 17     S57U          599 15
QSO: 14000 CW 2010-11-27 0700 UA9MA         599 17     DL4FN         599 14
QSO: 14000 CW 2010-11-27 0701 UA9MA         599 17     R7NK          599 16
QSO: 14000 CW 2010-11-27 0701 UA9MA         599 17     UA3ABJ        599 16
QSO: 14000 CW 2010-11-27 0702 UA9MA         599 17     OK2PBG        599 15
QSO: 14000 CW 2010-11-27 0702 UA9MA         599 17     LY9Y          599 15
QSO: 14000 CW 2010-11-27 0703 UA9MA         599 17     SP7QHR        599 15
QSO: 14000 CW 2010-11-27 0703 UA9MA         599 17     DL9ZP         599 14
QSO: 14000 CW 2010-11-27 0704 UA9MA         599 17     RN4SS         599 16
QSO: 14000 CW 2010-11-27 0704 UA9MA         599 17     PC7T          599 14
QSO: 14000 CW 2010-11-27 0705 UA9MA         599 17     OL4W          599 15
QSO: 14000 CW 2010-11-27 0705 UA9MA         599 17     RG3K          599 16
QSO: 14000 CW 2010-11-27 0713 UA9MA         599 17     HG4F          599 15
QSO: 14000 CW 2010-11-27 0714 UA9MA         599 17     RZ4AG         599 16
QSO: 14000 CW 2010-11-27 0715 UA9MA         599 17     RT5G          599 16
QSO: 14000 CW 2010-11-27 0716 UA9MA         599 17     EA2EA         599 14
QSO: 14000 CW 2010-11-27 0718 UA9MA         599 17     RU1A          599 16
QSO: 14000 CW 2010-11-27 0719 UA9MA         599 17     IK6MNB        599 15
QSO: 14000 CW 2010-11-27 0720 UA9MA         599 17     UV2L          599 16
QSO: 14000 CW 2010-11-27 0721 UA9MA         599 17     SO8A          599 15
QSO: 14000 CW 2010-11-27 0721 UA9MA         599 17     IR3W          599 15
QSO: 14000 CW 2010-11-27 0722 UA9MA         599 17     PB2JJ         599 14
QSO: 14000 CW 2010-11-27 0724 UA9MA         599 17     S50K          599 15
QSO: 14000 CW 2010-11-27 0725 UA9MA         599 17     SN8R          599 15
QSO: 14000 CW 2010-11-27 0726 UA9MA         599 17     OM8A          599 15
QSO: 14000 CW 2010-11-27 0726 UA9MA         599 17     RT3A          599 16
QSO: 14000 CW 2010-11-27 0727 UA9MA         599 17     DF0ZP         599 14
QSO: 14000 CW 2010-11-27 0727 UA9MA         599 17     E7DX          599 15
QSO: 14000 CW 2010-11-27 1050 UA9MA         599 17     OK4N          599 15
QSO: 14000 CW 2010-11-27 1051 UA9MA         599 17     LZ1AQ         599 20
QSO: 14000 CW 2010-11-27 1052 UA9MA         599 17     YO8TOH        599 20
