START-OF-LOG: 3.0
CALLSIGN: RK3BA
CLUB: RUSSIAN CONTEST CLUB
CONTEST: CQ-WW-CW
CLAIMED-SCORE: 530058
OPERATORS: RK3BA
NAME: Yuri Bogatyrev
CREATED-BY: N1MM Logger V10.8.3
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-STATION: FIXED
QSO: 21014 CW 2010-11-27 0920 RK3BA         599 16     KH7X          599 31
QSO: 21021 CW 2010-11-27 0923 RK3BA         599 16     P3F           599 20
QSO: 21022 CW 2010-11-27 0923 RK3BA         599 16     TM2T          599 14
QSO: 21023 CW 2010-11-27 0932 RK3BA         599 16     9V1YC         599 28
QSO: 21008 CW 2010-11-27 0937 RK3BA         599 16     PI4DX         599 14
QSO: 21009 CW 2010-11-27 0938 RK3BA         599 16     R3CM          599 16
QSO: 21043 CW 2010-11-27 0946 RK3BA         599 16     9J3A          599 36
QSO: 21027 CW 2010-11-27 0948 RK3BA         599 16     ED9T          599 33
QSO: 21058 CW 2010-11-27 0955 RK3BA         599 16     IR9Y          599 15
QSO: 21014 CW 2010-11-27 1000 RK3BA         599 16     EF8N          599 33
QSO: 21012 CW 2010-11-27 1002 RK3BA         599 16     EF8M          599 33
QSO: 21012 CW 2010-11-27 1003 RK3BA         599 16     GM3WUX        599 14
QSO: 21010 CW 2010-11-27 1004 RK3BA         599 16     EA5CW         599 14
QSO: 21009 CW 2010-11-27 1004 RK3BA         599 16     ZS2DL         599 38
QSO: 21011 CW 2010-11-27 1005 RK3BA         599 16     EA1OS         599 14
QSO: 21011 CW 2010-11-27 1006 RK3BA         599 16     Z37Y          599 15
QSO: 21011 CW 2010-11-27 1006 RK3BA         599 16     G3PSM         599 14
QSO: 21011 CW 2010-11-27 1006 RK3BA         599 16     OM4DN         599 15
QSO: 21011 CW 2010-11-27 1009 RK3BA         599 16     IK2AOO        599 15
QSO: 21011 CW 2010-11-27 1009 RK3BA         599 16     EW2A          599 16
QSO: 21009 CW 2010-11-27 1014 RK3BA         599 16     C5A           599 35
QSO: 21008 CW 2010-11-27 1018 RK3BA         599 16     GM0EGI        599 14
QSO: 21011 CW 2010-11-27 1024 RK3BA         599 16     AO3DE         599 14
QSO: 21036 CW 2010-11-27 1027 RK3BA         599 16     EA2LU         599 14
QSO: 21037 CW 2010-11-27 1027 RK3BA         599 16     S53MM         599 15
QSO: 21038 CW 2010-11-27 1028 RK3BA         599 16     PW7T          599 11
QSO: 21039 CW 2010-11-27 1030 RK3BA         599 16     ED9M          599 33
QSO: 21041 CW 2010-11-27 1031 RK3BA         599 16     E73W          599 15
QSO: 21043 CW 2010-11-27 1032 RK3BA         599 16     DL1II         599 14
QSO: 21045 CW 2010-11-27 1033 RK3BA         599 16     TM2Y          599 14
QSO: 21046 CW 2010-11-27 1034 RK3BA         599 16     UN9GD         599 17
QSO: 21013 CW 2010-11-27 1037 RK3BA         599 16     5Z1N          599 37
QSO: 21018 CW 2010-11-27 1039 RK3BA         599 16     4Z5TK         599 20
QSO: 21013 CW 2010-11-27 1041 RK3BA         599 16     HA1YI         599 15
QSO: 21008 CW 2010-11-27 1042 RK3BA         599 16     SV0XBZ/9      599 20
QSO: 21026 CW 2010-11-27 1048 RK3BA         599 16     ZA3HA         599 15
QSO: 21041 CW 2010-11-27 1050 RK3BA         599 16     5C5T          599 33
QSO: 21013 CW 2010-11-27 1052 RK3BA         599 16     D4C           599 35
QSO: 21021 CW 2010-11-27 1052 RK3BA         599 16     PA5A          599 14
