START-OF-LOG: 3.0
CREATED-BY:    CT Version 10.01.010
CALLSIGN:      LY7A
NAME:          Kaunas University of Technology Radio Club Headquarter station
CLUB:          Kaunas University of Technology Radio Club
CLAIMED-SCORE: 10105165
CONTEST:       CQ-WW-CW
OPERATORS:     LYR-346, LY3BB, LY2J, LY1SR, LY2BMX, LY3DA, LY3HD, LY2XW, LY4L, LY2MV, LY2NK
OPERATORS:
SOAPBOX:
SOAPBOX:
SOAPBOX:
SOAPBOX:
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-TRANSMITTER: UNLIMITED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-ASSISTED: ASSISTED
CATEGORY-STATION: FIXED
QSO:  1825 CW 2010-11-27 0000 LY7A          599 15     LY2K          599 15     1
QSO:  1825 CW 2010-11-27 0000 LY7A          599 15     OK2MBP        599 15     1
QSO:  1825 CW 2010-11-27 0001 LY7A          599 15     EW8DJ         599 16     1
QSO:  1825 CW 2010-11-27 0001 LY7A          599 15     RA1TU         599 16     1
QSO:  7000 CW 2010-11-27 0001 LY7A          599 15     LZ5R          599 20     1
QSO: 14000 CW 2010-11-27 0001 LY7A          599 15     9L5VT         599 35     1
QSO:  3500 CW 2010-11-27 0001 LY7A          599 15     UW8SM         599 16     1
QSO: 14000 CW 2010-11-27 0001 LY7A          599 15     PW7T          599 11     1
QSO:  1825 CW 2010-11-27 0002 LY7A          599 15     G3RXP         599 14     1
QSO: 21000 CW 2010-11-27 0002 LY7A          599 15     E73W          599 15     1
QSO: 14019 CW 2010-11-27 0002 LY7A          599 15     YT4W          599 15     1
QSO:  7000 CW 2010-11-27 0002 LY7A          599 15     IR4M          599 15     1
QSO: 21000 CW 2010-11-27 0002 LY7A          599 15     DF0HQ         599 14     1
QSO:  1825 CW 2010-11-27 0002 LY7A          599 15     SP9BNM        599 15     1
QSO:  3500 CW 2010-11-27 0002 LY7A          599 15     LZ5W          599 20     1
QSO:  1825 CW 2010-11-27 0003 LY7A          599 15     UA1CUR        599 16     1
QSO: 21000 CW 2010-11-27 0003 LY7A          599 15     9A1A          599 15     1
QSO:  1825 CW 2010-11-27 0003 LY7A          599 15     OK2PTS        599 15     1
