START-OF-LOG: 3.0
CREATED-BY: Lux-Log v6.05.00 by LX1NO
CONTEST: REF-SSB
CALLSIGN: F5IQJ
LOCATION:05
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 116918
CONTEST: REF-SSB
NAME: DANIEL
OPERATORS: F5IQJ
SOAPBOX : IC 7410 - 80 W -ANTENNE VERTICALE GAP TITAN
QSO:  3500 PH 2019-02-23 0501 F5IQJ         59  05       F6FET         59  53
QSO:  3500 PH 2019-02-23 0504 F5IQJ         59  05       F6KOP         59  77
QSO:  3500 PH 2019-02-23 0508 F5IQJ         59  05       F6KHM         59  29
QSO:  3500 PH 2019-02-23 0515 F5IQJ         59  05       F6CNQ         59  73
QSO:  3500 PH 2019-02-23 0517 F5IQJ         59  05       F5KBM         59  62
QSO:  3500 PH 2019-02-23 0520 F5IQJ         59  05       F4HER         59  86
QSO:  3500 PH 2019-02-23 0522 F5IQJ         59  05       TK5KP         59  2A
QSO:  3500 PH 2019-02-23 0524 F5IQJ         59  05       F4GYG         59  62
QSO:  3500 PH 2019-02-23 0525 F5IQJ         59  05       F6KLO         59  19
QSO:  3500 PH 2019-02-23 0527 F5IQJ         59  05       F6FTB         59  21
QSO:  3500 PH 2019-02-23 0537 F5IQJ         59  05       TM4K          59  03
QSO:  3500 PH 2019-02-23 0546 F5IQJ         59  05       TM5OTT        59  37
QSO:  3500 PH 2019-02-23 0551 F5IQJ         59  05       TM2T          59  13
QSO:  3500 PH 2019-02-23 0602 F5IQJ         59  05       F8KCF         59  74
QSO:  3500 PH 2019-02-23 0603 F5IQJ         59  05       TM4E          59  05
QSO:  3500 PH 2019-02-23 0605 F5IQJ         59  05       F8KOU/P       59  23
QSO:  3500 PH 2019-02-23 0607 F5IQJ         59  05       F1MGE         59  13
QSO:  7000 PH 2019-02-23 0846 F5IQJ         59  05       F4GYG         59  62
QSO:  7000 PH 2019-02-23 0847 F5IQJ         59  05       F8KIS         59  17
QSO:  7000 PH 2019-02-23 0849 F5IQJ         59  05       F4GTD         59  85
QSO:  7000 PH 2019-02-23 0850 F5IQJ         59  05       F5OAM         59  47
QSO:  7000 PH 2019-02-23 0858 F5IQJ         59  05       F4KIR         59  35
QSO:  7000 PH 2019-02-23 0900 F5IQJ         59  05       F5INJ         59  80
QSO:  7000 PH 2019-02-23 0900 F5IQJ         59  05       F4HJO         59  76
QSO:  7000 PH 2019-02-23 0904 F5IQJ         59  05       F8KHO/P       59  51
QSO:  7000 PH 2019-02-23 0905 F5IQJ         59  05       F5DEV         59  09
QSO:  7000 PH 2019-02-23 0911 F5IQJ         59  05       F4KJP         59  08
QSO:  7000 PH 2019-02-23 0920 F5IQJ         59  05       F6KMX         59  94
QSO:  7000 PH 2019-02-23 0921 F5IQJ         59  05       F2YT          59  62
QSO:  7000 PH 2019-02-23 0923 F5IQJ         59  05       F4HRR         59  62
QSO:  7000 PH 2019-02-23 0924 F5IQJ         59  05       F6KHM         59  29
QSO:  7000 PH 2019-02-23 0926 F5IQJ         59  05       F5MBM         59  54
QSO:  7000 PH 2019-02-23 0929 F5IQJ         59  05       F4HRM         59  79
QSO:  7000 PH 2019-02-23 0931 F5IQJ         59  05       TM5OTT        59  37
QSO:  7000 PH 2019-02-23 0932 F5IQJ         59  05       F4DNK         59  76
QSO:  7000 PH 2019-02-23 0933 F5IQJ         59  05       F6KJU         59  59
QSO:  7000 PH 2019-02-23 0935 F5IQJ         59  05       F6IPQ         59  47
QSO:  7000 PH 2019-02-23 0937 F5IQJ         59  05       TM5G          59  44
QSO:  7000 PH 2019-02-23 1107 F5IQJ         59  05       F'4EAW        59  28
QSO:  7000 PH 2019-02-23 1108 F5IQJ         59  05       F4HZQ         59  89
QSO:  7000 PH 2019-02-23 1111 F5IQJ         59  05       F4EIK         59  52
QSO:  7000 PH 2019-02-23 1115 F5IQJ         59  05       F6GPT         59  05
QSO:  7000 PH 2019-02-23 1118 F5IQJ         59  05       F5OHM         59  36
QSO:  7000 PH 2019-02-23 1120 F5IQJ         59  05       F1MCO         59  19
QSO:  7000 PH 2019-02-23 1121 F5IQJ         59  05       F6GOE         59  19
QSO:  7000 PH 2019-02-23 1122 F5IQJ         59  05       F5IPE         59  33
QSO:  7000 PH 2019-02-23 1123 F5IQJ         59  05       F5AIB         59  54
QSO:  7000 PH 2019-02-23 1124 F5IQJ         59  05       F4IAX         59  31
QSO:  7000 PH 2019-02-23 1126 F5IQJ         59  05       F6DYX         59  49
QSO:  7000 PH 2019-02-23 1130 F5IQJ         59  05       F6DRP         59  85
QSO:  7000 PH 2019-02-23 1132 F5IQJ         59  05       TM55M         59  55
QSO:  7000 PH 2019-02-23 1134 F5IQJ         59  05       F4EZG         59  87
QSO:  7000 PH 2019-02-23 1138 F5IQJ         59  05       F6DZU         59  40
QSO:  7000 PH 2019-02-23 1140 F5IQJ         59  05       F4FRX         59  82
QSO: 14000 PH 2019-02-23 1144 F5IQJ         59  05       YT5LD         59  0134
QSO: 14000 PH 2019-02-23 1145 F5IQJ         59  05       EI2KM         59  0321
QSO: 14000 PH 2019-02-23 1147 F5IQJ         59  05       CN4M          59  0134
QSO: 14000 PH 2019-02-23 1149 F5IQJ         59  05       RW3XZ         59  0056
QSO: 14000 PH 2019-02-23 1151 F5IQJ         59  05       UA3BL         59  0098
QSO:  7000 PH 2019-02-23 1156 F5IQJ         59  05       F8KEN         59  76
QSO:  7000 PH 2019-02-23 1200 F5IQJ         59  05       TM3G          59  03
QSO:  7000 PH 2019-02-23 1202 F5IQJ         59  05       K4JP          59  0008
QSO: 14000 PH 2019-02-23 1305 F5IQJ         59  05       VE2TFL        59  0054
QSO: 14000 PH 2019-02-23 1315 F5IQJ         59  05       CN8SG         59  0250
QSO:  7000 PH 2019-02-23 1344 F5IQJ         59  05       F5PSI         59  62
QSO:  7000 PH 2019-02-23 1347 F5IQJ         59  05       F6AWU         59  44
QSO:  7000 PH 2019-02-23 1349 F5IQJ         59  05       F5THW         59  76
QSO:  7000 PH 2019-02-23 1358 F5IQJ         59  05       F5JSQ         59  51
QSO:  7000 PH 2019-02-23 1359 F5IQJ         59  05       F6KCZ         59  14
QSO:  3500 PH 2019-02-23 1526 F5IQJ         59  05       F4FHY         59  90
QSO:  3500 PH 2019-02-23 1534 F5IQJ         59  05       F8KHO/P       59  51
QSO:  3500 PH 2019-02-23 1540 F5IQJ         59  05       F6BHI         59  19
QSO:  3500 PH 2019-02-23 1543 F5IQJ         59  05       F1BIJ         59  06
QSO:  3500 PH 2019-02-23 1544 F5IQJ         59  05       TM16WAP       59  42
QSO:  3500 PH 2019-02-23 1553 F5IQJ         59  05       F5ADE         59  38
QSO:  3500 PH 2019-02-23 1557 F5IQJ         59  05       F5VV          59  01
QSO:  3500 PH 2019-02-24 0510 F5IQJ         59  05       F5OAM         59  47
QSO:  3500 PH 2019-02-24 0512 F5IQJ         59  05       F2NY          59  13
QSO:  3500 PH 2019-02-24 0513 F5IQJ         59  05       F6GHG         59  52
QSO:  3500 PH 2019-02-24 0515 F5IQJ         59  05       F6KQK         59  30
QSO:  3500 PH 2019-02-24 0516 F5IQJ         59  05       F6APE         59  49
QSO:  3500 PH 2019-02-24 0517 F5IQJ         59  05       F6KJX         59  41
QSO:  3500 PH 2019-02-24 0518 F5IQJ         59  05       F2YT          59  62
QSO:  3500 PH 2019-02-24 0520 F5IQJ         59  05       F4IVV         59  38
QSO:  3500 PH 2019-02-24 0522 F5IQJ         59  05       F6KEH         59  34
QSO:  3500 PH 2019-02-24 0526 F5IQJ         59  05       TM3G          59  03
QSO:  3500 PH 2019-02-24 0530 F5IQJ         59  05       F6KMX         59  94
QSO:  3500 PH 2019-02-24 0534 F5IQJ         59  05       F1UBA         59  66
QSO:  7000 PH 2019-02-24 0558 F5IQJ         59  05       F4KKV         59  53
QSO:  7000 PH 2019-02-24 0558 F5IQJ         59  05       F5KBM         59  62
QSO:  3500 PH 2019-02-24 0638 F5IQJ         59  05       F6BYJ         59  16
QSO:  7000 PH 2019-02-24 0645 F5IQJ         59  05       F6FET         59  53
QSO:  7000 PH 2019-02-24 0650 F5IQJ         59  05       F1PNJ         59  33
QSO:  7000 PH 2019-02-24 0654 F5IQJ         59  05       F5USK         59  65
QSO:  7000 PH 2019-02-24 0657 F5IQJ         59  05       F4HRD         59  62
QSO:  3500 PH 2019-02-24 0658 F5IQJ         59  05       F5KDC         59  63
QSO:  3500 PH 2019-02-24 0702 F5IQJ         59  05       F1FMI         59  04
QSO:  3500 PH 2019-02-24 0708 F5IQJ         59  05       F6KHI         59  28
QSO:  3500 PH 2019-02-24 0713 F5IQJ         59  05       F8FSC         59  39
QSO:  3500 PH 2019-02-24 0715 F5IQJ         59  05       F5NRE         59  48
QSO:  3500 PH 2019-02-24 0719 F5IQJ         59  05       F6KSD         59  25
QSO:  7000 PH 2019-02-24 0804 F5IQJ         59  05       TM5TT         59  41
QSO:  7000 PH 2019-02-24 0808 F5IQJ         59  05       F4HRA         59  89
QSO:  7000 PH 2019-02-24 0810 F5IQJ         59  05       F6IRA         59  40
QSO:  7000 PH 2019-02-24 0811 F5IQJ         59  05       F5JYD         59  51
QSO:  7000 PH 2019-02-24 0848 F5IQJ         59  05       F5UMP         59  59
QSO:  7000 PH 2019-02-24 0849 F5IQJ         59  05       F6KLO         59  19
QSO:  7000 PH 2019-02-24 0850 F5IQJ         59  05       F4CWN         59  32
QSO:  7000 PH 2019-02-24 0851 F5IQJ         59  05       F6KRK         59  78
QSO:  7000 PH 2019-02-24 0853 F5IQJ         59  05       F/PB8DX       59  33
QSO:  7000 PH 2019-02-24 0903 F5IQJ         59  05       OL1ZZH        59  0461
QSO:  7000 PH 2019-02-24 0905 F5IQJ         59  05       F5LMG         59  27
QSO:  7000 PH 2019-02-24 0912 F5IQJ         59  05       F6KQV         59  67
