START-OF-LOG: 3.0
CONTEST: WW-DIGI
CALLSIGN: N0AX
LOCATION: MO
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: DIGI
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 15
NAME: Ward Silver
OPERATORS: N0AX
CLUB: Society of Midwest Contesters
CREATED-BY: N1MM Logger+ 1.0.7925.0
SOAPBOX: Various and sundry Murphy Bites in my butt!
QSO: 14081 DG 2019-08-31 1655 N0AX          EM48       KU2M          FN21
QSO: 14081 DG 2019-08-31 2124 N0AX          EM48       W7EW          CN84
QSO: 14081 DG 2019-08-31 2335 N0AX          EM48       N4BP          EL96
QSO: 14081 DG 2019-08-31 2344 N0AX          EM48       W3IK          EL87
QSO: 14081 DG 2019-08-31 2339 N0AX          EM48       YW1K          FJ49
QSO: 14081 DG 2019-08-31 2130 N0AX          EM48       K7RL          CN88
QSO: 14081 DG 2019-08-31 1836 N0AX          EM48       K7VIC         DN28
QSO: 14081 DG 2019-08-31 1837 N0AX          EM48       AG2J          FM29
QSO: 14081 DG 2019-08-31 1838 N0AX          EM48       K1AR          FN42
QSO: 14081 DG 2019-08-31 2058 N0AX          EM48       K5ZD          FN42
QSO: 14081 DG 2019-08-31 2130 N0AX          EM48       K7RL          CN88
QSO: 14082 DG 2019-08-31 2130 N0AX          EM48       K4XU          CN94
QSO: 14081 DG 2019-08-31 2136 N0AX          EM48       N6EE          FN22
QSO: 14081 DG 2019-08-31 2335 N0AX          EM48       AA3B          FN20
QSO: 14083 DG 2019-08-31 2344 N0AX          EM48       KN5S          EL09
END-OF-LOG:
