START-OF-LOG: 3.0
CONTEST: WW-DIGI
CALLSIGN: K4WW
LOCATION: KY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: DIGI
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 35400
NAME: Shelby Summerville
OPERATORS: K4WW
CLUB: Kentucky Contest Group
CREATED-BY: N1MM Logger+ 1.0.7925.0
SOAPBOX: Activity, and efficiency of operators, exceeded my expectations.
QSO:  7083 DG 2019-08-31 1204 K4WW          EM78       K4IU          EN34
QSO:  7083 DG 2019-08-31 1205 K4WW          EM78       N7ZZ          EN64
QSO:  7083 DG 2019-08-31 1206 K4WW          EM78       NQ0N          EN35
QSO:  7083 DG 2019-08-31 1206 K4WW          EM78       NU1T          FN42
QSO:  7083 DG 2019-08-31 1207 K4WW          EM78       WT0DX         DM79
QSO:  7083 DG 2019-08-31 1208 K4WW          EM78       KH6TU         BL10
QSO:  7083 DG 2019-08-31 1209 K4WW          EM78       WT8V          EM98
QSO:  7083 DG 2019-08-31 1210 K4WW          EM78       N5OT          EM16
QSO:  7083 DG 2019-08-31 1211 K4WW          EM78       K2PAL         FN30
QSO:  7083 DG 2019-08-31 1212 K4WW          EM78       K1HTV         FM18
QSO:  7083 DG 2019-08-31 1213 K4WW          EM78       K5HDU         EL29
QSO:  7083 DG 2019-08-31 1215 K4WW          EM78       K4RUM         FN30
QSO:  7083 DG 2019-08-31 1215 K4WW          EM78       W5SWG         EM13
QSO:  7083 DG 2019-08-31 1221 K4WW          EM78       KI6DY         EM17
QSO:  7083 DG 2019-08-31 1222 K4WW          EM78       N0GOS         DN70
QSO:  7083 DG 2019-08-31 1222 K4WW          EM78       NU1T          FN42
QSO:  7083 DG 2019-08-31 1223 K4WW          EM78       AA5AU         EL49
QSO:  7083 DG 2019-08-31 1224 K4WW          EM78       KE3KK         FN42
QSO:  7083 DG 2019-08-31 1224 K4WW          EM78       K1BZ          FM19
QSO:  7083 DG 2019-08-31 1229 K4WW          EM78       K4JKB         FM17
QSO:  7083 DG 2019-08-31 1230 K4WW          EM78       K7BTW         CN86
QSO:  7083 DG 2019-08-31 1232 K4WW          EM78       W4PF          EM78
QSO:  7083 DG 2019-08-31 1234 K4WW          EM78       KV4ZY         EN91
QSO:  7083 DG 2019-08-31 1237 K4WW          EM78       NW6P          CM87
QSO:  7083 DG 2019-08-31 1239 K4WW          EM78       WD0T          DN94
QSO:  7083 DG 2019-08-31 1241 K4WW          EM78       VE3MGY        EN92
QSO:  7083 DG 2019-08-31 1241 K4WW          EM78       K1SX          FN41
QSO:  7083 DG 2019-08-31 1243 K4WW          EM78       W6OAT         CN87
QSO:  7093 DG 2019-08-31 1253 K4WW          EM78       KR1DX         DM13
QSO:  7091 DG 2019-08-31 1256 K4WW          EM78       AG5JW         EM40
QSO:  7091 DG 2019-08-31 1257 K4WW          EM78       AH6SZ         BL10
QSO:  7091 DG 2019-08-31 1259 K4WW          EM78       KD5JHE        EM54
QSO: 14083 DG 2019-08-31 1307 K4WW          EM78       I2SVA         JN45
