START-OF-LOG: 3.0
CONTEST: WW-DIGI
CALLSIGN: VU2EOJ
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: 20M
CATEGORY-POWER: LOW
CATEGORY-MODE: DIGI
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 14130
NAME: SURESH
OPERATORS: VU2EOJ
CLUB: DMC# 07514, EPC# 221,BDM4553, FHC 4963, ARSI  C220
CREATED-BY: N1MM Logger+ 1.0.7925.0
QSO: 14081 DG 2019-08-31 1207 VU2EOJ        MK69       OT1A          JO10
QSO: 14081 DG 2019-08-31 1210 VU2EOJ        MK69       BD7OXR        OL62
QSO: 14081 DG 2019-08-31 1212 VU2EOJ        MK69       YF0TUR        OI33
QSO: 14081 DG 2019-08-31 1215 VU2EOJ        MK69       OK2BHD        JN89
QSO: 14081 DG 2019-08-31 1218 VU2EOJ        MK69       JA6BZI        PM53
QSO: 14081 DG 2019-08-31 1222 VU2EOJ        MK69       R6YY          LN04
QSO: 14082 DG 2019-08-31 1230 VU2EOJ        MK69       BD7LMA        OL63
QSO: 14082 DG 2019-08-31 1232 VU2EOJ        MK69       7L4VYK        QM05
QSO: 14082 DG 2019-08-31 1234 VU2EOJ        MK69       JA1EPJ        PM95
QSO: 14082 DG 2019-08-31 1237 VU2EOJ        MK69       JA6FIO        PM53
QSO: 14082 DG 2019-08-31 1240 VU2EOJ        MK69       JR3IIR        PM74
QSO: 14082 DG 2019-08-31 1245 VU2EOJ        MK69       JA6VQA        PM53
QSO: 14081 DG 2019-08-31 1248 VU2EOJ        MK69       JA1WSK        PM95
QSO: 14081 DG 2019-08-31 1250 VU2EOJ        MK69       JO7KMB        QM09
QSO: 14082 DG 2019-08-31 1251 VU2EOJ        MK69       4K6FO         LN50
QSO: 14082 DG 2019-08-31 1252 VU2EOJ        MK69       JI4WAO        PM65
QSO: 14082 DG 2019-08-31 1253 VU2EOJ        MK69       VU2DED        ML88
QSO: 14083 DG 2019-08-31 1259 VU2EOJ        MK69       JR1XIS        QM05
QSO: 14083 DG 2019-08-31 1259 VU2EOJ        MK69       UT8NT         KN49
QSO: 14083 DG 2019-08-31 1300 VU2EOJ        MK69       OH3MA         KP20
QSO: 14083 DG 2019-08-31 1301 VU2EOJ        MK69       EU1FQ         KO33
QSO: 14083 DG 2019-08-31 1302 VU2EOJ        MK69       DL0CS         JO44
QSO: 14083 DG 2019-08-31 1303 VU2EOJ        MK69       RX3ASP        KO85
