START-OF-LOG: 3.0
CONTEST: WW-DIGI
CALLSIGN: SQ6ELV
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: DIGI
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 4104
NAME: Rafal Witko
OPERATORS: SQ6ELV
CLUB:
CREATED-BY: N1MM Logger+ 1.0.7925.0
SOAPBOX: Nice fun :).
SOAPBOX: Unfortunatelly I could operate only with limited time.
QSO:  7082 DG 2019-08-31 1307 SQ6ELV        JO80       9A1A          JN85
QSO:  7082 DG 2019-08-31 1308 SQ6ELV        JO80       P33W          KM65
QSO:  7081 DG 2019-08-31 1309 SQ6ELV        JO80       S50A          JN75
QSO:  7082 DG 2019-08-31 1312 SQ6ELV        JO80       UW5EKD        KN78
QSO:  7082 DG 2019-08-31 1313 SQ6ELV        JO80       S51A          JN76
QSO:  7082 DG 2019-08-31 1314 SQ6ELV        JO80       US0YA         KN28
QSO:  7082 DG 2019-08-31 1316 SQ6ELV        JO80       US7KC         KO21
QSO:  7081 DG 2019-08-31 1320 SQ6ELV        JO80       HB9TOC        JN46
QSO:  7082 DG 2019-08-31 1325 SQ6ELV        JO80       M0BEW         IO82
QSO:  7082 DG 2019-08-31 1327 SQ6ELV        JO80       EW6DM         KO35
QSO:  7082 DG 2019-08-31 1329 SQ6ELV        JO80       UR5NMZ        KN49
QSO: 21082 DG 2019-08-31 1333 SQ6ELV        JO80       P33W          KM65
QSO: 21082 DG 2019-08-31 1334 SQ6ELV        JO80       YO9HP         KN35
QSO: 21081 DG 2019-08-31 1336 SQ6ELV        JO80       YO4AAC        KN35
QSO: 21081 DG 2019-08-31 1403 SQ6ELV        JO80       4K6FO         LN50
QSO: 21082 DG 2019-08-31 1405 SQ6ELV        JO80       4X6YA         KM72
QSO: 21081 DG 2019-08-31 1406 SQ6ELV        JO80       LZ1QV         KN32
QSO: 21082 DG 2019-08-31 1407 SQ6ELV        JO80       4Z1TL         KM72
QSO: 21082 DG 2019-08-31 1410 SQ6ELV        JO80       LZ5QZ         KN32
QSO: 21082 DG 2019-08-31 1453 SQ6ELV        JO80       UT7NI         KN38
QSO: 21081 DG 2019-08-31 1453 SQ6ELV        JO80       YO4NF         KN44
QSO: 21081 DG 2019-08-31 1455 SQ6ELV        JO80       US5EFU        KN67
QSO: 21081 DG 2019-08-31 1557 SQ6ELV        JO80       ER4DX         KN38
QSO: 21082 DG 2019-08-31 1559 SQ6ELV        JO80       R3OZ          KO91
QSO: 21081 DG 2019-08-31 1602 SQ6ELV        JO80       OH8WW         KP24
QSO: 21082 DG 2019-08-31 1818 SQ6ELV        JO80       DK7ZT         JO40
QSO: 21081 DG 2019-08-31 1819 SQ6ELV        JO80       9A1A          JN85
QSO: 21082 DG 2019-08-31 1825 SQ6ELV        JO80       9A2EU         JN75
QSO: 21082 DG 2019-08-31 1825 SQ6ELV        JO80       CT3KN         IM12
QSO: 21082 DG 2019-08-31 1828 SQ6ELV        JO80       DD5ZZ         JO40
QSO: 21082 DG 2019-08-31 1829 SQ6ELV        JO80       EI3DY         IO63
QSO: 21082 DG 2019-08-31 1829 SQ6ELV        JO80       DO3UW         JO31
QSO: 21082 DG 2019-08-31 1831 SQ6ELV        JO80       DO4BMW        JO40
QSO: 21082 DG 2019-08-31 1832 SQ6ELV        JO80       G3TXF         IO91
QSO: 21082 DG 2019-08-31 1847 SQ6ELV        JO80       G3WPH         IO91
QSO: 21082 DG 2019-08-31 1848 SQ6ELV        JO80       IZ3XNJ        JN55
QSO: 21082 DG 2019-08-31 1849 SQ6ELV        JO80       IK4LZH        JN54
QSO: 21082 DG 2019-08-31 1858 SQ6ELV        JO80       I3VJW         JN55
QSO: 21082 DG 2019-08-31 1905 SQ6ELV        JO80       S51A          JN76
QSO: 14082 DG 2019-08-31 2225 SQ6ELV        JO80       9A1A          JN85
QSO: 14082 DG 2019-08-31 2227 SQ6ELV        JO80       CT3KN         IM12
QSO:  7082 DG 2019-08-31 2234 SQ6ELV        JO80       UX7QV         KN87
QSO:  7082 DG 2019-08-31 2236 SQ6ELV        JO80       UY5VA         KN87
QSO:  7082 DG 2019-08-31 2238 SQ6ELV        JO80       YO9HP         KN35
QSO:  7082 DG 2019-08-31 2241 SQ6ELV        JO80       HB9DHG        JN46
QSO:  7083 DG 2019-08-31 2242 SQ6ELV        JO80       IT9CIL        JM77
QSO:  7091 DG 2019-08-31 2248 SQ6ELV        JO80       P33W          KM65
QSO:  7091 DG 2019-08-31 2249 SQ6ELV        JO80       CO8SJ         FL20
QSO:  7091 DG 2019-08-31 2251 SQ6ELV        JO80       IZ4OSH        JN54
QSO:  7091 DG 2019-08-31 2301 SQ6ELV        JO80       CM8NMN        FK29
QSO:  7091 DG 2019-08-31 2304 SQ6ELV        JO80       NW8S          EN81
QSO:  7091 DG 2019-08-31 2307 SQ6ELV        JO80       UN7IT         LO80
QSO:  7091 DG 2019-08-31 2309 SQ6ELV        JO80       K8SDX         EM79
QSO:  7091 DG 2019-08-31 2316 SQ6ELV        JO80       K1HTV         FM18
QSO:  7091 DG 2019-08-31 2317 SQ6ELV        JO80       W3RGA         FN10
QSO:  7091 DG 2019-08-31 2319 SQ6ELV        JO80       WA3EKL        FM19
QSO:  7091 DG 2019-08-31 2321 SQ6ELV        JO80       UP4L          MO13
QSO:  3585 DG 2019-08-31 2330 SQ6ELV        JO80       SP5DL         KO02
QSO:  3584 DG 2019-08-31 2334 SQ6ELV        JO80       DL5RK         JN68
QSO:  3584 DG 2019-08-31 2336 SQ6ELV        JO80       OM7JG         JN98
QSO:  3584 DG 2019-08-31 2337 SQ6ELV        JO80       IK4LZH        JN54
QSO:  3585 DG 2019-08-31 2338 SQ6ELV        JO80       I3VJW         JN55
QSO:  3584 DG 2019-08-31 2338 SQ6ELV        JO80       W1UE          FN41
QSO:  3584 DG 2019-08-31 2341 SQ6ELV        JO80       SP2V          JO94
QSO:  3584 DG 2019-08-31 2342 SQ6ELV        JO80       YT5YTT        JN94
QSO:  1841 DG 2019-08-31 2346 SQ6ELV        JO80       OH2OT         KP20
QSO:  1841 DG 2019-08-31 2347 SQ6ELV        JO80       OZ2ABI        JO46
QSO:  1841 DG 2019-08-31 2348 SQ6ELV        JO80       DJ1AA         JO41
QSO:  1842 DG 2019-08-31 2353 SQ6ELV        JO80       9A1A          JN85
QSO:  1842 DG 2019-08-31 2357 SQ6ELV        JO80       DH8BQA        JO73
QSO:  1842 DG 2019-08-31 2359 SQ6ELV        JO80       IZ5MOQ        JN54
QSO:  7049 DG 2019-09-01 0006 SQ6ELV        JO80       K2PS          EL98
QSO:  7050 DG 2019-09-01 0006 SQ6ELV        JO80       WA3WOM        FN00
QSO:  7049 DG 2019-09-01 0007 SQ6ELV        JO80       F6IRA         IN94
QSO:  7049 DG 2019-09-01 0008 SQ6ELV        JO80       VE2PI         FN46
QSO:  7050 DG 2019-09-01 0014 SQ6ELV        JO80       WA6POZ        EM70
