START-OF-LOG: 3.0
CONTEST: WW-DIGI
CALLSIGN: WE6Z
LOCATION: SV
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: DIGI
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 2310
NAME: Doug
OPERATORS: WE6Z
CLUB: Northern California Contest Club
CREATED-BY: N1MM Logger+ 1.0.7925.0
SOAPBOX: N1MM/WSJT-X integration very cumbersome and didn't work well.
QSO: 14083 DG 2019-08-31 1819 WE6Z          CM98       KR1DX         DM13
QSO: 14081 DG 2019-08-31 1901 WE6Z          CM98       KI6DY         EM17
QSO: 14081 DG 2019-08-31 1902 WE6Z          CM98       W6SR          CM98
QSO: 14081 DG 2019-08-31 1904 WE6Z          CM98       AI8F          EM74
QSO: 14081 DG 2019-08-31 1905 WE6Z          CM98       NA5NN         EM50
QSO: 14082 DG 2019-08-31 1925 WE6Z          CM98       AC3SS         FM19
QSO: 14082 DG 2019-08-31 1926 WE6Z          CM98       KC8DMH        EN72
QSO: 14082 DG 2019-08-31 1927 WE6Z          CM98       K9MK          EM12
QSO: 14082 DG 2019-08-31 1928 WE6Z          CM98       KE5CDE        EM10
QSO: 14082 DG 2019-08-31 1928 WE6Z          CM98       K4IQJ         EM72
QSO: 14082 DG 2019-08-31 1932 WE6Z          CM98       KA5D          EM10
QSO: 14081 DG 2019-08-31 1937 WE6Z          CM98       N5WRX         EL17
QSO: 14081 DG 2019-08-31 1939 WE6Z          CM98       K9MK          EM12
QSO: 14081 DG 2019-08-31 1942 WE6Z          CM98       KG5GCC        EM50
QSO: 14081 DG 2019-08-31 1944 WE6Z          CM98       NS4X          EM55
QSO: 14081 DG 2019-08-31 1945 WE6Z          CM98       KI6DY         EM17
QSO: 14081 DG 2019-08-31 1946 WE6Z          CM98       K4WW          EM78
QSO: 14081 DG 2019-08-31 1947 WE6Z          CM98       AA2IL         DM12
QSO: 14081 DG 2019-08-31 1948 WE6Z          CM98       KC8DMH        EN72
QSO: 14081 DG 2019-08-31 1950 WE6Z          CM98       K5DDE         EN90
QSO: 21081 DG 2019-08-31 2300 WE6Z          CM98       ZW5B          GG54
QSO: 21081 DG 2019-08-31 2301 WE6Z          CM98       ZP6ARO        GG14
QSO: 21081 DG 2019-08-31 2303 WE6Z          CM98       KH6KR         BL10
QSO: 14081 DG 2019-08-31 2305 WE6Z          CM98       LU8EKC        GF05
QSO: 14081 DG 2019-08-31 2306 WE6Z          CM98       ZW5B          GG54
QSO: 14081 DG 2019-08-31 2308 WE6Z          CM98       KC4HW         EM71
QSO: 14081 DG 2019-08-31 2308 WE6Z          CM98       AA5AU         EL49
QSO: 14081 DG 2019-08-31 2309 WE6Z          CM98       WB0TEV        EM13
QSO: 14081 DG 2019-08-31 2311 WE6Z          CM98       AI4FR         EL88
QSO: 14081 DG 2019-08-31 2311 WE6Z          CM98       AF6SA         CM98
QSO: 14081 DG 2019-08-31 2313 WE6Z          CM98       KE7GKI        DM33
QSO: 14081 DG 2019-08-31 2314 WE6Z          CM98       K6RC          CM98
QSO: 14081 DG 2019-08-31 2315 WE6Z          CM98       N6HI          DM43
QSO: 14081 DG 2019-08-31 2316 WE6Z          CM98       CX3AL         GF15
QSO: 14081 DG 2019-08-31 2321 WE6Z          CM98       KC7V          DM43
QSO: 14081 DG 2019-08-31 2322 WE6Z          CM98       XE1GZU        DL80
QSO: 14081 DG 2019-08-31 2322 WE6Z          CM98       JR4OZR        PM75
QSO: 14081 DG 2019-08-31 2328 WE6Z          CM98       JA1EPJ        PM95
QSO: 14081 DG 2019-08-31 2329 WE6Z          CM98       WU9B          DM43
QSO: 14081 DG 2019-08-31 2330 WE6Z          CM98       JA1WSK        PM95
QSO: 14081 DG 2019-08-31 2331 WE6Z          CM98       JA3QOS        PM74
QSO: 14081 DG 2019-08-31 2333 WE6Z          CM98       RW0SR         OO22
QSO: 14081 DG 2019-08-31 2334 WE6Z          CM98       KL7SB         BP40
QSO: 14081 DG 2019-08-31 2335 WE6Z          CM98       JI4WAO        PM65
QSO: 14081 DG 2019-08-31 2337 WE6Z          CM98       W7RIT         CN76
QSO: 14081 DG 2019-08-31 2337 WE6Z          CM98       KE7SW         CN87
QSO: 14081 DG 2019-08-31 2340 WE6Z          CM98       KM6HB         DM13
QSO:  7049 DG 2019-09-01 0255 WE6Z          CM98       K4SO          FM18
QSO:  7049 DG 2019-09-01 0255 WE6Z          CM98       K7RL          CN88
QSO:  7049 DG 2019-09-01 0257 WE6Z          CM98       WQ5C          EL09
QSO:  7049 DG 2019-09-01 0257 WE6Z          CM98       WQ5C          EL09
QSO:  7049 DG 2019-09-01 0259 WE6Z          CM98       KN4FYZ        EM73
QSO:  7049 DG 2019-09-01 0259 WE6Z          CM98       NS4X          EM55
QSO:  7049 DG 2019-09-01 0300 WE6Z          CM98       AB4BA         DM79
QSO:  7049 DG 2019-09-01 0302 WE6Z          CM98       WA8ZBT        EM12
QSO:  7049 DG 2019-09-01 0303 WE6Z          CM98       KS4OT         EM83
QSO:  7049 DG 2019-09-01 0303 WE6Z          CM98       K6XN          CM87
QSO:  7049 DG 2019-09-01 0304 WE6Z          CM98       K6JDC         FM07
QSO:  7049 DG 2019-09-01 0305 WE6Z          CM98       KF7F          DM37
QSO:  7049 DG 2019-09-01 0307 WE6Z          CM98       N6IQY         CM99
QSO:  7049 DG 2019-09-01 0308 WE6Z          CM98       KB9S          EN44
QSO:  7049 DG 2019-09-01 0309 WE6Z          CM98       N6IQY         CM99
QSO:  7049 DG 2019-09-01 0310 WE6Z          CM98       N6SJ          CM87
QSO:  7049 DG 2019-09-01 0311 WE6Z          CM98       KC4HW         EM71
QSO:  7049 DG 2019-09-01 0315 WE6Z          CM98       KB3ZVW        EN90
END-OF-LOG:
