START-OF-LOG: 3.0
CONTEST: WW-DIGI
CALLSIGN: DL2DCX
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: DIGI
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 17010
NAME: Marcus Engelmann
OPERATORS: DL2DCX
CLUB: RHEIN RUHR DX ASSOCIATION
CREATED-BY: N1MM Logger+ 1.0.7925.0
SOAPBOX: Nice contest. See you next year. 73!
QSO: 14084 DG 2019-08-31 1210 DL2DCX        JO31       RX3ASP        KO85
QSO: 14084 DG 2019-08-31 1214 DL2DCX        JO31       N1WW          FN32
QSO: 14084 DG 2019-08-31 1215 DL2DCX        JO31       K1SFA         FN32
QSO: 14083 DG 2019-08-31 1223 DL2DCX        JO31       UT8NT         KN49
QSO: 14083 DG 2019-08-31 1226 DL2DCX        JO31       EA4BAS        IN80
QSO: 14083 DG 2019-08-31 1233 DL2DCX        JO31       YO9FFX        KN24
QSO:  7081 DG 2019-08-31 1247 DL2DCX        JO31       OM2BK         JN88
QSO:  7082 DG 2019-08-31 1248 DL2DCX        JO31       P33W          KM65
QSO: 14081 DG 2019-08-31 1252 DL2DCX        JO31       Z39A          KN11
QSO: 14084 DG 2019-08-31 1301 DL2DCX        JO31       LZ1QV         KN32
QSO: 14084 DG 2019-08-31 1302 DL2DCX        JO31       UX1CN         KN59
QSO: 14085 DG 2019-08-31 1305 DL2DCX        JO31       W1RM          FN31
QSO: 14084 DG 2019-08-31 1306 DL2DCX        JO31       SV2RZJ        KN10
QSO: 14082 DG 2019-08-31 1308 DL2DCX        JO31       SV1FJN        KM17
QSO: 14088 DG 2019-08-31 1313 DL2DCX        JO31       UA9MA         MO64
QSO: 14083 DG 2019-08-31 1325 DL2DCX        JO31       YO4NF         KN44
QSO: 14085 DG 2019-08-31 1327 DL2DCX        JO31       CT3KN         IM12
QSO: 14083 DG 2019-08-31 1329 DL2DCX        JO31       AA3B          FN20
QSO: 14084 DG 2019-08-31 1330 DL2DCX        JO31       R3OZ          KO91
QSO: 14083 DG 2019-08-31 1331 DL2DCX        JO31       YO9HP         KN35
QSO: 14083 DG 2019-08-31 1332 DL2DCX        JO31       CT1ILT        IN50
QSO: 14083 DG 2019-08-31 1339 DL2DCX        JO31       EA8DHH        IL18
QSO: 14082 DG 2019-08-31 1347 DL2DCX        JO31       OG8T          KP24
QSO: 14083 DG 2019-08-31 1352 DL2DCX        JO31       RU1QQ         KO99
QSO:  7082 DG 2019-08-31 1400 DL2DCX        JO31       9A1A          JN85
QSO:  7081 DG 2019-08-31 1401 DL2DCX        JO31       S50A          JN75
QSO:  7081 DG 2019-08-31 1402 DL2DCX        JO31       HB9TOC        JN46
QSO:  7082 DG 2019-08-31 1403 DL2DCX        JO31       S53X          JN65
QSO:  7081 DG 2019-08-31 1405 DL2DCX        JO31       SN2K          JO94
QSO:  7081 DG 2019-08-31 1409 DL2DCX        JO31       MM0EAX        IO89
QSO:  7082 DG 2019-08-31 1411 DL2DCX        JO31       S51A          JN76
QSO:  7082 DG 2019-08-31 1412 DL2DCX        JO31       YO9HP         KN35
QSO:  7081 DG 2019-08-31 1413 DL2DCX        JO31       SP4TKR        KO04
QSO:  7082 DG 2019-08-31 1413 DL2DCX        JO31       SQ8W          KN09
QSO:  7082 DG 2019-08-31 1416 DL2DCX        JO31       2E0FNU        IO91
QSO:  7082 DG 2019-08-31 1456 DL2DCX        JO31       HB9AWS        JN46
QSO:  7082 DG 2019-08-31 1457 DL2DCX        JO31       DL2KWA        JO54
QSO:  7082 DG 2019-08-31 1458 DL2DCX        JO31       IK2IKW        JN55
QSO:  7082 DG 2019-08-31 1458 DL2DCX        JO31       G0ORH         IO91
QSO:  7082 DG 2019-08-31 1459 DL2DCX        JO31       UR5NMZ        KN49
