START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WW-RTTY
CALLSIGN: F6GCP
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: F6GCP
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WW-RTTY CQWWRTTY/2011.
QSO: 28092 RY 2011-09-24 0711 F6GCP         599 14 DX BD7IS         599 24 DX
QSO: 28118 RY 2011-09-24 0736 F6GCP         599 14 DX VU2LBW        599 22 DX
QSO: 28000 RY 2011-09-24 0738 F6GCP         599 14 DX E21YDP        599 26 DX
QSO: 28108 RY 2011-09-24 0742 F6GCP         599 14 DX JQ1BVI        599 25 DX
QSO: 28000 RY 2011-09-24 0749 F6GCP         599 14 DX LX8M          599 14 DX
QSO: 28000 RY 2011-09-24 0823 F6GCP         599 14 DX KG6DX         599 27 DX
QSO: 28080 RY 2011-09-24 0839 F6GCP         599 14 DX DV1JM         599 27 DX
QSO: 28076 RY 2011-09-24 1044 F6GCP         599 14 DX LX7I          599 14 DX
QSO: 28080 RY 2011-09-24 1047 F6GCP         599 14 DX UN8LWF        599 17 DX
QSO: 28114 RY 2011-09-24 1144 F6GCP         599 14 DX VU2NKS        599 22 DX
QSO: 28088 RY 2011-09-24 1148 F6GCP         599 14 DX UW1M          599 16 DX
QSO: 28092 RY 2011-09-24 1152 F6GCP         599 14 DX 6V7X          599 35 DX
QSO: 28090 RY 2011-09-24 1154 F6GCP         599 14 DX EF8M          599 33 33
QSO: 28078 RY 2011-09-24 1203 F6GCP         599 14 DX A65EE         599 21 DX
QSO: 28000 RY 2011-09-24 1207 F6GCP         599 14 DX OD5PL         599 20 DX
QSO: 28078 RY 2011-09-24 1212 F6GCP         599 14 DX K1KO          599 05 VA
QSO: 28087 RY 2011-09-24 1219 F6GCP         599 14 DX 6Y6U          599 08 DX
QSO: 28000 RY 2011-09-24 1225 F6GCP         599 14 DX CE3PG         599 12 DX
QSO: 28092 RY 2011-09-24 1229 F6GCP         599 14 DX 7Z1HL         599 21 DX
QSO: 28000 RY 2011-09-24 1234 F6GCP         599 14 DX HI3TEJ        599 08 DX
QSO: 28074 RY 2011-09-24 1237 F6GCP         599 14 DX PX2V          599 11 DX
QSO: 28076 RY 2011-09-24 1237 F6GCP         599 14 DX 5K3R          599 09 DX
QSO: 28077 RY 2011-09-24 1238 F6GCP         599 14 DX NR4M          599 05 VA
QSO: 28078 RY 2011-09-24 1240 F6GCP         599 14 DX K5ZD          599 05 MA
QSO: 28080 RY 2011-09-24 1242 F6GCP         599 14 DX W4DXX         599 05 GA
QSO: 28083 RY 2011-09-24 1242 F6GCP         599 14 DX NA3M          599 05 MD
QSO: 28083 RY 2011-09-24 1245 F6GCP         599 14 DX P49X          599 9 DX
QSO: 28128 RY 2011-09-24 1446 F6GCP         599 14 DX N8BJQ         599 04 OH
QSO: 28127 RY 2011-09-24 1447 F6GCP         599 14 DX K8MM          599 04 MI
QSO: 28111 RY 2011-09-24 1449 F6GCP         599 14 DX YB1AR         599 28 DX
QSO: 28117 RY 2011-09-24 1450 F6GCP         599 14 DX A61BK         599 21 DX
QSO: 28087 RY 2011-09-24 1503 F6GCP         599 14 DX YB4IR         599 28 DX
QSO: 28090 RY 2011-09-24 1545 F6GCP         599 14 DX W3LL          599 05 MD
QSO: 28092 RY 2011-09-24 1547 F6GCP         599 14 DX KE0L          599 04 MN
QSO: 28127 RY 2011-09-24 1750 F6GCP         599 14 DX CE2WZ         599 12 DX
QSO: 28000 RY 2011-09-24 1753 F6GCP         599 14 DX CR3L          599 33 DX
QSO: 28118 RY 2011-09-24 1802 F6GCP         599 14 DX ZP5AA         599 11 DX
QSO: 28000 RY 2011-09-24 1807 F6GCP         599 14 DX PU5ATX        599 11 DX
QSO: 28111 RY 2011-09-24 1809 F6GCP         599 14 DX LU6ETB        599 13 DX
QSO: 28078 RY 2011-09-24 1901 F6GCP         599 14 DX W7RN          599 03 NV
QSO: 28117 RY 2011-09-24 1914 F6GCP         599 14 DX CE3FZ         599 12 DX
QSO: 28082 RY 2011-09-24 2031 F6GCP         599 14 DX W4UH          599 05 FL
QSO: 28090 RY 2011-09-24 2032 F6GCP         599 14 DX VY2SS         599 05 PEI
QSO: 28098 RY 2011-09-24 2034 F6GCP         599 14 DX N4RI          599 05 FL
QSO: 21157 RY 2011-09-24 2036 F6GCP         599 14 DX AE5E          599 04 MN
QSO: 21156 RY 2011-09-24 2038 F6GCP         599 14 DX N8BJQ         599 04 OH
QSO: 21153 RY 2011-09-24 2039 F6GCP         599 14 DX VA5LF         599 04 SK
QSO: 21147 RY 2011-09-24 2041 F6GCP         599 14 DX K0IR          599 04 MN
QSO: 21145 RY 2011-09-24 2042 F6GCP         599 14 DX VE9NC         599 05 NB
QSO: 21142 RY 2011-09-24 2043 F6GCP         599 14 DX VE4EAR        599 04 MB
QSO: 21142 RY 2011-09-24 2044 F6GCP         599 14 DX KS1J          599 5 RI
QSO: 21138 RY 2011-09-24 2045 F6GCP         599 14 DX KU1T          599 05 WV
QSO: 21129 RY 2011-09-24 2053 F6GCP         599 14 DX KR7X          599 03 OR
QSO: 21000 RY 2011-09-24 2055 F6GCP         599 14 DX XE2FGC        599 6 DX
QSO: 21124 RY 2011-09-24 2055 F6GCP         599 14 DX WB5NMZ        599 4 AL
