START-OF-LOG: 2.0
ARRL-SECTION: DX
CALLSIGN: EA3ERD
CLUB: 
CONTEST: EA-CNCW
CATEGORY: SINGLE-OP ALL QRP
CLAIMED-SCORE: 10434
OPERATORS: EA3ERD
NAME: Ernesto Ysun Clua
SOAPBOX: En QRP, con antena vertical de banda ancha y manipulador vertical.
SOAPBOX: Lo he pasado muy entretenido y divertido; con la propagación aceptable a ratos.
SOAPBOX: Gracias a todos por la paciencia al escuchar señales débiles.
SOAPBOX: 73/72, Ernesto - EA3ERD
CREATED-BY: WinURECon 3.13 (Windows 7 64 bits)
QSO: 14000 CW 2018-07-21 1444 EA3ERD        599 B      EA3GBA        599 B
QSO: 14000 CW 2018-07-21 1448 EA3ERD        599 B      EA7KB         599 H
QSO: 14000 CW 2018-07-21 1452 EA3ERD        599 B      EA1WX         599 O
QSO: 14000 CW 2018-07-21 1456 EA3ERD        599 B      EA1XT         599 C
QSO: 14000 CW 2018-07-21 1501 EA3ERD        599 B      EA8KC         599 GC
QSO: 14000 CW 2018-07-21 1509 EA3ERD        599 B      EA7EU         599 J
QSO: 14000 CW 2018-07-21 1513 EA3ERD        599 B      EF7A          599 CA
QSO: 28000 CW 2018-07-21 1516 EA3ERD        599 B      EA3CV         599 B
QSO:  7000 CW 2018-07-21 1529 EA3ERD        599 B      EA4KG         599 M
QSO:  7000 CW 2018-07-21 1533 EA3ERD        599 B      EC7DTQ        599 MA
QSO:  7000 CW 2018-07-21 1544 EA3ERD        599 B      EA4LY         599 SG
QSO:  7000 CW 2018-07-21 1547 EA3ERD        599 B      EA5KV         599 V
QSO:  7000 CW 2018-07-21 1554 EA3ERD        599 B      EA5DF         599 V
QSO:  7000 CW 2018-07-21 1558 EA3ERD        599 B      EA4IE         599 TO
QSO:  7000 CW 2018-07-21 1623 EA3ERD        599 B      EA2AFV        599 BI
QSO:  7000 CW 2018-07-21 1627 EA3ERD        599 B      EA1URV        599 VA
QSO:  7000 CW 2018-07-21 1633 EA3ERD        599 B      EA1FCH        599 LU
QSO:  7000 CW 2018-07-21 1635 EA3ERD        599 B      EA4URE        599 HQ
QSO:  7000 CW 2018-07-21 1649 EA3ERD        599 B      EA3PP         599 B
QSO:  7000 CW 2018-07-21 1655 EA3ERD        599 B      EA1CIG        599 S
QSO:  7000 CW 2018-07-21 1700 EA3ERD        599 B      EA5EN         599 MU
QSO:  7000 CW 2018-07-21 1704 EA3ERD        599 B      EA5DD         599 A
QSO:  7000 CW 2018-07-21 1707 EA3ERD        599 B      EA4MZ         599 GU
QSO: 28000 CW 2018-07-21 1733 EA3ERD        599 B      EA8ZS         599 GC
QSO: 21000 CW 2018-07-21 1737 EA3ERD        599 B      EA7KB         599 H
QSO: 21000 CW 2018-07-21 1739 EA3ERD        599 B      EA7EU         599 J
QSO: 21000 CW 2018-07-21 1743 EA3ERD        599 B      EA8BMG        599 TF
QSO:  7000 CW 2018-07-21 1757 EA3ERD        599 B      EA4GMX        599 AB
QSO:  7000 CW 2018-07-21 1800 EA3ERD        599 B      EA2CW         599 BI
QSO:  7000 CW 2018-07-21 1827 EA3ERD        599 B      EA1EXE        599 O
QSO:  7000 CW 2018-07-21 1833 EA3ERD        599 B      EA1WX         599 O
QSO:  7000 CW 2018-07-21 1838 EA3ERD        599 B      EA7AYF        599 MA
QSO:  7000 CW 2018-07-21 1849 EA3ERD        599 B      EA4EN         599 M
QSO: 14000 CW 2018-07-21 1857 EA3ERD        599 B      EA8BMG        599 TF
QSO: 14000 CW 2018-07-21 1902 EA3ERD        599 B      EA7KW         599 SE
QSO: 14000 CW 2018-07-21 1904 EA3ERD        599 B      EA4AOC        599 M
QSO:  7000 CW 2018-07-21 1914 EA3ERD        599 B      EA5DCL/P      599 CR
QSO:  7000 CW 2018-07-21 1928 EA3ERD        599 B      EA8ZS         599 GC
QSO:  3500 CW 2018-07-21 2046 EA3ERD        599 B      EC5CR         599 V
QSO:  3500 CW 2018-07-21 2053 EA3ERD        599 B      EA3PP         599 B
QSO:  3500 CW 2018-07-21 2056 EA3ERD        599 B      EA5FR         599 A
QSO:  3500 CW 2018-07-21 2116 EA3ERD        599 B      EA1XT         599 C
QSO:  3500 CW 2018-07-21 2125 EA3ERD        599 B      EA1EXE        599 O
QSO:  3500 CW 2018-07-21 2128 EA3ERD        599 B      EA5FID        599 A
QSO:  3500 CW 2018-07-21 2138 EA3ERD        599 B      EA4GMX        599 AB
QSO:  3500 CW 2018-07-21 2143 EA3ERD        599 B      EA5FX         599 CS
QSO:  3500 CW 2018-07-21 2147 EA3ERD        599 B      EA5DF         599 V
QSO:  3500 CW 2018-07-21 2151 EA3ERD        599 B      EA4URE        599 HQ
QSO:  3500 CW 2018-07-21 2211 EA3ERD        599 B      EA5KV         599 V
QSO:  7000 CW 2018-07-21 2222 EA3ERD        599 B      EA7HAB        599 GR
QSO:  7000 CW 2018-07-21 2225 EA3ERD        599 B      EA2LU         599 NA
QSO:  7000 CW 2018-07-21 2233 EA3ERD        599 B      EA5DX         599 V
QSO:  7000 CW 2018-07-21 2235 EA3ERD        599 B      EA5EY         599 A
QSO:  3500 CW 2018-07-21 2239 EA3ERD        599 B      EA1VM         599 P
QSO:  3500 CW 2018-07-21 2247 EA3ERD        599 B      EA1NE         599 P
QSO:  3500 CW 2018-07-21 2253 EA3ERD        599 B      EA5YI         599 V
QSO:  3500 CW 2018-07-21 2257 EA3ERD        599 B      EA5WU         599 CS
QSO:  7000 CW 2018-07-22 0657 EA3ERD        599 B      EA5GX         599 CS
QSO:  7000 CW 2018-07-22 0706 EA3ERD        599 B      EA4OR         599 M
QSO:  7000 CW 2018-07-22 0709 EA3ERD        599 B      ED1LO         599 LO
QSO:  7000 CW 2018-07-22 0711 EA3ERD        599 B      EA3GBA        599 B
QSO:  7000 CW 2018-07-22 0714 EA3ERD        599 B      EC5CR         599 V
QSO:  7000 CW 2018-07-22 0733 EA3ERD        599 B      EA4EN         599 M
QSO:  7000 CW 2018-07-22 0755 EA3ERD        599 B      EA7EU         599 J
QSO:  7000 CW 2018-07-22 0808 EA3ERD        599 B      EA7JJ         599 SE
QSO:  7000 CW 2018-07-22 0812 EA3ERD        599 B      EA4CWN        599 TO
QSO:  7000 CW 2018-07-22 0820 EA3ERD        599 B      EA4GOY        599 TO
QSO:  7000 CW 2018-07-22 0829 EA3ERD        599 B      EA4SG         599 M
QSO:  7000 CW 2018-07-22 0831 EA3ERD        599 B      EB7KA         599 AL
QSO:  7000 CW 2018-07-22 0834 EA3ERD        599 B      EA1JK         599 CC
QSO: 14000 CW 2018-07-22 0852 EA3ERD        599 B      EA1AOQ        599 PO
QSO: 14000 CW 2018-07-22 0857 EA3ERD        599 B      EA7BUU        599 SE
QSO: 14000 CW 2018-07-22 0901 EA3ERD        599 B      EA7GV         599 GR
QSO: 14000 CW 2018-07-22 0906 EA3ERD        599 B      EA7HAB        599 GR
QSO: 21000 CW 2018-07-22 0913 EA3ERD        599 B      EF7A          599 CA
QSO: 21000 CW 2018-07-22 0916 EA3ERD        599 B      EA7BJ         599 MA
QSO: 21000 CW 2018-07-22 0920 EA3ERD        599 B      EA7QD         599 GR
QSO: 14000 CW 2018-07-22 0945 EA3ERD        599 B      EA5GX         599 CS
QSO: 14000 CW 2018-07-22 0953 EA3ERD        599 B      EA5BWR        599 A
QSO: 14000 CW 2018-07-22 0956 EA3ERD        599 B      EA3PP         599 B
QSO: 14000 CW 2018-07-22 0958 EA3ERD        599 B      EA3CV         599 B
QSO: 14000 CW 2018-07-22 1005 EA3ERD        599 B      EA7RCS        599 SE
QSO: 14000 CW 2018-07-22 1019 EA3ERD        599 B      EA5IHK        599 A
QSO: 28000 CW 2018-07-22 1033 EA3ERD        599 B      EA5EL         599 A
QSO: 28000 CW 2018-07-22 1036 EA3ERD        599 B      EA5BWR        599 A
QSO: 28000 CW 2018-07-22 1038 EA3ERD        599 B      EA7GV         599 GR
QSO: 28000 CW 2018-07-22 1040 EA3ERD        599 B      EA7BJ         599 MA
QSO: 28000 CW 2018-07-22 1044 EA3ERD        599 B      EA4URE        599 HQ
QSO: 28000 CW 2018-07-22 1056 EA3ERD        599 B      EA3PP         599 B
QSO: 28000 CW 2018-07-22 1106 EA3ERD        599 B      EA7EU         599 J
QSO: 28000 CW 2018-07-22 1111 EA3ERD        599 B      EA9CD         599 CE
QSO: 28000 CW 2018-07-22 1118 EA3ERD        599 B      EA7MT         599 GR
QSO: 28000 CW 2018-07-22 1123 EA3ERD        599 B      EF7A          599 CA
QSO: 21000 CW 2018-07-22 1125 EA3ERD        599 B      EA7TH         599 SE
QSO: 21000 CW 2018-07-22 1128 EA3ERD        599 B      EA5EN         599 MU
QSO: 21000 CW 2018-07-22 1132 EA3ERD        599 B      EA5GX         599 CS
QSO: 21000 CW 2018-07-22 1136 EA3ERD        599 B      EA8BMG        599 TF
QSO: 21000 CW 2018-07-22 1143 EA3ERD        599 B      EA3HSJ        599 B
QSO: 21000 CW 2018-07-22 1147 EA3ERD        599 B      EA4GMX        599 AB
QSO: 21000 CW 2018-07-22 1150 EA3ERD        599 B      EA4GOY        599 TO
QSO: 21000 CW 2018-07-22 1157 EA3ERD        599 B      EA7RU         599 MA
QSO: 21000 CW 2018-07-22 1158 EA3ERD        599 B      EA7RCS        599 SE
QSO: 28000 CW 2018-07-22 1258 EA3ERD        599 B      EA1AOQ        599 PO
QSO: 28000 CW 2018-07-22 1305 EA3ERD        599 B      EA1FBU        599 PO
QSO: 28000 CW 2018-07-22 1309 EA3ERD        599 B      EA1XT         599 C
QSO: 28000 CW 2018-07-22 1314 EA3ERD        599 B      EA1EXE        599 O
QSO: 28000 CW 2018-07-22 1317 EA3ERD        599 B      EA1GT         599 C
QSO: 14000 CW 2018-07-22 1333 EA3ERD        599 B      EA1WH         599 S
QSO: 14000 CW 2018-07-22 1338 EA3ERD        599 B      ED1LO         599 LO
QSO: 14000 CW 2018-07-22 1343 EA3ERD        599 B      EA3WX         599 L
QSO:  7000 CW 2018-07-22 1352 EA3ERD        599 B      EA3IN         599 B
QSO:  7000 CW 2018-07-22 1354 EA3ERD        599 B      EA3NO         599 B
QSO:  7000 CW 2018-07-22 1357 EA3ERD        599 B      EA3CUU        599 GI
END-OF-LOG: 



