START-OF-LOG: 3.0
CALLSIGN: AI4G
CLUB: Kentucky Contest Group
CONTEST: CQ-WPX-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-MODE: SSB
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 19594
OPERATORS: AI4G
NAME: David Burnette
CREATED-BY: N1MM Logger V9.3.4
SOAPBOX: It was really nice to see 15M open on Sunday.
LOCATION: KY
QSO:  3775 PH 2009-03-28 0004 AI4G          59  0001   W8MJ          59  0007
QSO:  3761 PH 2009-03-28 0006 AI4G          59  0002   WK4Y          59  0011
QSO:  3753 PH 2009-03-28 0009 AI4G          59  0003   WK4P          59  0004
QSO:  3721 PH 2009-03-28 0009 AI4G          59  0004   NQ4I          59  0010
QSO: 14292 PH 2009-03-28 0019 AI4G          59  0005   NH7A          59  0026
QSO:  3751 PH 2009-03-28 0410 AI4G          59  0006   VE3EJ         59  0452
QSO:  3805 PH 2009-03-28 0414 AI4G          59  0007   K4PV          59  0281
QSO:  3777 PH 2009-03-28 0417 AI4G          59  0008   K3EST         59  0479
QSO:  3749 PH 2009-03-28 0419 AI4G          59  0009   WY3P          59  0540
QSO:  3737 PH 2009-03-28 0420 AI4G          59  0010   K4FX          59  0220
QSO:  3777 PH 2009-03-28 0425 AI4G          59  0011   K9SH          59  0218
QSO:  3770 PH 2009-03-28 0428 AI4G          59  0012   K0RH          59  0519
QSO:  7169 PH 2009-03-28 0435 AI4G          59  0013   N0QO          59  0404
QSO:  7178 PH 2009-03-28 0436 AI4G          59  0014   WC6H          59  0419
QSO:  7188 PH 2009-03-28 0438 AI4G          59  0015   K5TR          59  0734
QSO:  7194 PH 2009-03-28 0439 AI4G          59  0016   HQ9R          59  0160
QSO:  7247 PH 2009-03-28 0444 AI4G          59  0017   KE0UI         59  0052
QSO:  7140 PH 2009-03-28 0446 AI4G          59  0018   AB7E          59  0503
QSO:  7200 PH 2009-03-28 0455 AI4G          59  0019   KI6VC         59  0399
QSO:  3758 PH 2009-03-28 0500 AI4G          59  0020   W3BGN         59  0377
QSO:  3716 PH 2009-03-28 0505 AI4G          59  0021   VC3A          59  0513
QSO:  3700 PH 2009-03-28 0506 AI4G          59  0022   KZ9O          59  0287
QSO:  3712 PH 2009-03-28 0507 AI4G          59  0023   WR3Z          59  0290
QSO:  3722 PH 2009-03-28 0509 AI4G          59  0024   KD9ST         59  0434
QSO:  7193 PH 2009-03-28 0513 AI4G          59  0025   WM5R          59  0783
QSO:  3771 PH 2009-03-28 1144 AI4G          59  0026   WB9Z          59  0619
QSO:  3735 PH 2009-03-28 1145 AI4G          59  0027   N2BJ          59  0055
QSO:  7139 PH 2009-03-28 1149 AI4G          59  0028   W5WMU         59  0673
QSO:  7159 PH 2009-03-28 1150 AI4G          59  0029   WM2H          59  0991
QSO:  7188 PH 2009-03-28 1151 AI4G          59  0030   NY4PD         59  0369
QSO:  7207 PH 2009-03-28 1152 AI4G          59  0031   NR5M          59  1089
QSO:  7129 PH 2009-03-28 1154 AI4G          59  0032   KI1G          59  0590
QSO: 14292 PH 2009-03-28 1158 AI4G          59  0033   VP59V         59  0652
QSO:  3790 PH 2009-03-28 1206 AI4G          59  0034   VA3YP         59  0165
QSO: 14191 PH 2009-03-28 1347 AI4G          59  0035   ZF1A          59  0611
QSO: 14227 PH 2009-03-28 1349 AI4G          59  0036   W7WA          59  0621
QSO: 14250 PH 2009-03-28 1351 AI4G          59  0037   KI6VC         59  0522
QSO: 14322 PH 2009-03-28 1352 AI4G          59  0038   YN2BQ         59  0384
QSO: 14202 PH 2009-03-28 1354 AI4G          59  0039   K5TR          59  1158
QSO:  7166 PH 2009-03-28 1404 AI4G          59  0040   NN5J          59  0806
QSO:  7160 PH 2009-03-28 1405 AI4G          59  0041   KT4ZB         59  0303
QSO:  7177 PH 2009-03-28 1406 AI4G          59  0042   KD4D          59  0695
QSO:  7219 PH 2009-03-28 1435 AI4G          59  0043   N2BJ          59  0266
QSO: 14206 PH 2009-03-28 1441 AI4G          59  0044   WM5R          59  1234
QSO: 14284 PH 2009-03-28 1445 AI4G          59  0045   VE7SV         59  0378
QSO: 14235 PH 2009-03-28 1446 AI4G          59  0046   KI7M          59  0197
QSO: 14153 PH 2009-03-28 1524 AI4G          59  0047   NR5M          59  1467
QSO: 14187 PH 2009-03-28 1525 AI4G          59  0048   N0QO          59  0857
QSO:  7218 PH 2009-03-28 1543 AI4G          59  0049   KX9DX         59  0203
QSO:  7207 PH 2009-03-28 1543 AI4G          59  0050   WX3B          59  0455
QSO:  7151 PH 2009-03-28 1546 AI4G          59  0051   W0CEM         59  0321
QSO:  7234 PH 2009-03-28 1547 AI4G          59  0052   KZ9O          59  0652
QSO:  7238 PH 2009-03-28 1548 AI4G          59  0053   K0ETV         59  0121
QSO: 14217 PH 2009-03-28 1613 AI4G          59  0054   4B2S          59  0958
QSO: 21276 PH 2009-03-28 1622 AI4G          59  0055   8P5A          59  1416
QSO: 14261 PH 2009-03-28 1657 AI4G          59  0056   NN7ZZ         59  0372
QSO: 14284 PH 2009-03-28 1658 AI4G          59  0057   W7ZR          59  0547
QSO: 14267 PH 2009-03-28 1706 AI4G          59  0058   NB7V          59  0293
QSO: 14197 PH 2009-03-28 1709 AI4G          59  0059   NX5M          59  0921
QSO: 21298 PH 2009-03-28 1829 AI4G          59  0060   XE1CQ         59  0126
QSO: 14237 PH 2009-03-28 1836 AI4G          59  0061   W7VJ          59  0197
QSO: 14231 PH 2009-03-28 1837 AI4G          59  0062   K7RI          59  1164
QSO: 14225 PH 2009-03-28 1838 AI4G          59  0063   WX6V          59  0263
QSO:  7178 PH 2009-03-28 1850 AI4G          59  0064   WE3C          59  0804
QSO:  7193 PH 2009-03-28 1851 AI4G          59  0065   KW3A          59  0265
QSO: 21304 PH 2009-03-28 1901 AI4G          59  0066   KH7XS         59  2187
QSO: 14274 PH 2009-03-28 1908 AI4G          59  0067   AB7E          59  0981
QSO:  7164 PH 2009-03-28 2058 AI4G          59  0068   N9TF          59  0131
QSO:  7174 PH 2009-03-28 2059 AI4G          59  0069   VE3MIS        59  0004
QSO:  7213 PH 2009-03-28 2100 AI4G          59  0070   VA3SWG        59  0404
QSO:  7225 PH 2009-03-28 2102 AI4G          59  0071   KC9CDW        59  0131
QSO:  7263 PH 2009-03-28 2103 AI4G          59  0072   AI4FR         59  0094
QSO:  7190 PH 2009-03-28 2105 AI4G          59  0073   WW9R          59  0344
QSO: 14260 PH 2009-03-28 2240 AI4G          59  0074   WA5ZUP        59  0581
QSO: 14195 PH 2009-03-28 2244 AI4G          59  0075   VE5PV         59  0533
QSO: 14178 PH 2009-03-28 2301 AI4G          59  0076   VE5ZX         59  0857
QSO: 14174 PH 2009-03-28 2302 AI4G          59  0077   T48K          59  0404
QSO: 14332 PH 2009-03-28 2307 AI4G          59  0078   PT2CM         59  0524
QSO: 14303 PH 2009-03-28 2308 AI4G          59  0079   P40A          59  2391
QSO:  7140 PH 2009-03-29 0038 AI4G          59  0080   KR4Z          59  0446
QSO:  3783 PH 2009-03-29 1231 AI4G          59  0081   K9ZO          59  0408
QSO:  3790 PH 2009-03-29 1234 AI4G          59  0082   N0QO          59  1683
QSO:  7136 PH 2009-03-29 1237 AI4G          59  0083   VE3UTT        59  1319
QSO:  7179 PH 2009-03-29 1239 AI4G          59  0084   KH7XS         59  3820
QSO:  7220 PH 2009-03-29 1241 AI4G          59  0085   KC4HW         59  0171
QSO:  7205 PH 2009-03-29 1252 AI4G          59  0086   NM2O          59  0237
QSO:  7175 PH 2009-03-29 1651 AI4G          59  0087   K9NW          59  1046
QSO:  7183 PH 2009-03-29 1652 AI4G          59  0088   KG4W          59  0582
QSO:  7181 PH 2009-03-29 1730 AI4G          59  0089   AB9H          59  0657
QSO:  7237 PH 2009-03-29 1732 AI4G          59  0090   NQ4I          59  1905
QSO: 14163 PH 2009-03-29 1735 AI4G          59  0091   KH6RC         59  0449
QSO:  7219 PH 2009-03-29 1847 AI4G          59  0092   W8MJ          59  1946
QSO:  7190 PH 2009-03-29 1849 AI4G          59  0093   KD9ST         59  1988
QSO: 14182 PH 2009-03-29 1849 AI4G          59  0094   K6HNZ         59  1038
QSO: 14189 PH 2009-03-29 1850 AI4G          59  0095   WG5J          59  1625
QSO: 14238 PH 2009-03-29 1853 AI4G          59  0096   NX7TT         59  1502
QSO: 14240 PH 2009-03-29 1854 AI4G          59  0097   KT4PD         59  1409
QSO: 14307 PH 2009-03-29 1856 AI4G          59  0098   K7ZZ          59  1926
QSO: 21231 PH 2009-03-29 1901 AI4G          59  0099   N6NF          59  0404
QSO: 21250 PH 2009-03-29 1901 AI4G          59  0100   N7UR          59  0265
QSO: 21260 PH 2009-03-29 1903 AI4G          59  0101   K6UW          59  0339
QSO: 21268 PH 2009-03-29 1904 AI4G          59  0102   XE1GRR        59  0269
QSO: 21333 PH 2009-03-29 1907 AI4G          59  0103   NJ6N          59  0882
QSO: 21393 PH 2009-03-29 1912 AI4G          59  0104   WN6K          59  0404
QSO: 21386 PH 2009-03-29 1913 AI4G          59  0105   NX6T          59  1270
QSO: 21301 PH 2009-03-29 1915 AI4G          59  0106   KI6VC         59  0967
QSO: 21323 PH 2009-03-29 1919 AI4G          59  0107   W1CU          59  0262
QSO: 21350 PH 2009-03-29 1920 AI4G          59  0108   N6XT          59  0843
QSO: 21292 PH 2009-03-29 1925 AI4G          59  0109   AK6M          59  0553
QSO: 14278 PH 2009-03-29 1928 AI4G          59  0110   W7CT          59  0280
QSO:  7130 PH 2009-03-29 1944 AI4G          59  0111   KE9I          59  0064
QSO:  7203 PH 2009-03-29 1946 AI4G          59  0112   N8II          59  0821
QSO:  7265 PH 2009-03-29 1948 AI4G          59  0113   KA9O          59  0177
QSO: 21200 PH 2009-03-29 1950 AI4G          59  0114   NG6S          59  0122
QSO: 21302 PH 2009-03-29 1951 AI4G          59  0115   VE7SV         59  0090
QSO: 21314 PH 2009-03-29 1952 AI4G          59  0116   WC6H          59  0327
QSO: 21332 PH 2009-03-29 1956 AI4G          59  0117   W6TK          59  1535
QSO: 21382 PH 2009-03-29 1956 AI4G          59  0118   K7RI          59  2687
QSO: 21390 PH 2009-03-29 1957 AI4G          59  0119   VE7HA         59  0254
QSO: 21262 PH 2009-03-29 1959 AI4G          59  0120   N6IE          59  0812
QSO: 21407 PH 2009-03-29 2003 AI4G          59  0121   K7ZZ          59  2015
QSO: 21299 PH 2009-03-29 2006 AI4G          59  0122   NK6A          59  0211
QSO: 21292 PH 2009-03-29 2006 AI4G          59  0123   N6QQ          59  0879
QSO:  7224 PH 2009-03-29 2015 AI4G          59  0124   KB9YGD        59  0177
QSO:  7218 PH 2009-03-29 2015 AI4G          59  0125   WW3DE         59  0030
QSO:  7213 PH 2009-03-29 2016 AI4G          59  0126   W9QL          59  0265
QSO:  7230 PH 2009-03-29 2020 AI4G          59  0127   WZ8T          59  0635
QSO: 21374 PH 2009-03-29 2024 AI4G          59  0128   K6QK          59  0120
QSO: 21360 PH 2009-03-29 2024 AI4G          59  0129   W7AT          59  0992
QSO: 21310 PH 2009-03-29 2025 AI4G          59  0130   WX6V          59  0783
QSO: 14312 PH 2009-03-29 2034 AI4G          59  0131   VE4EAR        59  0990
QSO: 14309 PH 2009-03-29 2036 AI4G          59  0132   KC6X          59  1070
QSO: 14292 PH 2009-03-29 2038 AI4G          59  0133   W6TK          59  1587
QSO: 14287 PH 2009-03-29 2039 AI4G          59  0134   N7TT          59  2068
QSO: 14175 PH 2009-03-29 2043 AI4G          59  0135   N6XT          59  0887
QSO:  7202 PH 2009-03-29 2048 AI4G          59  0136   W8OHT         59  0415
QSO:  7163 PH 2009-03-29 2057 AI4G          59  0137   WN9O          59  1146
QSO:  7153 PH 2009-03-29 2058 AI4G          59  0138   VE3RZ         59  0721
QSO:  7212 PH 2009-03-29 2100 AI4G          59  0139   W9KB          59  0108
QSO:  7190 PH 2009-03-29 2102 AI4G          59  0140   VE3KPP        59  0516
QSO: 21400 PH 2009-03-29 2104 AI4G          59  0141   NM6G          59  1153
QSO:  3780 PH 2009-03-29 2123 AI4G          59  0142   KU4BP         59  0548
QSO:  7130 PH 2009-03-29 2125 AI4G          59  0143   N1WR          59  1272
QSO:  7189 PH 2009-03-29 2126 AI4G          59  0144   KI9A          59  0298
QSO:  7205 PH 2009-03-29 2127 AI4G          59  0145   KK8U          59  0088
QSO:  3737 PH 2009-03-29 2155 AI4G          59  0146   N8KOJ         59  0140
END-OF-LOG:
