START-OF-LOG: 2.0
CATEGORY: Single-OP low
CONTEST: WAE SSB
CALLSIGN: M0WTD
LOCATOR: JO01GI
PROVINCE: ME
CLAIMED-SCORE: 594
CREATED-BY: Cabrillo_gen v.2.2.0 - (c) SP7DQR, modified by DXHF upload.
QSO:  7000 PH 2019-09-14 2343 M0WTD         59            1 VY2ZM         59         1225
QSO:  7000 PH 2019-09-14 2349 M0WTD         59            2 CT9ABP        59         1191
QSO:  7000 PH 2019-09-14 2350 M0WTD         59            3 CR3W          59         1470
QSO:  7000 PH 2019-09-14 2353 M0WTD         59            4 VA2EW         59          544
QSO:  7000 PH 2019-09-14 2355 M0WTD         59            5 CN2CO         59         1466
QSO:  7000 PH 2019-09-14 2358 M0WTD         59            6 NR3X          59         1246
QSO:  7000 PH 2019-09-15 0001 M0WTD         59            7 W3LL          59          950
QSO:  7000 PH 2019-09-15 0002 M0WTD         59            8 W3UA          59         1330
QSO:  7000 PH 2019-09-15 0009 M0WTD         59            9 NE1C          59          704
QSO:  7000 PH 2019-09-15 0021 M0WTD         59           10 VE3DZ         59          780
QSO:  7000 PH 2019-09-15 0023 M0WTD         59           11 VE3AT         59          985
QSO:  7000 PH 2019-09-15 0036 M0WTD         59           12 ZW8T          59         3532
QSO: 14000 PH 2019-09-15 0712 M0WTD         59           13 4L2M          59          861
QSO: 14000 PH 2019-09-15 0716 M0WTD         59           14 RM9I          59          937
QSO: 14000 PH 2019-09-15 0719 M0WTD         59           15 RC9O          59          936
QSO: 14000 PH 2019-09-15 0747 M0WTD         59           16 EA8RM         59          108
QSO: 14000 PH 2019-09-15 0827 M0WTD         59           17 UA9MA         59          549
QSO: 14000 PH 2019-09-15 0844 M0WTD         59           18 UP0L          59          757
QSO: 14000 PH 2019-09-15 0854 M0WTD         59           19 UN7LZ         59          454
QSO: 14000 PH 2019-09-15 0953 M0WTD         59           20 EA8DHV        59          228
QSO: 14000 PH 2019-09-15 1016 M0WTD         59           21 9K2HN         59         1275
QSO: 14000 PH 2019-09-15 1018 M0WTD         59           22 PR4T          59         1041
END-OF-LOG:
