START-OF-LOG: 3.0
CONTEST: EA-RTTY
CALLSIGN: PA0AWH
CATEGORY: SINGLE-OP ALL QRP
CATEGORY-BAND: ALL
CATEGORY-MODE: RTTY
CATEGORY-POWER: 
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: FIXED
CATEGORY-ASSISTED: NON-ASSISTED
LOCATION: DX
CLUB:    DIGITAL MODES CLUB
NAME:    Ad van der Wielen
SOAPBOX: RIG: FT817, 5 WATT IN RTTY
SOAPBOX: ANTENNAS: SLOPING DELTA LOOP / WINDOM AS INV. VEE
QSO: 14000 RY 2020-04-04 1621 PA0AWH        599 001        EA7Q          599 H           
QSO: 14000 RY 2020-04-04 1623 PA0AWH        599 002        R3GZ          599 005        
QSO: 14000 RY 2020-04-04 1628 PA0AWH        599 003        IZ8CCW        599 023        
QSO: 14000 RY 2020-04-04 1634 PA0AWH        599 004        RK3DXW        599 027        
QSO: 14000 RY 2020-04-04 1645 PA0AWH        599 005        EC5W          599 A           
QSO: 14000 RY 2020-04-04 1646 PA0AWH        599 006        IT9STX        599 028        
QSO: 14000 RY 2020-04-04 1648 PA0AWH        599 007        IZ8BGY        599 020        
QSO: 14000 RY 2020-04-04 1650 PA0AWH        599 008        R7AB          599 042         
QSO: 14000 RY 2020-04-04 1657 PA0AWH        599 009        SV3DCX        599 056        
QSO: 14000 RY 2020-04-04 1705 PA0AWH        599 010        ED7N          599 CO           
QSO: 14000 RY 2020-04-04 1716 PA0AWH        599 011        EA5BY         599 A           
QSO: 14000 RY 2020-04-04 1720 PA0AWH        599 013        R2AL          599 014        
QSO: 14000 RY 2020-04-04 1734 PA0AWH        599 014        EM0I          599 115        
QSO: 14000 RY 2020-04-04 1737 PA0AWH        599 015        RX3ASQ        599 057        
QSO: 14000 RY 2020-04-04 1740 PA0AWH        599 016        SV2BFN        599 109        
QSO: 14000 RY 2020-04-04 1743 PA0AWH        599 017        K6DTT/1       599 082        
QSO: 14000 RY 2020-04-04 1746 PA0AWH        599 018        SV1DPI        599 045        
QSO:  3500 RY 2020-04-05 0251 PA0AWH        599 019        F5OAM         599 130        
QSO:  3500 RY 2020-04-05 0253 PA0AWH        599 020        IV3IPS        599 212        
QSO:  3500 RY 2020-04-05 0256 PA0AWH        599 021        LY7Z          599 306        
QSO:  3500 RY 2020-04-05 0300 PA0AWH        599 022        EB3A          599 T           
QSO:  3500 RY 2020-04-05 0302 PA0AWH        599 023        RC5Z          599 377        
QSO:  3500 RY 2020-04-05 0305 PA0AWH        599 024        EA4FR         599 CR           
QSO:  3500 RY 2020-04-05 0314 PA0AWH        599 025        IK4ZIF        599 306        
QSO:  3500 RY 2020-04-05 0318 PA0AWH        599 026        9A9A          599 382        
QSO:  3500 RY 2020-04-05 0319 PA0AWH        599 027        S51W          599 253        
QSO:  3500 RY 2020-04-05 0327 PA0AWH        599 028        EF1L          599 LO           
QSO:  3500 RY 2020-04-05 0333 PA0AWH        599 029        LY7W          599 099        
QSO:  3500 RY 2020-04-05 0337 PA0AWH        599 030        LY5W          599 415        
QSO:  3500 RY 2020-04-05 0340 PA0AWH        599 031        EA1G          599 O           
QSO:  3500 RY 2020-04-05 0350 PA0AWH        599 032        S57SWR        599 123        
QSO:  3500 RY 2020-04-05 0352 PA0AWH        599 033        EC7ZR         599 CO           
QSO:  3500 RY 2020-04-05 0354 PA0AWH        599 034        Z35T          599 277        
QSO:  3500 RY 2020-04-05 0400 PA0AWH        599 035        S54Z          599 347        
QSO:  3500 RY 2020-04-05 0406 PA0AWH        599 036        SQ1BVG        599 211        
QSO:  3500 RY 2020-04-05 0414 PA0AWH        599 037        OM2BK         599 240        
QSO:  3500 RY 2020-04-05 0417 PA0AWH        599 038        S53X          599 332        
QSO:  3500 RY 2020-04-05 0425 PA0AWH        599 039        DJ3IW         599 082        
QSO:  3500 RY 2020-04-05 0430 PA0AWH        599 040        9A7T          599 242        
QSO:  3500 RY 2020-04-05 0433 PA0AWH        599 041        IK4RQJ        599 164        
QSO:  3500 RY 2020-04-05 0438 PA0AWH        599 042        HA50KHW       599 011        
QSO:  3500 RY 2020-04-05 0444 PA0AWH        599 043        DL7VOG        599 154        
QSO:  3500 RY 2020-04-05 0449 PA0AWH        599 044        SE6K          599 037        
QSO:  3500 RY 2020-04-05 0453 PA0AWH        599 045        DH8WR         599 302        
