START-OF-LOG: 2.0
ARRL-SECTION: ME
CALLSIGN: K6DTT/1
CLUB:  
CONTEST: EA-RTTY
CATEGORY: SINGLE-OP ALL HIGH
CLAIMED-SCORE: 164265
OPERATORS: K6DTT/1
NAME: ALAN FIELDS
CREATED-BY: N1MM Logger+ 1.0.8293.0
QSO: 14107 RY 2020-04-04 1602 K6DTT/1       599 0001   UR7CB         599 0001     
QSO: 14107 RY 2020-04-04 1603 K6DTT/1       599 0002   OS4U          599 0006     
QSO: 14107 RY 2020-04-04 1604 K6DTT/1       599 0003   RG4A          599 0003     
QSO: 14107 RY 2020-04-04 1605 K6DTT/1       599 0004   LZ1ZM         599 0003     
QSO: 14107 RY 2020-04-04 1606 K6DTT/1       599 0005   PA4G          599 0002     
QSO: 14107 RY 2020-04-04 1606 K6DTT/1       599 0006   LY5W          599 0005     
QSO: 14107 RY 2020-04-04 1607 K6DTT/1       599 0007   I4LCK         599 0003     
QSO: 14107 RY 2020-04-04 1609 K6DTT/1       599 0008   EA2KK         599 BI       
QSO: 14107 RY 2020-04-04 1610 K6DTT/1       599 0009   DL4CF         599 0004     
QSO: 14107 RY 2020-04-04 1611 K6DTT/1       599 0010   UR4EI         599 0006     
QSO: 14107 RY 2020-04-04 1612 K6DTT/1       599 0011   S54Z          599 0004     
QSO: 14107 RY 2020-04-04 1612 K6DTT/1       599 0012   EA2BNU        599 SS       
QSO: 14107 RY 2020-04-04 1613 K6DTT/1       599 0013   YO3RU         599 0008     
QSO: 14107 RY 2020-04-04 1614 K6DTT/1       599 0014   LZ1QV         599 0010     
QSO: 14107 RY 2020-04-04 1615 K6DTT/1       599 0015   DL3SYA        599 0007     
QSO: 14107 RY 2020-04-04 1616 K6DTT/1       599 0016   KD4TRG        599 0006     
QSO: 14107 RY 2020-04-04 1616 K6DTT/1       599 0017   OH2LU         599 0007     
QSO: 14107 RY 2020-04-04 1617 K6DTT/1       599 0018   OM8JP         599 0013     
QSO: 14107 RY 2020-04-04 1618 K6DTT/1       599 0019   YT3H          599 0015     
QSO: 14107 RY 2020-04-04 1618 K6DTT/1       599 0020   PA3GDG        599 0006     
QSO: 14107 RY 2020-04-04 1620 K6DTT/1       599 0021   K6BIR         599 0006     
QSO: 21083 RY 2020-04-04 1624 K6DTT/1       599 0022   CV7S          599 0011     
QSO: 14080 RY 2020-04-04 1629 K6DTT/1       599 0023   M0BEW         599 0014     
QSO: 14113 RY 2020-04-04 1638 K6DTT/1       599 0024   EA3GCT        599 B        
QSO: 14113 RY 2020-04-04 1640 K6DTT/1       599 0025   YO2IS         599 0022     
QSO: 14113 RY 2020-04-04 1640 K6DTT/1       599 0026   IQ8XF         599 0034     
QSO: 14113 RY 2020-04-04 1641 K6DTT/1       599 0027   G0FGI         599 0011     
QSO: 14113 RY 2020-04-04 1643 K6DTT/1       599 0028   YT2U          599 0009     
QSO: 14113 RY 2020-04-04 1643 K6DTT/1       599 0029   W4LC          599 0030     
QSO: 14113 RY 2020-04-04 1644 K6DTT/1       599 0030   EA2DDE        599 NA       
QSO: 14113 RY 2020-04-04 1647 K6DTT/1       599 0031   F4GDI         599 0026     
QSO: 14113 RY 2020-04-04 1648 K6DTT/1       599 0032   DL3KVR        599 0025     
QSO: 14113 RY 2020-04-04 1649 K6DTT/1       599 0033   DJ4MH         599 0028     
QSO: 14113 RY 2020-04-04 1651 K6DTT/1       599 0034   DJ1XT         599 0016     
QSO: 14113 RY 2020-04-04 1652 K6DTT/1       599 0035   N4IQ          599 0021     
QSO: 14113 RY 2020-04-04 1654 K6DTT/1       599 0036   R3GZ          599 0024     
QSO: 14113 RY 2020-04-04 1656 K6DTT/1       599 0037   K5J           599 0020     
QSO: 14113 RY 2020-04-04 1657 K6DTT/1       599 0038   EA1DP         599 S        
QSO: 14113 RY 2020-04-04 1658 K6DTT/1       599 0039   UR5FBM        599 0026     
QSO: 14113 RY 2020-04-04 1700 K6DTT/1       599 0040   GU0SUP        599 0018     
QSO: 14113 RY 2020-04-04 1701 K6DTT/1       599 0041   OZ7DK         599 0028     
QSO: 14113 RY 2020-04-04 1702 K6DTT/1       599 0042   OS4U          599 0035     
QSO: 14113 RY 2020-04-04 1703 K6DTT/1       599 0043   M0TQR         599 0010     
QSO: 14113 RY 2020-04-04 1705 K6DTT/1       599 0044   EA4BAS        599 M        
QSO: 14113 RY 2020-04-04 1706 K6DTT/1       599 0045   PA3ACA        599 0036     
QSO: 14113 RY 2020-04-04 1707 K6DTT/1       599 0046   UR7GO         599 0057     
QSO: 14113 RY 2020-04-04 1707 K6DTT/1       599 0047   IK8OLM        599 0022     
QSO: 14113 RY 2020-04-04 1709 K6DTT/1       599 0048   E73FDE        599 0009     
