START-OF-LOG: 3.0
CREATED-BY: DXLog.net v2.4.20
CONTEST: EA-MAJESTAD-CW
CALLSIGN: EC1KR
CATEGORY: SINGLE-OP ALL HIGH
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-POWER: 
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CLAIMED-SCORE: 15566
CLUB: EA CONTEST CLUB
NAME: JESUS MARIA GIMARE
OPERATORS: 
SOAPBOX: Participacion testimonial, muchas gracias por los qso. 73 de Jesus EC1KR
QSO: 28018 CW 2020-05-16 1613 EC1KR         599 AV     EA8ZS         599 GC         0  
QSO: 21013 CW 2020-05-16 1620 EC1KR         599 AV     M0BEW         599 115       0  
QSO: 21027 CW 2020-05-16 1629 EC1KR         599 AV     EA5Y          599 A          0  
QSO: 21017 CW 2020-05-16 1635 EC1KR         599 AV     EA8DP         599 GC         0  
QSO: 21024 CW 2020-05-16 1649 EC1KR         599 AV     EC4C          599 BA         0  
QSO: 21029 CW 2020-05-16 1652 EC1KR         599 AV     4X1VF         599 027       0  
QSO: 21009 CW 2020-05-16 1654 EC1KR         599 AV     P3AA          599 453       0  
QSO: 21008 CW 2020-05-16 1656 EC1KR         599 AV     CR5O          599 292       0  
QSO: 21020 CW 2020-05-17 0651 EC1KR         599 AV     DJ9DZ         599 856       0  
QSO: 21019 CW 2020-05-17 0655 EC1KR         599 AV     SN1T          599 1132       0  
QSO: 21014 CW 2020-05-17 0657 EC1KR         599 AV     LZ5R          599 1238       0  
QSO: 21024 CW 2020-05-17 0658 EC1KR         599 AV     DK1TW         599 236       0  
QSO: 21031 CW 2020-05-17 0659 EC1KR         599 AV     9A1AA         599 878       0  
QSO: 21015 CW 2020-05-17 0701 EC1KR         599 AV     IK8UND        599 553       0  
QSO: 21011 CW 2020-05-17 0702 EC1KR         599 AV     UA5C          599 1244       0  
QSO: 21019 CW 2020-05-17 0703 EC1KR         599 AV     R7MM          599 618       0  
QSO: 21024 CW 2020-05-17 0706 EC1KR         599 AV     9A5Y          599 1197       0  
QSO: 21032 CW 2020-05-17 0710 EC1KR         599 AV     IT9ESW        599 180       0  
QSO: 21016 CW 2020-05-17 0711 EC1KR         599 AV     OM2VL         599 1366       0  
QSO: 21023 CW 2020-05-17 0721 EC1KR         599 AV     EF0F          599 SMR        0  
QSO: 21023 CW 2020-05-17 0726 EC1KR         599 AV     SV1JG         599 704       0  
QSO: 21042 CW 2020-05-17 0730 EC1KR         599 AV     IK3QAR        599 323       0  
QSO: 21035 CW 2020-05-17 0731 EC1KR         599 AV     IW3FVZ        599 139       0  
QSO: 21018 CW 2020-05-17 0733 EC1KR         599 AV     HB9ARF        599 247       0  
QSO:  7032 CW 2020-05-17 0738 EC1KR         599 AV     EA1WH         599 S          0  
QSO:  7029 CW 2020-05-17 0740 EC1KR         599 AV     PA3DBS        599 178       0  
QSO:  7029 CW 2020-05-17 0740 EC1KR         599 AV     EA1MX         599 S          0  
QSO:  7027 CW 2020-05-17 0741 EC1KR         599 AV     EF0F          599 SMR        0  
QSO:  7026 CW 2020-05-17 0743 EC1KR         599 AV     EC7C          599 MA         0  
