START-OF-LOG: 2.0
REF-SECTION: DX
CONTEST: REF-SSB
CALLSIGN: OE6HLF
CATEGORY: SINGLE-OP ALL LOW 
CLAIMED-SCORE: 24278
CREATED-BY: UcxLog 6.70
NAME: Ackerl Bernhard
SOAPBOX: All QSOs with Indoor antennas, 100w, Good Contest, 73s
QSO:  7000 PH 2011-02-26 0605 OE6HLF        59  001    F5PSI         59  62
QSO:  7000 PH 2011-02-26 0609 OE6HLF        59  002    F6KPQ/P       59  56
QSO:  7000 PH 2011-02-26 0611 OE6HLF        59  003    F8AOF         59  82
QSO:  7000 PH 2011-02-26 0626 OE6HLF        59  004    F4FHM/P       59  59
QSO:  7000 PH 2011-02-26 0629 OE6HLF        59  005    F5NVU         59  34
QSO:  7000 PH 2011-02-26 0630 OE6HLF        59  006    F5RDK         59  26
QSO:  7000 PH 2011-02-26 0633 OE6HLF        59  007    F4GLJ         59  95
QSO:  7000 PH 2011-02-26 0647 OE6HLF        59  008    TM8AAW        59  71
QSO:  7000 PH 2011-02-26 0650 OE6HLF        59  009    F8EHM         59  54
QSO:  7000 PH 2011-02-26 0652 OE6HLF        59  010    F5LJA/P       59  62
QSO:  7000 PH 2011-02-26 0653 OE6HLF        59  011    TM22P         59  22
QSO:  7000 PH 2011-02-26 0657 OE6HLF        59  012    F6CXJ         59  47
QSO:  7000 PH 2011-02-26 0703 OE6HLF        59  013    F1SMV         59  83
QSO:  7000 PH 2011-02-26 0704 OE6HLF        59  014    F8CGL         59  72
QSO:  7000 PH 2011-02-26 0708 OE6HLF        59  015    F5KDK/P       59  83
QSO:  7000 PH 2011-02-26 0710 OE6HLF        59  016    F4EJW         59  29
QSO:  7000 PH 2011-02-26 0712 OE6HLF        59  017    F6KUQ         59  33
QSO:  7000 PH 2011-02-26 0735 OE6HLF        59  018    F6KBU         59  91
QSO:  7000 PH 2011-02-26 0739 OE6HLF        59  019    F5OTZ         59  83
QSO:  7000 PH 2011-02-26 0740 OE6HLF        59  020    F5OWT         59  45
QSO:  7000 PH 2011-02-26 0741 OE6HLF        59  021    F5BBD         59  02
QSO:  7000 PH 2011-02-26 0742 OE6HLF        59  022    F4AWH         59  70
QSO:  7000 PH 2011-02-26 0749 OE6HLF        59  023    F5OHM         59  36
QSO: 14000 PH 2011-02-26 0753 OE6HLF        59  024    F1PKH         59  40
QSO:  7000 PH 2011-02-26 0800 OE6HLF        59  025    TK5KP         59  2A
QSO:  7000 PH 2011-02-26 0807 OE6HLF        59  026    TM38I         59  38
QSO:  7000 PH 2011-02-26 0817 OE6HLF        59  027    F8CZI         59  68
QSO:  7000 PH 2011-02-26 0820 OE6HLF        59  028    F5MSB         59  32
QSO:  7000 PH 2011-02-26 0824 OE6HLF        59  029    F6KNB         59  33
QSO:  7000 PH 2011-02-26 0825 OE6HLF        59  030    TM0WAP        59  42
QSO:  7000 PH 2011-02-26 0827 OE6HLF        59  031    F8DZY         59  47
QSO:  7000 PH 2011-02-26 0828 OE6HLF        59  032    F6EOE         59  51
QSO:  7000 PH 2011-02-26 0830 OE6HLF        59  033    F1TMY         59  12
QSO:  7000 PH 2011-02-26 0831 OE6HLF        59  034    F8KCF         59  74
QSO:  7000 PH 2011-02-26 0833 OE6HLF        59  035    F4EQH         59  85
QSO:  7000 PH 2011-02-26 0837 OE6HLF        59  036    F2DX          59  24
QSO:  7000 PH 2011-02-26 0840 OE6HLF        59  037    F5KCC/P       59  89
QSO:  7000 PH 2011-02-26 0845 OE6HLF        59  038    F5AEG/P       59  83
QSO:  7000 PH 2011-02-26 0852 OE6HLF        59  039    F6KJX         59  41
QSO:  7000 PH 2011-02-26 0859 OE6HLF        59  040    F5UFX         59  73
QSO:  7000 PH 2011-02-26 0901 OE6HLF        59  041    F8FSC         59  39
QSO:  7000 PH 2011-02-26 0902 OE6HLF        59  042    F5POJ         59  02
QSO:  7000 PH 2011-02-26 0912 OE6HLF        59  043    F5KMY         59  25
QSO:  7000 PH 2011-02-26 0926 OE6HLF        59  044    F5GN          59  81
QSO:  7000 PH 2011-02-26 0928 OE6HLF        59  045    F6KQV         59  67
QSO:  7000 PH 2011-02-26 0934 OE6HLF        59  046    F4FFH         59  50
QSO:  7000 PH 2011-02-26 0949 OE6HLF        59  047    F5AMH         59  41
QSO:  7000 PH 2011-02-26 1002 OE6HLF        59  048    F5AAR/P       59  53
QSO:  7000 PH 2011-02-26 1008 OE6HLF        59  049    F8BPN         59  19
QSO:  7000 PH 2011-02-26 1012 OE6HLF        59  050    F5UTN         59  27
QSO:  7000 PH 2011-02-26 1015 OE6HLF        59  051    F6IRM         59  52
QSO:  7000 PH 2011-02-26 1015 OE6HLF        59  052    F5LEN         59  54
QSO: 14000 PH 2011-02-26 1020 OE6HLF        59  053    F6HKA         59  87
