START-OF-LOG: 2.0
ARRL-SECTION: DX
CALLSIGN: GI4AAM
CLUB: Bangor & District Amateur Radio Society
CONTEST: REF-SSB
REF-SECTION: DX
CATEGORY: SINGLE-OP ALL LOW SSB
CLAIMED-SCORE: 18369
OPERATORS: GI4AAM
NAME: Bill Langtry
X-SUMMARY: 
X-SUMMARY:                          160m   80m   40m    20m     15m     10m    Total
X-SUMMARY: 
X-SUMMARY:         Valid QSOs:       0     60     74     20       1       0         155
X-SUMMARY                     Dept:       0     44     53     19       1       0         117
X-SUMMARY:                 Points:       0     60     74     22       1       0         157
X-SUMMARY:     I declare that this station was operated strictly in
X-SUMMARY:     accordance with the rules and spirit of the contest,
X-SUMMARY:     and within the conditions of my licence.  My report
X-SUMMARY:     is correct and true to the best of my knowledge.
X-SUMMARY:     I agree that the decision of the contest organisers
X-SUMMARY:     shall be final in all cases of dispute.  I agree to
X-SUMMARY:     this data being stored, analysed and cross-checked
X-SUMMARY:     by computer.
X-SUMMARY: 
X-SUMMARY: 
CREATED-BY: N1MM Logger V11.2.3
QSO:  7127 PH 2011-02-26 0931 GI4AAM        59  0001   F5ADE         59  36      
QSO:  7136 PH 2011-02-26 0931 GI4AAM        59  0002   F6KNB         59  33      
QSO:  7142 PH 2011-02-26 0933 GI4AAM        59  0003   F5UTN         59  27      
QSO:  7147 PH 2011-02-26 1212 GI4AAM        59  0004   TM5KFU        59  24      
QSO:  7175 PH 2011-02-26 1215 GI4AAM        59  0005   F5GN          59  81      
QSO:  7140 PH 2011-02-26 1219 GI4AAM        59  0006   F5LEN         59  54      
QSO:  7159 PH 2011-02-26 1227 GI4AAM        59  0007   F5BBD         59  02      
QSO:  7138 PH 2011-02-26 1229 GI4AAM        59  0008   F6KBU         59  91      
QSO:  7187 PH 2011-02-26 1232 GI4AAM        59  0009   F8DHB         59  60      
QSO:  7125 PH 2011-02-26 1236 GI4AAM        59  0010   F6KRC         59  35      
QSO:  7114 PH 2011-02-26 1238 GI4AAM        59  0011   F4EJW         59  29      
QSO:  7170 PH 2011-02-26 1414 GI4AAM        59  0012   TM22P         59  22      
QSO:  7118 PH 2011-02-26 1421 GI4AAM        59  0013   F6DZU         59  40      
QSO: 14202 PH 2011-02-26 1426 GI4AAM        59  0014   TM2T          59  13      
QSO: 14178 PH 2011-02-26 1429 GI4AAM        59  0015   TM0L          59  46      
QSO: 14170 PH 2011-02-26 1456 GI4AAM        59  0016   TM2B          59  03      
QSO: 14153 PH 2011-02-26 1500 GI4AAM        59  0017   F6CXJ         59  47      
QSO: 14155 PH 2011-02-26 1715 GI4AAM        59  0018   F5OTZ         59  83      
QSO: 14181 PH 2011-02-26 1718 GI4AAM        59  0019   F5UTN         59  27      
QSO: 14195 PH 2011-02-26 1725 GI4AAM        59  0020   F8KDX         59  77      
QSO: 14150 PH 2011-02-26 1727 GI4AAM        59  0021   F4FSV         59  64      
QSO:  7075 PH 2011-02-26 1733 GI4AAM        59  0022   F5KKD         59  93      
QSO:  7078 PH 2011-02-26 1737 GI4AAM        59  0023   F8FGU         59  09      
QSO:  7080 PH 2011-02-26 1741 GI4AAM        59  0024   F6BHI         59  19      
QSO:  7098 PH 2011-02-26 1742 GI4AAM        59  0025   F6KBF         59  78      
QSO:  7106 PH 2011-02-26 1744 GI4AAM        59  0026   F8DRE         59  28      
QSO:  7106 PH 2011-02-26 1745 GI4AAM        59  0027   F4DXW         59  29      
QSO:  7121 PH 2011-02-26 1749 GI4AAM        59  0028   F5NMK         59  57      
QSO:  7138 PH 2011-02-26 1750 GI4AAM        59  0029   TM2T          59  13      
QSO:  7155 PH 2011-02-26 1752 GI4AAM        59  0030   F5PSI         59  62      
QSO:  7188 PH 2011-02-26 1756 GI4AAM        59  0031   F6DYX         59  49      
QSO:  7168 PH 2011-02-26 1801 GI4AAM        59  0032   F6KQL         59  21      
QSO:  7150 PH 2011-02-26 1809 GI4AAM        59  0033   F8CNX         59  85      
QSO:  7146 PH 2011-02-26 1810 GI4AAM        59  0034   F8CGL         59  72      
QSO:  7063 PH 2011-02-26 1816 GI4AAM        59  0035   F5KIN         59  63      
QSO:  7057 PH 2011-02-26 1817 GI4AAM        59  0036   F5AMH         59  41      
QSO:  7054 PH 2011-02-26 1818 GI4AAM        59  0037   F5AAR/P       59  53      
QSO:  7159 PH 2011-02-26 1823 GI4AAM        59  0038   F5KDJ         59  45      
QSO:  7147 PH 2011-02-26 1827 GI4AAM        59  0039   F6BKP         59  17      
QSO:  7142 PH 2011-02-26 1829 GI4AAM        59  0040   F4KIO/P       59  35      
QSO:  7124 PH 2011-02-26 1830 GI4AAM        59  0041   F8KDX         59  77      
QSO:  7117 PH 2011-02-26 1832 GI4AAM        59  0042   F4FJH         59  22      
QSO:  7085 PH 2011-02-26 1834 GI4AAM        59  0043   F5OTZ         59  83      
QSO:  7083 PH 2011-02-26 1838 GI4AAM        59  0044   F6BUL/P       59  73      
QSO:  7064 PH 2011-02-26 1842 GI4AAM        59  0045   F6KUQ         59  33      
QSO:  7164 PH 2011-02-26 1857 GI4AAM        59  0046   F6GPD         59  33      
QSO:  7135 PH 2011-02-26 1902 GI4AAM        59  0048   F5KMB         59  60      
QSO:  3766 PH 2011-02-26 1905 GI4AAM        59  0047   TM2R          59  47      
QSO:  3662 PH 2011-02-26 1906 GI4AAM        59  0049   F6KRK         59  78      
QSO:  3628 PH 2011-02-26 1908 GI4AAM        59  0050   TM38I         59  38      
QSO:  3641 PH 2011-02-26 1911 GI4AAM        59  0051   F5OAM         59  47      
QSO:  3757 PH 2011-02-26 1913 GI4AAM        59  0052   F8DHB         59  60      
QSO:  3668 PH 2011-02-26 2120 GI4AAM        59  0053   TM2T          59  13      
QSO:  3692 PH 2011-02-26 2122 GI4AAM        59  0054   F5KIN         59  63      
QSO:  3772 PH 2011-02-26 2126 GI4AAM        59  0055   F6KBF         59  78      
QSO:  3749 PH 2011-02-26 2128 GI4AAM        59  0056   F4BKV         59  17      
QSO:  3737 PH 2011-02-26 2129 GI4AAM        59  0057   F6KBU         59  91      
QSO:  3722 PH 2011-02-26 2133 GI4AAM        59  0058   F6CCF         59  37      
QSO:  3689 PH 2011-02-26 2135 GI4AAM        59  0059   F5UTN         59  27      
QSO:  3777 PH 2011-02-26 2139 GI4AAM        59  0060   F6HRL         59  86      
QSO:  3764 PH 2011-02-26 2145 GI4AAM        59  0061   F5KDK/P       59  83      
QSO:  3744 PH 2011-02-26 2149 GI4AAM        59  0062   F6CLQ         59  89      
QSO:  3675 PH 2011-02-26 2231 GI4AAM        59  0063   F4FJH         59  22      
QSO:  3645 PH 2011-02-26 2233 GI4AAM        59  0064   F5KMB         59  60      
QSO:  3641 PH 2011-02-26 2234 GI4AAM        59  0065   F5RJW         59  71      
QSO:  3635 PH 2011-02-26 2237 GI4AAM        59  0066   F6KQV         59  67      
QSO:  3604 PH 2011-02-26 2239 GI4AAM        59  0067   F6KSV         59  29      
QSO:  3787 PH 2011-02-26 2241 GI4AAM        59  0068   F6KFV         59  78      
QSO:  3742 PH 2011-02-26 2244 GI4AAM        59  0069   F6ECS         59  66      
QSO:  3675 PH 2011-02-26 2245 GI4AAM        59  0070   F5CDE         59  78      
QSO:  3727 PH 2011-02-26 2247 GI4AAM        59  0071   F6KNB         59  33      
QSO:  3749 PH 2011-02-26 2251 GI4AAM        59  0072   F5KKD         59  93      
