START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.7.0
CONTEST: REF-SSB
LOCATION: 93
CALLSIGN: F6KGL
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-STATION: FIXED
CATEGORY-OVERLAY: CLUB
CLAIMED-SCORE: 52110
OPERATORS: F4DFR, F4GKR, F4GFS
NAME: Radio-Club de la Haute île
SOAPBOX: 
RIG: Kenwood TS940, Kenwood TL922, Antenne long fil, Beam 5 elements
QSO: 14000 PH 2011-02-26 0743 F6KGL         59  93     R3MS          59  002   
QSO: 14000 PH 2011-02-26 0743 F6KGL         59  93     LY3DR         59  005   
QSO: 14000 PH 2011-02-26 0745 F6KGL         59  93     EA7HGX        59  001   
QSO: 14000 PH 2011-02-26 0746 F6KGL         59  93     ES2IPA        59  004   
QSO: 14000 PH 2011-02-26 0747 F6KGL         59  93     UR5MM         59  003   
QSO: 14000 PH 2011-02-26 0748 F6KGL         59  93     UA3QOS        59  003   
QSO: 14000 PH 2011-02-26 0749 F6KGL         59  93     RA3ZA         59  001   
QSO: 14000 PH 2011-02-26 0749 F6KGL         59  93     SV1CEI        59  001   
QSO: 14000 PH 2011-02-26 0750 F6KGL         59  93     UA6YN         59  001   
QSO: 14000 PH 2011-02-26 0751 F6KGL         59  93     US0IJ         59  001   
QSO: 14000 PH 2011-02-26 0751 F6KGL         59  93     RW9TP         59  002   
QSO: 14000 PH 2011-02-26 0752 F6KGL         59  93     R2SA          59  002   
QSO: 14000 PH 2011-02-26 0752 F6KGL         59  93     UN7MMM        59  004   
QSO: 14000 PH 2011-02-26 0753 F6KGL         59  93     SV2KBB        59  001   
QSO: 14000 PH 2011-02-26 0754 F6KGL         59  93     4Z5NS         59  002   
QSO: 14000 PH 2011-02-26 0755 F6KGL         59  93     F6GIG         59  93    
QSO: 14000 PH 2011-02-26 0757 F6KGL         59  93     YO9AGN        59  002   
QSO: 14000 PH 2011-02-26 0757 F6KGL         59  93     RW9TP         59  003   
QSO: 14000 PH 2011-02-26 0801 F6KGL         59  93     RA9OFE        59  002   
QSO: 14000 PH 2011-02-26 0803 F6KGL         59  93     SM0A          59  003   
QSO: 14000 PH 2011-02-26 0803 F6KGL         59  93     SP5EOT        59  003   
QSO: 14000 PH 2011-02-26 0804 F6KGL         59  93     RL3ZH         59  003   
QSO: 14000 PH 2011-02-26 0812 F6KGL         59  93     YO2LXW        59  004   
QSO: 14000 PH 2011-02-26 0813 F6KGL         59  93     RW4CBG        59  001   
QSO: 14000 PH 2011-02-26 0814 F6KGL         59  93     YL1XN         59  006   
QSO: 14000 PH 2011-02-26 0816 F6KGL         59  93     RX3F          59  006   
QSO: 14000 PH 2011-02-26 0816 F6KGL         59  93     LZ3SD         59  007   
QSO: 14000 PH 2011-02-26 0817 F6KGL         59  93     R9CB          59  005   
QSO: 14000 PH 2011-02-26 0818 F6KGL         59  93     YO3CZW        59  021   
QSO: 14000 PH 2011-02-26 0819 F6KGL         59  93     UA3OQ         59  003   
QSO: 14000 PH 2011-02-26 0823 F6KGL         59  93     EW6GF         59  004   
QSO: 14000 PH 2011-02-26 0835 F6KGL         59  93     SA6AIN        59  005   
QSO: 14000 PH 2011-02-26 0836 F6KGL         59  93     US6MM         59  001   
QSO: 14000 PH 2011-02-26 0836 F6KGL         59  93     YT4W          59  012   
QSO: 14000 PH 2011-02-26 0836 F6KGL         59  93     EW1IP         59  004   
QSO: 14000 PH 2011-02-26 0837 F6KGL         59  93     RU4SO         59  003   
QSO: 14000 PH 2011-02-26 0838 F6KGL         59  93     YO2MKT        59  011   
QSO: 14000 PH 2011-02-26 0838 F6KGL         59  93     RW4PL         59  005   
QSO: 14000 PH 2011-02-26 0839 F6KGL         59  93     OH1B          59  003   
QSO: 14000 PH 2011-02-26 0839 F6KGL         59  93     LY5M          59  003   
QSO: 14000 PH 2011-02-26 0840 F6KGL         59  93     LY2BIS        59  002   
QSO: 14000 PH 2011-02-26 0841 F6KGL         59  93     UP7C          59  001   
QSO: 14000 PH 2011-02-26 0843 F6KGL         59  93     EK3SA         59  007   
QSO: 14000 PH 2011-02-26 0844 F6KGL         59  93     LY1RB         59  002   
QSO:  7000 PH 2011-02-26 0929 F6KGL         59  93     F6KNB         59  33    
QSO:  7000 PH 2011-02-26 0930 F6KGL         59  93     F4DXW         59  29    
QSO:  7000 PH 2011-02-26 1014 F6KGL         59  93     F5UFX         59  93    
QSO:  7000 PH 2011-02-26 1016 F6KGL         59  93     F4FFH         59  50    
QSO:  7000 PH 2011-02-26 1022 F6KGL         59  93     F6KJX         59  41    
QSO:  7000 PH 2011-02-26 1026 F6KGL         59  93     F6KQV         59  67    
QSO:  7000 PH 2011-02-26 1032 F6KGL         59  93     F1MOZ         59  40    
QSO:  7000 PH 2011-02-26 1033 F6KGL         59  93     F6GPT         59  33    
QSO:  7000 PH 2011-02-26 1034 F6KGL         59  93     F2DX          59  24    
QSO:  7000 PH 2011-02-26 1041 F6KGL         59  93     F8FSC         59  39    
QSO:  7000 PH 2011-02-26 1044 F6KGL         59  93     F8ATM         59  81    
QSO:  7000 PH 2011-02-26 1058 F6KGL         59  93     F6KUJ         59  34    
QSO:  7000 PH 2011-02-26 1058 F6KGL         59  93     F5LEN         59  54    
QSO:  7000 PH 2011-02-26 1102 F6KGL         59  93     F8FGU         59  09    
QSO:  7000 PH 2011-02-26 1114 F6KGL         59  93     TM5KFU        59  24    
QSO:  7000 PH 2011-02-26 1122 F6KGL         59  93     F5AGQ         59  81    
QSO:  7000 PH 2011-02-26 1128 F6KGL         59  93     F5RJW         59  71    
QSO:  7000 PH 2011-02-26 1130 F6KGL         59  93     PI4DX         59  112   
QSO:  7000 PH 2011-02-26 1135 F6KGL         59  93     F4GAJ         59  14    
