START-OF-LOG: 2.0
CONTEST: REF-SSB
CALLSIGN: PE1LTY
CATEGORY: SINGLE-OP ALL LOW 
REF-SECTION: DX
CLAIMED-SCORE: 8307
CREATED-BY: UcxLog 6.71
NAME: Hennie Nijboer
SOAPBOX: Many thanks for the nice contest. Till the next time. 
QSO:  7000 PH 2011-02-26 1744 PE1LTY        59  001    F5KKD         59  93
QSO:  7000 PH 2011-02-26 1751 PE1LTY        59  002    F5OQK         59  85
QSO:  7000 PH 2011-02-26 1752 PE1LTY        59  003    F4EJW         59  29
QSO:  7000 PH 2011-02-26 1754 PE1LTY        59  004    F5KIN         59  63
QSO:  7000 PH 2011-02-26 1759 PE1LTY        59  005    F6KJX         59  41
QSO:  7000 PH 2011-02-26 1804 PE1LTY        59  006    F6BHI         59  19
QSO:  7000 PH 2011-02-26 1805 PE1LTY        59  007    F4AWH         59  70
QSO:  7000 PH 2011-02-26 1807 PE1LTY        59  008    F2DX          59  24
QSO:  7000 PH 2011-02-26 1808 PE1LTY        59  009    F4FDA         59  29
QSO:  7000 PH 2011-02-26 1809 PE1LTY        59  010    F4BKV         59  17
QSO:  7000 PH 2011-02-26 1812 PE1LTY        59  011    F4FFH         59  50
QSO:  7000 PH 2011-02-26 1815 PE1LTY        59  012    F4FJH         59  22
QSO:  7000 PH 2011-02-26 1818 PE1LTY        59  013    F4FGB         59  73
QSO:  7000 PH 2011-02-26 1829 PE1LTY        59  014    F8CNX         59  85
QSO:  7000 PH 2011-02-26 1833 PE1LTY        59  015    F5AAR/P       59  53
QSO:  7000 PH 2011-02-26 1835 PE1LTY        59  016    TM9FL         59  86
QSO:  7000 PH 2011-02-26 1836 PE1LTY        59  017    F5RAB/P       59  11
QSO:  7000 PH 2011-02-26 1838 PE1LTY        59  018    F5OTZ         59  83
QSO:  7000 PH 2011-02-26 1841 PE1LTY        59  019    F6KSV         59  29
QSO:  7000 PH 2011-02-26 1844 PE1LTY        59  020    F6BUL/P       59  73
QSO:  7000 PH 2011-02-26 1930 PE1LTY        59  021    F6KED         59  13
QSO:  7000 PH 2011-02-26 1933 PE1LTY        59  022    F8KCF         59  74
QSO:  7000 PH 2011-02-26 1936 PE1LTY        59  023    F5DE/P        59  19
QSO:  7000 PH 2011-02-26 1944 PE1LTY        59  024    TM2T          59  13
QSO: 14000 PH 2011-02-26 1948 PE1LTY        59  025    FM5WD         59  FM
QSO: 14000 PH 2011-02-26 1950 PE1LTY        59  026    FM5AN         59  FM
QSO: 14000 PH 2011-02-26 1954 PE1LTY        59  027    FY8DK         59  FY
QSO:  3500 PH 2011-02-26 2011 PE1LTY        59  028    F6KBF         59  78
QSO:  3500 PH 2011-02-26 2015 PE1LTY        59  029    F4FNL         59  73
QSO:  3500 PH 2011-02-26 2018 PE1LTY        59  030    F6APE         59  49
QSO:  3500 PH 2011-02-26 2020 PE1LTY        59  031    F6KRC         59  35
QSO:  3500 PH 2011-02-26 2023 PE1LTY        59  032    F5ADE         59  36
QSO:  3500 PH 2011-02-26 2024 PE1LTY        59  033    F4BKV         59  17
QSO:  3500 PH 2011-02-26 2033 PE1LTY        59  034    F6KNB         59  33
QSO:  3500 PH 2011-02-26 2037 PE1LTY        59  035    F2DX          59  24
QSO:  3500 PH 2011-02-26 2039 PE1LTY        59  036    F8FLK         59  80
QSO:  3500 PH 2011-02-26 2041 PE1LTY        59  037    F5OAM         59  47
QSO:  3500 PH 2011-02-26 2045 PE1LTY        59  038    TM2T          59  13
QSO:  3500 PH 2011-02-26 2050 PE1LTY        59  039    F5UTN         59  27
QSO:  3500 PH 2011-02-26 2051 PE1LTY        59  040    F5KKD         59  93
