START-OF-LOG: 3.0
CREATED-BY: TR4W v.4.191
CALLSIGN: OM7AB
CONTEST: REF-SSB
CLAIMED-SCORE: 16112
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
LOCATION: DX
NAME: Vladimír KRNÁÈ
SOAPBOX: RIG: TCVR 80 W out; ANTENNA: INVEE Multi Band Dipole
QSO:  3500 PH 2011-02-26 0602 OM7AB         59  1      F6KBF         59  78           
QSO:  3500 PH 2011-02-26 0606 OM7AB         59  2      F5UTN         59  27           
QSO:  3500 PH 2011-02-26 0607 OM7AB         59  3      F6ATM         59  81           
QSO:  3500 PH 2011-02-26 0610 OM7AB         59  4      F5AAR/P       59  53           
QSO:  3500 PH 2011-02-26 0620 OM7AB         59  5      F1FGY         59  79           
QSO:  7000 PH 2011-02-26 0625 OM7AB         59  6      F5PSI         59  62           
QSO:  3500 PH 2011-02-26 0640 OM7AB         59  7      F6CLQ         59  89           
QSO:  7000 PH 2011-02-26 0700 OM7AB         59  8      F5LJA/P       59  52           
QSO:  7000 PH 2011-02-26 0705 OM7AB         59  9      TM8AAW        59  59           
QSO:  7000 PH 2011-02-26 0915 OM7AB         59  10     F5UFX         59  73           
QSO: 14000 PH 2011-02-26 1256 OM7AB         59  11     TM2T          59  13           
QSO: 14000 PH 2011-02-26 1258 OM7AB         59  12     TM22P         59  22           
QSO: 14000 PH 2011-02-26 1305 OM7AB         59  13     TK5KP         59  2A           
QSO: 14000 PH 2011-02-26 1306 OM7AB         59  14     F6CMS         59  44           
QSO: 14000 PH 2011-02-26 1308 OM7AB         59  15     F4BKV         59  17           
QSO: 14000 PH 2011-02-26 1311 OM7AB         59  16     F6KJX         59  41           
QSO: 14000 PH 2011-02-26 1312 OM7AB         59  17     F5MFI         59  45           
