START-OF-LOG: 2.0
CONTEST: REF-SSB
CALLSIGN: HB9UU
CATEGORY: SINGLE-OP ALL LOW
CLAIMED-SCORE: 2478
CREATED-BY: UcxLog 6.38
OPERATORS: HB9AOF
REF-SECTION: DX
NAME: Yves Margot
SOAPBOX: Hélas seulement deux heures diponibles pour participer cette année.
QSO: 21000 PH 2011-02-26 1433 HB9UU         59  001    F8KCF         59  74
QSO: 14000 PH 2011-02-26 1459 HB9UU         59  002    F6CXJ         59  47
QSO: 14000 PH 2011-02-26 1459 HB9UU         59  003    TM2B          59  03
QSO: 14000 PH 2011-02-26 1500 HB9UU         56  004    TM9FL         59  86
QSO: 14000 PH 2011-02-26 1504 HB9UU         59  005    F6CCZ/P       59  37
QSO: 14000 PH 2011-02-26 1505 HB9UU         59  006    TM2T          59  13
QSO: 14000 PH 2011-02-26 1507 HB9UU         59  007    F6KNB         59  33
QSO: 14000 PH 2011-02-26 1510 HB9UU         59  008    F2DX          59  24
QSO: 21000 PH 2011-02-26 1529 HB9UU         59  009    FM5AN         59  FM
QSO: 21000 PH 2011-02-26 1547 HB9UU         59  010    TM2B          59  03
QSO:  7000 PH 2011-02-26 1549 HB9UU         59  011    F6GNG         59  27
QSO:  7000 PH 2011-02-26 1551 HB9UU         59  012    F5OVZ         59  24
QSO:  7000 PH 2011-02-26 1551 HB9UU         59  013    F8KGZ         59  54
QSO:  7000 PH 2011-02-26 1553 HB9UU         59  014    F1AGR/P       59  78
QSO:  7000 PH 2011-02-26 1554 HB9UU         59  015    F5KDR/P       59  85
QSO:  7000 PH 2011-02-26 1556 HB9UU         59  016    F5SGI/P       59  14
QSO:  7000 PH 2011-02-26 1558 HB9UU         59  017    F5KDC         59  63
QSO:  7000 PH 2011-02-26 1559 HB9UU         59  018    F6DRP         59  85
QSO:  7000 PH 2011-02-26 1602 HB9UU         59  019    F5KAR/P       59  76
QSO:  7000 PH 2011-02-26 1605 HB9UU         59  020    F5KOU         59  80
QSO:  7000 PH 2011-02-26 1606 HB9UU         59  021    F5AEG/P       59  83
QSO:  7000 PH 2011-02-26 1607 HB9UU         59  022    F5OHM         59  36
QSO:  7000 PH 2011-02-26 1609 HB9UU         59  023    F4GNS         59  72
QSO:  7000 PH 2011-02-26 1609 HB9UU         59  024    F6KTM         59  59
QSO:  7000 PH 2011-02-26 1614 HB9UU         59  025    F5MNC         59  41
QSO:  7000 PH 2011-02-26 1615 HB9UU         59  026    F6DZU         59  40
QSO:  7000 PH 2011-02-26 1616 HB9UU         59  027    F5RAB/P       59  11
QSO:  7000 PH 2011-02-26 1617 HB9UU         59  028    F6KUC         59  16
QSO:  7000 PH 2011-02-26 1619 HB9UU         59  029    F5INJ         59  80
QSO:  7000 PH 2011-02-26 1621 HB9UU         59  030    F1MOZ         59  40
QSO:  7000 PH 2011-02-26 1622 HB9UU         59  031    F5HIJ         59  33
QSO:  7000 PH 2011-02-26 1623 HB9UU         59  032    F6GPT         59  33
QSO:  7000 PH 2011-02-26 1623 HB9UU         59  033    F5OAM         59  47
QSO:  7000 PH 2011-02-26 1624 HB9UU         59  034    F2FZ          59  47
QSO:  7000 PH 2011-02-26 1626 HB9UU         59  035    F6KAQ         59  33
QSO:  7000 PH 2011-02-26 1627 HB9UU         59  036    F6HRL         59  86
QSO:  7000 PH 2011-02-26 1631 HB9UU         59  037    F4EOH         59  84
QSO:  7000 PH 2011-02-26 1633 HB9UU         59  038    F5AJE         59  16
QSO:  7000 PH 2011-02-26 1635 HB9UU         59  039    F5UTN         59  27
QSO:  7000 PH 2011-02-26 1636 HB9UU         59  040    F8CNX         59  85
QSO:  7000 PH 2011-02-26 1637 HB9UU         59  041    F4GAJ         59  14
QSO:  7000 PH 2011-02-26 1639 HB9UU         59  042    F5NMK         59  57
QSO:  7000 PH 2011-02-26 1640 HB9UU         59  043    F6IRM         59  52
QSO:  7000 PH 2011-02-26 1642 HB9UU         59  044    F5AAR/P       59  53
QSO:  7000 PH 2011-02-26 1644 HB9UU         59  045    F6DYX         59  49
QSO:  7000 PH 2011-02-26 1644 HB9UU         59  046    F8EMH         59  54
QSO:  7000 PH 2011-02-26 1645 HB9UU         59  047    F4FMG         59  79
QSO:  7000 PH 2011-02-26 1653 HB9UU         59  048    F5KED/P       59  36
QSO:  7000 PH 2011-02-26 1654 HB9UU         59  049    TM22P         59  22
QSO:  7000 PH 2011-02-26 1655 HB9UU         59  050    TM2T          59  13
QSO: 21000 PH 2011-02-26 1657 HB9UU         59  051    FM5WD         59  FM
QSO: 14000 PH 2011-02-26 1703 HB9UU         59  052    F6KJX         59  41
QSO: 14000 PH 2011-02-26 1706 HB9UU         59  053    F5UTN         59  27
QSO: 14000 PH 2011-02-26 1709 HB9UU         59  054    F6KLO         59  19
QSO: 14000 PH 2011-02-26 1713 HB9UU         59  055    F8KDX         59  77
END-OF-LOG:

